vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,沪电股份2021年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|沪电股份|002463.SZ|2026-07-17|2459.34|2457.35|64.34|57.17|14.65|15.54|63.52|83.03|12.98|11.64|0.39|0.39|119.02|2522.77|2478.86|50.33|
|沪电股份|002463.SZ|2026-07-16|2630.99|2628.87|68.83|61.16|15.67|16.62|67.95|88.83|13.89|12.46|0.37|0.37|127.33|2694.43|2650.51|53.82|
|沪电股份|002463.SZ|2026-07-15|2640.8|2638.67|69.09|61.39|15.73|16.68|68.2|89.16|13.94|12.5|0.36|0.36|127.8|2704.24|2660.32|54.02|
|沪电股份|002463.SZ|2026-07-14|2638.88|2636.75|69.04|61.34|15.72|16.67|68.15|89.09|13.93|12.49|0.36|0.36|127.71|2702.32|2658.4|53.98|
|沪电股份|002463.SZ|2026-07-13|2398.91|2396.98|62.76|55.76|14.29|15.16|61.96|80.99|12.66|11.36|0.4|0.4|116.1|2462.35|2418.43|49.11|
|沪电股份|002463.SZ|2026-07-10|2490.9|2488.89|65.17|57.9|14.84|15.74|64.33|84.1|13.15|11.79|0.39|0.39|120.55|2554.33|2510.42|50.97|
|沪电股份|002463.SZ|2026-07-09|2642.15|2640.02|69.12|61.42|15.74|16.69|68.24|89.21|13.95|12.51|0.36|0.36|127.87|2705.59|2661.67|54.04|
|沪电股份|002463.SZ|2026-07-08|2467.03|2465.04|64.54|57.35|14.69|15.59|63.72|83.29|13.02|11.68|0.39|0.39|119.39|2530.47|2486.55|50.49|
|沪电股份|002463.SZ|2026-07-07|2496.28|2494.27|65.31|58.03|14.87|15.77|64.47|84.28|13.18|11.82|0.39|0.39|120.81|2559.72|2515.8|51.08|
|沪电股份|002463.SZ|2026-07-06|2479.16|2477.16|64.86|57.63|14.77|15.66|64.03|83.7|13.09|11.74|0.39|0.39|119.98|2542.59|2498.68|50.73|
|沪电股份|002463.SZ|2026-07-03|2604.63|2602.52|68.14|60.55|15.51|16.46|67.27|87.94|13.75|12.33|0.37|0.37|126.05|2668.06|2624.15|53.28|
|沪电股份|002463.SZ|2026-07-02|2511.49|2509.46|65.71|58.38|14.96|15.87|64.86|84.79|13.26|11.89|0.38|0.38|121.54|2574.92|2531.01|51.39|
|沪电股份|002463.SZ|2026-07-01|2790.52|2788.27|73.01|64.87|16.62|17.63|72.07|94.21|14.73|13.21|0.34|0.34|135.05|2853.96|2810.04|57.06|
|沪电股份|002463.SZ|2026-06-30|2940.43|2938.05|76.93|68.35|17.51|18.58|75.94|99.28|15.52|13.92|0.33|0.33|142.3|3003.86|2959.95|60.1|
|沪电股份|002463.SZ|2026-06-29|2714.51|2712.32|71.02|63.1|16.17|17.15|70.11|91.65|14.33|12.85|0.35|0.35|131.37|2777.94|2734.03|55.51|
|沪电股份|002463.SZ|2026-06-26|2834.2|2831.92|74.15|65.88|16.88|17.91|73.2|95.69|14.96|13.42|0.34|0.34|137.16|2897.64|2853.72|57.94|
|沪电股份|002463.SZ|2026-06-25|2982.57|2980.16|78.03|69.33|17.76|18.84|77.03|100.7|15.74|14.12|0.32|0.32|144.34|3046.01|3002.09|60.96|
|沪电股份|002463.SZ|2026-06-24|2758.58|2756.35|72.17|64.12|16.43|17.43|71.24|93.14|14.56|13.06|0.35|0.35|133.5|2822.01|2778.1|56.41|
|沪电股份|002463.SZ|2026-06-23|2665.24|2663.09|69.73|61.95|15.87|16.84|68.83|89.98|14.07|12.62|0.36|0.36|128.98|2728.68|2684.76|54.51|
|沪电股份|002463.SZ|2026-06-22|2795.33|2793.07|73.13|64.98|16.65|17.66|72.19|94.38|14.75|13.23|0.34|0.34|135.28|2858.77|2814.85|57.15|
|沪电股份|002463.SZ|2026-06-18|2846.13|2843.84|74.46|66.16|16.95|17.98|73.51|96.09|15.02|13.47|0.34|0.34|137.74|2909.57|2865.65|58.19|
|沪电股份|002463.SZ|2026-06-17|2820.15|2817.88|73.78|65.56|16.8|17.82|72.84|95.21|14.89|13.35|0.34|0.34|136.48|2883.59|2839.67|57.66|
|沪电股份|002463.SZ|2026-06-16|2706.42|2704.24|70.81|62.91|16.12|17.1|69.9|91.38|14.29|12.81|0.36|0.36|130.98|2769.86|2725.94|55.35|
|沪电股份|002463.SZ|2026-06-15|2574.03|2571.95|67.34|59.83|15.33|16.26|66.48|86.91|13.59|12.19|0.37|0.37|124.57|2637.47|2593.55|52.66|
