vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,深南电路2017年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|深南电路|002916.SZ|2026-07-17|2275.1|2220.46|69.45|62.6|12.58|13.83|59.27|65.51|9.62|8.94|0.34|0.72|281.5|2312.97|2301.47|42.9|
|深南电路|002916.SZ|2026-07-16|2479.45|2419.91|75.69|68.22|13.71|15.07|64.6|71.39|10.49|9.74|0.31|0.66|306.78|2517.32|2505.82|46.71|
|深南电路|002916.SZ|2026-07-15|2569.56|2507.86|78.44|70.7|14.2|15.62|66.94|73.99|10.87|10.09|0.3|0.64|317.93|2607.44|2595.94|48.39|
|深南电路|002916.SZ|2026-07-14|2785.9|2719|85.05|76.65|15.4|16.93|72.58|80.22|11.78|10.94|0.28|0.59|344.7|2823.77|2812.28|52.42|
|深南电路|002916.SZ|2026-07-13|2681|2616.62|81.84|73.77|14.82|16.29|69.85|77.2|11.34|10.53|0.29|0.61|331.72|2718.87|2707.38|50.46|
|深南电路|002916.SZ|2026-07-10|2901.77|2832.09|88.58|79.84|16.04|17.63|75.6|83.55|12.27|11.4|0.27|0.56|359.04|2939.64|2928.15|54.58|
|深南电路|002916.SZ|2026-07-09|3014.57|2942.18|92.03|82.94|16.66|18.32|78.54|86.8|12.75|11.84|0.26|0.54|373|3052.44|3040.95|56.68|
|深南电路|002916.SZ|2026-07-08|2740.54|2674.73|83.66|75.4|15.15|16.65|71.4|78.91|11.59|10.76|0.28|0.6|339.09|2778.41|2766.91|51.57|
|深南电路|002916.SZ|2026-07-07|2807.09|2739.68|85.69|77.23|15.52|17.06|73.13|80.83|11.87|11.03|0.27|0.58|347.32|2844.96|2833.46|52.81|
|深南电路|002916.SZ|2026-07-06|2998.5|2926.49|91.54|82.5|16.57|18.22|78.12|86.34|12.68|11.78|0.26|0.55|371.01|3036.37|3024.87|56.38|
|深南电路|002916.SZ|2026-07-03|3095.77|3021.43|94.51|85.18|17.11|18.81|80.65|89.14|13.09|12.16|0.25|0.53|383.04|3133.64|3122.14|58.2|
|深南电路|002916.SZ|2026-07-02|2882.02|2812.81|87.98|79.3|15.93|17.51|75.08|82.98|12.19|11.32|0.27|0.57|356.59|2919.89|2908.39|54.21|
|深南电路|002916.SZ|2026-07-01|3051.76|2978.48|93.16|83.97|16.87|18.55|79.51|87.87|12.91|11.99|0.25|0.54|377.6|3089.63|3078.14|57.38|
|深南电路|002916.SZ|2026-06-30|3119.06|3044.16|95.22|85.82|17.24|18.95|81.26|89.81|13.19|12.25|0.25|0.52|385.92|3156.93|3145.44|58.63|
|深南电路|002916.SZ|2026-06-29|2957.35|2886.34|90.28|81.37|16.35|17.97|77.05|85.15|12.51|11.62|0.26|0.55|365.92|2995.22|2983.73|55.62|
|深南电路|002916.SZ|2026-06-26|2952.86|2881.95|90.14|81.24|16.32|17.94|76.93|85.02|12.49|11.6|0.26|0.55|365.36|2990.73|2979.23|55.53|
|深南电路|002916.SZ|2026-06-25|3099.31|3024.88|94.61|85.27|17.13|18.83|80.75|89.24|13.11|12.17|0.25|0.53|383.48|3137.18|3125.68|58.26|
|深南电路|002916.SZ|2026-06-24|2941.96|2871.31|89.81|80.94|16.26|17.88|76.65|84.71|12.44|11.56|0.26|0.56|364.01|2979.83|2968.33|55.33|
|深南电路|002916.SZ|2026-06-23|2901.77|2832.09|88.58|79.84|16.04|17.63|75.6|83.55|12.27|11.4|0.27|0.56|359.04|2939.64|2928.15|54.58|
|深南电路|002916.SZ|2026-06-22|3115.25|3040.44|95.1|85.71|17.22|18.93|81.16|89.7|13.17|12.24|0.25|0.52|385.45|3153.12|3141.62|58.56|
|深南电路|002916.SZ|2026-06-18|3091.13|3016.91|94.36|85.05|17.09|18.78|80.53|89|13.07|12.14|0.25|0.53|382.47|3129.01|3117.51|58.11|
|深南电路|002916.SZ|2026-06-17|3026.22|2953.55|92.38|83.26|16.73|18.39|78.84|87.14|12.8|11.89|0.25|0.54|374.44|3064.09|3052.6|56.9|
|深南电路|002916.SZ|2026-06-16|2751.1|2685.03|83.98|75.69|15.21|16.72|71.67|79.21|11.63|10.81|0.28|0.59|340.4|2788.97|2777.47|51.77|
|深南电路|002916.SZ|2026-06-15|2723.3|2657.91|83.14|74.93|15.05|16.55|70.95|78.41|11.52|10.7|0.28|0.6|336.96|2761.18|2749.68|51.25|
|深南电路|002916.SZ|2026-06-12|2585.03|2522.95|78.91|71.12|14.29|15.71|67.35|74.43|10.93|10.15|0.3|0.63|319.85|2622.9|2611.4|48.68|
|深南电路|002916.SZ|2026-06-11|2562.28|2500.75|78.22|70.5|14.16|15.57|66.75|73.78|10.84|10.06|0.3|0.64|317.03|2600.15|2588.65|48.25|
|深南电路|002916.SZ|2026-06-10|2609.28|2546.62|79.65|71.79|14.42|15.86|67.98|75.13|11.03|10.25|0.29|0.63|322.85|2647.15|2635.65|49.13|
|深南电路|002916.SZ|2026-06-09|2697.15|2632.38|82.34|74.21|14.91|16.39|70.27|77.66|11.41|10.59|0.29|0.61|333.72|2735.02|2723.52|50.77|
|深南电路|002916.SZ|2026-06-08|2517.86|2457.4|76.86|69.28|13.92|15.3|65.6|72.5|10.65|9.89|0.31|0.65|311.54|2555.74|2544.24|47.42|
|深南电路|002916.SZ|2026-06-05|2540.75|2479.74|77.56|69.91|14.04|15.44|66.19|73.16|10.74|9.98|0.3|0.64|314.37|2578.62|2567.13|47.85|
|深南电路|002916.SZ|2026-06-04|2679.57|2615.23|81.8|73.73|14.81|16.28|69.81|77.15|11.33|10.52|0.29|0.61|331.55|2717.44|2705.95|50.44|
|深南电路|002916.SZ|2026-06-03|2602.06|2539.57|79.43|71.59|14.38|15.81|67.79|74.92|11|10.22|0.3|0.63|321.95|2639.93|2628.43|48.99|
|深南电路|002916.SZ|2026-06-02|2716.49|2651.26|82.93|74.74|15.02|16.51|70.77|78.22|11.49|10.67|0.28|0.6|336.11|2754.36|2742.87|51.13|
|深南电路|002916.SZ|2026-06-01|2588.43|2526.28|79.02|71.22|14.31|15.73|67.44|74.53|10.95|10.17|0.3|0.63|320.27|2626.3|2614.81|48.74|
|深南电路|002916.SZ|2026-05-29|2802.39|2735.09|85.55|77.1|15.49|17.03|73.01|80.69|11.85|11.01|0.27|0.58|346.74|2840.26|2828.76|52.73|
|深南电路|002916.SZ|2026-05-28|2712.95|2647.8|82.82|74.64|15|15|70.68|78.12|11.47|10.66|0.28|0.28|335.68|2750.82|2739.33|51.06|
|深南电路|002916.SZ|2026-05-27|2697.76|2632.98|82.36|74.23|14.91|14.91|70.28|77.68|11.41|10.6|0.29|0.29|333.8|2735.63|2724.14|50.78|
|深南电路|002916.SZ|2026-05-26|2857.49|2788.88|87.23|78.62|15.8|15.8|74.45|82.28|12.08|11.22|0.27|0.27|353.56|2895.37|2883.87|53.75|
|深南电路|002916.SZ|2026-05-25|2724.67|2659.24|83.18|74.97|15.06|15.06|70.99|78.45|11.52|10.7|0.28|0.28|337.13|2762.54|2751.04|51.28|
|深南电路|002916.SZ|2026-05-22|2576.65|2514.77|78.66|70.89|14.24|14.24|67.13|74.19|10.9|10.12|0.3|0.3|318.81|2614.52|2603.03|48.52|
|深南电路|002916.SZ|2026-05-21|2342.4|2286.15|71.51|64.45|12.95|12.95|61.03|67.45|9.91|9.2|0.33|0.33|289.83|2380.27|2368.77|44.15|
|深南电路|002916.SZ|2026-05-20|2274.28|2219.67|69.43|62.57|12.57|12.57|59.25|65.48|9.62|8.93|0.34|0.34|281.4|2312.15|2300.66|42.88|
|深南电路|002916.SZ|2026-05-19|2263.52|2209.16|69.1|62.28|12.51|12.51|58.97|65.17|9.57|8.89|0.34|0.34|280.07|2301.39|2289.89|42.68|
|深南电路|002916.SZ|2026-05-18|2288.17|2233.23|69.85|62.96|12.65|12.65|59.61|65.88|9.68|8.99|0.34|0.34|283.12|2326.05|2314.55|43.14|
|深南电路|002916.SZ|2026-05-15|2201.87|2149|67.22|60.58|12.17|12.17|57.37|63.4|9.31|8.65|0.35|0.35|272.44|2239.74|2228.25|41.53|
|深南电路|002916.SZ|2026-05-14|2257.11|2202.91|68.9|62.1|12.48|12.48|58.8|64.99|9.54|8.87|0.34|0.34|279.27|2294.98|2283.49|42.56|
|深南电路|002916.SZ|2026-05-13|2373.87|2316.86|72.47|65.31|13.12|13.12|61.85|68.35|10.04|9.32|0.32|0.32|293.72|2411.74|2400.24|44.74|
|深南电路|002916.SZ|2026-05-12|2246.42|2192.48|68.58|61.81|12.42|12.42|58.53|64.68|9.5|8.82|0.34|0.34|277.95|2284.29|2272.8|42.36|
|深南电路|002916.SZ|2026-05-11|2271.83|2217.27|69.35|62.51|12.56|12.56|59.19|65.41|9.61|8.92|0.34|0.34|281.1|2309.7|2298.2|42.84|
|深南电路|002916.SZ|2026-05-08|2182.25|2129.85|66.62|60.04|12.06|12.06|56.85|62.83|9.23|8.57|0.35|0.35|270.01|2220.12|2208.63|41.17|
|深南电路|002916.SZ|2026-05-07|2203.57|2150.66|67.27|60.63|12.18|12.18|57.41|63.45|9.32|8.66|0.35|0.35|272.65|2241.45|2229.95|41.57|
|深南电路|002916.SZ|2026-05-06|2171.22|2119.08|66.28|59.74|12|12|56.57|62.52|9.18|8.53|0.35|0.35|268.65|2209.09|2197.59|40.96|
|深南电路|002916.SZ|2026-04-30|2128.65|2077.53|64.98|58.57|11.77|11.77|55.46|61.29|9|8.36|0.36|0.36|263.38|2166.52|2155.02|40.17|
|深南电路|002916.SZ|2026-04-29|2142.34|2090.89|65.4|58.94|11.84|11.84|55.81|61.69|9.06|8.41|0.36|0.36|265.07|2180.21|2168.71|40.42|
|深南电路|002916.SZ|2026-04-28|2145.2|2093.68|65.49|59.02|11.86|11.86|55.89|61.77|9.07|8.43|0.36|0.36|265.43|2183.07|2171.57|40.48|
|深南电路|002916.SZ|2026-04-27|2191.99|2139.36|66.92|60.31|12.12|12.12|57.11|63.12|9.27|8.61|0.35|0.35|271.22|2229.87|2218.37|41.35|
|深南电路|002916.SZ|2026-04-24|2052.76|2003.47|62.67|56.48|11.35|11.35|53.48|59.11|8.68|8.06|0.37|0.37|253.99|2090.63|2079.14|38.75|
|深南电路|002916.SZ|2026-04-23|2052.35|2003.07|62.65|62.65|11.97|11.97|53.47|53.47|8.68|8.68|0.37|0.37|406.9|2087.45|2077.47|38.72|
|深南电路|002916.SZ|2026-04-22|2052.35|2003.07|62.65|62.65|11.97|11.97|53.47|53.47|8.68|8.68|0.37|0.37|406.9|2087.45|2077.47|38.72|
|深南电路|002916.SZ|2026-04-21|2011.69|1963.38|61.41|61.41|11.73|11.73|52.41|52.41|8.51|8.51|0.38|0.38|398.83|2046.79|2036.8|37.97|
|深南电路|002916.SZ|2026-04-20|1959.17|1912.12|59.81|59.81|11.42|11.42|51.04|51.04|8.29|8.29|0.39|0.39|388.42|1994.27|1984.28|36.99|
|深南电路|002916.SZ|2026-04-17|1928.11|1881.81|58.86|58.86|11.24|11.24|50.23|50.23|8.15|8.15|0.4|0.4|382.26|1963.21|1953.22|36.41|
|深南电路|002916.SZ|2026-04-16|1840.1|1795.92|56.17|56.17|10.73|10.73|47.94|47.94|7.78|7.78|0.42|0.42|364.82|1875.2|1865.22|34.77|
|深南电路|002916.SZ|2026-04-15|1845.48|1801.17|56.34|56.34|10.76|10.76|48.08|48.08|7.8|7.8|0.42|0.42|365.88|1880.58|1870.6|34.87|
|深南电路|002916.SZ|2026-04-14|1946.57|1899.83|59.42|59.42|11.35|11.35|50.71|50.71|8.23|8.23|0.4|0.4|385.92|1981.67|1971.68|36.75|
|深南电路|002916.SZ|2026-04-13|1830.23|1786.28|55.87|55.87|10.67|10.67|47.68|47.68|7.74|7.74|0.42|0.42|362.86|1865.32|1855.34|34.58|
|深南电路|002916.SZ|2026-04-10|1784.86|1742|54.49|54.49|10.41|10.41|46.5|46.5|7.55|7.55|0.43|0.43|353.86|1819.96|1809.97|33.74|
|深南电路|002916.SZ|2026-04-09|1655.23|1615.49|50.53|50.53|9.65|9.65|43.12|43.12|7|7|0.46|0.46|328.16|1690.33|1680.35|31.32|
|深南电路|002916.SZ|2026-04-08|1617.84|1578.99|49.39|49.39|9.43|9.43|42.15|42.15|6.84|6.84|0.48|0.48|320.75|1652.94|1642.95|30.62|
|深南电路|002916.SZ|2026-04-07|1470.77|1435.46|44.9|44.9|8.58|8.58|38.32|38.32|6.22|6.22|0.52|0.52|291.59|1505.87|1495.89|27.88|
|深南电路|002916.SZ|2026-04-03|1449.39|1414.58|44.25|44.25|8.45|8.45|37.76|37.76|6.13|6.13|0.53|0.53|287.35|1484.48|1474.5|27.48|
|深南电路|002916.SZ|2026-04-02|1491.75|1455.93|45.54|45.54|8.7|8.7|38.86|38.86|6.31|6.31|0.52|0.52|295.75|1526.85|1516.87|28.27|
|深南电路|002916.SZ|2026-04-01|1573.49|1535.71|48.03|48.03|9.18|9.18|40.99|40.99|6.65|6.65|0.49|0.49|311.96|1608.59|1598.61|29.8|
|深南电路|002916.SZ|2026-03-31|1495.23|1459.32|45.65|45.65|8.72|8.72|38.96|38.96|6.32|6.32|0.51|0.51|296.44|1530.33|1520.34|28.34|
|深南电路|002916.SZ|2026-03-30|1536.58|1499.68|46.91|46.91|8.96|8.96|40.03|40.03|6.5|6.5|0.5|0.5|304.64|1571.67|1561.69|29.11|
|深南电路|002916.SZ|2026-03-27|1588.34|1550.2|48.49|48.49|9.26|9.26|41.38|41.38|6.72|6.72|0.48|0.48|314.9|1623.44|1613.46|30.07|
|深南电路|002916.SZ|2026-03-26|1582.35|1544.35|48.31|48.31|9.23|9.23|41.22|41.22|6.69|6.69|0.49|0.49|313.71|1617.45|1607.46|29.96|
