date,pe_ttm
2026-07-17,73.07
2026-07-16,83.03
2026-07-15,87.23
2026-07-14,88.33
2026-07-13,82.66
2026-07-10,81.61
2026-07-09,89.14
2026-07-08,84.18
2026-07-07,83.7
2026-07-06,81.98
2026-07-03,83.26
2026-07-02,85.27
2026-07-01,91.25
2026-06-30,94.75
2026-06-29,91.02
2026-06-26,93.54
2026-06-25,98.73
2026-06-24,97.89
2026-06-23,97.73
2026-06-22,103.13
2026-06-18,102.05
2026-06-17,95.2
2026-06-16,93.11
2026-06-15,92.88
2026-06-12,85.72
2026-06-11,83.85
2026-06-10,85.57
2026-06-09,88.03
2026-06-08,86.17
2026-06-05,88.01
2026-06-04,95.46
2026-06-03,95.09
2026-06-02,88.89
2026-06-01,84.28
2026-05-29,86.5
2026-05-28,89.24
2026-05-27,82.79
2026-05-26,82.17
2026-05-25,81.42
2026-05-22,77.32
2026-05-21,74
2026-05-20,77.25
2026-05-19,76.73
2026-05-18,77.85
2026-05-15,78.21
2026-05-14,80.3
2026-05-13,78.16
2026-05-12,75.83
2026-05-11,70.03
2026-05-08,66
2026-05-07,65.37
2026-05-06,63.77
2026-04-30,63.88
2026-04-29,63.02
2026-04-28,61.46
2026-04-27,63.84
2026-04-24,66.08
2026-04-23,66.82
2026-04-22,66.05
2026-04-21,64.28
2026-04-20,63.18
2026-04-17,63.25
2026-04-16,83.31
2026-04-15,80.27
2026-04-14,79.55
2026-04-13,75.95
2026-04-10,75.6
2026-04-09,71.32
2026-04-08,70.81
2026-04-07,63.75
2026-04-03,62.42
2026-04-02,59.89
2026-04-01,61.94
2026-03-31,58.6
2026-03-30,60.61
2026-03-27,61.53
2026-03-26,63.2
2026-03-25,64.66
2026-03-24,62.06
2026-03-23,61.7
2026-03-20,62.97
2026-03-19,59.18
2026-03-18,59.68
2026-03-17,55.87
2026-03-16,57.8
2026-03-13,55.77
2026-03-12,55.03
2026-03-11,57.07
2026-03-10,56.28
2026-03-09,54.12
2026-03-06,56.13
2026-03-05,57.31
2026-03-04,55.46
2026-03-03,58.01
2026-03-02,58.71
2026-02-27,69.39
2026-02-26,74.36
2026-02-25,73.56
2026-02-24,71.99
2026-02-13,69
2026-02-12,68.54
2026-02-11,69.12
2026-02-10,72.21
2026-02-09,73.55
2026-02-06,70.17
2026-02-05,73.03
2026-02-04,72.77
2026-02-03,76.63
2026-02-02,76.8
2026-01-30,84.33
2026-01-29,79.77
2026-01-28,81.6
2026-01-27,79.99
2026-01-26,76.64
2026-01-23,76.02
2026-01-22,80.7
2026-01-21,75.61
2026-01-20,76.02
2026-01-19,78.68
2026-01-16,80.18
2026-01-15,81.22
2026-01-14,77.06
2026-01-13,76.12
2026-01-12,76.92
2026-01-09,75.78
2026-01-08,77.38
2026-01-07,80.51
2026-01-06,78.65
2026-01-05,81.02
2025-12-31,79.27
2025-12-30,82.12
2025-12-29,80.31
2025-12-26,81.47
2025-12-25,83.14
2025-12-24,82.44
2025-12-23,80.7
2025-12-22,80.24
2025-12-19,74.29
2025-12-18,74.22
2025-12-17,76.66
2025-12-16,71.7
2025-12-15,74.18
2025-12-12,75.63
2025-12-11,76.25
2025-12-10,80.05
2025-12-09,78.75
2025-12-08,74.07
2025-12-05,69.79
2025-12-04,69.58
2025-12-03,68.06
2025-12-02,70.43
2025-12-01,69.91
2025-11-28,66.86
2025-11-27,68.09
2025-11-26,70.59
2025-11-25,62.33
2025-11-24,59.36
2025-11-21,60.3
2025-11-20,63.93
2025-11-19,63.49
2025-11-18,61.45
2025-11-17,62.79
2025-11-14,60.14
2025-11-13,62.5
2025-11-12,63.9
2025-11-11,60.82
2025-11-10,63.67
2025-11-07,63.68
2025-11-06,64.57
2025-11-05,61.98
2025-11-04,62.09
2025-11-03,62.37
2025-10-31,61.46
2025-10-30,84.01
2025-10-29,84.98
2025-10-28,83.72
2025-10-27,83.06
2025-10-24,80.62
2025-10-23,71.95
2025-10-22,72.51
2025-10-21,72.05
2025-10-20,65.77
2025-10-17,60.97
2025-10-16,59.89
2025-10-15,57.79
2025-10-14,56.48
2025-10-13,61.53
2025-10-10,63.65
2025-10-09,65.09
2025-09-30,65.88
2025-09-29,68.02
2025-09-26,67.52
2025-09-25,70.93
2025-09-24,69.12
2025-09-23,70.88
2025-09-22,68.22
2025-09-19,68.79
2025-09-18,66.82
2025-09-17,66.29
2025-09-16,67.15
2025-09-15,66.59
2025-09-12,68.89
2025-09-11,71.8
2025-09-10,62.83
2025-09-09,58.64
2025-09-08,60.38
2025-09-05,66.42
2025-09-04,60.24
2025-09-03,69.56
2025-09-02,62.67
2025-09-01,66.28
2025-08-29,57.92
2025-08-28,58.59
2025-08-27,53.06
2025-08-26,60.73
2025-08-25,61.89
2025-08-22,53.94
2025-08-21,51.29
2025-08-20,51.79
2025-08-19,53.28
2025-08-18,50.28
2025-08-15,46.04
2025-08-14,46.31
2025-08-13,48.74
2025-08-12,43.65
2025-08-11,41.53
2025-08-08,40.48
2025-08-07,40.32
2025-08-06,40.72
