vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,中际旭创2021年1月至2026年7月每月末市盈率TTM走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中际旭创|300308.SZ|2026-07-17|10923.28|10871.42|101.17|73.07|30.69|31.53|100.25|90.28|28.57|21.39|0.09|0.14|69.8|10939.87|10817.79|75.37|
|中际旭创|300308.SZ|2026-07-16|12412.56|12353.63|114.96|83.03|34.88|35.83|113.92|102.59|32.46|24.31|0.08|0.13|79.31|12429.15|12307.07|85.75|
|中际旭创|300308.SZ|2026-07-15|13040.55|12978.64|120.78|87.23|36.64|37.64|119.68|107.78|34.1|25.54|0.08|0.12|83.33|13057.14|12935.06|90.13|
|中际旭创|300308.SZ|2026-07-14|13204.94|13142.24|122.3|88.33|37.11|38.12|121.19|109.14|34.53|25.86|0.08|0.12|84.38|13221.53|13099.45|91.27|
|中际旭创|300308.SZ|2026-07-13|12356.8|12298.13|114.44|82.66|34.72|35.67|113.41|102.13|32.31|24.2|0.08|0.13|78.96|12373.39|12251.31|85.36|
|中际旭创|300308.SZ|2026-07-10|12200.44|12142.52|113|81.61|34.28|35.22|111.97|100.84|31.91|23.89|0.08|0.13|77.96|12217.03|12094.96|84.27|
|中际旭创|300308.SZ|2026-07-09|13325.94|13262.67|123.42|89.14|37.45|38.47|122.3|110.14|34.85|26.1|0.07|0.12|85.15|13342.53|13220.45|92.11|
|中际旭创|300308.SZ|2026-07-08|12583.75|12524.01|116.55|84.18|35.36|36.32|115.49|104|32.91|24.64|0.08|0.12|80.41|12600.34|12478.26|86.94|
|中际旭创|300308.SZ|2026-07-07|12511.82|12452.41|115.88|83.7|35.16|36.12|114.83|103.41|32.72|24.5|0.08|0.12|79.95|12528.41|12406.33|86.44|
|中际旭创|300308.SZ|2026-07-06|12255.54|12197.35|113.51|81.98|34.44|35.38|112.48|101.29|32.05|24|0.08|0.13|78.31|12272.13|12150.05|84.66|
|中际旭创|300308.SZ|2026-07-03|12446.02|12386.93|115.27|83.26|34.97|35.93|114.22|102.87|32.55|24.37|0.08|0.13|79.53|12462.61|12340.53|85.98|
|中际旭创|300308.SZ|2026-07-02|12747.13|12686.61|118.06|85.27|35.82|36.8|116.99|105.35|33.33|24.96|0.08|0.12|81.45|12763.72|12641.64|88.08|
|中际旭创|300308.SZ|2026-07-01|13641.22|13576.45|126.34|91.25|38.33|39.38|125.19|112.74|35.67|26.71|0.07|0.11|87.16|13657.8|13535.73|94.31|
|中际旭创|300308.SZ|2026-06-30|14163.48|14096.24|131.18|94.75|39.8|40.88|129.99|117.06|37.04|27.74|0.07|0.11|90.5|14180.07|14057.99|97.95|
|中际旭创|300308.SZ|2026-06-29|13605.86|13541.27|126.01|91.02|38.23|39.27|124.87|112.45|35.58|26.65|0.07|0.11|86.94|13622.45|13500.37|94.07|
|中际旭创|300308.SZ|2026-06-26|13983.82|13917.42|129.51|93.54|39.29|40.37|128.34|115.58|36.57|27.39|0.07|0.11|89.35|14000.4|13878.33|96.7|
|中际旭创|300308.SZ|2026-06-25|14759.02|14688.94|136.69|98.73|41.47|42.6|135.45|121.98|38.6|28.9|0.07|0.11|94.31|14775.6|14653.53|102.1|
|中际旭创|300308.SZ|2026-06-24|14633.89|14564.41|135.53|97.89|41.12|42.24|134.3|120.95|38.27|28.66|0.07|0.11|93.51|14650.48|14528.4|101.23|
|中际旭创|300308.SZ|2026-06-23|14609.69|14540.32|135.31|97.73|41.05|42.17|134.08|120.75|38.21|28.61|0.07|0.11|93.35|14626.27|14504.2|101.06|
|中际旭创|300308.SZ|2026-06-22|15416.22|15343.03|142.78|103.13|43.32|44.5|141.48|127.41|40.31|30.19|0.06|0.1|98.51|15432.81|15310.74|106.68|
|中际旭创|300308.SZ|2026-06-18|15255.07|15182.64|141.29|102.05|42.87|44.04|140|126.08|39.89|29.88|0.07|0.1|97.48|15271.66|15149.58|105.56|
|中际旭创|300308.SZ|2026-06-17|14231.62|14164.05|131.81|95.2|39.99|41.08|130.61|117.62|37.22|27.87|0.07|0.11|90.94|14248.21|14126.13|98.43|
|中际旭创|300308.SZ|2026-06-16|13919.13|13853.05|128.91|93.11|39.11|40.18|127.74|115.04|36.4|27.26|0.07|0.11|88.94|13935.72|13813.64|96.25|
|中际旭创|300308.SZ|2026-06-15|13884.67|13818.75|128.59|92.88|39.02|40.08|127.43|114.76|36.31|27.19|0.07|0.11|88.72|13901.26|13779.18|96.01|
|中际旭创|300308.SZ|2026-06-12|12814.05|12753.21|118.68|85.72|36.01|36.99|117.6|105.91|33.51|25.09|0.08|0.12|81.88|12830.64|12708.56|88.55|
|中际旭创|300308.SZ|2026-06-11|12535.24|12475.72|116.1|83.85|35.22|36.18|115.04|103.6|32.78|24.55|0.08|0.12|80.1|12551.83|12429.75|86.61|
|中际旭创|300308.SZ|2026-06-10|12791.74|12731.01|118.47|85.57|35.94|36.92|117.4|105.72|33.45|25.05|0.08|0.12|81.74|12808.33|12686.25|88.39|
