vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,天孚通信2021年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|天孚通信|300394.SZ|2026-07-17|2305.68|2300.53|114.3|106.16|38.56|42.18|123.42|131.24|44.65|41.55|0.29|0.41|274.07|2305.69|2275.42|93.19|
|天孚通信|300394.SZ|2026-07-16|2663.03|2657.08|132.01|122.62|44.53|48.71|142.54|151.58|51.57|47.99|0.25|0.35|316.55|2663.05|2632.78|107.82|
|天孚通信|300394.SZ|2026-07-15|2829.6|2823.28|140.27|130.28|47.32|51.76|151.46|161.06|54.8|50.99|0.24|0.33|336.35|2829.62|2799.35|114.64|
|天孚通信|300394.SZ|2026-07-14|2983.52|2976.85|147.9|137.37|49.89|54.58|159.7|169.82|57.78|53.77|0.22|0.31|354.64|2983.53|2953.26|120.94|
|天孚通信|300394.SZ|2026-07-13|2828.62|2822.3|140.22|130.24|47.3|51.74|151.41|161|54.78|50.97|0.24|0.33|336.23|2828.64|2798.36|114.6|
|天孚通信|300394.SZ|2026-07-10|2957.44|2950.84|146.61|136.17|49.46|54.1|158.3|168.34|57.28|53.3|0.23|0.32|351.55|2957.46|2927.19|119.88|
|天孚通信|300394.SZ|2026-07-09|2961.59|2954.97|146.81|136.36|49.53|54.17|158.53|168.57|57.36|53.37|0.23|0.32|352.04|2961.61|2931.34|120.05|
|天孚通信|300394.SZ|2026-07-08|2679.94|2673.95|132.85|123.39|44.82|49.02|143.45|152.54|51.9|48.3|0.25|0.35|318.56|2679.96|2649.69|108.51|
|天孚通信|300394.SZ|2026-07-07|2662.59|2656.65|131.99|122.6|44.53|48.71|142.52|151.55|51.57|47.98|0.25|0.35|316.5|2662.61|2632.34|107.8|
|天孚通信|300394.SZ|2026-07-06|2585.26|2579.48|128.16|119.03|43.23|47.29|138.38|147.15|50.07|46.59|0.26|0.36|307.3|2585.27|2555|104.64|
|天孚通信|300394.SZ|2026-07-03|2728.15|2722.06|135.24|125.61|45.62|49.9|146.03|155.28|52.84|49.16|0.24|0.34|324.29|2728.17|2697.9|110.49|
|天孚通信|300394.SZ|2026-07-02|2735.46|2729.35|135.6|125.95|45.74|50.04|146.42|155.7|52.98|49.3|0.24|0.34|325.16|2735.48|2705.21|110.79|
|天孚通信|300394.SZ|2026-07-01|3108.85|3101.91|154.11|143.14|51.99|56.87|166.41|176.95|60.21|56.02|0.21|0.3|369.54|3108.87|3078.6|126.08|
|天孚通信|300394.SZ|2026-06-30|3301.71|3294.33|163.67|152.02|55.21|60.4|176.73|187.93|63.94|59.5|0.2|0.28|392.47|3301.73|3271.46|133.98|
|天孚通信|300394.SZ|2026-06-29|3219.57|3212.38|159.6|148.24|53.84|58.89|172.34|183.26|62.35|58.02|0.21|0.29|382.7|3219.59|3189.32|130.61|
|天孚通信|300394.SZ|2026-06-26|3468.82|3461.07|171.96|159.72|58.01|63.45|185.68|197.44|67.18|62.51|0.19|0.27|412.33|3468.84|3438.57|140.82|
|天孚通信|300394.SZ|2026-06-25|3730.29|3721.96|184.92|171.76|62.38|68.24|199.67|212.33|72.24|67.22|0.18|0.25|443.41|3730.31|3700.04|151.53|
|天孚通信|300394.SZ|2026-06-24|3548.24|3540.31|175.89|163.37|59.34|64.91|189.93|201.96|68.72|63.94|0.19|0.26|421.77|3548.25|3517.98|144.07|
|天孚通信|300394.SZ|2026-06-23|3393.12|3385.54|168.2|156.23|56.74|62.07|181.62|193.13|65.71|61.15|0.2|0.28|403.33|3393.14|3362.87|137.72|
|天孚通信|300394.SZ|2026-06-22|3557.4|3549.45|176.35|163.8|59.49|65.07|190.42|202.48|68.9|64.11|0.19|0.26|422.86|3557.42|3527.15|144.45|
|天孚通信|300394.SZ|2026-06-18|3671.72|3663.51|182.01|169.06|61.4|67.16|196.54|208.99|71.11|66.17|0.18|0.25|436.45|3671.73|3641.46|149.13|
|天孚通信|300394.SZ|2026-06-17|3592.41|3584.39|178.08|165.41|60.08|65.71|192.29|204.48|69.57|64.74|0.19|0.26|427.02|3592.43|3562.16|145.88|
|天孚通信|300394.SZ|2026-06-16|3542.02|3534.1|175.59|163.09|59.23|64.79|189.59|201.61|68.6|63.83|0.19|0.26|421.03|3542.03|3511.76|143.82|
|天孚通信|300394.SZ|2026-06-15|3327.45|3320.02|164.95|153.21|55.64|60.87|178.11|189.4|64.44|59.96|0.2|0.28|395.53|3327.47|3297.2|135.03|
|天孚通信|300394.SZ|2026-06-12|3064.67|3057.83|151.92|141.11|51.25|56.06|164.04|174.44|59.35|55.23|0.22|0.3|364.29|3064.69|3034.42|124.27|
|天孚通信|300394.SZ|2026-06-11|3212.48|3205.3|159.25|147.91|53.72|53.43|171.96|182.85|62.22|57.89|0.21|0.12|381.86|3212.5|3182.23|130.32|
|天孚通信|300394.SZ|2026-06-10|3202.97|3195.82|158.78|147.48|53.56|53.27|171.45|182.31|62.03|57.72|0.21|0.12|380.73|3202.99|3172.72|129.93|
|天孚通信|300394.SZ|2026-06-09|3458.85|3451.12|171.46|159.26|57.84|57.53|185.14|196.88|66.99|62.33|0.19|0.11|411.15|3458.87|3428.6|140.41|
|天孚通信|300394.SZ|2026-06-08|3312.29|3304.89|164.2|152.51|55.39|55.09|177.3|188.53|64.15|59.69|0.2|0.2|393.72|3312.31|3282.04|134.41|
|天孚通信|300394.SZ|2026-06-05|3560.76|3552.81|176.51|163.95|59.55|59.23|190.6|202.68|68.96|64.17|0.19|0.19|423.26|3560.78|3530.51|144.59|
|天孚通信|300394.SZ|2026-06-04|3743.48|3735.97|185.57|172.36|62.6|62.27|200.38|213.08|72.5|67.46|0.18|0.18|444.98|3743.49|3713.22|152.07|
|天孚通信|300394.SZ|2026-06-03|3875.39|3867.61|192.11|178.44|64.81|64.46|207.44|220.58|75.05|69.84|0.17|0.17|460.66|3875.41|3845.14|157.47|
|天孚通信|300394.SZ|2026-06-02|3560.76|3553.62|176.51|163.95|59.55|59.23|190.6|202.68|68.96|64.17|0.19|0.19|423.26|3560.78|3530.51|144.59|
|天孚通信|300394.SZ|2026-06-01|3341.66|3334.96|165.65|153.86|55.88|55.58|178.87|190.21|64.72|60.22|0.2|0.2|397.22|3341.68|3311.41|135.61|
|天孚通信|300394.SZ|2026-05-29|3546.74|3539.62|175.82|163.3|59.31|58.99|189.85|201.88|68.69|63.92|0.19|0.19|421.59|3546.76|3516.49|144.01|
|天孚通信|300394.SZ|2026-05-28|3487.21|3480.21|172.87|160.56|58.32|58|186.66|198.49|67.54|62.84|0.19|0.19|414.52|3487.23|3456.96|141.57|
|天孚通信|300394.SZ|2026-05-27|3339.56|3332.86|165.55|153.77|55.85|55.55|178.76|190.09|64.68|60.18|0.2|0.2|396.97|3339.58|3309.31|135.53|
|天孚通信|300394.SZ|2026-05-26|3169.31|3162.95|157.11|145.93|53|52.72|169.65|180.4|61.38|57.11|0.21|0.21|376.73|3169.33|3139.06|128.55|
|天孚通信|300394.SZ|2026-05-25|3091.32|3085.12|153.24|142.34|51.7|51.42|165.47|175.96|59.87|55.71|0.22|0.22|367.46|3091.34|3061.07|125.36|
|天孚通信|300394.SZ|2026-05-22|2902.37|2896.55|143.88|133.64|48.54|48.27|155.36|165.2|56.21|52.3|0.23|0.23|345|2902.39|2872.12|117.62|
|天孚通信|300394.SZ|2026-05-21|2627.41|2622.14|130.25|120.98|43.94|43.7|140.64|149.55|50.88|47.35|0.25|0.25|312.31|2627.42|2597.15|106.36|
|天孚通信|300394.SZ|2026-05-20|2797.11|2791.5|138.66|128.79|46.78|46.52|149.72|159.21|54.17|50.41|0.24|0.24|332.49|2797.13|2766.86|113.31|
|天孚通信|300394.SZ|2026-05-19|2828.35|2822.68|140.21|130.23|47.3|47.04|151.39|160.99|54.78|50.97|0.24|0.24|336.2|2828.37|2798.1|114.59|
|天孚通信|300394.SZ|2026-05-18|2999.38|2993.36|148.69|138.1|50.16|49.89|160.55|170.72|58.09|54.05|0.22|0.22|356.53|2999.4|2969.13|121.59|
|天孚通信|300394.SZ|2026-05-15|3116.57|3110.31|154.49|143.5|52.12|51.84|166.82|177.39|60.36|56.16|0.21|0.21|370.46|3116.58|3086.31|126.39|
|天孚通信|300394.SZ|2026-05-14|3054.31|3048.18|151.41|140.63|51.08|50.8|163.49|173.85|59.15|55.04|0.22|0.22|363.06|3054.33|3024.06|123.84|
|天孚通信|300394.SZ|2026-05-13|2946.71|2940.8|146.07|135.68|49.28|49.01|157.73|167.72|57.07|53.1|0.23|0.23|350.27|2946.72|2916.45|119.44|
|天孚通信|300394.SZ|2026-05-12|2668.24|2662.88|132.27|122.86|44.62|44.38|142.82|151.87|51.68|48.08|0.25|0.25|317.17|2668.25|2637.98|108.03|
|天孚通信|300394.SZ|2026-05-11|2586.19|2581|128.2|119.08|43.25|43.02|138.43|147.2|50.09|46.61|0.26|0.26|307.41|2586.21|2555.94|104.67|
|天孚通信|300394.SZ|2026-05-08|2542.4|2537.3|126.03|117.06|42.52|42.29|136.09|144.71|49.24|45.82|0.26|0.26|302.21|2542.42|2512.15|102.88|
|天孚通信|300394.SZ|2026-05-07|2556.74|2551.61|126.74|117.72|42.76|42.53|136.86|145.53|49.52|46.08|0.26|0.26|303.91|2556.75|2526.48|103.47|
|天孚通信|300394.SZ|2026-05-06|2463.39|2458.45|122.12|113.42|41.19|40.97|131.86|140.21|47.71|44.39|0.27|0.27|292.82|2463.41|2433.14|99.64|
|天孚通信|300394.SZ|2026-04-30|2395.92|2391.11|118.77|110.32|40.07|39.85|128.25|136.37|46.4|43.18|0.28|0.28|284.8|2395.94|2365.67|96.88|
|天孚通信|300394.SZ|2026-04-29|2423.89|2419.03|120.16|111.6|40.53|40.32|129.74|137.97|46.94|43.68|0.27|0.27|288.12|2423.91|2393.64|98.03|
|天孚通信|300394.SZ|2026-04-28|2413.84|2409|119.66|111.14|40.37|40.15|129.21|137.39|46.75|43.5|0.28|0.28|286.93|2413.86|2383.59|97.61|
|天孚通信|300394.SZ|2026-04-27|2510.85|2505.81|124.47|115.61|41.99|41.76|134.4|142.92|48.63|45.25|0.27|0.27|298.46|2510.86|2480.59|101.59|
|天孚通信|300394.SZ|2026-04-24|2523.47|2518.4|125.09|116.19|42.2|41.97|135.07|143.63|48.87|45.48|0.26|0.26|299.96|2523.48|2493.21|102.1|
|天孚通信|300394.SZ|2026-04-23|2721.66|2716.18|134.92|125.31|45.51|45.51|145.68|154.91|52.71|49.05|0.24|0.24|323.52|2721.67|2691.4|110.22|
|天孚通信|300394.SZ|2026-04-22|2918.5|2912.63|144.68|134.38|48.81|48.81|156.22|166.12|56.52|52.59|0.23|0.23|346.92|2918.51|2888.24|118.28|
|天孚通信|300394.SZ|2026-04-21|2744.28|2738.76|136.04|126.36|45.89|45.89|146.89|156.2|53.15|49.45|0.24|0.24|326.21|2744.29|2714.02|111.15|
|天孚通信|300394.SZ|2026-04-20|2911.42|2905.57|144.33|144.33|52.88|52.88|155.84|155.84|56.39|56.39|0.23|0.23|396.62|2911.44|2881.47|118|
|天孚通信|300394.SZ|2026-04-17|2948.58|2942.65|146.17|146.17|53.55|53.55|157.83|157.83|57.11|57.11|0.23|0.23|401.68|2948.6|2918.63|119.53|
|天孚通信|300394.SZ|2026-04-16|2764.26|2758.7|137.03|137.03|50.2|50.2|147.96|147.96|53.54|53.54|0.24|0.24|376.57|2764.27|2734.31|111.98|
|天孚通信|300394.SZ|2026-04-15|2570.6|2565.43|127.43|127.43|46.69|46.69|137.6|137.6|49.78|49.78|0.26|0.26|350.19|2570.62|2540.65|104.05|
|天孚通信|300394.SZ|2026-04-14|2688.62|2683.21|133.28|133.28|48.83|48.83|143.91|143.91|52.07|52.07|0.25|0.25|366.27|2688.63|2658.67|108.88|
|天孚通信|300394.SZ|2026-04-13|2728.73|2723.24|135.27|135.27|49.56|49.56|146.06|146.06|52.85|52.85|0.24|0.24|371.73|2728.75|2698.78|110.52|
|天孚通信|300394.SZ|2026-04-10|2790.15|2784.53|138.31|138.31|50.67|50.67|149.35|149.35|54.04|54.04|0.24|0.24|380.1|2790.16|2760.2|113.04|
|天孚通信|300394.SZ|2026-04-09|2696.86|2691.43|133.69|133.69|48.98|48.98|144.36|144.36|52.23|52.23|0.25|0.25|367.39|2696.87|2666.91|109.22|
|天孚通信|300394.SZ|2026-04-08|2619.89|2614.62|129.87|129.87|47.58|47.58|140.24|140.24|50.74|50.74|0.25|0.25|356.91|2619.91|2589.94|106.07|
|天孚通信|300394.SZ|2026-04-07|2467.21|2462.25|183.64|134.64|50.58|50.58|195.42|144.02|75.87|51.66|0.27|0.27|377.27|2467.22|2440.89|153.06|
|天孚通信|300394.SZ|2026-04-03|2595.48|2590.26|193.18|141.64|53.21|53.21|205.58|151.5|79.82|54.35|0.26|0.26|396.88|2595.5|2569.16|161.1|
