vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,新易盛2021年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|新易盛|300502.SZ|2026-07-17|6732.59|6056.49|70.63|62.69|33.04|34.68|87.42|82.24|27.1|23.11|0.05|0.15|74.6|6732.62|6653.45|59.47|
|新易盛|300502.SZ|2026-07-16|7565.24|6805.52|79.37|70.44|37.12|38.97|98.23|92.41|30.45|25.97|0.04|0.13|83.83|7565.27|7486.1|66.91|
|新易盛|300502.SZ|2026-07-15|7752.07|6973.59|81.33|72.18|38.04|39.93|100.66|94.7|31.21|26.61|0.04|0.13|85.9|7752.1|7672.93|68.58|
|新易盛|300502.SZ|2026-07-14|7930.81|7134.39|83.2|73.85|38.92|40.85|102.98|96.88|31.93|27.23|0.04|0.13|87.88|7930.85|7851.68|70.18|
|新易盛|300502.SZ|2026-07-13|7145.57|6428|74.96|66.53|35.06|36.81|92.78|87.29|28.76|24.53|0.04|0.14|79.18|7145.6|7066.43|63.16|
|新易盛|300502.SZ|2026-07-10|7292.66|6560.32|76.51|67.9|35.79|37.57|94.69|89.08|29.36|25.04|0.04|0.14|80.81|7292.69|7213.52|64.48|
|新易盛|300502.SZ|2026-07-09|7605.67|6841.9|79.79|70.82|37.32|39.18|98.76|92.91|30.62|26.11|0.04|0.13|84.27|7605.7|7526.53|67.27|
|新易盛|300502.SZ|2026-07-08|7122.42|6407.18|74.72|66.32|34.95|36.69|92.48|87|28.67|24.45|0.04|0.14|78.92|7122.46|7043.29|62.95|
|新易盛|300502.SZ|2026-07-07|7112.1|6397.89|74.61|66.22|34.9|36.64|92.35|86.88|28.63|24.42|0.04|0.14|78.81|7112.14|7032.97|62.86|
|新易盛|300502.SZ|2026-07-06|7067.35|6357.63|74.14|65.81|34.68|36.4|91.77|86.33|28.45|24.26|0.05|0.14|78.31|7067.38|6988.21|62.46|
|新易盛|300502.SZ|2026-07-03|7333.79|6597.32|76.94|68.29|35.99|37.78|95.23|89.59|29.52|25.18|0.04|0.14|81.26|7333.82|7254.65|64.84|
|新易盛|300502.SZ|2026-07-02|7096.77|6384.1|74.45|66.08|34.82|36.56|92.15|86.69|28.57|24.36|0.04|0.14|78.64|7096.8|7017.63|62.73|
|新易盛|300502.SZ|2026-07-01|8024.78|7218.92|84.19|74.72|39.38|41.34|104.2|98.03|32.3|27.55|0.04|0.12|88.92|8024.82|7945.65|71.02|
|新易盛|300502.SZ|2026-06-30|8463.14|7613.26|88.79|78.8|41.53|43.59|109.89|103.38|34.07|29.06|0.04|0.12|93.78|8463.17|8384|74.94|
|新易盛|300502.SZ|2026-06-29|7765.45|6985.63|81.47|72.31|38.11|40|100.83|94.86|31.26|26.66|0.04|0.13|86.04|7765.49|7686.32|68.7|
|新易盛|300502.SZ|2026-06-26|7891.49|7099.02|82.79|73.48|38.72|40.65|102.47|96.4|31.77|27.09|0.04|0.13|87.44|7891.53|7812.36|69.83|
|新易盛|300502.SZ|2026-06-25|8511.8|7657.03|89.3|79.26|41.77|43.85|110.53|103.98|34.26|29.22|0.04|0.12|94.31|8511.83|8432.66|75.37|
|新易盛|300502.SZ|2026-06-24|7742.31|6964.81|81.22|72.09|37.99|39.88|100.53|94.58|31.17|26.58|0.04|0.13|85.79|7742.34|7663.17|68.5|
|新易盛|300502.SZ|2026-06-23|7696.3|6923.42|80.74|71.66|37.77|39.64|99.94|94.01|30.98|26.42|0.04|0.13|85.28|7696.33|7617.16|68.08|
|新易盛|300502.SZ|2026-06-22|8086.27|7274.23|84.83|75.29|39.68|41.65|105|98.78|32.55|27.76|0.04|0.12|89.6|8086.3|8007.14|71.57|
|新易盛|300502.SZ|2026-06-18|8107.32|7293.17|85.05|75.49|39.78|41.76|105.27|99.04|32.64|27.83|0.04|0.12|89.83|8107.36|8028.19|71.76|
|新易盛|300502.SZ|2026-06-17|7778.28|6997.17|81.6|72.43|38.17|40.07|101|95.02|31.31|26.7|0.04|0.13|86.19|7778.31|7699.14|68.82|
|新易盛|300502.SZ|2026-06-16|7654.47|6885.79|80.3|71.27|37.56|39.43|99.39|93.5|30.81|26.28|0.04|0.13|84.81|7654.5|7575.33|67.71|
|新易盛|300502.SZ|2026-06-15|7535.82|6779.06|79.06|70.17|36.98|38.82|97.85|92.05|30.34|25.87|0.04|0.13|83.5|7535.85|7456.68|66.65|
|新易盛|300502.SZ|2026-06-12|7061.35|6352.24|74.08|65.75|34.65|36.37|91.69|86.26|28.43|24.24|0.05|0.14|78.24|7061.39|6982.22|62.41|
|新易盛|300502.SZ|2026-06-11|7333.79|6597.32|76.94|68.29|35.99|37.78|95.23|89.59|29.52|25.18|0.04|0.14|81.26|7333.82|7254.65|64.84|
|新易盛|300502.SZ|2026-06-10|7693.31|6920.73|80.71|71.63|37.75|37.7|99.9|93.98|30.97|26.41|0.04||85.25|7693.34|7614.17|68.06|
|新易盛|300502.SZ|2026-06-09|7825.07|7039.26|82.09|72.86|38.4|38.34|101.61|95.59|31.5|26.86|0.04||86.7|7825.1|7745.93|69.24|
|新易盛|300502.SZ|2026-06-08|7220.26|6495.19|75.75|67.23|35.43|35.38|93.75|88.2|29.06|24.79|0.04||80|7220.29|7141.12|63.83|
|新易盛|300502.SZ|2026-06-05|7449.31|6701.24|78.15|69.36|36.55|36.5|96.73|91|29.99|25.57|0.04||82.54|7449.35|7370.18|65.88|
|新易盛|300502.SZ|2026-06-04|7727.57|6951.55|81.07|71.95|37.92|37.86|100.34|94.4|31.11|26.53|0.04||85.62|7727.6|7648.43|68.36|
|新易盛|300502.SZ|2026-06-03|7790.41|6940.75|81.73|72.54|38.23|38.17|101.16|95.16|31.36|26.75|0.04||86.32|7790.44|7711.27|68.93|
|新易盛|300502.SZ|2026-06-02|7439.36|6627.98|78.05|69.27|36.51|36.45|96.6|90.88|29.95|25.54|0.04||82.43|7439.39|7360.22|65.79|
|新易盛|300502.SZ|2026-06-01|6770.31|6031.91|71.03|63.04|33.22|33.17|87.91|82.7|27.25|23.24|0.05||75.02|6770.35|6691.18|59.81|
|新易盛|300502.SZ|2026-05-29|7035.52|6268.19|73.81|65.51|34.52|34.47|91.36|85.94|28.32|24.15|0.05||77.96|7035.55|6956.38|62.18|
|新易盛|300502.SZ|2026-05-28|7153.93|6373.69|75.05|66.61|35.1|35.05|92.89|87.39|28.8|24.56|0.04||79.27|7153.97|7074.8|63.24|
|新易盛|300502.SZ|2026-05-27|6921.49|6166.59|72.61|64.45|33.96|33.91|89.88|84.55|27.86|23.76|0.05|0.05|76.69|6921.52|6842.35|61.16|
|新易盛|300502.SZ|2026-05-26|6971.28|6210.96|73.14|64.91|34.21|34.16|90.52|85.16|28.06|23.93|0.05|0.05|77.24|6971.32|6892.15|61.6|
|新易盛|300502.SZ|2026-05-25|6563.06|5847.26|68.85|61.11|32.21|32.16|85.22|80.17|26.42|22.53|0.05|0.05|72.72|6563.1|6483.93|57.96|
|新易盛|300502.SZ|2026-05-22|6042.81|5383.75|63.4|56.27|29.65|29.61|78.47|73.82|24.33|20.75|0.05|0.05|66.96|6042.84|5963.67|53.3|
|新易盛|300502.SZ|2026-05-21|5626.09|5011.32|59.02|52.39|27.61|27.61|73.05|68.73|22.65|19.32|0.06|0.06|62.34|5626.13|5546.96|49.58|
|新易盛|300502.SZ|2026-05-20|5844.48|5205.84|61.31|54.42|28.68|28.68|75.89|71.39|23.53|20.07|0.05|0.05|64.76|5844.51|5765.34|51.53|
|新易盛|300502.SZ|2026-05-19|5690.7|5068.87|59.7|52.99|27.92|27.92|73.89|69.52|22.91|19.54|0.06|0.06|63.06|5690.74|5611.57|50.16|
|新易盛|300502.SZ|2026-05-18|5963.26|5311.64|62.56|55.53|29.26|29.26|77.43|72.84|24|20.47|0.05|0.05|66.08|5963.29|5884.13|52.59|
|新易盛|300502.SZ|2026-05-15|6063.95|5401.33|63.62|56.46|29.76|29.76|78.74|74.07|24.41|20.82|0.05|0.05|67.19|6063.99|5984.82|53.49|
|新易盛|300502.SZ|2026-05-14|6141.98|5470.83|64.44|57.19|30.14|30.14|79.75|75.03|24.72|21.09|0.05|0.05|68.06|6142.02|6062.85|54.19|
|新易盛|300502.SZ|2026-05-13|6252.22|5569.02|65.59|58.22|30.68|30.68|81.18|76.37|25.17|21.46|0.05|0.05|69.28|6252.25|6173.08|55.18|
|新易盛|300502.SZ|2026-05-12|5889.7|5246.12|61.79|54.84|28.9|28.9|76.48|71.95|23.71|20.22|0.05|0.05|65.26|5889.74|5810.57|51.94|
|新易盛|300502.SZ|2026-05-11|5603.23|4990.95|58.78|52.17|27.5|27.5|72.76|68.45|22.56|19.24|0.06|0.06|62.09|5603.26|5524.1|49.38|
|新易盛|300502.SZ|2026-05-08|5483.65|4884.44|57.53|51.06|26.91|26.91|71.2|66.99|22.07|18.83|0.06|0.06|60.76|5483.69|5404.52|48.31|
|新易盛|300502.SZ|2026-05-07|5601.24|4989.18|58.76|52.15|27.49|27.49|72.73|68.42|22.55|19.23|0.06|0.06|62.06|5601.28|5522.11|49.36|
|新易盛|300502.SZ|2026-05-06|5193.5|4625.99|54.49|48.36|25.48|25.48|67.44|63.44|20.91|17.83|0.06|0.06|57.55|5193.53|5114.36|45.71|
|新易盛|300502.SZ|2026-04-30|5226.4|4655.3|54.83|48.66|25.65|25.65|67.86|63.84|21.04|17.94|0.06|0.06|57.91|5226.44|5147.27|46.01|
|新易盛|300502.SZ|2026-04-29|5337.83|4754.55|56|49.7|26.19|26.19|69.31|65.2|21.49|18.33|0.06|0.06|59.15|5337.86|5258.69|47|
|新易盛|300502.SZ|2026-04-28|5322.52|4740.92|55.84|49.56|26.12|26.12|69.11|65.02|21.43|18.27|0.06|0.06|58.98|5322.56|5243.39|46.87|
|新易盛|300502.SZ|2026-04-27|5347.77|4763.41|56.1|49.79|26.24|26.24|69.44|65.33|21.53|18.36|0.06|0.06|59.26|5347.8|5268.63|47.09|
|新易盛|300502.SZ|2026-04-24|5340.51|4756.94|56.03|49.73|26.21|26.21|69.35|65.24|21.5|18.34|0.06|0.06|59.18|5340.55|5261.38|47.03|
|新易盛|300502.SZ|2026-04-23|6046.36|5385.83|213.06|80.42|41.63|41.63|943.37|121.08|69.93|30.2|0.05|0.05|136.97|6046.67|5992.29|177.69|
|新易盛|300502.SZ|2026-04-22|6189.8|5513.59|218.12|82.32|42.62|42.62|965.75|123.95|71.58|30.92|0.05|0.05|140.22|6190.11|6135.72|181.94|
