vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,工业富联2021年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|工业富联|601138.SH|2026-07-17|11428.21|11428.21|32.39|28.11|6.49|6.49|218.18|39.46|1.27|1.15|1.11|1.68|104.8|12266.52|11245.17|21.91|
|工业富联|601138.SH|2026-07-16|12505.75|12505.75|35.44|30.76|7.1|7.1|238.75|43.18|1.39|1.26|1.02|1.54|114.68|13344.05|12322.7|24.01|
|工业富联|601138.SH|2026-07-15|12624.81|12624.81|35.78|31.06|7.16|7.16|241.03|43.59|1.4|1.27|1.01|1.53|115.78|13463.12|12441.77|24.24|
|工业富联|601138.SH|2026-07-14|13017.72|13017.72|36.89|32.02|7.39|7.39|248.53|44.95|1.44|1.31|0.98|1.48|119.38|13856.03|12834.68|25|
|工业富联|601138.SH|2026-07-13|12517.65|12517.65|35.48|30.79|7.1|7.1|238.98|43.22|1.39|1.26|1.01|1.54|114.79|13355.96|12334.61|24.03|
|工业富联|601138.SH|2026-07-10|13150.68|13150.68|37.27|32.35|7.46|7.46|251.07|45.41|1.46|1.32|0.97|1.46|120.6|13988.99|12967.64|25.26|
|工业富联|601138.SH|2026-07-09|13797.6|13797.6|39.1|33.94|7.83|7.83|263.42|47.64|1.53|1.39|0.92|1.4|126.53|14635.9|13614.55|26.52|
|工业富联|601138.SH|2026-07-08|13099.09|13099.09|37.12|32.22|7.43|7.43|250.08|45.23|1.45|1.32|0.97|1.47|120.13|13937.39|12916.04|25.16|
|工业富联|601138.SH|2026-07-07|12656.56|12656.56|35.87|31.14|7.18|7.18|241.63|43.7|1.4|1.27|1|1.52|116.07|13494.87|12473.52|24.3|
|工业富联|601138.SH|2026-07-06|12618.86|12618.86|35.76|31.04|7.16|7.16|240.91|43.57|1.4|1.27|1.01|1.53|115.72|13457.16|12435.81|24.23|
|工业富联|601138.SH|2026-07-03|12843.1|12843.1|36.4|31.59|7.29|7.29|245.2|44.34|1.42|1.29|0.99|1.5|117.78|13681.4|12660.05|24.66|
|工业富联|601138.SH|2026-07-02|12704.19|12704.19|36|31.25|7.21|7.21|242.54|43.86|1.41|1.28|1|1.52|116.5|13542.49|12521.14|24.39|
|工业富联|601138.SH|2026-07-01|13890.86|13890.86|39.37|34.17|7.88|7.88|265.2|47.96|1.54|1.4|0.91|1.39|127.39|14729.17|13707.82|26.7|
