vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,兆易创新2017年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|兆易创新|603986.SH|2026-07-17|3250.13|3096.12|197.21|113.06|12.86|13.09|152.7|90.89|35.31|28.31|0.07|0.16|520.67|3250.39|3103.45|159.22|
|兆易创新|603986.SH|2026-07-16|3611.25|3440.13|219.13|125.62|14.29|14.55|169.66|100.99|39.24|31.45|0.07|0.15|578.52|3613.52|3466.58|177.85|
|兆易创新|603986.SH|2026-07-15|4012.51|3822.37|243.47|139.58|15.88|16.17|188.51|112.22|43.6|34.94|0.06|0.13|642.8|4012.22|3865.28|198.31|
|兆易创新|603986.SH|2026-07-14|4098.12|3903.93|248.67|142.56|16.22|16.51|192.54|114.61|44.53|35.69|0.06|0.13|656.51|4103.22|3956.29|202.97|
|兆易创新|603986.SH|2026-07-13|3865.21|3682.05|234.54|134.46|15.29|15.57|181.59|108.1|42|33.66|0.06|0.14|619.2|3863.93|3716.99|190.7|
|兆易创新|603986.SH|2026-07-10|4294.68|4091.17|260.6|149.4|16.99|17.3|201.77|120.11|46.66|37.4|0.06|0.12|688|4305.92|4158.98|213.37|
|兆易创新|603986.SH|2026-07-09|4656.01|4435.38|282.52|161.97|18.42|18.76|218.75|130.21|50.59|40.55|0.05|0.11|745.89|4707.36|4560.42|233.97|
|兆易创新|603986.SH|2026-07-08|4232.74|4032.14|256.84|147.24|16.75|17.05|198.86|118.37|45.99|36.86|0.06|0.12|678.08|4255.71|4108.77|210.8|
|兆易创新|603986.SH|2026-07-07|4350.85|4144.65|264|151.35|17.22|17.53|204.41|121.68|47.27|37.89|0.05|0.12|697|4367.42|4220.48|216.53|
|兆易创新|603986.SH|2026-07-06|4591.48|4373.88|278.61|159.72|18.17|18.5|215.71|128.41|49.89|39.99|0.05|0.11|735.55|4627.39|4480.45|229.87|
|兆易创新|603986.SH|2026-07-03|4756.25|4530.84|288.6|165.46|18.82|19.16|223.46|133.02|51.68|41.42|0.05|0.11|761.94|4796.1|4649.16|238.52|
|兆易创新|603986.SH|2026-07-02|4875.83|4644.75|295.86|169.62|19.29|19.64|229.07|136.36|52.98|42.46|0.05|0.11|781.1|4925.18|4778.24|245.14|
|兆易创新|603986.SH|2026-07-01|5417.58|5160.82|328.73|188.46|21.44|21.83|254.53|151.51|58.86|47.18|0.04|0.1|867.89|5504.53|5357.59|274.87|
|兆易创新|603986.SH|2026-06-30|5719.26|5448.21|347.04|198.96|22.63|23.04|268.7|159.95|62.14|49.81|0.04|0.09|916.22|5791.92|5644.98|289.61|
|兆易创新|603986.SH|2026-06-29|5894.7|5615.33|357.68|205.06|23.32|23.75|276.94|164.85|64.05|51.34|0.04|0.09|944.32|5974.61|5827.67|298.98|
|兆易创新|603986.SH|2026-06-26|5403.47|5147.39|327.88|187.97|21.38|21.77|253.86|151.12|58.71|47.06|0.04|0.1|865.63|5461.08|5314.14|272.64|
|兆易创新|603986.SH|2026-06-25|5440.03|5182.22|330.09|189.24|21.52|21.92|255.58|152.14|59.11|47.38|0.04|0.1|871.49|5503.39|5356.45|274.81|
|兆易创新|603986.SH|2026-06-24|4947.97|4713.47|300.24|172.12|19.58|19.93|232.46|138.38|53.76|43.09|0.05|0.11|792.66|4999.37|4852.43|248.95|
|兆易创新|603986.SH|2026-06-23|4498.14|4284.97|272.94|156.48|17.8|18.12|211.33|125.8|48.87|39.17|0.05|0.12|720.6|4556.33|4409.39|226.22|
|兆易创新|603986.SH|2026-06-22|4835.5|4606.13|293.41|168.21|19.13|19.54|227.18|135.23|52.54|42.11|0.05|0.11|774.64|4908.58|4761.64|244.29|
|兆易创新|603986.SH|2026-06-18|4409.93|4200.74|267.59|153.41|17.45|17.82|207.18|123.33|47.92|38.41|0.05|0.12|706.47|4472.82|4325.88|221.94|
|兆易创新|603986.SH|2026-06-17|4108.74|3913.84|249.31|142.93|16.26|16.6|193.03|114.91|44.64|35.78|0.06|0.13|658.21|4158.14|4011.2|205.79|
|兆易创新|603986.SH|2026-06-16|3735.19|3558.01|226.65|129.94|14.78|15.09|175.48|104.46|40.58|32.53|0.06|0.14|598.37|3771.35|3624.41|185.95|
|兆易创新|603986.SH|2026-06-15|3631.71|3459.44|220.37|126.34|14.37|14.67|170.62|101.57|39.46|31.63|0.07|0.14|581.8|3668.93|3521.99|180.69|
|兆易创新|603986.SH|2026-06-12|3375.6|3215.47|204.83|117.43|13.36|13.64|158.59|94.4|36.68|29.4|0.07|0.16|540.77|3404.94|3258|167.15|
|兆易创新|603986.SH|2026-06-11|3389.83|3229.03|205.69|117.92|13.41|13.7|159.26|94.8|36.83|29.52|0.07|0.15|543.05|3428.3|3281.36|168.35|
|兆易创新|603986.SH|2026-06-10|3371.18|3211.26|204.56|117.27|13.34|13.62|158.38|94.28|36.63|29.36|0.07|0.16|540.06|3400.9|3253.96|166.94|
|兆易创新|603986.SH|2026-06-09|3509.02|3342.56|212.92|122.07|13.88|14.18|164.86|98.13|38.13|30.56|0.07|0.15|562.14|3547.57|3400.63|174.47|
|兆易创新|603986.SH|2026-06-08|3323.3|3165.65|201.65|115.61|13.15|13.43|156.13|92.94|36.11|28.94|0.07|0.16|532.39|3367.4|3220.46|165.22|
|兆易创新|603986.SH|2026-06-05|3421.38|3259.08|207.61|119.02|13.54|13.82|160.74|95.68|37.17|29.8|0.07|0.15|548.1|3468.83|3321.89|170.43|
|兆易创新|603986.SH|2026-06-04|3711.01|3534.97|225.18|129.09|14.68|15|174.35|103.78|40.32|32.32|0.06|0.14|594.5|3763.02|3616.08|185.52|
|兆易创新|603986.SH|2026-06-03|3451.04|3287.33|209.4|120.05|13.65|13.94|162.13|96.51|37.5|30.05|0.07|0.15|552.85|3500.69|3353.75|172.06|
|兆易创新|603986.SH|2026-06-02|3328.06|3170.19|201.94|115.77|13.17|13.45|156.36|93.07|36.16|28.98|0.07|0.16|533.15|3376.45|3229.52|165.69|
|兆易创新|603986.SH|2026-06-01|3281.16|3125.51|199.1|114.14|12.98|13.26|154.15|91.76|35.65|28.58|0.07|0.16|525.64|3331.02|3184.08|163.36|
|兆易创新|603986.SH|2026-05-29|3274.22|3118.9|198.68|113.9|12.96|13.23|153.83|91.57|35.58|28.51|0.07|0.16|524.53|3333.63|3186.69|163.49|
|兆易创新|603986.SH|2026-05-28|3386.32|3225.69|205.48|117.8|13.4|13.68|159.09|94.7|36.79|29.49|0.07|0.16|542.48|3455.11|3308.18|169.72|
|兆易创新|603986.SH|2026-05-27|3604.93|3433.92|218.74|125.4|14.26|14.57|169.36|100.82|39.17|31.39|0.07|0.15|577.5|3678.66|3531.72|181.19|
|兆易创新|603986.SH|2026-05-26|3689.34|3514.33|223.86|128.34|14.6|14.91|173.33|103.18|40.09|32.13|0.06|0.14|591.03|3754.01|3607.07|185.06|
|兆易创新|603986.SH|2026-05-25|3614.88|3443.41|219.35|125.75|14.3|14.3|169.83|101.1|39.28|31.48|0.07|0.07|579.1|3669.74|3522.8|180.73|
|兆易创新|603986.SH|2026-05-22|3286.35|3130.46|199.41|114.32|13|13|154.4|91.91|35.71|28.62|0.07|0.07|526.47|3356.78|3209.84|164.68|
|兆易创新|603986.SH|2026-05-21|3028.06|2884.42|183.74|105.34|11.98|11.98|142.26|84.68|32.9|26.37|0.08|0.08|485.09|3084.93|2937.99|150.73|
|兆易创新|603986.SH|2026-05-20|3120.05|2972.04|189.32|108.54|12.35|12.35|146.58|87.26|33.9|27.17|0.08|0.08|499.83|3177.15|3030.21|155.46|
|兆易创新|603986.SH|2026-05-19|2836.38|2701.83|172.11|98.67|11.22|11.22|133.26|79.32|30.82|24.7|0.08|0.08|454.38|2877.2|2730.26|140.07|
|兆易创新|603986.SH|2026-05-18|2804.41|2671.38|170.17|97.56|11.1|11.1|131.75|78.43|30.47|24.42|0.08|0.08|449.26|2842.86|2695.92|138.31|
|兆易创新|603986.SH|2026-05-15|2631.52|2506.69|159.68|91.54|10.41|10.41|123.63|73.59|28.59|22.92|0.09|0.09|421.57|2665.26|2518.32|129.2|
|兆易创新|603986.SH|2026-05-14|2497.26|2378.8|151.53|86.87|9.88|9.88|117.32|69.84|27.13|21.75|0.09|0.09|400.06|2531.74|2384.8|122.35|
|兆易创新|603986.SH|2026-05-13|2559.02|2437.63|155.28|89.02|10.13|10.13|120.23|71.57|27.8|22.29|0.09|0.09|409.95|2597.48|2450.54|125.72|
|兆易创新|603986.SH|2026-05-12|2478.75|2361.17|150.41|86.23|9.81|9.81|116.45|69.32|26.93|21.59|0.1|0.1|397.09|2508.49|2361.55|121.16|
|兆易创新|603986.SH|2026-05-11|2538.9|2418.47|154.06|88.32|10.05|10.05|119.28|71|27.59|22.11|0.09|0.09|406.73|2572.9|2425.96|124.46|
