vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,澜起科技2017年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|澜起科技|688008.SH|2026-07-17|2240.91|2101.79|100.24|87.62|10.75|10.75|110.83|91.08|41.07|39.35||0.11|266.38|2269.86|2123.63|95.57|
|澜起科技|688008.SH|2026-07-16|2576.92|2416.94|115.27|100.75|12.36|12.36|127.44|104.74|47.23|45.25||0.09|306.32|2600.48|2454.24|110.45|
|澜起科技|688008.SH|2026-07-15|3084.06|2892.59|137.95|120.58|14.79|14.79|152.52|125.35|56.52|54.16||0.08|366.61|3130.65|2984.42|134.31|
|澜起科技|688008.SH|2026-07-14|3295.45|3090.86|147.41|128.85|15.81|15.81|162.98|133.94|60.4|57.87||0.07|391.74|3327.36|3181.12|143.16|
|澜起科技|688008.SH|2026-07-13|3085.4|2893.85|138.01|120.64|14.8|14.8|152.59|125.4|56.55|54.18||0.08|366.77|3112.73|2966.49|133.5|
|澜起科技|688008.SH|2026-07-10|3271.77|3068.66|146.35|127.92|15.7|15.7|161.81|132.98|59.96|57.45||0.07|388.92|3299.65|3153.41|141.92|
|澜起科技|688008.SH|2026-07-09|3488.3|3271.74|156.04|136.39|16.73|16.73|172.52|141.78|63.93|61.25||0.07|414.66|3524.79|3378.56|152.05|
|澜起科技|688008.SH|2026-07-08|3016.56|2829.29|134.93|117.94|14.47|14.47|149.19|122.6|55.29|52.97||0.08|358.58|3041.34|2895.1|130.29|
|澜起科技|688008.SH|2026-07-07|3094.61|2902.75|138.43|121|14.85|14.85|153.05|125.78|56.72|54.34||0.08|367.86|3122.76|2976.52|133.96|
|澜起科技|688008.SH|2026-07-06|3283.81|3080.22|146.89|128.39|15.75|15.75|162.4|133.47|60.18|57.66||0.07|390.35|3325.49|3179.25|143.08|
|澜起科技|688008.SH|2026-07-03|3260.83|3058.67|145.86|127.49|15.64|15.64|161.27|132.53|59.76|57.26||0.07|387.62|3310.83|3164.59|142.42|
