trade_date,wind_code,open,high,low,close,volume,amt
2025-07-01,300308.SZ,143.27,146.46,142.44,144.98,31959141,4641124102
2025-07-02,300308.SZ,142.19,142.29,137.83,138.62,36577096,5109386350
2025-07-03,300308.SZ,141.16,143.52,139.18,141.95,38397875,5430809335
2025-07-04,300308.SZ,142.79,144.86,138.24,139.14,41874479,5927014308
2025-07-07,300308.SZ,137.20,139.46,129.92,134.85,57520424,7722491415
2025-07-08,300308.SZ,134.46,144.94,133.52,144.56,53224112,7500377252
2025-07-09,300308.SZ,144.68,149.03,143.73,144.98,41509561,6085220987
2025-07-10,300308.SZ,146.20,148.35,141.69,146.27,43540397,6336658699
2025-07-11,300308.SZ,144.42,147.55,142.24,144.96,31098862,4513795973
2025-07-14,300308.SZ,144.01,150.17,144.01,149.49,38853191,5781039353
2025-07-15,300308.SZ,154.96,174.60,154.96,174.42,92406424,15619206714
2025-07-16,300308.SZ,179.40,181.57,169.30,170.38,90585177,15982905351
2025-07-17,300308.SZ,168.82,178.60,168.80,176.46,60463077,10555310877
2025-07-18,300308.SZ,180.78,191.59,178.61,180.22,61156221,11298766458
2025-07-21,300308.SZ,179.49,187.98,176.79,187.54,59683509,10909835929
2025-07-22,300308.SZ,186.69,196.67,181.00,184.03,59291285,11209847411
2025-07-23,300308.SZ,178.61,187.47,175.61,185.77,40578373,7395940402
2025-07-24,300308.SZ,190.08,192.53,181.27,184.79,44208006,8263192060
2025-07-25,300308.SZ,185.59,189.48,184.10,184.81,28787743,5368796807
2025-07-28,300308.SZ,185.59,192.80,183.79,191.45,43894765,8281245573
2025-07-29,300308.SZ,197.57,210.52,197.57,209.47,58440368,12100039459
2025-07-30,300308.SZ,206.60,211.33,203.14,210.14,39050574,8122926811
2025-07-31,300308.SZ,220.51,228.10,215.45,217.13,64406594,14274550601
2025-08-01,300308.SZ,212.05,220.39,207.17,210.17,47594674,10151901432
2025-08-04,300308.SZ,207.07,209.88,204.05,207.96,33083739,6857077166
2025-08-05,300308.SZ,216.02,217.89,203.05,210.45,41413757,8698318762
