trade_date,wind_code,open,high,low,close,volume,amt
2025-07-01,601138.SH,20.74,21.10,20.48,20.87,75057997,1598486869
2025-07-02,601138.SH,20.68,20.79,20.53,20.64,53683448,1135722498
2025-07-03,601138.SH,20.74,22.71,20.74,22.71,341838829,7812149979
2025-07-04,601138.SH,22.74,23.75,22.71,23.23,323605462,7750318603
2025-07-07,601138.SH,23.22,23.73,22.77,23.39,164899723,3935417533
2025-07-08,601138.SH,24.27,25.73,24.19,25.73,289695438,7483434567
2025-07-09,601138.SH,26.34,26.45,25.85,25.95,265386641,7099473985
2025-07-10,601138.SH,26.24,26.33,25.24,25.52,186420588,4894678074
2025-07-11,601138.SH,25.46,25.92,25.24,25.36,143914629,3755704608
2025-07-14,601138.SH,25.36,25.58,24.78,25.28,108430624,2808305774
2025-07-15,601138.SH,25.65,26.74,25.53,26.58,276347142,7421225013
2025-07-16,601138.SH,26.33,26.74,26.00,26.07,145623211,3923855980
2025-07-17,601138.SH,25.98,26.95,25.98,26.82,157134173,4272932957
2025-07-18,601138.SH,26.81,27.30,26.40,26.44,128958666,3527149095
2025-07-21,601138.SH,26.34,26.87,26.09,26.36,86503840,2336498383
2025-07-22,601138.SH,26.34,27.57,26.14,26.30,141884699,3881833840
2025-07-23,601138.SH,25.85,26.10,25.70,25.93,114093401,3028691471
2025-07-24,601138.SH,26.52,28.24,26.39,27.75,223942507,6254561232
2025-07-25,601138.SH,27.75,28.43,27.71,27.96,107433857,3082064581
2025-07-28,601138.SH,28.23,28.84,27.91,28.84,152249569,4437868498
2025-07-29,601138.SH,28.83,30.51,28.59,30.42,178836481,5443611579
2025-07-30,601138.SH,30.24,33.41,29.55,32.46,206835613,6670342339
2025-07-31,601138.SH,33.08,35.71,33.02,34.42,302280341,10515073293
2025-08-01,601138.SH,33.82,34.11,32.30,32.82,219395147,7294069283
2025-08-04,601138.SH,32.22,32.92,32.04,32.79,138180054,4507279459
2025-08-05,601138.SH,33.32,35.15,32.93,34.86,244590076,8367476018
2025-08-06,601138.SH,33.91,34.50,33.37,34.11,147620736,5047534286
2025-08-07,601138.SH,36.00,37.44,34.53,35.46,243591751,8779278722
2025-08-08,601138.SH,35.54,37.35,34.87,36.39,180125156,6572389388
2025-08-11,601138.SH,36.30,36.99,34.91,36.15,192984769,7003982795
2025-08-12,601138.SH,36.27,39.49,36.27,39.49,222850156,8550587057
2025-08-13,601138.SH,39.50,43.44,38.74,43.44,242366773,10023782873
2025-08-14,601138.SH,43.72,45.53,42.75,42.99,242001501,10650283436
2025-08-15,601138.SH,42.36,45.45,42.27,44.62,230671299,10234688715
2025-08-18,601138.SH,44.56,45.00,41.43,44.22,263078034,11509162414
2025-08-19,601138.SH,43.78,48.64,43.44,48.64,273043827,12733532496
2025-08-20,601138.SH,46.25,48.69,45.55,47.65,253058665,11955177840
2025-08-21,601138.SH,47.16,48.14,44.33,45.04,231661917,10647328640
2025-08-22,601138.SH,44.26,47.03,43.76,45.58,241263010,11006049638
2025-08-25,601138.SH,46.25,47.81,44.46,47.74,306073008,14043646790
2025-08-26,601138.SH,46.63,46.74,45.23,45.23,221637437,10207619380
2025-08-27,601138.SH,44.76,47.63,44.27,45.47,260361155,12048546713
2025-08-28,601138.SH,44.36,49.68,43.98,48.67,345929345,16267081571
2025-08-29,601138.SH,47.74,53.54,46.88,53.54,343022654,17371646436
2025-09-01,601138.SH,53.70,56.65,52.02,55.32,269519213,14793140838
2025-09-02,601138.SH,56.39,57.69,52.22,53.59,272311538,15010975666
2025-09-03,601138.SH,53.59,55.30,50.80,53.95,221915698,11903006052
2025-09-04,601138.SH,56.19,57.57,49.66,52.84,333831271,18022745305
2025-09-05,601138.SH,53.01,56.89,50.33,55.53,339091254,18175746989
2025-09-08,601138.SH,54.70,55.84,50.11,51.12,303251521,15981215892
2025-09-09,601138.SH,50.13,51.22,47.24,48.53,262177391,12944729646
2025-09-10,601138.SH,51.32,53.38,50.33,53.38,346078651,18310218737
2025-09-11,601138.SH,55.50,58.72,54.35,58.72,272279844,15528041271
2025-09-12,601138.SH,58.56,62.76,57.72,61.56,315605216,19269402667
2025-09-15,601138.SH,59.67,60.95,58.18,59.57,193171858,11563491312
2025-09-16,601138.SH,59.55,61.56,58.55,59.41,179496997,10801450448
2025-09-17,601138.SH,58.58,62.66,57.40,60.79,241909399,14585318191
2025-09-18,601138.SH,59.07,66.87,59.07,64.01,315066851,20292012592
2025-09-19,601138.SH,65.28,68.26,64.65,65.74,236867281,15781011244
2025-09-22,601138.SH,66.19,71.50,64.29,70.12,239928000,16708442542
2025-09-23,601138.SH,74.31,74.31,68.13,70.49,267032716,19020544374
2025-09-24,601138.SH,68.43,69.56,67.13,68.26,196384443,13461289668
2025-09-25,601138.SH,67.51,69.48,65.83,68.09,188668167,12883412578
2025-09-26,601138.SH,67.18,68.14,64.30,64.52,192175650,12691205307
2025-09-29,601138.SH,64.50,67.13,64.50,66.22,155035785,10295116892
2025-09-30,601138.SH,66.44,69.10,65.16,65.65,165341739,11090699578
2025-10-09,601138.SH,66.75,70.50,66.64,68.08,221543652,15252473527
2025-10-10,601138.SH,67.94,69.61,65.10,66.05,184283841,12406938350
2025-10-13,601138.SH,60.67,64.28,60.67,63.14,170867713,10776334666
2025-10-14,601138.SH,64.64,65.30,58.93,59.40,194679098,12102481124
2025-10-15,601138.SH,59.40,63.55,58.18,63.04,191166300,11740563455
2025-10-16,601138.SH,61.66,64.00,61.37,63.24,115939328,7332048118
2025-10-17,601138.SH,62.66,62.93,59.57,59.68,137879485,8413468100
2025-10-20,601138.SH,61.66,63.47,60.74,61.72,145002286,9053010272
2025-10-21,601138.SH,62.60,67.82,62.08,67.63,252287766,16620319080
2025-10-22,601138.SH,66.63,66.64,64.15,65.10,167191686,11014894220
2025-10-23,601138.SH,64.45,64.67,62.36,63.64,111025337,7078123496
2025-10-24,601138.SH,64.83,67.33,63.71,66.88,179020774,11869082164
2025-10-27,601138.SH,68.88,73.18,68.88,72.37,234879242,16679873611
2025-10-28,601138.SH,70.79,75.35,70.66,73.59,202804199,14958411164
2025-10-29,601138.SH,77.70,80.95,77.48,80.36,199193919,15896272624
2025-10-30,601138.SH,79.57,83.42,77.28,77.55,240890950,19314782838
2025-10-31,601138.SH,77.53,78.24,71.11,71.61,246298664,18180679395
2025-11-03,601138.SH,69.98,75.59,69.83,74.48,214332627,15719905804
2025-11-04,601138.SH,74.36,74.79,72.08,73.09,131235753,9664880743
2025-11-05,601138.SH,69.93,75.39,69.49,74.83,167250715,12189758182
2025-11-06,601138.SH,74.83,76.28,73.70,75.81,172482897,13036723386
2025-11-07,601138.SH,73.67,74.10,71.24,72.31,158542019,11558342729
2025-11-10,601138.SH,71.61,71.82,67.63,71.11,212282559,14784377560
2025-11-11,601138.SH,71.61,71.67,67.63,67.66,140935264,9758753282
2025-11-12,601138.SH,66.09,69.17,65.30,68.23,136968180,9283976951
2025-11-13,601138.SH,67.21,68.50,65.83,67.62,121665589,8199301373
