trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,SZ000625,12.359,12.399,12.329,12.389,474154.000,
2025-07-21,SZ000625,12.399,12.519,12.399,12.519,691996.000,
2025-07-22,SZ000625,12.499,12.559,12.419,12.549,763922.000,
2025-07-23,SZ000625,12.664,12.684,12.474,12.484,1023327.000,
2025-07-24,SZ000625,12.524,12.674,12.504,12.674,925155.000,
2025-07-25,SZ000625,12.704,12.934,12.644,12.784,1225393.000,
2025-07-28,SZ000625,12.844,13.254,12.784,13.204,2060022.000,
2025-07-29,SZ000625,13.234,13.234,12.884,13.104,1630048.000,
2025-07-30,SZ000625,13.304,13.454,12.954,13.054,2197284.000,
2025-07-31,SZ000625,13.034,13.034,12.634,12.694,1500446.000,
2025-08-01,SZ000625,12.694,12.834,12.594,12.654,812253.000,
2025-08-04,SZ000625,12.614,12.754,12.514,12.744,695511.000,
2025-08-05,SZ000625,12.744,12.784,12.684,12.754,566711.000,
2025-08-06,SZ000625,12.764,12.784,12.664,12.744,669357.000,
2025-08-07,SZ000625,12.774,12.814,12.684,12.704,609573.000,
2025-08-08,SZ000625,12.684,12.684,12.614,12.624,502139.000,
2025-08-11,SZ000625,12.664,12.814,12.634,12.784,781111.000,
2025-08-12,SZ000625,12.884,13.034,12.814,12.884,1102009.000,
2025-08-13,SZ000625,12.904,12.954,12.844,12.864,972022.000,
2025-08-14,SZ000625,12.914,12.924,12.684,12.714,869030.000,
2025-08-15,SZ000625,12.674,12.814,12.654,12.764,749216.000,
2025-08-18,SZ000625,12.744,12.974,12.734,12.884,1311260.000,
2025-08-19,SZ000625,12.884,12.894,12.754,12.804,888586.000,
2025-08-20,SZ000625,12.754,13.024,12.714,13.024,1664763.000,
2025-08-21,SZ000625,13.024,13.044,12.894,12.934,1097195.000,
2025-08-22,SZ000625,12.914,13.014,12.914,13.014,1098408.000,
2025-08-25,SZ000625,13.004,13.004,12.834,12.934,1975846.000,
2025-08-26,SZ000625,12.924,12.974,12.844,12.924,1223306.000,
2025-08-27,SZ000625,12.924,13.054,12.584,12.584,2480787.000,
2025-08-28,SZ000625,12.544,12.614,12.254,12.534,1657554.000,
2025-08-29,SZ000625,12.494,12.614,12.374,12.404,1777626.000,
2025-09-01,SZ000625,12.404,12.404,12.214,12.294,1570782.000,
2025-09-02,SZ000625,12.334,12.374,12.164,12.264,1059803.000,
2025-09-03,SZ000625,12.314,12.344,12.134,12.154,943349.000,
2025-09-04,SZ000625,12.154,12.214,12.084,12.174,910562.000,
2025-09-05,SZ000625,12.164,12.294,12.114,12.294,805555.000,
2025-09-08,SZ000625,12.334,12.364,12.194,12.244,1120669.000,
2025-09-09,SZ000625,12.224,12.574,12.204,12.414,1762591.000,
2025-09-10,SZ000625,12.404,12.604,12.324,12.454,1477811.000,
2025-09-11,SZ000625,12.394,12.434,12.274,12.404,1009872.000,
2025-09-12,SZ000625,12.354,12.394,12.264,12.284,999667.000,
