date,open,close,high,low,volume
2025-01-02,76.963,75.163,77.383,74.943,77409.0
2025-01-03,75.233,75.663,76.483,75.083,74710.0
2025-01-06,74.843,74.563,75.593,73.383,55520.0
2025-01-07,74.753,74.733,74.863,73.793,35339.0
2025-01-08,74.583,73.983,75.133,73.193,42410.0
2025-01-09,73.813,73.973,74.763,73.063,29041.0
2025-01-10,73.883,72.203,74.023,72.163,49165.0
2025-01-13,71.883,72.503,72.843,71.693,32004.0
2025-01-14,72.503,74.253,74.333,72.463,41505.0
2025-01-15,74.153,73.853,74.473,73.733,27371.0
2025-01-16,74.083,73.653,74.773,73.233,31842.0
2025-01-17,73.453,73.883,74.283,73.383,25375.0
2025-01-20,74.083,74.233,75.033,73.963,44602.0
2025-01-21,74.373,74.063,74.483,73.703,25504.0
2025-01-22,73.883,73.563,74.013,73.393,23241.0
2025-01-23,73.913,73.893,74.533,73.803,37271.0
2025-01-24,73.683,74.323,74.323,73.303,44921.0
2025-01-27,74.613,74.613,74.633,73.773,44568.0
2025-02-05,74.613,73.333,74.673,73.113,38820.0
2025-02-06,73.283,73.613,73.833,73.113,29746.0
2025-02-07,73.393,74.093,74.783,73.163,50299.0
2025-02-10,74.103,73.793,74.313,73.643,45178.0
2025-02-11,73.843,73.373,73.963,73.233,30374.0
2025-02-12,73.263,73.613,73.683,73.043,35102.0
2025-02-13,73.653,75.003,75.613,73.453,99249.0
2025-02-14,74.713,74.803,75.183,74.423,43626.0
2025-02-17,75.013,74.813,75.673,74.593,44501.0
2025-02-18,74.513,74.153,75.313,73.903,48457.0
2025-02-19,74.133,74.183,74.373,73.423,39113.0
2025-02-20,74.013,74.063,74.553,73.813,30258.0
2025-02-21,74.513,75.073,76.543,74.463,72442.0
2025-02-24,75.043,75.553,76.123,74.613,61084.0
2025-02-25,75.163,74.123,75.163,74.083,40965.0
2025-02-26,74.123,74.603,74.763,74.093,37429.0
2025-02-27,74.513,75.173,75.543,74.313,56963.0
2025-02-28,75.113,73.573,75.973,73.523,90279.0
2025-03-03,73.613,73.323,75.263,73.113,72739.0
2025-03-04,73.203,72.393,73.203,72.023,66852.0
2025-03-05,72.333,72.653,72.803,71.963,38018.0
2025-03-06,72.813,73.333,73.533,72.513,54096.0
2025-03-07,73.113,74.043,74.233,72.893,63086.0
2025-03-10,73.743,73.593,74.063,73.363,43182.0
2025-03-11,73.143,74.493,74.493,73.033,63394.0
2025-03-12,74.503,73.053,74.713,73.033,102165.0
2025-03-13,73.113,72.883,73.613,72.753,50101.0
2025-03-14,72.913,75.233,76.063,72.913,189962.0
2025-03-17,75.613,75.123,75.963,74.713,95067.0
2025-03-18,75.393,74.573,75.473,74.393,62674.0
2025-03-19,74.633,74.463,75.143,74.233,46579.0
2025-03-20,74.443,73.843,74.463,73.773,58798.0
2025-03-21,73.843,73.503,74.523,73.303,68804.0
2025-03-24,73.513,73.113,73.693,72.713,59516.0
2025-03-25,73.113,73.243,73.313,72.783,46341.0
2025-03-26,73.093,73.233,73.313,72.913,36072.0
2025-03-27,73.003,73.533,73.713,72.793,41200.0
2025-03-28,73.463,73.163,73.693,72.943,33348.0
2025-03-31,73.033,72.463,73.343,72.313,42651.0
2025-04-01,72.703,72.613,72.883,72.383,31384.0
2025-04-02,72.613,72.623,72.793,72.423,22205.0
2025-04-03,72.333,72.963,73.333,72.193,39201.0
2025-04-07,71.363,69.613,71.793,68.413,137724.0
2025-04-08,69.803,70.673,70.873,69.443,98266.0
2025-04-09,69.993,71.813,72.113,69.943,84503.0
2025-04-10,71.903,71.603,72.103,71.093,73116.0
2025-04-11,71.213,70.303,71.243,69.963,84732.0
2025-04-14,70.413,69.833,70.633,69.613,93246.0
2025-04-15,69.603,69.663,69.693,69.223,64733.0
2025-04-16,69.503,69.223,69.513,68.543,79896.0
2025-04-17,68.713,69.593,69.783,68.613,55079.0
2025-04-18,69.393,69.463,69.703,68.833,38635.0
2025-04-21,69.363,69.253,69.463,69.153,33040.0
2025-04-22,69.173,69.093,69.393,68.943,35161.0
2025-04-23,69.213,68.953,69.313,68.813,48077.0
2025-04-24,68.993,68.583,69.103,68.483,53195.0
2025-04-25,68.583,68.653,68.963,68.553,36708.0
2025-04-28,68.663,67.913,68.713,67.833,51664.0
2025-04-29,63.233,65.043,65.643,63.233,132708.0
2025-04-30,64.943,64.813,65.393,64.733,60388.0
2025-05-06,64.913,65.003,65.273,64.223,69885.0
2025-05-07,65.523,65.313,66.033,65.013,55013.0
2025-05-08,65.013,65.383,65.763,64.893,51139.0
2025-05-09,65.313,65.013,65.503,65.003,44278.0
2025-05-12,65.213,65.203,65.343,64.973,41081.0
2025-05-13,65.463,65.433,65.563,65.223,41665.0
2025-05-14,65.423,65.943,66.683,65.013,68932.0
2025-05-15,65.763,65.093,66.043,65.093,46167.0
2025-05-16,65.093,64.523,65.293,64.473,47503.0
2025-05-19,64.013,63.933,64.163,63.573,52636.0
2025-05-20,63.943,64.313,64.603,63.913,40575.0
2025-05-21,64.243,64.343,64.613,64.213,32094.0
2025-05-22,64.323,63.963,64.383,63.913,36313.0
2025-05-23,63.973,63.543,64.363,63.513,44979.0
2025-05-26,63.393,62.913,63.453,62.623,68165.0
2025-05-27,62.813,62.593,63.313,62.443,43430.0
2025-05-28,62.603,61.873,62.663,61.753,76004.0
2025-05-29,61.803,62.243,62.243,61.213,63888.0
2025-05-30,62.013,61.913,62.293,61.773,40710.0
2025-06-03,61.713,62.243,62.473,61.513,52025.0
2025-06-04,62.273,62.703,62.903,62.273,43175.0
2025-06-05,62.793,62.863,63.113,62.553,41306.0
2025-06-06,62.863,63.333,63.513,62.683,51347.0
2025-06-09,63.213,63.143,63.403,63.043,39330.0
