date,open,close,high,low,volume
2025-01-02,177.19,171.92,177.94,170.94,89257.0
2025-01-03,171.94,171.94,174.52,170.94,56724.0
2025-01-06,170.03,168.14,171.64,166.44,69795.0
2025-01-07,168.15,167.88,170.12,166.5,37305.0
2025-01-08,167.91,165.51,168.93,164.04,48095.0
2025-01-09,165.52,167.05,170.09,164.03,51512.0
2025-01-10,166.94,165.33,168.01,164.62,41460.0
2025-01-13,164.67,167.5,168.6,164.15,58594.0
2025-01-14,167.94,174.8,174.93,167.53,76972.0
2025-01-15,173.99,174.19,175.44,171.35,41510.0
2025-01-16,174.74,172.24,176.44,170.94,38740.0
2025-01-17,171.82,172.5,175.87,171.82,48994.0
2025-01-20,174.16,176.24,178.92,174.16,65130.0
2025-01-21,176.94,173.74,177.09,172.88,39771.0
2025-01-22,173.01,170.36,173.19,168.8,40931.0
2025-01-23,171.94,171.02,174.41,169.96,48177.0
2025-01-24,169.74,170.16,172.19,169.2,40116.0
2025-01-27,170.2,168.4,171.23,167.8,43271.0
2025-02-05,168.4,166.15,170.39,165.3,41893.0
2025-02-06,166.15,167.83,169.28,165.73,40097.0
2025-02-07,167.85,170.39,171.57,165.62,60957.0
2025-02-10,170.9,172.79,173.32,169.24,55068.0
2025-02-11,172.79,171.4,174.6,171.13,41371.0
2025-02-12,171.4,176.66,176.9,170.87,58353.0
2025-02-13,177.4,188.83,190.45,176.67,164671.0
2025-02-14,186.38,186.52,189.3,183.57,71362.0
2025-02-17,184.6,189.38,191.0,184.6,74662.0
2025-02-18,188.9,184.75,189.9,183.46,57767.0
2025-02-19,183.97,186.17,186.36,182.6,46601.0
2025-02-20,185.56,187.05,188.8,184.48,50268.0
2025-02-21,187.0,189.66,190.79,185.5,59682.0
2025-02-24,188.6,195.31,198.37,188.4,101743.0
2025-02-25,193.45,190.5,194.9,189.6,46154.0
2025-02-26,190.8,195.64,195.98,190.1,61759.0
2025-02-27,195.14,201.1,204.36,194.4,117743.0
2025-02-28,200.4,200.08,206.3,199.64,87646.0
2025-03-03,200.08,193.37,203.07,192.28,73474.0
2025-03-04,192.0,192.29,193.38,188.8,39545.0
2025-03-05,192.29,193.01,194.89,189.93,37582.0
2025-03-06,193.17,197.28,197.78,193.1,56774.0
2025-03-07,196.9,201.87,203.05,194.9,60492.0
2025-03-10,201.8,202.41,203.4,199.4,40934.0
2025-03-11,201.26,213.4,213.4,200.25,102566.0
2025-03-12,213.4,210.5,216.12,208.73,63644.0
2025-03-13,210.5,212.3,216.38,209.91,55437.0
2025-03-14,213.79,219.25,222.42,212.17,115029.0
2025-03-17,223.7,225.33,225.33,215.5,121898.0
2025-03-18,224.4,221.21,225.23,218.11,71951.0
2025-03-19,219.1,218.62,223.74,217.6,52119.0
2025-03-20,218.28,214.96,218.6,212.51,66603.0
2025-03-21,214.4,213.4,216.39,210.7,52981.0
2025-03-24,209.06,209.6,210.9,205.09,78938.0
2025-03-25,209.6,208.88,210.28,204.9,44710.0
2025-03-26,209.37,209.24,214.4,208.87,44101.0
2025-03-27,208.9,214.07,215.9,206.49,42974.0
2025-03-28,214.32,213.61,215.05,210.93,36511.0
2025-03-31,213.62,210.68,214.28,206.9,39333.0
2025-04-01,210.59,208.83,212.16,208.47,22158.0
2025-04-02,207.89,209.2,210.5,207.45,20658.0
2025-04-03,206.4,214.55,216.2,206.4,53982.0
2025-04-07,206.4,212.9,213.4,201.94,94480.0
2025-04-08,211.4,212.9,212.9,204.44,89428.0
2025-04-09,209.4,219.03,219.03,208.7,74654.0
2025-04-10,218.4,218.4,218.41,212.97,58872.0
2025-04-11,218.4,217.39,220.33,212.4,51924.0
