vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,贵州茅台2012年至2015年各季度营业收入、归母净利润、预收账款,1,财务报表,,,"|股票名称|股票代码|财务科目名称|财务科目代码|财务科目层级|财务科目父级名称|财务科目父级代码|时间|报告期|核算方式|财务科目数额|展示单位|同比(%)|环比(%)|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|贵州茅台|600519|预收款项|AdvanceReceipts|1级|负债|-|2015-12-31|年报|累计值|82.62|亿元|459.64|-|资产负债表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-12-31|年报|累计值|326.60|亿元|3.44|-|利润表|
|贵州茅台|600519|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2015-12-31|年报|累计值|326.54|亿元|3.42|-|利润表|
|贵州茅台|600519|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2015-12-31|年报|累计值|0.06|亿元|426.03|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-12-31|年报|累计值|155.03|亿元|1.00|-|利润表|
|贵州茅台|600519|预收款项|AdvanceReceipts|1级|负债|-|2015-09-30|三季报|累计值|56.06|亿元|549.50|-|资产负债表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-09-30|三季报|累计值|231.49|亿元|6.59|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-09-30|三季报|累计值|114.25|亿元|6.84|-|利润表|
|贵州茅台|600519|预收款项|AdvanceReceipts|1级|负债|-|2015-06-30|半年报|累计值|23.37|亿元|329.44|-|资产负债表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-06-30|半年报|累计值|157.79|亿元|10.17|-|利润表|
|贵州茅台|600519|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2015-06-30|半年报|累计值|157.78|亿元|10.17|-|利润表|
