date,mktcap,pe_lyr,pe_ttm,pb
2016-01-04,2638.27,17.19,16.41,4.41
2016-01-05,2673.44,17.42,16.62,4.47
2016-01-06,2665.4,17.36,16.57,4.45
2016-01-07,2540.41,16.55,15.8,4.24
2016-01-08,2570.56,16.75,15.98,4.3
2016-01-11,2510.64,16.36,15.61,4.2
2016-01-12,2472.07,16.1,15.37,4.13
2016-01-13,2509.63,16.35,15.61,4.19
2016-01-14,2572.94,16.76,16.0,4.3
2016-01-15,2499.83,16.29,15.55,4.18
2016-01-18,2505.24,16.32,15.58,4.19
2016-01-19,2641.03,17.21,16.42,4.41
2016-01-20,2541.54,16.56,15.8,4.25
2016-01-21,2515.66,16.39,15.64,4.2
2016-01-22,2546.82,16.59,15.84,4.26
2016-01-25,2547.19,16.59,15.84,4.26
2016-01-26,2499.96,16.29,15.55,4.18
2016-01-27,2511.52,16.36,15.62,4.2
2016-01-28,2470.19,16.09,15.36,4.13
2016-01-29,2520.56,16.42,15.67,4.21
2016-02-01,2528.6,16.47,15.72,4.22
2016-02-02,2569.55,16.74,15.98,4.29
2016-02-03,2558.37,16.67,15.91,4.27
2016-02-04,2575.08,16.78,16.01,4.3
2016-02-05,2561.01,16.68,15.93,4.28
2016-02-15,2517.55,16.4,15.66,4.21
2016-02-16,2561.64,16.69,15.93,4.28
2016-02-17,2541.29,16.56,15.8,4.25
2016-02-18,2533.88,16.51,15.76,4.23
2016-02-19,2551.46,16.62,15.87,4.26
2016-02-22,2610.38,17.01,16.23,4.36
2016-02-23,2668.29,17.38,16.59,4.46
2016-02-24,2735.25,17.82,17.01,4.57
2016-02-25,2668.29,17.38,16.59,4.46
2016-02-26,2723.94,17.75,16.94,4.55
2016-02-29,2699.69,17.59,16.79,4.51
2016-03-01,2743.79,17.88,17.06,4.58
2016-03-02,2816.65,18.35,17.52,4.71
2016-03-03,2861.74,18.64,17.8,4.78
2016-03-04,2999.55,19.54,18.65,5.01
2016-03-07,2934.98,19.12,18.25,4.9
2016-03-08,2879.33,18.76,17.91,4.81
2016-03-09,2857.1,18.61,17.77,4.77
2016-03-10,2864.88,18.66,17.82,4.79
2016-03-11,2864.76,18.66,17.81,4.79
2016-03-14,2821.04,18.38,17.54,4.71
2016-03-15,2913.37,18.98,18.12,4.87
2016-03-16,2871.79,18.71,17.86,4.8
2016-03-17,2883.73,18.79,17.93,4.82
2016-03-18,2839.01,18.5,17.65,4.74
2016-03-21,2914.13,18.98,18.12,4.87
2016-03-22,2945.66,19.19,18.32,4.92
2016-03-23,2951.69,19.23,18.36,4.93
2016-03-24,3048.29,19.66,19.66,4.77
2016-03-25,3077.43,19.85,19.85,4.81
2016-03-28,3135.22,20.22,20.22,4.9
2016-03-29,3116.75,20.1,20.1,4.88
2016-03-30,3123.66,20.15,20.15,4.89
2016-03-31,3110.85,20.07,20.07,4.87
2016-04-01,3078.82,19.86,19.86,4.82
2016-04-05,3084.22,19.89,19.89,4.82
2016-04-06,3231.07,20.84,20.84,5.05
2016-04-07,3192.12,20.59,20.59,4.99
2016-04-08,3138.74,20.25,20.25,4.91
2016-04-11,3061.61,19.75,19.75,4.79
2016-04-12,3076.68,19.85,19.85,4.81
2016-04-13,3043.01,19.63,19.63,4.76
2016-04-14,3049.55,19.67,19.67,4.77
2016-04-15,3076.43,19.84,19.84,4.81
2016-04-18,3061.1,19.75,19.75,4.79
2016-04-19,3054.82,19.7,19.7,4.78
2016-04-20,2995.28,19.32,19.32,4.69
2016-04-21,3019.52,19.48,18.84,4.39
2016-04-22,3107.83,20.05,19.39,4.52
2016-04-25,3071.65,19.81,19.16,4.46
2016-04-26,3063.36,19.76,19.11,4.45
2016-04-27,3076.18,19.84,19.19,4.47
2016-04-28,3095.77,19.97,19.32,4.5
2016-04-29,3155.57,20.35,19.69,4.59
2016-05-03,3266.11,21.07,20.38,4.75
2016-05-04,3218.5,20.76,20.08,4.68
2016-05-05,3238.1,20.89,20.2,4.71
2016-05-06,3168.38,20.44,19.77,4.6
2016-05-09,3150.8,20.32,19.66,4.58
2016-05-10,3166.62,20.43,19.76,4.6
2016-05-11,3226.8,20.81,20.13,4.69
