trade_date,wind_code,open,high,low,close,volume,amt
2012-01-04,801120.SI,5174.44,5176.92,4966.04,4967.09,159200000,3661170000
2012-01-05,801120.SI,4931.99,4939.24,4852.64,4878.25,155850000,3189970000
2012-01-06,801120.SI,4866.24,4927.35,4830.43,4922.14,135380000,2728050000
2012-01-09,801120.SI,4922.48,5007.62,4816.9,5007.18,199800000,3864650000
2012-01-10,801120.SI,4985.94,5184.29,4969.4,5179.82,375800000,7092160000
2012-01-11,801120.SI,5158.11,5178.97,5123.62,5152.88,355820000,6870100000
2012-01-12,801120.SI,5129.39,5188.21,5124.02,5125.89,265940000,5129680000
2012-01-13,801120.SI,5134.15,5155.21,5007.54,5038.69,284170000,5245000000
2012-01-16,801120.SI,4995.11,4998.95,4779.58,4792.88,219900000,4981420000
2012-01-17,801120.SI,4793.37,4976.75,4700.75,4952.36,287700000,6190430000
2012-01-18,801120.SI,4957.47,4985.19,4786.27,4799.08,305240000,5494320000
2012-01-19,801120.SI,4797.78,4910.99,4760.9,4873.24,259660000,4257980000
2012-01-20,801120.SI,4894.29,5008.18,4891.32,5002.76,238620000,4381190000
2012-01-30,801120.SI,5012.95,5014.41,4919.49,4945.48,206550000,4199190000
2012-01-31,801120.SI,4951.22,5000.59,4947.87,5000.59,252100000,4139760000
2012-02-01,801120.SI,4991.31,5075.99,4967.93,5005.97,270880000,4830620000
2012-02-02,801120.SI,5014.91,5051.52,4975.25,5047.6,219160000,4101740000
2012-02-03,801120.SI,5036.81,5087.22,4998.48,5076.97,285200000,4918620000
2012-02-06,801120.SI,5075.91,5158.52,5073.36,5157.55,305440000,5161150000
2012-02-07,801120.SI,5129.81,5139.17,5064.4,5093.16,292940000,3994860000
2012-02-08,801120.SI,5083.33,5211.85,5072.19,5196.81,362790000,5706450000
2012-02-09,801120.SI,5188.52,5254.9,5181.4,5222.42,360170000,6080500000
2012-02-10,801120.SI,5201.35,5258.34,5190.85,5244.25,306640000,5727980000
2012-02-13,801120.SI,5212.16,5352.51,5199.59,5317.41,331490000,6679940000
