vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,五粮液2012年至2015年各季度营业收入、归母净利润、预收账款,1,财务报表,,,"|股票名称|股票代码|财务科目名称|财务科目代码|财务科目层级|财务科目父级名称|财务科目父级代码|时间|报告期|核算方式|财务科目数额|展示单位|同比(%)|环比(%)|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2015-12-31|年报|累计值|19.94|亿元|132.36|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-12-31|年报|累计值|216.59|亿元|3.08|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2015-12-31|年报|累计值|215.54|亿元|3.07|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2015-12-31|年报|累计值|1.06|亿元|6.71|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-12-31|年报|累计值|61.76|亿元|5.85|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2015-09-30|三季报|累计值|6.56|亿元|-54.11|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-09-30|三季报|累计值|151.31|亿元|0.42|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-09-30|三季报|累计值|46.03|亿元|-2.22|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2015-06-30|半年报|累计值|6.22|亿元|-47.71|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-06-30|半年报|累计值|112.15|亿元|-3.83|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2015-06-30|半年报|累计值|111.65|亿元|-3.92|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2015-06-30|半年报|累计值|0.50|亿元|19.73|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-06-30|半年报|累计值|32.98|亿元|-17.60|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2015-03-31|一季报|累计值|7.78|亿元|-50.31|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2015-03-31|一季报|累计值|67.35|亿元|0.23|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2015-03-31|一季报|累计值|22.01|亿元|-15.97|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2014-12-31|年报|累计值|8.58|亿元|4.05|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2014-12-31|年报|累计值|210.11|亿元|-15.00|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2014-12-31|年报|累计值|209.12|亿元|-14.84|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2014-12-31|年报|累计值|0.99|亿元|-38.76|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2014-12-31|年报|累计值|58.35|亿元|-26.81|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2014-09-30|三季报|累计值|14.30|亿元|9.20|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2014-09-30|三季报|累计值|150.68|亿元|-21.38|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2014-09-30|三季报|累计值|47.07|亿元|-33.74|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2014-06-30|半年报|累计值|11.89|亿元|-64.88|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2014-06-30|半年报|累计值|116.63|亿元|-24.85|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2014-06-30|半年报|累计值|116.20|亿元|-24.92|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2014-06-30|半年报|累计值|0.42|亿元|-1.23|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2014-06-30|半年报|累计值|40.02|亿元|-30.90|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2014-03-31|一季报|累计值|15.67|亿元|-59.45|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2014-03-31|一季报|累计值|67.20|亿元|-22.54|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2014-03-31|一季报|累计值|26.19|亿元|-27.79|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2013-12-31|年报|累计值|8.25|亿元|-87.25|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2013-12-31|年报|累计值|247.19|亿元|-9.13|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2013-12-31|年报|累计值|245.57|亿元|-9.18|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2013-12-31|年报|累计值|1.62|亿元|-0.34|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2013-12-31|年报|累计值|79.73|亿元|-19.75|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2013-09-30|三季报|累计值|13.10|亿元|-79.89|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2013-09-30|三季报|累计值|191.66|亿元|-9.28|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2013-09-30|三季报|累计值|71.04|亿元|-8.95|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2013-06-30|半年报|累计值|33.86|亿元|-54.73|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2013-06-30|半年报|累计值|155.20|亿元|3.12|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2013-06-30|半年报|累计值|154.77|亿元|3.06|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2013-06-30|半年报|累计值|0.43|亿元|31.71|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2013-06-30|半年报|累计值|57.91|亿元|14.76|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2013-03-31|一季报|累计值|38.63|亿元|-50.41|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2013-03-31|一季报|累计值|86.76|亿元|5.41|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2013-03-31|一季报|累计值|36.27|亿元|18.91|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2012-12-31|年报|累计值|64.67|亿元|-28.51|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2012-12-31|年报|累计值|272.01|亿元|33.66|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2012-12-31|年报|累计值|270.39|亿元|34.10|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2012-12-31|年报|累计值|1.62|亿元|-13.11|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2012-12-31|年报|累计值|99.35|亿元|61.35|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2012-09-30|三季报|累计值|65.11|亿元|-17.58|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2012-09-30|三季报|累计值|211.27|亿元|35.00|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2012-09-30|三季报|累计值|78.02|亿元|61.92|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2012-06-30|半年报|累计值|74.80|亿元|-9.24|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2012-06-30|半年报|累计值|150.50|亿元|42.05|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2012-06-30|半年报|累计值|150.17|亿元|41.82|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2012-06-30|半年报|累计值|0.32|亿元|486.56|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2012-06-30|半年报|累计值|50.46|亿元|50.07|-|利润表|
|五粮液|000858|预收款项|AdvanceReceipts|1级|负债|-|2012-03-31|一季报|累计值|77.90|亿元|1.71|-|资产负债表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2012-03-31|一季报|累计值|82.31|亿元|31.81|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2012-03-31|一季报|累计值|30.50|亿元|46.54|-|利润表|",2026-07-18T11:31:05.642657+08:00
