vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,五粮液2016年1月至今每月末市盈率PE-TTM,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|五粮液|000858.SZ|2026-07-17|2824.26|2824.19|31.54|22.41|2.21|2.4|9.51|24.94|6.97|6.1|11.44|7.09|-94.42|2827.65|1585.06|14.66|
|五粮液|000858.SZ|2026-07-16|2868.51|2868.44|32.04|22.76|2.24|2.44|9.66|25.34|7.08|6.2|11.26|6.98|-95.9|2871.9|1629.31|15.07|
|五粮液|000858.SZ|2026-07-15|2965.55|2965.48|33.12|23.53|2.32|2.32|9.98|26.19|7.32|6.41|10.89|7.52|-99.14|2968.94|1726.35|15.97|
|五粮液|000858.SZ|2026-07-14|2849.1|2849.03|31.82|22.61|2.23|2.23|9.59|25.16|7.03|6.16|11.34|7.83|-95.25|2852.49|1609.9|14.89|
|五粮液|000858.SZ|2026-07-13|2826.59|2826.52|31.57|22.43|2.21|2.21|9.52|24.97|6.97|6.11|11.43|7.89|-94.5|2829.98|1587.39|14.69|
|五粮液|000858.SZ|2026-07-10|2860.36|2860.29|31.94|22.7|2.23|2.24|9.63|25.26|7.06|6.18|11.29|7.8|-95.63|2863.75|1621.16|15|
|五粮液|000858.SZ|2026-07-09|2752.06|2751.99|30.73|21.84|2.15|2.15|9.26|24.31|6.79|5.95|11.74|8.11|-92.01|2755.45|1512.86|14|
|五粮液|000858.SZ|2026-07-08|2774.57|2774.51|30.99|22.02|2.17|2.17|9.34|24.51|6.85|6|11.64|8.04|-92.76|2777.96|1535.37|14.2|
|五粮液|000858.SZ|2026-07-07|2783.89|2783.82|31.09|22.09|2.17|2.18|9.37|24.59|6.87|6.02|11.6|8.01|-93.07|2787.28|1544.69|14.29|
|五粮液|000858.SZ|2026-07-06|2863.07|2863|31.97|22.72|2.24|2.24|9.64|25.29|7.06|6.19|11.28|7.79|-95.72|2866.46|1623.87|15.02|
|五粮液|000858.SZ|2026-07-03|2841.73|2841.66|31.74|22.55|2.22|2.22|9.57|25.1|7.01|6.14|11.37|7.85|-95|2845.11|1602.52|14.83|
|五粮液|000858.SZ|2026-07-02|2852.98|2852.91|31.86|22.64|2.23|2.23|9.6|25.2|7.04|6.16|11.32|7.82|-95.38|2856.37|1613.78|14.93|
