date,pe_lyr,pe_ttm,pb
2016-01-04,16.7,17.0,2.33
2016-01-05,16.91,17.22,2.36
2016-01-06,17.29,17.61,2.42
2016-01-07,16.45,16.75,2.3
2016-01-08,16.86,17.16,2.36
2016-01-11,15.66,15.94,2.19
2016-01-12,15.67,15.95,2.19
2016-01-13,15.69,15.97,2.19
2016-01-14,15.81,16.1,2.21
2016-01-15,15.35,15.63,2.15
2016-01-18,15.57,15.86,2.18
2016-01-19,16.21,16.5,2.26
2016-01-20,16.01,16.3,2.24
2016-01-21,15.64,15.92,2.19
2016-01-22,15.67,15.95,2.19
2016-01-25,15.9,16.19,2.22
2016-01-26,15.32,15.6,2.14
2016-01-27,14.93,15.2,2.09
2016-01-28,14.75,15.02,2.06
2016-01-29,15.39,15.67,2.15
2016-02-01,15.63,15.91,2.18
2016-02-02,15.74,16.03,2.2
2016-02-03,15.8,16.09,2.21
2016-02-04,15.82,16.11,2.21
2016-02-05,15.41,15.69,2.15
2016-02-15,15.14,15.41,2.12
2016-02-16,15.64,15.92,2.19
2016-02-17,15.57,15.86,2.18
2016-02-18,15.26,15.53,2.13
2016-02-19,15.16,15.43,2.12
2016-02-22,15.52,15.8,2.17
2016-02-23,15.61,15.9,2.18
2016-02-24,15.74,16.02,2.2
2016-02-25,15.01,15.29,2.1
2016-02-26,15.25,15.53,2.13
2016-02-29,14.61,14.88,2.04
2016-03-01,14.85,15.12,2.08
2016-03-02,15.53,15.81,2.17
2016-03-03,15.94,16.23,2.23
2016-03-04,16.37,16.67,2.29
2016-03-07,16.5,16.8,2.31
2016-03-08,16.3,16.6,2.28
2016-03-09,16.13,16.42,2.25
2016-03-10,16.36,16.65,2.29
2016-03-11,16.52,16.82,2.31
2016-03-14,16.56,16.86,2.31
2016-03-15,16.6,16.9,2.32
2016-03-16,16.45,16.75,2.3
2016-03-17,16.59,16.89,2.32
2016-03-18,16.98,17.29,2.37
2016-03-21,17.17,17.49,2.4
2016-03-22,17.22,17.53,2.41
2016-03-23,17.14,17.45,2.39
2016-03-24,17.37,17.69,2.43
2016-03-25,17.73,18.05,2.48
2016-03-28,17.26,17.26,2.46
2016-03-29,17.21,17.21,2.45
2016-03-30,17.28,17.28,2.46
2016-03-31,17.28,17.28,2.46
2016-04-01,17.2,17.2,2.45
2016-04-05,17.26,17.26,2.46
2016-04-06,17.57,17.57,2.5
2016-04-07,17.08,17.08,2.43
2016-04-08,16.75,16.75,2.39
2016-04-11,16.74,16.74,2.39
2016-04-12,16.72,16.72,2.38
2016-04-13,16.82,16.82,2.4
2016-04-14,16.97,16.97,2.42
2016-04-15,17.02,17.02,2.43
2016-04-18,16.59,16.59,2.36
2016-04-19,16.4,16.4,2.34
2016-04-20,16.1,16.1,2.3
2016-04-21,16.15,16.15,2.3
2016-04-22,16.47,16.47,2.35
2016-04-25,16.68,16.68,2.38
2016-04-26,16.78,16.78,2.39
2016-04-27,17.03,17.03,2.43
2016-04-28,16.92,16.92,2.41
2016-04-29,17.46,15.67,2.33
2016-05-03,19.05,17.11,2.55
2016-05-04,18.84,16.92,2.52
2016-05-05,18.68,16.78,2.5
2016-05-06,18.01,16.18,2.41
2016-05-09,17.99,16.15,2.4
2016-05-10,18.27,16.4,2.44
2016-05-11,18.64,16.73,2.49
2016-05-12,18.5,16.61,2.47
2016-05-13,18.36,16.49,2.45
2016-05-16,18.33,16.46,2.45
2016-05-17,18.04,16.2,2.41
2016-05-18,17.95,16.11,2.4
2016-05-19,17.85,16.03,2.39
2016-05-20,18.09,16.25,2.42
2016-05-23,18.43,16.55,2.46
2016-05-24,18.13,16.28,2.42
2016-05-25,17.77,15.96,2.37
2016-05-26,17.75,15.94,2.37
2016-05-27,17.74,15.93,2.37
2016-05-30,17.7,15.89,2.36
2016-05-31,18.46,16.57,2.47
2016-06-01,18.39,16.51,2.46
2016-06-02,18.61,16.71,2.49
2016-06-03,19.26,17.29,2.57
2016-06-06,19.13,17.17,2.56
2016-06-07,19.25,17.28,2.57
2016-06-08,18.87,16.94,2.52
2016-06-13,18.43,16.55,2.46
2016-06-14,18.68,16.78,2.5
2016-06-15,19.27,17.3,2.57
2016-06-16,19.15,17.2,2.56
2016-06-17,20.1,18.05,2.69
2016-06-20,19.76,17.74,2.64
2016-06-21,19.53,17.54,2.61
2016-06-22,19.66,17.65,2.63
2016-06-23,19.64,17.64,2.62
2016-06-24,19.18,17.22,2.56
2016-06-27,19.82,17.79,2.65
2016-06-28,19.83,17.81,2.65
2016-06-29,19.78,17.76,2.64
2016-06-30,19.99,17.95,2.67
2016-07-01,19.9,17.86,2.66
2016-07-04,19.96,17.92,2.67
2016-07-05,20.28,18.21,2.71
2016-07-06,21.76,19.54,2.91
2016-07-07,21.4,19.22,2.86
2016-07-08,21.94,19.7,2.93
2016-07-11,22.95,20.61,3.07
2016-07-12,23.4,21.01,3.13
2016-07-13,23.0,20.65,3.07
2016-07-14,22.81,20.49,3.05
2016-07-15,22.83,20.5,3.05
2016-07-18,22.75,20.43,3.04
2016-07-19,21.8,19.57,2.91
2016-07-20,21.67,19.46,2.9
2016-07-21,21.9,19.66,2.93
2016-07-22,21.46,19.27,2.87
2016-07-25,21.29,19.12,2.84
2016-07-26,21.89,19.65,2.92
2016-07-27,21.56,19.36,2.88
2016-07-28,22.0,19.75,2.94
2016-07-29,22.23,19.96,2.97
2016-08-01,21.41,19.22,2.86
2016-08-02,21.29,19.12,2.84
2016-08-03,21.47,19.28,2.87
2016-08-04,21.45,19.26,2.87
2016-08-05,21.16,19.0,2.83
2016-08-08,21.18,19.02,2.83
2016-08-09,21.73,19.51,2.9
2016-08-10,21.49,19.29,2.87
2016-08-11,21.83,19.6,2.92
2016-08-12,21.92,19.68,2.93
2016-08-15,22.5,20.2,3.01
2016-08-16,22.25,19.98,2.97
2016-08-17,22.46,20.17,3.0
2016-08-18,22.1,19.84,2.95
2016-08-19,21.89,19.66,2.92
2016-08-22,22.01,19.76,2.94
2016-08-23,21.73,19.51,2.9
2016-08-24,21.53,19.65,3.01
2016-08-25,21.38,19.52,2.99
2016-08-26,21.25,19.4,2.97
2016-08-29,21.21,19.36,2.97
2016-08-30,21.35,19.49,2.98
2016-08-31,21.46,19.59,3.0
2016-09-01,21.09,19.25,2.95
2016-09-02,20.8,18.99,2.91
2016-09-05,20.9,19.08,2.92
2016-09-06,21.11,19.27,2.95
2016-09-07,20.78,18.97,2.9
2016-09-08,20.64,18.84,2.89
2016-09-09,20.53,18.74,2.87
2016-09-12,19.74,18.02,2.76
2016-09-13,19.94,18.21,2.79
2016-09-14,19.74,18.02,2.76
2016-09-19,20.0,18.26,2.8
2016-09-20,19.99,18.25,2.8
2016-09-21,20.09,18.34,2.81
2016-09-22,20.58,18.79,2.88
2016-09-23,20.45,18.67,2.86
2016-09-26,19.84,18.11,2.77
2016-09-27,19.99,18.25,2.79
2016-09-28,19.86,18.13,2.78
2016-09-29,20.09,18.34,2.81
2016-09-30,20.5,18.72,2.87
2016-10-10,20.69,18.89,2.89
2016-10-11,20.57,18.78,2.88
2016-10-12,20.58,18.79,2.88
2016-10-13,20.31,18.54,2.84
2016-10-14,20.36,18.59,2.85
2016-10-17,20.47,18.68,2.86
2016-10-18,20.83,19.02,2.91
2016-10-19,20.77,18.96,2.9
2016-10-20,20.68,18.87,2.89
2016-10-21,20.63,18.84,2.88
2016-10-24,20.72,18.91,2.9
2016-10-25,21.1,19.26,2.95
2016-10-26,21.47,19.6,3.0
2016-10-27,21.3,19.44,2.98
2016-10-28,21.71,20.09,2.95
2016-10-31,21.5,19.89,2.93
