date,open,close,high,low,vol
2025-07-01,20.61,20.68,20.71,20.51,173797.0
2025-07-02,20.68,20.98,21.08,20.65,222877.0
2025-07-03,20.95,21.03,21.09,20.81,148976.0
2025-07-04,21.05,20.79,21.05,20.68,157831.0
2025-07-07,20.8,20.97,20.99,20.49,156495.0
2025-07-08,20.96,21.12,21.25,20.91,171222.0
2025-07-09,21.15,20.99,21.17,20.9,130599.0
2025-07-10,21.01,21.54,21.56,20.93,298104.0
2025-07-11,21.54,21.21,21.58,21.19,239078.0
2025-07-14,21.3,21.3,21.54,21.18,181101.0
2025-07-15,21.3,21.47,21.86,21.3,312608.0
2025-07-16,21.45,21.3,21.61,21.27,178320.0
2025-07-17,21.31,21.13,21.42,21.06,237111.0
2025-07-18,21.12,21.68,21.75,21.12,327888.0
2025-07-21,21.85,23.05,23.12,21.85,671184.0
2025-07-22,23.07,23.65,23.67,22.94,496217.0
2025-07-23,23.79,23.48,24.19,23.43,429994.0
2025-07-24,23.31,23.35,23.52,22.99,333908.0
2025-07-25,23.48,23.35,23.76,23.31,275971.0
2025-07-28,23.12,23.3,23.4,22.89,224226.0
2025-07-29,23.24,23.11,23.33,22.75,213559.0
2025-07-30,23.02,23.8,24.15,23.02,378024.0
2025-07-31,23.6,23.26,23.83,23.22,235694.0
2025-08-01,23.23,22.82,23.39,22.77,186809.0
2025-08-04,22.67,22.86,23.1,22.6,148140.0
2025-08-05,22.92,22.84,23.01,22.75,158652.0
2025-08-06,22.85,23.16,23.34,22.84,162531.0
2025-08-07,23.2,23.04,23.43,22.9,141702.0
2025-08-08,23.06,23.42,23.43,23.01,193484.0
2025-08-11,23.59,23.5,23.78,23.27,240606.0
2025-08-12,23.49,23.9,24.26,23.38,271859.0
2025-08-13,24.08,24.31,24.5,23.82,255044.0
2025-08-14,24.38,23.86,24.38,23.76,181905.0
2025-08-15,23.8,24.62,24.9,23.73,321931.0
2025-08-18,24.78,24.42,24.95,24.36,293814.0
2025-08-19,24.5,24.2,24.54,24.04,239565.0
2025-08-20,24.78,25.55,25.89,24.71,490908.0
2025-08-21,25.5,25.19,25.67,25.14,362776.0
2025-08-22,25.29,25.06,25.41,24.85,398577.0
2025-08-25,25.36,25.81,25.91,25.22,390680.0
2025-08-26,25.83,26.52,26.97,25.66,407300.0
2025-08-27,26.37,25.79,26.52,25.79,333189.0
2025-08-28,25.79,25.8,26.04,25.18,293108.0
2025-08-29,25.98,25.81,26.15,25.6,373754.0
2025-09-01,25.65,25.94,26.34,25.55,335971.0
2025-09-02,26.08,25.6,26.08,25.27,326978.0
2025-09-03,25.64,25.06,25.85,24.92,265051.0
