date,open,close,high,low,vol
2025-07-01,28.08,28.44,28.59,28.01,250626.0
2025-07-02,28.46,28.42,28.73,28.23,195620.0
2025-07-03,28.37,27.78,28.44,27.57,216258.0
2025-07-04,27.85,27.75,28.0,27.74,124018.0
2025-07-07,27.96,27.96,28.2,27.79,125484.0
2025-07-08,27.94,28.23,28.39,27.9,164243.0
2025-07-09,28.82,26.99,28.9,26.93,566096.0
2025-07-10,26.99,26.19,27.13,26.14,420615.0
2025-07-11,26.25,26.16,26.59,26.15,305103.0
2025-07-14,26.3,26.62,26.72,26.3,241007.0
2025-07-15,26.65,26.55,26.84,26.42,173411.0
2025-07-16,26.52,26.59,26.7,26.38,129226.0
2025-07-17,26.44,26.39,26.62,26.29,202610.0
2025-07-18,26.39,26.36,26.39,25.67,345307.0
2025-07-21,26.29,26.48,26.51,26.04,223298.0
2025-07-22,26.45,26.94,26.97,26.45,273534.0
2025-07-23,26.94,26.89,27.12,26.76,181373.0
2025-07-24,26.8,26.62,26.84,26.34,223030.0
2025-07-25,26.62,26.36,26.7,26.08,204111.0
2025-07-28,26.39,26.05,26.39,25.94,219227.0
2025-07-29,25.99,25.86,26.18,25.83,183564.0
2025-07-30,25.78,26.24,26.41,25.55,270810.0
2025-07-31,26.05,26.21,26.79,26.01,280303.0
2025-08-01,26.17,26.37,26.94,26.14,335618.0
2025-08-04,26.6,26.82,27.29,26.6,357859.0
2025-08-05,26.95,26.8,27.04,26.61,182103.0
2025-08-06,26.86,27.0,27.07,26.72,264447.0
2025-08-07,26.95,27.85,27.94,26.94,426028.0
2025-08-08,27.87,27.9,28.19,27.8,197130.0
2025-08-11,28.04,27.58,28.13,27.46,260240.0
2025-08-12,27.58,28.39,28.5,27.52,339071.0
2025-08-13,28.49,28.46,29.09,28.27,358183.0
2025-08-14,28.59,28.08,28.79,28.05,287951.0
2025-08-15,28.06,29.3,29.52,28.06,428443.0
2025-08-18,30.44,30.64,31.63,29.84,853027.0
2025-08-19,31.11,30.57,31.56,30.09,618725.0
2025-08-20,30.42,30.67,30.92,30.09,369905.0
2025-08-21,30.79,30.75,31.57,30.61,372208.0
2025-08-22,30.69,32.44,32.55,30.46,634075.0
2025-08-25,33.13,34.13,35.7,32.26,925250.0
