date,open,close,high,low,vol
2025-07-01,52.78,52.73,53.24,52.68,161937.0
2025-07-02,52.73,52.96,53.74,52.55,314324.0
2025-07-03,52.97,53.31,53.73,52.75,263592.0
2025-07-04,53.32,52.84,53.41,52.66,226736.0
2025-07-07,52.84,53.05,53.73,52.68,186016.0
2025-07-08,53.05,54.05,54.54,52.76,369203.0
2025-07-09,54.08,53.19,54.19,53.11,265129.0
2025-07-10,53.2,55.16,55.55,53.2,671779.0
2025-07-11,54.93,54.47,55.27,54.47,401422.0
2025-07-14,54.48,54.0,54.8,53.98,263070.0
2025-07-15,54.0,53.77,54.2,53.25,245153.0
2025-07-16,53.75,53.59,53.84,53.46,155577.0
2025-07-17,53.64,53.9,54.08,53.47,223018.0
2025-07-18,54.27,58.47,58.71,54.06,1178913.0
2025-07-21,58.74,58.69,59.1,57.76,628163.0
2025-07-22,59.15,61.8,61.8,58.65,1030836.0
2025-07-23,61.75,60.58,62.03,60.41,682328.0
2025-07-24,60.0,61.26,61.46,59.99,510850.0
2025-07-25,61.33,61.73,63.39,61.32,546336.0
2025-07-28,60.75,61.35,61.71,60.3,398069.0
2025-07-29,61.36,60.71,61.9,60.58,307875.0
2025-07-30,61.31,62.59,63.7,61.27,662587.0
2025-07-31,62.55,61.06,62.55,60.57,515265.0
2025-08-01,60.15,59.67,60.63,59.41,393958.0
2025-08-04,59.15,59.23,59.53,58.67,255821.0
2025-08-05,59.33,59.74,60.0,59.25,227963.0
2025-08-06,59.74,59.83,60.11,59.32,197459.0
2025-08-07,59.94,59.37,60.3,58.99,224057.0
2025-08-08,59.55,59.55,60.21,59.05,209182.0
2025-08-11,59.82,60.21,60.55,59.75,263564.0
2025-08-12,59.83,61.65,63.24,59.65,633870.0
2025-08-13,61.66,61.73,61.91,61.06,313200.0
2025-08-14,61.74,61.26,62.22,60.8,306674.0
2025-08-15,60.9,61.74,62.4,60.85,309612.0
2025-08-18,61.8,61.46,62.45,61.38,395254.0
2025-08-19,61.65,60.94,62.95,60.88,381997.0
2025-08-20,60.94,61.79,61.84,60.32,337233.0
2025-08-21,61.91,64.35,64.75,61.91,785602.0
2025-08-22,64.6,65.92,66.23,64.16,564038.0
2025-08-25,66.0,66.92,67.52,65.35,513981.0
2025-08-26,66.92,68.38,69.53,66.47,556443.0
2025-08-27,68.39,66.8,68.99,66.8,487422.0
2025-08-28,66.59,66.88,67.9,65.25,485337.0
2025-08-29,66.89,67.35,67.87,66.81,361429.0
2025-09-01,67.35,67.77,68.6,66.75,403277.0
2025-09-02,67.77,66.02,67.96,65.7,385692.0
2025-09-03,66.02,65.64,66.71,64.65,284233.0
