date,open,close,high,low,vol
2025-07-01,56.456,57.266,57.516,56.026,25281.0
2025-07-02,57.276,57.066,57.616,56.646,18216.0
2025-07-03,56.946,57.046,57.356,56.446,19503.0
2025-07-04,57.116,56.486,57.116,55.866,19587.0
2025-07-07,56.396,57.296,57.526,56.336,23300.0
2025-07-08,57.296,56.326,57.866,55.946,44915.0
2025-07-09,56.816,57.476,58.356,56.166,31108.0
2025-07-10,57.476,57.466,58.456,57.216,22235.0
2025-07-11,57.446,58.186,58.616,57.186,24874.0
2025-07-14,57.946,57.626,58.316,57.496,14962.0
2025-07-15,57.386,57.416,58.116,57.166,14621.0
2025-07-16,57.366,57.846,58.266,56.826,17602.0
2025-07-17,57.666,58.026,58.566,57.546,12386.0
2025-07-18,58.226,59.496,59.596,58.076,23728.0
2025-07-21,59.776,59.716,60.866,58.946,25235.0
2025-07-22,59.466,60.846,60.946,59.196,20589.0
2025-07-23,60.926,60.336,61.666,60.136,31523.0
2025-07-24,63.336,62.436,64.586,60.146,52275.0
2025-07-25,62.996,67.196,68.486,62.936,101726.0
2025-07-28,69.046,68.546,69.496,66.346,69812.0
2025-07-29,68.446,69.166,69.186,65.046,55300.0
2025-07-30,68.356,67.646,69.926,66.716,43888.0
2025-07-31,67.136,65.076,67.486,64.096,54725.0
2025-08-01,64.766,66.996,67.106,64.766,49542.0
2025-08-04,66.846,66.896,68.496,66.156,58632.0
2025-08-05,67.036,65.106,67.186,64.596,51219.0
2025-08-06,65.236,65.266,65.526,64.406,38455.0
2025-08-07,65.326,63.736,65.826,63.646,37150.0
2025-08-08,64.026,63.736,65.396,63.256,54572.0
2025-08-11,63.846,64.716,65.026,62.936,40995.0
2025-08-12,64.636,64.046,65.146,63.946,20979.0
2025-08-13,64.146,63.916,64.336,63.546,20829.0
2025-08-14,63.946,63.676,65.026,63.646,21395.0
2025-08-15,63.486,63.986,64.406,63.356,20065.0
2025-08-18,64.156,63.686,64.826,63.346,43627.0
2025-08-19,63.446,62.846,64.476,62.656,40591.0
2025-08-20,62.836,64.546,64.616,62.756,33153.0
2025-08-21,64.446,68.036,69.426,64.156,78190.0
2025-08-22,67.516,68.926,69.026,66.426,47758.0
2025-08-25,68.246,70.296,70.816,67.446,47245.0
2025-08-26,70.236,71.806,73.376,70.056,58221.0
2025-08-27,71.806,72.716,74.296,70.906,42393.0
2025-08-28,72.176,73.226,74.916,71.366,37432.0
2025-08-29,73.046,72.496,73.886,71.916,42414.0
2025-09-01,72.376,73.596,74.346,71.626,42477.0
2025-09-02,73.486,71.886,74.336,70.726,31719.0
2025-09-03,71.846,71.156,72.346,70.706,19967.0
2025-09-04,71.086,70.526,71.796,69.446,24591.0
2025-09-05,70.956,71.646,71.846,69.646,23917.0
2025-09-08,71.326,76.186,76.926,70.836,50682.0
2025-09-09,75.446,76.046,78.236,75.446,42744.0
2025-09-10,75.666,73.806,76.736,73.066,34471.0
2025-09-11,73.046,74.246,74.466,72.736,24893.0
2025-09-12,74.246,74.226,75.546,73.246,20644.0
2025-09-15,74.226,72.896,74.236,72.636,18434.0
2025-09-16,72.846,72.956,74.616,71.876,26349.0
2025-09-17,72.736,71.236,73.496,71.066,32939.0
2025-09-18,71.236,70.946,72.826,70.146,33244.0
2025-09-19,70.966,70.226,71.606,69.926,25863.0
2025-09-22,70.256,68.856,70.416,67.756,42959.0
2025-09-23,68.666,67.296,69.556,66.376,30924.0
2025-09-24,67.136,68.376,69.026,66.696,48120.0
2025-09-25,68.346,69.976,71.046,68.206,48961.0
