date,open,close,high,low,vol
2025-07-01,16.701,16.721,16.831,16.521,458393.0
2025-07-02,16.741,16.811,17.011,16.641,485125.0
2025-07-03,17.261,17.601,17.771,17.131,1277451.0
2025-07-04,17.671,17.321,17.751,17.301,612148.0
2025-07-07,17.371,17.101,17.371,17.041,364391.0
2025-07-08,17.061,17.131,17.161,16.941,448155.0
2025-07-09,17.171,16.851,17.181,16.811,463341.0
2025-07-10,16.831,17.071,17.141,16.811,379103.0
2025-07-11,17.001,17.001,17.131,16.901,394396.0
2025-07-14,17.001,16.971,17.031,16.871,293010.0
2025-07-15,16.891,16.701,16.901,16.601,481428.0
2025-07-16,17.121,16.891,17.181,16.851,549141.0
2025-07-17,16.811,16.951,16.951,16.751,408575.0
2025-07-18,16.951,17.121,17.351,16.951,667011.0
2025-07-21,17.281,17.791,17.821,17.161,995786.0
2025-07-22,17.751,17.901,17.971,17.461,759664.0
2025-07-23,17.891,17.791,18.071,17.751,583364.0
2025-07-24,17.781,18.141,18.181,17.701,576343.0
2025-07-25,18.231,18.101,18.441,18.071,522126.0
2025-07-28,18.061,17.881,18.061,17.641,616884.0
2025-07-29,17.771,17.951,17.951,17.641,327449.0
2025-07-30,17.941,19.281,19.541,17.881,1495811.0
2025-07-31,18.981,19.021,19.251,18.911,695575.0
2025-08-01,19.041,18.721,19.321,18.611,643060.0
2025-08-04,18.501,18.431,18.641,18.071,466016.0
2025-08-05,18.581,18.451,18.691,18.401,370005.0
2025-08-06,18.441,18.531,18.571,18.381,310642.0
2025-08-07,18.531,18.351,18.601,18.211,313083.0
2025-08-08,18.351,18.521,18.801,18.311,343510.0
2025-08-11,18.781,18.721,18.861,18.571,432419.0
2025-08-12,18.491,18.581,18.701,17.851,711237.0
2025-08-13,18.581,18.351,18.621,18.281,550677.0
2025-08-14,18.391,18.131,18.481,18.001,439436.0
2025-08-15,18.141,18.451,18.511,18.131,426914.0
2025-08-18,18.491,18.401,18.581,18.311,639520.0
2025-08-19,18.391,18.361,18.681,18.331,459691.0
2025-08-20,18.391,18.711,18.711,18.301,577065.0
2025-08-21,19.011,19.481,19.951,18.971,1373662.0
2025-08-22,19.421,19.391,19.631,19.261,581998.0
2025-08-25,19.891,19.681,19.941,19.461,794589.0
2025-08-26,19.721,20.071,20.521,19.551,773123.0
2025-08-27,20.001,19.381,20.051,19.371,721984.0
2025-08-28,19.371,19.571,19.611,19.021,593927.0
2025-08-29,19.651,19.591,19.891,19.421,501931.0
2025-09-01,19.581,19.501,19.591,19.341,401106.0
2025-09-02,19.501,19.151,19.741,18.921,516352.0
2025-09-03,19.211,19.071,19.401,18.941,380119.0
2025-09-04,19.081,18.921,19.151,18.681,451987.0
2025-09-05,18.921,19.311,19.321,18.841,426769.0
2025-09-08,19.301,20.001,20.061,19.161,673121.0
2025-09-09,20.001,19.571,20.021,19.451,456527.0
2025-09-10,19.501,19.361,19.551,19.111,378591.0
2025-09-11,19.291,19.541,19.541,19.071,446196.0
2025-09-12,19.601,19.421,19.601,19.311,360277.0
2025-09-15,19.411,19.171,19.741,19.131,321028.0
2025-09-16,19.231,18.911,19.341,18.621,469116.0
2025-09-17,18.811,18.851,18.931,18.721,305347.0
2025-09-18,18.901,18.411,18.921,18.281,454744.0
2025-09-19,18.321,18.611,18.681,18.321,284437.0
2025-09-22,18.501,18.471,18.591,18.311,246964.0
2025-09-23,18.421,18.061,18.441,17.861,396565.0
2025-09-24,17.971,18.201,18.241,17.891,258602.0
2025-09-25,18.181,18.541,18.601,18.161,405506.0
2025-09-26,18.581,18.941,19.281,18.471,641237.0
2025-09-29,18.981,18.801,19.081,18.551,372648.0
2025-09-30,18.771,18.841,18.871,18.561,401262.0
2025-10-09,18.851,19.251,19.261,18.221,538102.0
2025-10-10,19.071,19.251,19.501,18.941,519351.0
2025-10-13,17.831,18.341,18.401,17.831,672871.0
2025-10-14,18.381,18.041,18.731,17.901,504979.0
2025-10-15,18.061,18.081,18.261,17.911,307430.0
2025-10-16,18.081,17.721,18.091,17.651,349928.0
2025-10-17,17.631,17.241,17.751,17.201,402684.0
2025-10-20,17.381,17.501,17.591,17.281,290747.0
2025-10-21,17.501,17.671,17.761,17.361,217654.0
2025-10-22,17.561,17.521,17.651,17.481,172486.0
2025-10-23,17.481,17.691,17.751,17.401,231789.0
2025-10-24,17.731,17.741,17.941,17.571,322204.0
2025-10-27,17.731,17.491,17.751,17.411,576774.0
2025-10-28,17.431,17.231,17.441,17.211,411868.0
2025-10-29,17.251,17.401,17.451,17.061,448128.0
2025-10-30,17.421,17.131,17.491,17.131,396909.0
2025-10-31,17.371,17.411,17.771,17.351,607739.0
2025-11-03,17.501,17.251,17.541,17.051,442019.0
2025-11-04,17.201,16.891,17.261,16.841,406412.0
2025-11-05,16.711,16.861,16.941,16.671,283906.0
2025-11-06,16.861,17.051,17.081,16.831,371092.0
2025-11-07,17.031,17.501,17.831,16.931,868355.0
2025-11-10,17.651,17.821,18.031,17.611,695406.0
2025-11-11,17.701,17.681,17.821,17.561,314957.0
2025-11-12,17.701,17.761,17.931,17.541,343335.0
2025-11-13,17.671,17.781,17.921,17.571,431732.0
2025-11-14,17.611,17.311,17.771,17.311,448568.0
2025-11-17,17.211,17.001,17.301,16.961,533731.0
2025-11-18,16.951,16.861,17.061,16.761,329664.0
2025-11-19,16.841,16.991,17.191,16.801,337371.0
2025-11-20,17.051,16.811,17.181,16.801,302169.0
2025-11-21,16.701,16.211,16.711,16.211,446680.0
2025-11-24,16.301,16.281,16.431,16.101,318127.0
2025-11-25,16.361,16.281,16.481,16.221,307640.0
2025-11-26,16.261,16.231,16.311,16.211,194292.0
2025-11-27,16.241,16.341,16.481,16.221,294591.0
2025-11-28,16.351,16.361,16.481,16.261,228832.0
2025-12-01,16.391,16.471,16.551,16.391,290544.0
2025-12-02,16.471,16.161,16.491,16.131,334042.0
2025-12-03,16.201,16.151,16.361,16.071,329606.0
2025-12-04,16.151,16.021,16.201,15.971,252275.0
2025-12-05,15.971,16.291,16.351,15.941,397090.0
2025-12-08,16.351,16.241,16.381,16.191,278670.0
2025-12-09,16.221,16.001,16.581,15.951,548050.0
2025-12-10,15.951,16.101,16.141,15.831,306801.0
2025-12-11,16.081,15.831,16.151,15.821,293612.0
2025-12-12,15.831,15.931,15.971,15.731,275577.0
2025-12-15,15.861,16.011,16.181,15.761,296122.0
2025-12-16,15.961,15.771,16.001,15.701,305021.0
2025-12-17,15.771,16.151,16.161,15.771,404519.0
2025-12-18,16.041,16.331,16.531,16.001,546852.0
2025-12-19,16.321,16.441,16.471,16.281,284334.0
2025-12-22,16.441,16.451,16.561,16.351,310516.0
2025-12-23,16.501,16.391,16.501,16.301,236021.0
2025-12-24,16.401,16.491,16.531,16.271,324085.0
2025-12-25,16.491,16.931,17.091,16.441,640312.0
2025-12-26,16.981,16.891,17.171,16.751,366780.0
2025-12-29,16.901,16.791,16.981,16.701,286804.0
2025-12-30,16.761,17.181,17.381,16.651,573951.0
2025-12-31,17.131,17.181,17.301,16.991,357319.0
2026-01-05,17.181,17.261,17.381,17.021,463692.0
2026-01-06,17.271,18.021,18.101,17.261,926442.0
2026-01-07,18.021,18.151,18.401,18.011,677056.0
2026-01-08,18.191,18.321,18.601,17.981,605868.0
2026-01-09,18.201,18.021,18.271,17.951,514348.0
2026-01-12,17.981,17.721,17.991,17.641,634007.0
2026-01-13,17.741,17.701,18.061,17.651,462809.0
2026-01-14,17.791,18.481,18.581,17.761,1071079.0
2026-01-15,18.401,18.481,18.911,18.301,581276.0
2026-01-16,18.501,18.201,18.611,18.151,447947.0
2026-01-19,18.171,18.991,19.141,17.971,786170.0
2026-01-20,19.381,20.291,20.301,19.271,1382830.0
2026-01-21,20.311,20.201,20.501,19.921,830628.0
2026-01-22,20.311,20.781,21.381,20.161,834828.0
2026-01-23,20.781,21.681,22.091,20.681,999025.0
2026-01-26,22.001,22.211,22.671,21.531,924105.0
2026-01-27,22.081,21.741,22.561,21.561,861613.0
2026-01-28,21.741,23.711,23.961,21.741,1302987.0
2026-01-29,24.001,23.751,24.551,23.171,1273761.0
