date,open,close,high,low,vol
2025-07-01,22.01,22.08,22.11,21.91,173797.0
2025-07-02,22.08,22.38,22.48,22.05,222877.0
2025-07-03,22.35,22.43,22.49,22.21,148976.0
2025-07-04,22.45,22.19,22.45,22.08,157831.0
2025-07-07,22.2,22.37,22.39,21.89,156495.0
2025-07-08,22.36,22.52,22.65,22.31,171222.0
2025-07-09,22.55,22.39,22.57,22.3,130599.0
2025-07-10,22.41,22.94,22.96,22.33,298104.0
2025-07-11,22.94,22.61,22.98,22.59,239078.0
2025-07-14,22.7,22.7,22.94,22.58,181101.0
2025-07-15,22.7,22.87,23.26,22.7,312608.0
2025-07-16,22.85,22.7,23.01,22.67,178320.0
2025-07-17,22.71,22.53,22.82,22.46,237111.0
2025-07-18,22.52,23.08,23.15,22.52,327888.0
2025-07-21,23.25,24.45,24.52,23.25,671184.0
2025-07-22,24.47,25.05,25.07,24.34,496217.0
2025-07-23,25.19,24.88,25.59,24.83,429994.0
2025-07-24,24.71,24.75,24.92,24.39,333908.0
2025-07-25,24.88,24.75,25.16,24.71,275971.0
2025-07-28,24.52,24.7,24.8,24.29,224226.0
2025-07-29,24.64,24.51,24.73,24.15,213559.0
2025-07-30,24.42,25.2,25.55,24.42,378024.0
2025-07-31,25.0,24.66,25.23,24.62,235694.0
2025-08-01,24.63,24.22,24.79,24.17,186809.0
2025-08-04,24.07,24.26,24.5,24.0,148140.0
2025-08-05,24.32,24.24,24.41,24.15,158652.0
2025-08-06,24.25,24.56,24.74,24.24,162531.0
2025-08-07,24.6,24.44,24.83,24.3,141702.0
2025-08-08,24.46,24.82,24.83,24.41,193484.0
2025-08-11,24.99,24.9,25.18,24.67,240606.0
2025-08-12,24.89,25.3,25.66,24.78,271859.0
2025-08-13,25.48,25.71,25.9,25.22,255044.0
2025-08-14,25.78,25.26,25.78,25.16,181905.0
2025-08-15,25.2,26.02,26.3,25.13,321931.0
2025-08-18,26.18,25.82,26.35,25.76,293814.0
2025-08-19,25.9,25.6,25.94,25.44,239565.0
2025-08-20,26.18,26.95,27.29,26.11,490908.0
2025-08-21,26.9,26.59,27.07,26.54,362776.0
2025-08-22,26.69,26.46,26.81,26.25,398577.0
2025-08-25,26.76,27.21,27.31,26.62,390680.0
2025-08-26,27.23,27.92,28.37,27.06,407300.0
2025-08-27,27.77,27.19,27.92,27.19,333189.0
2025-08-28,27.19,27.2,27.44,26.58,293108.0
2025-08-29,27.38,27.21,27.55,27.0,373754.0
2025-09-01,27.05,27.34,27.74,26.95,335971.0
2025-09-02,27.48,27.0,27.48,26.67,326978.0
2025-09-03,27.04,26.46,27.25,26.32,265051.0
2025-09-04,26.39,26.16,26.5,25.88,286186.0
2025-09-05,26.17,26.28,26.43,26.12,249525.0
2025-09-08,26.34,27.0,27.11,26.14,360454.0
2025-09-09,26.97,27.7,28.58,26.92,483509.0
2025-09-10,27.55,27.34,27.93,26.84,276982.0
2025-09-11,27.22,27.53,27.59,27.15,224184.0
2025-09-12,27.55,27.22,27.55,26.98,268996.0
2025-09-15,27.25,26.94,27.29,26.85,199240.0
2025-09-16,27.13,26.65,27.7,26.38,279210.0
2025-09-17,26.6,26.6,26.85,26.34,157274.0
2025-09-18,26.65,25.8,26.65,25.69,306798.0
2025-09-19,25.8,26.08,26.15,25.8,200555.0
2025-09-22,26.02,25.59,26.07,25.38,207054.0
2025-09-23,25.5,25.43,25.72,25.04,201779.0
2025-09-24,25.46,25.91,25.95,25.26,177768.0
2025-09-25,25.88,25.63,26.1,25.63,180671.0
2025-09-26,25.6,25.96,26.24,25.6,205308.0
2025-09-29,26.01,26.18,26.23,25.66,240259.0
2025-09-30,26.45,26.8,27.03,26.3,444753.0
2025-10-09,27.12,28.56,28.65,27.04,678063.0
2025-10-10,28.25,28.74,29.37,28.13,581370.0
2025-10-13,27.85,28.77,29.27,27.85,501982.0
2025-10-14,29.2,28.93,29.72,28.66,563043.0
2025-10-15,28.93,29.11,29.57,28.51,405984.0
2025-10-16,29.12,27.95,29.17,27.8,419599.0
2025-10-17,28.08,27.5,28.39,27.44,327284.0
2025-10-20,27.81,27.47,27.95,27.23,242596.0
2025-10-21,27.52,28.12,28.38,27.25,294163.0
2025-10-22,27.98,27.48,28.16,27.4,232662.0
2025-10-23,27.66,27.97,28.03,27.15,239255.0
2025-10-24,28.0,27.78,28.31,27.48,209997.0
2025-10-27,27.81,28.04,28.52,27.81,275783.0
2025-10-28,28.05,27.84,28.18,27.61,266097.0
2025-10-29,28.5,29.8,29.93,28.5,653598.0
2025-10-30,29.8,29.09,29.92,28.79,398694.0
2025-10-31,29.2,28.76,29.47,28.68,402477.0
2025-11-03,28.9,29.59,29.62,28.61,461124.0
2025-11-04,29.4,29.3,29.83,28.77,405072.0
2025-11-05,28.76,29.51,29.76,28.17,537236.0
2025-11-06,29.44,32.46,32.46,29.44,1066921.0
2025-11-07,33.1,34.37,34.93,32.76,1425074.0
2025-11-10,35.68,35.23,37.81,34.99,1812544.0
2025-11-11,35.37,35.51,35.96,34.9,1017880.0
2025-11-12,34.91,34.61,35.12,33.56,802713.0
2025-11-13,34.61,35.87,36.36,34.61,1014985.0
2025-11-14,35.18,34.6,36.05,34.59,693899.0
2025-11-17,35.0,34.38,35.55,34.26,601400.0
2025-11-18,34.2,32.95,34.9,32.73,809576.0
2025-11-19,32.77,32.73,33.47,32.3,490492.0
2025-11-20,32.95,32.4,33.64,32.39,537968.0
2025-11-21,32.0,30.85,32.23,30.8,649487.0
2025-11-24,31.05,30.11,31.2,30.0,479016.0
2025-11-25,30.42,30.5,30.69,30.0,412821.0
2025-11-26,30.51,30.31,30.68,30.2,349073.0
2025-11-27,30.33,30.66,31.1,30.33,388309.0
2025-11-28,30.55,30.97,31.21,30.42,495391.0
2025-12-01,31.1,30.93,31.56,30.77,518816.0
2025-12-02,30.88,30.69,31.0,30.51,330386.0
2025-12-03,30.8,30.67,31.36,30.49,524232.0
2025-12-04,30.32,30.6,31.05,30.32,402806.0
2025-12-05,30.63,31.45,31.65,30.56,515498.0
2025-12-08,31.6,31.29,31.74,30.9,430612.0
2025-12-09,31.13,30.85,31.25,30.71,316796.0
2025-12-10,30.61,30.61,30.86,30.32,264596.0
2025-12-11,30.84,30.68,31.55,30.61,410192.0
2025-12-12,30.6,29.72,30.77,29.71,699436.0
2025-12-15,29.5,29.72,30.07,29.32,373344.0
2025-12-16,29.7,28.77,29.72,28.6,344461.0
2025-12-17,28.71,29.63,29.76,28.71,356059.0
2025-12-18,29.48,29.77,29.98,29.28,310712.0
2025-12-19,29.74,29.85,30.21,29.48,351848.0
2025-12-22,30.09,30.71,30.82,30.08,387562.0
2025-12-23,30.71,30.81,31.03,30.3,354281.0
2025-12-24,30.82,30.79,30.83,30.32,284475.0
2025-12-25,31.5,31.55,32.2,30.83,581676.0
2025-12-26,31.69,32.8,32.8,31.36,609875.0
2025-12-29,33.01,32.58,33.55,32.3,646771.0
2025-12-30,32.19,33.82,34.39,31.95,671039.0
2025-12-31,33.66,33.41,33.77,33.14,410569.0
2026-01-05,33.6,33.81,34.37,33.53,526608.0
2026-01-06,33.7,35.72,36.04,33.7,771398.0
2026-01-07,35.72,35.41,35.91,35.1,565195.0
2026-01-08,35.25,34.7,35.4,34.35,493141.0
2026-01-09,34.5,34.6,34.97,33.98,447889.0
2026-01-12,34.55,33.68,34.57,33.42,586007.0
2026-01-13,33.9,34.27,34.85,33.86,486206.0
2026-01-14,34.27,34.29,34.8,33.84,525901.0
2026-01-15,34.2,35.27,36.7,34.12,654271.0
2026-01-16,35.37,34.92,35.77,34.61,409401.0
2026-01-19,34.65,35.98,36.08,34.3,556919.0
2026-01-20,36.15,36.07,36.44,35.21,517317.0
2026-01-21,36.05,36.67,36.91,35.52,509951.0
2026-01-22,36.9,37.08,37.72,36.51,523348.0
2026-01-23,37.08,37.66,37.73,36.5,506593.0
2026-01-26,37.66,39.0,39.42,37.66,655521.0
2026-01-27,38.55,38.35,39.47,37.63,617031.0
2026-01-28,38.07,39.89,40.27,37.63,749547.0
2026-01-29,40.26,39.49,41.45,38.88,744124.0
2026-01-30,38.64,38.19,39.54,37.18,684952.0
2026-02-02,37.16,35.04,37.58,34.98,863378.0
2026-02-03,35.92,36.03,36.18,35.31,423030.0
2026-02-04,36.3,36.08,36.39,35.66,303976.0
2026-02-05,35.8,35.1,36.28,34.9,338022.0
2026-02-06,34.3,35.78,36.42,34.25,390975.0
2026-02-09,36.23,35.73,36.35,35.5,364276.0
2026-02-10,35.57,35.48,35.67,35.24,198086.0
2026-02-11,35.42,36.52,37.25,35.35,506046.0
2026-02-12,36.53,36.66,36.87,36.35,298153.0
2026-02-13,36.3,35.78,36.37,35.6,280298.0
2026-02-24,37.06,39.36,39.36,37.03,830309.0
2026-02-25,40.2,43.3,43.3,39.95,1736896.0
2026-02-26,43.4,44.55,44.84,42.51,1633213.0
2026-02-27,43.5,44.37,45.62,43.5,928833.0
2026-03-02,45.32,43.99,45.4,43.1,1075661.0
2026-03-03,43.35,41.18,43.99,40.39,1309558.0
2026-03-04,40.15,41.07,42.66,40.14,923662.0
2026-03-05,41.84,40.7,41.85,40.38,731627.0
2026-03-06,40.41,42.67,42.98,39.97,1041425.0
2026-03-09,43.47,42.02,44.28,41.84,1238643.0
2026-03-10,40.8,41.2,41.97,40.77,720127.0
2026-03-11,41.09,41.99,42.11,40.28,822150.0
2026-03-12,42.3,42.25,43.1,40.83,992882.0
2026-03-13,42.39,43.13,45.1,42.39,1253881.0
2026-03-16,43.58,40.69,44.38,40.5,1232613.0
2026-03-17,40.3,39.17,41.46,39.17,920916.0
2026-03-18,39.1,38.72,39.15,37.65,650947.0
2026-03-19,38.75,36.96,39.14,36.59,673343.0
2026-03-20,36.89,37.21,38.0,36.67,612994.0
2026-03-23,35.88,36.69,38.17,35.81,759769.0
2026-03-24,35.81,34.51,35.88,33.1,1186641.0
2026-03-25,34.13,34.54,35.13,34.01,672870.0
2026-03-26,34.5,33.97,35.1,33.75,546516.0
2026-03-27,33.48,34.78,35.33,33.41,635349.0
2026-03-30,34.79,34.98,35.69,34.73,580225.0
2026-03-31,34.94,33.39,35.05,33.27,560472.0
2026-04-01,33.8,33.5,33.96,33.24,393237.0
2026-04-02,33.29,32.67,33.3,32.0,464516.0
2026-04-03,32.72,31.44,32.79,31.16,597020.0
2026-04-07,31.44,32.6,32.72,31.11,508156.0
2026-04-08,32.59,33.38,33.43,32.5,595237.0
2026-04-09,33.0,33.28,33.59,32.75,349838.0
2026-04-10,33.6,33.46,33.99,33.12,407398.0
2026-04-13,33.65,33.28,33.79,32.83,445777.0
2026-04-14,33.33,33.49,33.53,33.01,371335.0
2026-04-15,33.66,32.96,33.89,32.91,455651.0
2026-04-16,33.0,33.81,34.15,32.9,522186.0
2026-04-17,34.3,33.36,34.3,33.24,573929.0
2026-04-20,33.22,33.36,33.54,32.93,421908.0
2026-04-21,33.36,33.99,34.4,32.68,563689.0
2026-04-22,34.03,34.95,35.28,33.9,773019.0
2026-04-23,34.95,34.0,35.07,33.88,605800.0
2026-04-24,33.8,35.67,35.7,33.76,840330.0
2026-04-27,35.32,35.19,35.59,34.7,637290.0
2026-04-28,35.45,35.65,36.62,35.41,791876.0
2026-04-29,35.23,36.68,36.78,34.65,730397.0
2026-04-30,36.44,36.18,36.86,35.93,531323.0
2026-05-06,36.28,36.18,36.31,35.0,626022.0
2026-05-07,35.97,35.1,35.97,35.05,632753.0
