date,open,close,high,low,vol
2025-07-01,28.64,29.0,29.15,28.57,250626.0
2025-07-02,29.02,28.98,29.29,28.79,195620.0
2025-07-03,28.93,28.34,29.0,28.13,216258.0
2025-07-04,28.41,28.31,28.56,28.3,124018.0
2025-07-07,28.52,28.52,28.76,28.35,125484.0
2025-07-08,28.5,28.79,28.95,28.46,164243.0
2025-07-09,29.38,27.55,29.46,27.49,566096.0
2025-07-10,27.55,26.75,27.69,26.7,420615.0
2025-07-11,26.81,26.72,27.15,26.71,305103.0
2025-07-14,26.86,27.18,27.28,26.86,241007.0
2025-07-15,27.21,27.11,27.4,26.98,173411.0
2025-07-16,27.08,27.15,27.26,26.94,129226.0
2025-07-17,27.0,26.95,27.18,26.85,202610.0
2025-07-18,26.95,26.92,26.95,26.23,345307.0
2025-07-21,26.85,27.04,27.07,26.6,223298.0
2025-07-22,27.01,27.5,27.53,27.01,273534.0
2025-07-23,27.5,27.45,27.68,27.32,181373.0
2025-07-24,27.36,27.18,27.4,26.9,223030.0
2025-07-25,27.18,26.92,27.26,26.64,204111.0
2025-07-28,26.95,26.61,26.95,26.5,219227.0
2025-07-29,26.55,26.42,26.74,26.39,183564.0
2025-07-30,26.34,26.8,26.97,26.11,270810.0
2025-07-31,26.61,26.77,27.35,26.57,280303.0
2025-08-01,26.73,26.93,27.5,26.7,335618.0
2025-08-04,27.16,27.38,27.85,27.16,357859.0
2025-08-05,27.51,27.36,27.6,27.17,182103.0
2025-08-06,27.42,27.56,27.63,27.28,264447.0
2025-08-07,27.51,28.41,28.5,27.5,426028.0
2025-08-08,28.43,28.46,28.75,28.36,197130.0
2025-08-11,28.6,28.14,28.69,28.02,260240.0
2025-08-12,28.14,28.95,29.06,28.08,339071.0
2025-08-13,29.05,29.02,29.65,28.83,358183.0
2025-08-14,29.15,28.64,29.35,28.61,287951.0
2025-08-15,28.62,29.86,30.08,28.62,428443.0
2025-08-18,31.0,31.2,32.19,30.4,853027.0
2025-08-19,31.67,31.13,32.12,30.65,618725.0
2025-08-20,30.98,31.23,31.48,30.65,369905.0
2025-08-21,31.35,31.31,32.13,31.17,372208.0
2025-08-22,31.25,33.0,33.11,31.02,634075.0
2025-08-25,33.69,34.69,36.26,32.82,925250.0
2025-08-26,34.65,35.6,36.33,34.48,590794.0
2025-08-27,35.7,35.84,36.95,35.42,683086.0
2025-08-28,35.62,36.2,36.32,35.08,766770.0
2025-08-29,36.58,38.69,39.46,36.4,792326.0
2025-09-01,39.59,39.02,40.1,38.2,732263.0
2025-09-02,38.79,37.05,39.0,36.8,728916.0
2025-09-03,37.3,36.59,37.56,35.89,554329.0
2025-09-04,36.31,35.09,36.56,34.5,737975.0
2025-09-05,35.0,35.9,36.28,34.76,520722.0
2025-09-08,35.9,36.27,36.35,35.22,443079.0
2025-09-09,35.99,35.85,36.57,35.3,337601.0
2025-09-10,35.66,35.77,36.45,35.48,253898.0
2025-09-11,35.77,37.21,37.3,35.7,512497.0
2025-09-12,36.49,37.29,38.35,35.81,734599.0
2025-09-15,37.47,36.8,37.49,36.2,386371.0
2025-09-16,37.09,36.45,37.27,35.8,364814.0
2025-09-17,36.4,37.18,37.77,36.23,396410.0
2025-09-18,37.0,36.76,37.55,36.27,425226.0
2025-09-19,36.73,36.62,37.41,36.43,280272.0
2025-09-22,36.61,36.85,36.85,35.48,354604.0
2025-09-23,36.04,35.85,36.78,35.2,350542.0
2025-09-24,35.87,36.49,36.84,35.7,313537.0
2025-09-25,36.2,36.64,37.12,36.16,256170.0
2025-09-26,36.5,36.67,37.38,36.18,355129.0
2025-09-29,36.79,39.6,39.71,36.72,717114.0
2025-09-30,39.41,40.01,40.21,38.84,494836.0
2025-10-09,41.0,41.54,41.95,40.13,477285.0
2025-10-10,41.0,40.59,41.66,40.25,430073.0
2025-10-13,39.0,38.7,39.76,38.03,541832.0
2025-10-14,39.5,36.39,39.6,36.18,581773.0
2025-10-15,36.4,37.3,37.42,35.88,296648.0
2025-10-16,36.91,36.65,37.1,36.41,232472.0
2025-10-17,36.58,35.3,36.72,35.25,324379.0
2025-10-20,35.49,36.02,36.16,35.49,245730.0
2025-10-21,35.9,36.16,36.59,35.8,233821.0
2025-10-22,36.03,35.8,36.3,35.45,166574.0
2025-10-23,35.51,35.63,35.76,34.72,241216.0
2025-10-24,35.02,35.46,35.54,34.8,380931.0
2025-10-27,35.7,35.77,36.52,35.31,359840.0
2025-10-28,35.79,35.73,36.4,35.5,298816.0
2025-10-29,35.83,37.38,37.45,35.8,406174.0
2025-10-30,37.44,36.08,37.45,36.0,332184.0
2025-10-31,35.99,35.32,36.43,35.22,303184.0
2025-11-03,35.32,33.81,35.4,33.18,462944.0
2025-11-04,34.0,33.15,34.05,32.95,284658.0
2025-11-05,32.8,33.41,33.63,32.57,189552.0
2025-11-06,33.55,34.84,34.95,33.45,360144.0
2025-11-07,34.8,35.0,35.5,34.31,285919.0
2025-11-10,35.05,35.85,36.1,35.05,319394.0
2025-11-11,35.68,34.7,35.73,34.63,237665.0
2025-11-12,34.6,35.08,35.56,34.07,235257.0
2025-11-13,35.22,36.27,36.38,35.04,368216.0
2025-11-14,36.0,35.6,36.16,35.6,215017.0
2025-11-17,35.6,35.2,36.18,35.02,188028.0
2025-11-18,35.2,34.66,35.9,34.36,203119.0
2025-11-19,34.4,34.75,35.18,34.37,142911.0
2025-11-20,34.75,34.43,35.31,34.4,143798.0
2025-11-21,34.15,33.2,34.2,33.2,183863.0
2025-11-24,33.48,33.14,33.9,32.99,167366.0
2025-11-25,33.58,33.44,33.75,33.3,130458.0
2025-11-26,33.45,33.5,33.84,33.15,106287.0
2025-11-27,33.5,33.55,34.13,33.46,116026.0
