date,open,close,high,low,vol
2025-07-01,54.03,53.98,54.49,53.93,161937.0
2025-07-02,53.98,54.21,54.99,53.8,314324.0
2025-07-03,54.22,54.56,54.98,54.0,263592.0
2025-07-04,54.57,54.09,54.66,53.91,226736.0
2025-07-07,54.09,54.3,54.98,53.93,186016.0
2025-07-08,54.3,55.3,55.79,54.01,369203.0
2025-07-09,55.33,54.44,55.44,54.36,265129.0
2025-07-10,54.45,56.41,56.8,54.45,671779.0
2025-07-11,56.18,55.72,56.52,55.72,401422.0
2025-07-14,55.73,55.25,56.05,55.23,263070.0
2025-07-15,55.25,55.02,55.45,54.5,245153.0
2025-07-16,55.0,54.84,55.09,54.71,155577.0
2025-07-17,54.89,55.15,55.33,54.72,223018.0
2025-07-18,55.52,59.72,59.96,55.31,1178913.0
2025-07-21,59.99,59.94,60.35,59.01,628163.0
2025-07-22,60.4,63.05,63.05,59.9,1030836.0
2025-07-23,63.0,61.83,63.28,61.66,682328.0
2025-07-24,61.25,62.51,62.71,61.24,510850.0
2025-07-25,62.58,62.98,64.64,62.57,546336.0
2025-07-28,62.0,62.6,62.96,61.55,398069.0
2025-07-29,62.61,61.96,63.15,61.83,307875.0
2025-07-30,62.56,63.84,64.95,62.52,662587.0
2025-07-31,63.8,62.31,63.8,61.82,515265.0
2025-08-01,61.4,60.92,61.88,60.66,393958.0
2025-08-04,60.4,60.48,60.78,59.92,255821.0
2025-08-05,60.58,60.99,61.25,60.5,227963.0
2025-08-06,60.99,61.08,61.36,60.57,197459.0
2025-08-07,61.19,60.62,61.55,60.24,224057.0
2025-08-08,60.8,60.8,61.46,60.3,209182.0
2025-08-11,61.07,61.46,61.8,61.0,263564.0
2025-08-12,61.08,62.9,64.49,60.9,633870.0
2025-08-13,62.91,62.98,63.16,62.31,313200.0
2025-08-14,62.99,62.51,63.47,62.05,306674.0
2025-08-15,62.15,62.99,63.65,62.1,309612.0
2025-08-18,63.05,62.71,63.7,62.63,395254.0
2025-08-19,62.9,62.19,64.2,62.13,381997.0
2025-08-20,62.19,63.04,63.09,61.57,337233.0
2025-08-21,63.16,65.6,66.0,63.16,785602.0
2025-08-22,65.85,67.17,67.48,65.41,564038.0
2025-08-25,67.25,68.17,68.77,66.6,513981.0
2025-08-26,68.17,69.63,70.78,67.72,556443.0
2025-08-27,69.64,68.05,70.24,68.05,487422.0
2025-08-28,67.84,68.13,69.15,66.5,485337.0
2025-08-29,68.14,68.6,69.12,68.06,361429.0
2025-09-01,68.6,69.02,69.85,68.0,403277.0
2025-09-02,69.02,67.27,69.21,66.95,385692.0
2025-09-03,67.27,66.89,67.96,65.9,284233.0
2025-09-04,66.09,64.69,66.6,63.78,502026.0
2025-09-05,64.64,65.85,66.12,64.51,324338.0
2025-09-08,65.88,69.6,69.93,65.77,630919.0
2025-09-09,69.65,68.52,70.2,67.82,403633.0
2025-09-10,67.84,67.54,68.38,66.96,244393.0
2025-09-11,67.3,68.43,68.5,66.82,319295.0
2025-09-12,68.44,67.79,68.71,67.1,263774.0
2025-09-15,67.79,67.74,69.09,67.5,209925.0
2025-09-16,67.81,66.61,68.05,66.0,284113.0
2025-09-17,66.32,67.01,67.5,66.06,212182.0
2025-09-18,67.02,65.88,67.08,65.35,314010.0
2025-09-19,65.66,65.31,66.52,65.31,293063.0
2025-09-22,65.22,64.1,65.22,63.51,287563.0
2025-09-23,64.12,63.34,64.41,62.59,268883.0
2025-09-24,63.06,63.68,63.92,63.0,215651.0
2025-09-25,63.66,64.56,65.35,63.55,285236.0
2025-09-26,64.48,64.01,64.87,63.9,209298.0
2025-09-29,64.2,65.94,66.53,63.7,329372.0
2025-09-30,65.88,66.58,66.86,65.26,293174.0
2025-10-09,66.58,67.73,67.85,65.3,335340.0
2025-10-10,67.5,67.73,68.8,66.66,328917.0
2025-10-13,65.12,66.35,66.78,64.99,306094.0
2025-10-14,66.54,64.77,67.45,64.54,306328.0
2025-10-15,64.7,64.75,65.56,64.07,208857.0
2025-10-16,64.82,62.99,64.82,62.55,351124.0
2025-10-17,62.96,61.51,63.65,61.5,301346.0
2025-10-20,62.03,60.86,62.03,60.61,259369.0
2025-10-21,61.09,61.18,61.55,60.6,191259.0
2025-10-22,61.2,61.34,61.58,60.81,158525.0
2025-10-23,61.24,62.73,62.8,60.85,225942.0
2025-10-24,62.69,61.45,62.97,61.01,310696.0
2025-10-27,62.0,62.49,63.3,61.81,367918.0
2025-10-28,62.66,61.48,62.66,61.41,247704.0
2025-10-29,61.4,61.99,62.45,61.03,269625.0
2025-10-30,62.0,61.71,62.25,61.18,280867.0
2025-10-31,61.88,62.63,63.33,61.87,311849.0
2025-11-03,62.85,62.52,62.96,61.66,182918.0
2025-11-04,62.35,61.6,62.85,61.11,189339.0
2025-11-05,61.11,61.47,62.08,60.69,177936.0
2025-11-06,61.3,61.7,62.45,61.3,205363.0
2025-11-07,61.69,65.27,65.51,61.35,762160.0
2025-11-10,66.2,67.86,68.78,66.15,786642.0
2025-11-11,67.4,67.95,68.49,66.75,373545.0
2025-11-12,68.0,67.77,68.5,67.23,299057.0
2025-11-13,67.4,68.71,69.16,67.4,416458.0
2025-11-14,67.4,65.8,68.28,65.8,504503.0
2025-11-17,65.08,66.38,67.68,65.08,326431.0
2025-11-18,66.4,65.4,66.76,65.02,234162.0
2025-11-19,65.2,65.61,66.0,65.0,162993.0
2025-11-20,65.97,64.3,66.47,64.18,207793.0
2025-11-21,63.85,62.71,63.93,62.33,298715.0
2025-11-24,63.43,62.79,63.65,62.26,242335.0
2025-11-25,63.0,63.04,64.1,62.93,216535.0
2025-11-26,63.06,63.7,63.88,62.82,168651.0
2025-11-27,63.4,65.9,66.33,63.35,378089.0
2025-11-28,65.89,67.12,67.98,65.85,388355.0
2025-12-01,66.97,67.96,68.18,66.6,312903.0
2025-12-02,67.8,67.0,68.09,66.9,205283.0
2025-12-03,67.2,68.2,69.37,67.13,459658.0
2025-12-04,68.07,67.68,68.8,67.26,191121.0
2025-12-05,67.82,69.98,70.67,67.7,496446.0
2025-12-08,70.2,69.97,70.7,69.38,329803.0
2025-12-09,69.97,69.3,71.0,69.0,332061.0
2025-12-10,68.97,69.3,69.43,67.9,238363.0
2025-12-11,69.31,68.47,70.5,68.18,199392.0
2025-12-12,68.47,68.47,68.81,67.53,225459.0
2025-12-15,68.44,69.69,70.99,68.0,352824.0
2025-12-16,69.55,70.07,70.19,67.98,280235.0
2025-12-17,69.75,74.22,74.88,69.75,701134.0
2025-12-18,74.23,75.54,76.99,73.85,506723.0
2025-12-19,75.07,75.59,76.08,75.07,243168.0
2025-12-22,75.59,75.79,76.19,75.11,264728.0
2025-12-23,75.81,74.8,76.18,74.5,259293.0
2025-12-24,74.98,77.07,77.37,74.86,346062.0
2025-12-25,77.09,76.71,78.5,76.67,245153.0
2025-12-26,76.6,76.98,78.0,75.7,271029.0
2025-12-29,76.92,76.15,77.2,75.7,213800.0
2025-12-30,75.5,77.0,77.99,75.02,266284.0
2025-12-31,76.8,76.68,77.43,76.09,164028.0
2026-01-05,77.2,77.33,78.81,76.23,261561.0
2026-01-06,77.03,82.95,83.38,77.03,584611.0
2026-01-07,82.25,81.93,83.66,81.4,323223.0
2026-01-08,81.92,79.69,81.92,78.43,465476.0
2026-01-09,80.0,79.35,80.61,78.41,333619.0
2026-01-12,79.33,78.14,79.88,77.66,375752.0
2026-01-13,78.08,78.76,80.13,77.77,355112.0
2026-01-14,78.67,77.8,80.56,77.8,418676.0
2026-01-15,77.5,79.46,80.94,77.31,399140.0
2026-01-16,80.15,78.72,81.18,78.0,333612.0
2026-01-19,77.9,82.4,82.79,77.39,507344.0
2026-01-20,82.38,86.02,86.97,82.12,696986.0
2026-01-21,86.2,84.08,86.69,83.8,473915.0
2026-01-22,85.17,85.3,86.3,83.8,454922.0
2026-01-23,85.64,84.25,86.46,83.8,397091.0
2026-01-26,84.25,84.97,87.88,83.99,555122.0
2026-01-27,84.95,84.7,87.48,83.53,447546.0
2026-01-28,84.7,87.31,89.98,84.7,810652.0
2026-01-29,88.1,87.6,89.97,86.19,611522.0
2026-01-30,86.96,87.97,89.61,85.19,491902.0
2026-02-02,86.6,80.33,86.96,79.58,828701.0
2026-02-03,81.68,83.34,83.64,81.4,427001.0
2026-02-04,83.8,84.8,85.2,82.98,312621.0
2026-02-05,85.79,83.61,86.39,82.5,272272.0
2026-02-06,81.94,86.7,88.46,81.52,543633.0
2026-02-09,86.85,87.02,88.3,85.66,342524.0
2026-02-10,86.66,86.0,86.66,84.03,322745.0
2026-02-11,85.59,88.85,89.88,84.78,497910.0
2026-02-12,88.8,88.0,89.52,87.7,276028.0
2026-02-13,87.01,84.96,87.06,84.65,342402.0
2026-02-24,86.38,87.25,87.39,84.77,296402.0
2026-02-25,87.88,89.71,92.24,87.8,631195.0
2026-02-26,89.69,90.02,92.28,89.26,416391.0
2026-02-27,90.02,93.0,94.28,89.92,467425.0
2026-03-02,93.1,94.32,95.2,91.88,513071.0
2026-03-03,95.0,91.09,95.45,90.8,495287.0
2026-03-04,89.06,88.46,90.26,87.24,441947.0
2026-03-05,89.99,89.2,90.45,87.69,300582.0
2026-03-06,88.65,93.0,93.48,87.6,380446.0
2026-03-09,93.99,89.96,97.0,89.01,693148.0
2026-03-10,88.03,88.21,89.2,87.0,424174.0
2026-03-11,88.21,89.45,90.3,84.68,616565.0
2026-03-12,89.41,86.6,90.3,86.5,529755.0
2026-03-13,86.31,84.5,87.98,84.17,491371.0
2026-03-16,84.1,79.43,84.2,78.12,798539.0
2026-03-17,79.96,80.15,82.49,79.88,436747.0
2026-03-18,80.2,80.66,80.88,79.05,276044.0
