date,open,close,high,low,vol
2025-07-01,21.7,21.58,21.76,21.47,67382.0
2025-07-02,21.53,21.74,21.96,21.53,77300.0
2025-07-03,21.71,22.08,22.15,21.68,95206.0
2025-07-04,22.03,21.63,22.08,21.61,88005.0
2025-07-07,21.63,21.63,21.76,21.52,48408.0
2025-07-08,21.68,21.67,21.85,21.6,73348.0
2025-07-09,21.7,21.27,21.77,21.27,124115.0
2025-07-10,21.27,21.51,21.64,21.21,209600.0
2025-07-11,21.5,21.3,21.57,21.3,161290.0
2025-07-14,21.33,21.42,21.59,21.21,213376.0
2025-07-15,21.37,21.36,21.63,21.3,127955.0
2025-07-16,21.36,21.23,21.45,21.2,115151.0
2025-07-17,21.22,21.13,21.28,21.05,85753.0
2025-07-18,21.13,22.2,22.25,21.13,403720.0
2025-07-21,22.53,23.3,23.64,22.53,704973.0
2025-07-22,23.25,24.03,24.17,23.16,429437.0
2025-07-23,23.88,24.1,24.42,23.8,356426.0
2025-07-24,24.05,23.89,24.12,23.51,263517.0
2025-07-25,24.0,24.05,24.88,23.88,341358.0
2025-07-28,23.95,24.09,24.31,23.48,318705.0
2025-07-29,24.01,24.16,24.48,23.51,255439.0
2025-07-30,24.23,24.88,25.47,24.23,388095.0
2025-07-31,24.8,23.98,24.87,23.81,223688.0
2025-08-01,23.91,23.84,24.15,23.71,128649.0
2025-08-04,23.75,23.48,23.93,23.35,138564.0
2025-08-05,23.52,23.58,23.74,23.4,94882.0
2025-08-06,23.7,23.68,24.11,23.6,142642.0
2025-08-07,23.85,23.71,24.05,23.4,144143.0
2025-08-08,23.85,23.82,24.03,23.57,90458.0
2025-08-11,23.83,24.25,24.45,23.61,223180.0
2025-08-12,24.2,24.63,25.04,24.11,216228.0
2025-08-13,24.68,24.28,24.95,24.0,167250.0
2025-08-14,24.25,24.7,24.9,24.07,174129.0
2025-08-15,24.61,24.46,25.07,24.44,177462.0
2025-08-18,24.55,24.02,24.65,24.02,243078.0
2025-08-19,24.06,23.49,24.3,23.49,212351.0
2025-08-20,23.5,23.96,23.98,23.3,244359.0
2025-08-21,24.2,24.68,25.19,23.86,370397.0
2025-08-22,24.55,24.78,24.98,24.38,149677.0
2025-08-25,24.79,26.06,26.23,24.79,383609.0
2025-08-26,26.05,26.66,27.2,25.81,390759.0
2025-08-27,26.66,26.4,27.05,26.33,289394.0
2025-08-28,26.38,26.75,27.12,26.08,235915.0
2025-08-29,26.74,27.43,27.5,26.6,222137.0
2025-09-01,27.21,27.99,28.25,27.13,269364.0
2025-09-02,27.9,26.88,28.23,26.7,246719.0
2025-09-03,26.9,27.15,27.27,26.39,136611.0
2025-09-04,27.05,25.9,27.1,25.6,207742.0
2025-09-05,25.95,26.32,26.68,25.82,184320.0
2025-09-08,26.24,27.57,27.98,26.03,289404.0
2025-09-09,27.42,26.88,27.95,26.66,191665.0
2025-09-10,26.77,26.54,26.99,25.9,217673.0
2025-09-11,26.44,26.43,27.02,26.14,188346.0
2025-09-12,26.45,26.46,26.73,26.02,126616.0
2025-09-15,26.45,26.28,26.58,25.92,139903.0
2025-09-16,26.42,26.12,26.81,25.9,137950.0
2025-09-17,25.98,26.3,26.5,25.88,98217.0
2025-09-18,26.3,25.87,26.39,25.72,133670.0
2025-09-19,25.89,26.52,26.78,25.87,151836.0
2025-09-22,26.32,25.45,26.35,25.15,316692.0
2025-09-23,25.3,25.05,25.63,24.66,162054.0
2025-09-24,25.0,25.36,25.4,24.73,134471.0
2025-09-25,25.29,25.03,25.44,24.99,205475.0
2025-09-26,24.96,25.53,25.99,24.9,230824.0
2025-09-29,25.5,26.12,26.25,25.44,163755.0
2025-09-30,26.12,26.61,26.79,25.65,150434.0
2025-10-09,26.69,26.87,27.08,25.81,145830.0
2025-10-10,26.79,27.02,27.7,26.67,224543.0
2025-10-13,25.9,26.6,27.07,25.9,185765.0
2025-10-14,26.79,25.5,26.83,25.3,215898.0
2025-10-15,25.63,25.7,25.82,25.4,69054.0
2025-10-16,25.65,25.17,25.75,24.87,197411.0
2025-10-17,25.07,24.63,25.37,24.43,180723.0
2025-10-20,24.77,24.29,24.8,24.06,181798.0
2025-10-21,24.3,24.13,24.45,24.0,167629.0
2025-10-22,24.02,24.11,24.45,24.02,97361.0
2025-10-23,24.2,25.08,25.18,24.05,193358.0
2025-10-24,25.19,24.85,25.54,24.66,158751.0
2025-10-27,24.87,24.66,25.34,24.59,127434.0
2025-10-28,24.66,24.47,25.06,24.4,106941.0
2025-10-29,24.23,25.27,25.41,24.23,146741.0
2025-10-30,25.2,25.75,26.25,24.96,191183.0
2025-10-31,25.87,25.67,26.08,25.64,135542.0
2025-11-03,25.67,25.93,26.2,25.28,149745.0
2025-11-04,25.63,24.73,25.85,24.42,155411.0
2025-11-05,24.51,24.96,25.18,24.41,96932.0
2025-11-06,24.95,25.5,25.7,24.91,154632.0
2025-11-07,25.72,26.57,26.68,25.53,270368.0
2025-11-10,27.32,28.61,29.23,27.32,663573.0
2025-11-11,28.43,28.39,28.67,27.86,261000.0
2025-11-12,28.39,28.66,29.08,28.23,281427.0
2025-11-13,28.66,29.1,29.56,28.18,278456.0
2025-11-14,28.63,28.99,30.09,28.63,359528.0
2025-11-17,28.99,28.97,29.66,28.61,229265.0
2025-11-18,28.85,27.6,29.18,27.31,304682.0
2025-11-19,27.59,28.11,28.27,27.25,186601.0
2025-11-20,27.98,27.74,28.61,27.66,150101.0
2025-11-21,27.5,27.41,27.86,27.11,197702.0
2025-11-24,27.59,27.46,28.04,27.04,162058.0
2025-11-25,27.53,27.39,27.67,27.05,128135.0
2025-11-26,27.33,27.11,27.58,26.97,131392.0
2025-11-27,27.11,28.09,28.16,26.98,207812.0
2025-11-28,28.1,28.27,28.92,27.8,169908.0
2025-12-01,28.29,28.29,28.64,27.92,149074.0
2025-12-02,28.17,28.66,29.1,28.1,163564.0
2025-12-03,28.6,29.05,29.27,28.03,132992.0
2025-12-04,28.95,28.56,29.11,28.45,98131.0
2025-12-05,28.45,29.39,29.68,28.33,148755.0
2025-12-08,29.4,28.7,29.48,28.6,132584.0
