date,open,close,high,low,vol
2025-07-01,58.09,58.9,59.15,57.66,25281.0
2025-07-02,58.91,58.7,59.25,58.28,18216.0
2025-07-03,58.58,58.68,58.99,58.08,19503.0
2025-07-04,58.75,58.12,58.75,57.5,19587.0
2025-07-07,58.03,58.93,59.16,57.97,23300.0
2025-07-08,58.93,57.96,59.5,57.58,44915.0
2025-07-09,58.45,59.11,59.99,57.8,31108.0
2025-07-10,59.11,59.1,60.09,58.85,22235.0
2025-07-11,59.08,59.82,60.25,58.82,24874.0
2025-07-14,59.58,59.26,59.95,59.13,14962.0
2025-07-15,59.02,59.05,59.75,58.8,14621.0
2025-07-16,59.0,59.48,59.9,58.46,17602.0
2025-07-17,59.3,59.66,60.2,59.18,12386.0
2025-07-18,59.86,61.13,61.23,59.71,23728.0
2025-07-21,61.41,61.35,62.5,60.58,25235.0
2025-07-22,61.1,62.48,62.58,60.83,20589.0
2025-07-23,62.56,61.97,63.3,61.77,31523.0
2025-07-24,64.97,64.07,66.22,61.78,52275.0
2025-07-25,63.95,68.15,69.44,63.89,101726.0
2025-07-28,70.0,69.5,70.45,67.3,69812.0
2025-07-29,69.4,70.12,70.14,66.0,55300.0
2025-07-30,69.31,68.6,70.88,67.67,43888.0
2025-07-31,68.09,66.03,68.44,65.05,54725.0
2025-08-01,65.72,67.95,68.06,65.72,49542.0
2025-08-04,67.8,67.85,69.45,67.11,58632.0
2025-08-05,67.99,66.06,68.14,65.55,51219.0
2025-08-06,66.19,66.22,66.48,65.36,38455.0
2025-08-07,66.28,64.69,66.78,64.6,37150.0
2025-08-08,64.98,64.69,66.35,64.21,54572.0
2025-08-11,64.8,65.67,65.98,63.89,40995.0
2025-08-12,65.59,65.0,66.1,64.9,20979.0
2025-08-13,65.1,64.87,65.29,64.5,20829.0
2025-08-14,64.9,64.63,65.98,64.6,21395.0
2025-08-15,64.44,64.94,65.36,64.31,20065.0
2025-08-18,65.11,64.64,65.78,64.3,43627.0
2025-08-19,64.4,63.8,65.43,63.61,40591.0
2025-08-20,63.79,65.5,65.57,63.71,33153.0
2025-08-21,65.4,68.99,70.38,65.11,78190.0
2025-08-22,68.47,69.88,69.98,67.38,47758.0
2025-08-25,69.2,71.25,71.77,68.4,47245.0
2025-08-26,71.19,72.76,74.33,71.01,58221.0
2025-08-27,72.76,73.67,75.25,71.86,42393.0
2025-08-28,73.13,74.18,75.87,72.32,37432.0
2025-08-29,74.0,73.45,74.84,72.87,42414.0
