trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801030.SI,1806.13,1820.35,1803.16,1820.03,1031910000,10204780000
2014-01-03,801030.SI,1813.37,1816.21,1797.12,1803.59,1175220000,11112090000
2014-01-06,801030.SI,1800.06,1800.43,1749.98,1752.00,1176090000,10521350000
2014-01-07,801030.SI,1745.40,1767.54,1741.56,1759.83,966970000,8874640000
2014-01-08,801030.SI,1763.81,1777.07,1748.97,1755.68,1033850000,9776850000
2014-01-09,801030.SI,1753.10,1758.16,1725.09,1725.61,1266310000,11223490000
2014-01-10,801030.SI,1718.92,1721.38,1695.68,1701.71,1084470000,8933800000
2014-01-13,801030.SI,1701.30,1708.19,1674.67,1685.25,923960000,7994080000
2014-01-14,801030.SI,1681.28,1714.22,1677.17,1714.21,1145740000,9554790000
2014-01-15,801030.SI,1711.81,1719.37,1706.40,1717.54,1048760000,9813550000
2014-01-16,801030.SI,1717.55,1726.80,1711.49,1717.87,958100000,9809000000
2014-01-17,801030.SI,1715.04,1717.55,1693.46,1694.80,927490000,8852900000
2014-01-20,801030.SI,1692.92,1700.02,1676.77,1683.35,796920000,7619230000
2014-01-21,801030.SI,1684.09,1701.89,1683.97,1699.94,885270000,8779900000
2014-01-22,801030.SI,1702.20,1741.27,1700.13,1741.27,1313510000,12709380000
2014-01-23,801030.SI,1740.10,1747.74,1736.63,1740.64,1207650000,11686100000
2014-01-24,801030.SI,1736.24,1761.43,1734.43,1756.73,1337430000,12561740000
2014-01-27,801030.SI,1749.37,1761.47,1741.05,1747.91,1183620000,11992750000
2014-01-28,801030.SI,1747.81,1755.36,1731.47,1742.61,970950000,9612530000
2014-01-29,801030.SI,1745.86,1753.21,1745.24,1750.92,979020000,9644050000
2014-01-30,801030.SI,1746.85,1747.05,1728.74,1733.58,766780000,7630640000
2014-02-07,801030.SI,1723.51,1760.20,1717.81,1760.20,1003480000,10029180000
2014-02-10,801030.SI,1767.26,1812.14,1767.16,1812.13,1825080000,17640210000
2014-02-11,801030.SI,1813.58,1826.24,1798.27,1818.00,1958230000,18561740000
2014-02-12,801030.SI,1818.55,1851.25,1817.35,1851.25,1880480000,18197270000
2014-02-13,801030.SI,1851.84,1855.74,1825.46,1825.46,1826110000,18579530000
2014-02-14,801030.SI,1826.68,1856.77,1826.62,1856.60,1699850000,16001230000
2014-02-17,801030.SI,1865.56,1881.18,1861.25,1881.18,1989570000,18732090000
2014-02-18,801030.SI,1881.17,1881.19,1865.82,1874.62,2215280000,22014620000
2014-02-19,801030.SI,1874.91,1895.83,1870.18,1887.63,2427620000,21440520000
2014-02-20,801030.SI,1905.89,1916.23,1880.75,1886.39,2426230000,22229520000
2014-02-21,801030.SI,1883.26,1883.38,1847.21,1861.87,2608050000,20335910000
2014-02-24,801030.SI,1850.95,1851.01,1823.86,1848.79,2080450000,18656690000
2014-02-25,801030.SI,1849.01,1857.65,1771.42,1781.66,2421470000,22273520000
2014-02-26,801030.SI,1775.10,1800.62,1758.60,1800.62,1979500000,17416840000
2014-02-27,801030.SI,1804.91,1822.74,1791.52,1793.67,2709650000,22642370000
2014-02-28,801030.SI,1783.58,1803.68,1761.84,1803.51,2153320000,17960810000
2014-03-03,801030.SI,1801.37,1841.56,1798.39,1841.24,2384620000,19745470000
2014-03-04,801030.SI,1836.01,1843.22,1819.80,1841.83,2101270000,18945580000
2014-03-05,801030.SI,1844.19,1848.08,1826.45,1829.06,1932390000,17045180000
2014-03-06,801030.SI,1823.71,1840.14,1807.29,1835.44,1880050000,16168130000
