date,open,close,high,low,volume
2023-06-01,107.6,118.486,120.643,107.243,158718.0
2023-06-02,120.143,116.75,122.286,116.143,94176.0
2023-06-05,116.693,118.714,123.693,115.822,92778.0
2023-06-06,117.972,113.293,122.114,112.929,96812.0
2023-06-07,113.779,113.072,116.864,111.864,74683.0
2023-06-08,111.336,111.429,113.014,109.279,61478.0
2023-06-09,111.864,110.957,113.179,106.286,104987.0
2023-06-12,109.386,112.329,116.129,109.0,89937.0
2023-06-13,111.857,120.893,126.757,110.65,151534.0
2023-06-14,120.214,123.5,127.986,117.043,126766.0
2023-06-15,125.429,120.843,128.193,119.629,93767.0
2023-06-16,122.572,130.429,131.679,119.25,123239.0
2023-06-19,137.2,142.564,145.9,128.95,176542.0
2023-06-20,142.864,144.0,151.714,138.643,144602.0
2023-06-21,140.429,134.0,143.279,134.0,113718.0
2023-06-26,130.786,123.0,131.857,121.872,115891.0
2023-06-27,123.322,124.45,126.114,121.143,83310.0
2023-06-28,123.164,120.143,123.657,115.514,74793.0
2023-06-29,121.143,117.543,121.857,112.572,81196.0
2023-06-30,116.143,117.772,118.643,114.757,69249.0
2023-07-03,117.529,114.714,117.529,108.336,104896.0
2023-07-04,113.357,112.779,114.693,110.879,70569.0
2023-07-05,112.572,111.643,114.343,110.857,60565.0
2023-07-06,111.643,112.743,115.643,110.872,72324.0
2023-07-07,112.214,110.607,113.057,107.929,67582.0
2023-07-10,111.464,110.364,111.779,109.064,40165.0
2023-07-11,110.264,110.607,113.343,109.45,55018.0
2023-07-12,109.85,105.322,110.357,105.007,84619.0
2023-07-13,107.043,108.786,109.429,105.307,68160.0
2023-07-14,109.714,113.65,116.714,109.164,112299.0
2023-07-17,111.893,111.629,113.857,110.472,36301.0
2023-07-18,111.707,111.4,112.922,110.472,29934.0
2023-07-19,116.757,110.5,117.572,110.036,65423.0
2023-07-20,109.714,105.864,110.429,105.114,68615.0
2023-07-21,104.714,104.922,106.964,103.786,38376.0
2023-07-24,104.0,105.064,107.772,103.679,34743.0
2023-07-25,113.286,119.829,119.929,111.214,181698.0
2023-07-26,116.857,115.0,117.264,110.843,100384.0
2023-07-27,112.857,110.093,114.343,109.15,72162.0
2023-07-28,109.3,129.786,131.857,109.007,209508.0
2023-07-31,132.572,127.572,135.057,126.0,189217.0
2023-08-01,125.429,123.743,130.286,120.643,148898.0
2023-08-02,123.286,124.643,128.643,121.407,106781.0
2023-08-03,125.429,131.072,134.472,122.029,144145.0
2023-08-04,135.743,132.214,145.286,129.722,235923.0
2023-08-07,129.8,130.7,133.272,127.593,109705.0
2023-08-08,129.636,125.507,130.4,124.364,113984.0
2023-08-09,124.272,124.15,127.229,123.822,70294.0
2023-08-10,124.0,128.336,128.372,123.5,100667.0
2023-08-11,127.929,121.779,127.929,121.257,99398.0
2023-08-14,117.757,121.964,124.393,117.5,71887.0
2023-08-15,119.714,124.714,125.0,119.036,75517.0
2023-08-16,122.072,122.786,128.829,120.75,80987.0
2023-08-17,121.143,118.329,122.486,116.486,93103.0
2023-08-18,119.714,116.843,122.75,116.843,66148.0
2023-08-21,115.093,111.229,116.15,109.636,96136.0
2023-08-22,112.943,113.136,113.993,109.857,82189.0
2023-08-23,111.643,107.5,112.036,107.286,86683.0
2023-08-24,108.636,112.572,116.043,108.279,111811.0
2023-08-25,112.672,109.2,113.264,108.143,72355.0
2023-08-28,131.857,113.643,131.857,112.7,203244.0
2023-08-29,111.857,115.529,119.607,109.314,143799.0
2023-08-30,114.0,114.793,116.822,112.272,89873.0
2023-08-31,113.436,112.107,115.8,111.857,65513.0
2023-09-01,112.214,111.393,113.643,111.0,46260.0
2023-09-04,111.857,111.543,113.622,109.0,63850.0
2023-09-05,110.822,108.143,110.822,107.579,72969.0
2023-09-06,108.157,104.536,108.157,104.0,89608.0
2023-09-07,104.0,105.057,106.757,103.714,62505.0
2023-09-08,104.693,107.907,108.293,103.836,63330.0
2023-09-11,107.193,108.679,109.564,105.407,62558.0
2023-09-12,107.429,105.364,108.907,104.472,54832.0
2023-09-13,104.993,99.436,105.179,98.207,111892.0
2023-09-14,99.0,97.286,99.443,95.086,95043.0
2023-09-15,97.572,96.0,98.286,95.443,59326.0
2023-09-18,95.15,96.143,97.236,94.714,48323.0
2023-09-19,96.143,95.407,96.264,94.214,41201.0
2023-09-20,95.214,94.479,97.5,94.214,41655.0
2023-09-21,94.486,93.629,96.036,93.386,49281.0
2023-09-22,93.572,101.157,101.886,93.493,149029.0
2023-09-25,99.879,97.143,100.222,96.714,72785.0
2023-09-26,97.15,98.964,101.129,97.136,73084.0
2023-09-27,99.0,100.343,101.379,98.7,51404.0
2023-09-28,100.786,99.329,101.372,98.114,42764.0
2023-10-09,98.214,99.429,100.343,95.65,50657.0
2023-10-10,99.714,100.214,102.007,99.714,42368.0
2023-10-11,100.572,101.579,104.043,100.293,57805.0
2023-10-12,105.429,102.372,108.722,101.379,78117.0
2023-10-13,101.15,100.514,101.764,99.786,42635.0
2023-10-16,100.514,99.75,101.072,98.814,34714.0
2023-10-17,99.829,101.693,102.929,98.107,56418.0
2023-10-18,99.736,98.436,100.2,96.857,47942.0
2023-10-19,97.586,97.822,101.25,97.579,55497.0
2023-10-20,95.443,96.822,99.143,95.443,45599.0
2023-10-23,95.429,91.143,95.429,89.714,73118.0
2023-10-24,91.857,95.572,97.057,91.357,85558.0
2023-10-25,96.672,92.143,97.2,91.343,73032.0
2023-10-26,91.143,90.186,91.143,88.572,61472.0
2023-10-27,89.357,93.386,94.129,88.564,71687.0
2023-10-30,92.429,93.714,94.572,92.0,55000.0
2023-10-31,94.1,92.993,94.443,92.329,40865.0
2023-11-01,94.114,91.993,94.572,91.857,35093.0
2023-11-02,91.857,90.486,93.793,90.35,43409.0
2023-11-03,90.579,91.65,92.922,90.064,51031.0
2023-11-06,93.622,99.1,100.072,93.222,132791.0
2023-11-07,97.85,99.129,99.893,97.35,75874.0
2023-11-08,99.15,100.907,103.179,98.414,88993.0
2023-11-09,100.557,100.057,101.936,99.836,43847.0
2023-11-10,99.622,99.614,100.25,97.879,45038.0
2023-11-13,100.072,101.2,102.757,99.714,63027.0
2023-11-14,100.5,101.857,104.393,100.5,63327.0
2023-11-15,104.1,101.5,105.25,101.157,65560.0
2023-11-16,100.429,99.493,102.072,99.493,41735.0
2023-11-17,99.643,100.129,100.786,98.857,31574.0
2023-11-20,100.336,99.279,100.464,97.379,53530.0
2023-11-21,99.572,100.057,103.129,99.436,64960.0
2023-11-22,99.079,97.572,100.557,97.572,40432.0
2023-11-23,96.857,95.072,97.329,94.143,64393.0
2023-11-24,95.079,93.486,95.414,93.022,38924.0
2023-11-27,92.936,93.379,94.557,92.85,34127.0
2023-11-28,93.6,93.793,94.857,92.643,34913.0
2023-11-29,93.8,92.943,94.593,92.864,35565.0
