date,open,close,high,low,volume
2023-06-01,122.91,126.15,127.15,120.98,34904.0
2023-06-02,126.18,130.1,133.16,125.68,39031.0
2023-06-05,128.76,126.09,130.1,125.68,27550.0
2023-06-06,126.4,122.03,127.28,121.38,22711.0
2023-06-07,122.22,122.13,124.42,121.0,21441.0
2023-06-08,121.78,120.43,122.18,119.34,17328.0
2023-06-09,121.11,123.23,124.44,120.26,24989.0
2023-06-12,122.78,123.98,125.15,121.91,19500.0
2023-06-13,123.78,126.76,127.66,122.09,24712.0
2023-06-14,126.36,126.73,128.26,125.18,19169.0
2023-06-15,127.48,121.69,127.55,121.15,36825.0
2023-06-16,121.78,126.28,128.66,120.17,44797.0
2023-06-19,126.29,126.26,127.66,124.53,27774.0
2023-06-20,125.92,127.83,128.59,125.65,32752.0
2023-06-21,127.03,120.97,127.47,120.91,34138.0
2023-06-26,120.78,113.93,121.25,113.37,38488.0
2023-06-27,117.28,113.9,117.66,113.58,25640.0
2023-06-28,113.9,112.49,115.27,109.28,31390.0
2023-06-29,112.11,113.08,115.25,110.78,19850.0
2023-06-30,112.76,113.03,113.74,111.52,17709.0
2023-07-03,113.78,115.2,115.55,111.08,23279.0
2023-07-04,114.59,113.63,116.36,113.28,32141.0
2023-07-05,113.53,111.89,114.78,111.78,18562.0
2023-07-06,112.01,110.84,113.35,110.78,16444.0
2023-07-07,110.38,108.07,110.38,107.17,23722.0
2023-07-10,108.6,109.29,110.78,106.57,13852.0
2023-07-11,108.99,109.58,111.05,108.78,9875.0
2023-07-12,110.18,105.88,110.65,105.78,19250.0
2023-07-13,105.99,106.58,107.74,105.35,20210.0
2023-07-14,106.44,113.59,115.36,106.44,36864.0
2023-07-17,115.44,112.8,117.25,111.66,20670.0
2023-07-18,112.79,111.76,113.65,111.4,11006.0
2023-07-19,111.41,110.87,112.88,110.8,10045.0
2023-07-20,111.63,108.33,112.28,108.28,16642.0
2023-07-21,108.67,107.9,108.87,106.98,7542.0
2023-07-24,107.98,107.69,109.28,107.08,9608.0
2023-07-25,108.29,111.55,112.76,108.16,26843.0
2023-07-26,110.66,110.38,112.12,108.78,20126.0
2023-07-27,110.17,107.33,110.26,107.0,13548.0
2023-07-28,106.88,110.48,110.96,106.55,16554.0
2023-07-31,110.33,112.75,114.28,109.78,22628.0
2023-08-01,112.34,112.98,113.89,111.91,11912.0
2023-08-02,112.97,112.85,113.28,111.47,11410.0
2023-08-03,112.5,113.62,114.31,112.38,14112.0
2023-08-04,114.28,117.17,118.08,114.28,25605.0
2023-08-07,116.2,116.33,118.68,115.9,15354.0
2023-08-08,116.77,116.26,116.78,114.28,18422.0
2023-08-09,116.59,115.48,117.66,114.94,14149.0
2023-08-10,115.48,116.14,116.99,114.79,9283.0
2023-08-11,116.38,113.38,116.77,113.36,12081.0
2023-08-14,112.62,115.48,115.73,111.8,15395.0
2023-08-15,114.8,114.38,116.22,112.83,11978.0
2023-08-16,113.76,112.28,114.98,111.9,15853.0
2023-08-17,112.73,112.2,113.18,110.88,9901.0
2023-08-18,112.16,108.96,112.77,108.96,9775.0
2023-08-21,108.93,107.37,110.66,106.84,17325.0
2023-08-22,109.53,111.16,112.35,106.78,22407.0
2023-08-23,111.16,106.89,112.06,106.79,16676.0
2023-08-24,106.89,105.55,108.24,104.4,22523.0
2023-08-25,104.55,102.41,105.48,101.8,19460.0
2023-08-28,108.78,101.94,109.78,101.57,25481.0
2023-08-29,101.45,104.48,105.58,101.35,24401.0
2023-08-30,104.48,107.38,108.26,103.99,21802.0
2023-08-31,106.89,108.86,110.2,106.39,22972.0
2023-09-01,109.89,105.84,110.05,105.38,15771.0
2023-09-04,105.84,106.54,107.57,104.99,16300.0
2023-09-05,106.47,106.43,107.77,105.79,10870.0
2023-09-06,105.78,106.26,106.98,105.13,8452.0
2023-09-07,105.79,103.79,106.24,103.78,9701.0
2023-09-08,103.28,102.13,104.27,100.98,16659.0
2023-09-11,102.0,102.9,105.48,100.58,17830.0
2023-09-12,102.75,101.33,103.28,100.83,12487.0
2023-09-13,100.99,99.07,101.51,98.18,19894.0
2023-09-14,99.07,98.08,99.23,96.36,18356.0
2023-09-15,97.99,96.72,98.26,96.17,15679.0
2023-09-18,96.13,95.95,97.36,95.28,17025.0
2023-09-19,95.54,93.84,96.67,93.84,10043.0
2023-09-20,93.71,93.25,95.82,93.17,16766.0
2023-09-21,92.72,92.79,94.27,92.4,11962.0
2023-09-22,92.33,94.72,95.38,91.79,19028.0
2023-09-25,95.05,92.99,95.05,92.03,20514.0
2023-09-26,92.82,92.47,95.06,92.46,21385.0
2023-09-27,93.78,92.08,93.78,92.02,16327.0
2023-09-28,91.88,93.09,93.76,91.8,18995.0
2023-10-09,92.87,93.3,94.05,91.6,16634.0
2023-10-10,93.78,92.32,94.3,91.9,17948.0
2023-10-11,92.45,90.81,93.17,90.53,40515.0
2023-10-12,91.57,90.44,91.78,89.89,25651.0
2023-10-13,89.89,89.04,90.28,88.08,21256.0
2023-10-16,88.96,88.05,89.76,87.25,15991.0
2023-10-17,88.38,88.04,90.43,87.11,16305.0
2023-10-18,87.78,86.48,87.79,85.5,20551.0
2023-10-19,85.71,86.32,88.66,85.61,21135.0
2023-10-20,85.03,83.88,86.42,83.51,23151.0
2023-10-23,83.69,81.8,89.44,81.31,26252.0
2023-10-24,81.84,81.91,83.59,80.73,19416.0
2023-10-25,82.3,82.51,84.55,82.0,18728.0
2023-10-26,83.13,82.0,83.72,81.23,18703.0
2023-10-27,81.88,82.28,82.61,80.22,33115.0
2023-10-30,81.6,84.76,85.34,81.6,26773.0
2023-10-31,84.78,83.68,84.97,82.58,21765.0
2023-11-01,83.78,82.51,84.38,82.43,15747.0
2023-11-02,82.29,81.48,83.27,81.33,15398.0
2023-11-03,81.66,83.29,84.26,81.28,20087.0
2023-11-06,83.93,85.77,86.32,83.61,30976.0
2023-11-07,85.68,86.78,87.46,84.58,31795.0
2023-11-08,86.28,88.12,90.76,86.28,36934.0
2023-11-09,88.29,87.95,89.09,86.67,21442.0
2023-11-10,87.31,86.63,87.95,86.57,13883.0
2023-11-13,86.71,87.9,88.58,86.56,20072.0
2023-11-14,87.91,89.58,90.53,87.77,21627.0
2023-11-15,89.91,88.85,90.66,88.48,13603.0
2023-11-16,88.5,87.75,89.77,87.67,12073.0
2023-11-17,87.52,87.43,88.66,86.88,10801.0
2023-11-20,87.58,88.43,89.38,86.64,12472.0
2023-11-21,88.49,87.42,89.27,87.32,18110.0
2023-11-22,86.99,87.13,89.21,86.99,19305.0
2023-11-23,86.8,87.63,88.26,85.28,18279.0
2023-11-24,87.63,85.41,87.98,85.29,14457.0
2023-11-27,84.64,84.58,86.07,84.14,14179.0
2023-11-28,84.79,85.68,86.5,84.28,16521.0
2023-11-29,85.38,84.59,86.42,84.46,12706.0
2023-11-30,84.71,84.18,85.13,83.58,11985.0
2023-12-01,84.08,85.98,86.77,83.3,15959.0
2023-12-04,86.26,86.13,87.17,85.7,14016.0
2023-12-05,85.78,82.48,86.12,82.34,16181.0
2023-12-06,82.65,82.64,83.66,80.99,15040.0
2023-12-07,82.22,82.29,83.78,81.5,16189.0
2023-12-08,82.32,84.17,84.36,82.16,28978.0
2023-12-11,83.75,85.14,85.22,80.78,21021.0
2023-12-12,85.28,84.36,85.57,83.83,12700.0
2023-12-13,83.97,81.44,84.42,81.28,18750.0
2023-12-14,81.62,80.47,82.55,80.19,16294.0
2023-12-15,80.37,77.88,81.15,77.78,28906.0
2023-12-18,77.88,75.47,78.18,74.99,37120.0
2023-12-19,75.48,73.78,75.67,72.68,54373.0
2023-12-20,74.28,71.54,74.55,71.42,38877.0
2023-12-21,71.54,72.77,73.98,71.29,38649.0
2023-12-22,72.73,70.78,73.06,70.18,45582.0
2023-12-25,70.79,70.41,72.78,70.29,32652.0
2023-12-26,69.82,70.06,70.66,69.24,26433.0
2023-12-27,70.06,69.73,70.65,69.09,23242.0
2023-12-28,69.47,72.4,73.17,68.97,48923.0
2023-12-29,72.64,72.07,72.86,71.43,39154.0
2024-01-02,72.14,69.11,72.68,68.86,44963.0
2024-01-03,68.75,67.55,69.84,67.12,40473.0
2024-01-04,67.61,66.44,68.08,66.24,40862.0
2024-01-05,66.57,66.38,66.95,65.89,35730.0
2024-01-08,65.84,64.65,66.4,64.48,30757.0
2024-01-09,64.68,64.28,65.78,63.81,34494.0
2024-01-10,63.93,63.28,64.51,62.99,30954.0
2024-01-11,63.43,65.71,66.78,63.43,48655.0
2024-01-12,65.25,65.08,65.52,64.54,29602.0
2024-01-15,64.79,64.13,65.28,63.91,21450.0
2024-01-16,64.58,64.13,65.22,62.85,32696.0
2024-01-17,63.79,62.28,65.18,62.28,31777.0
2024-01-18,61.83,63.56,63.77,61.45,42025.0
2024-01-19,63.28,62.97,64.16,62.65,24235.0
2024-01-22,62.58,59.95,62.62,59.58,41131.0
2024-01-23,59.95,60.61,61.51,59.59,33799.0
2024-01-24,60.83,60.83,61.16,58.59,36842.0
2024-01-25,60.66,62.38,62.58,59.63,30057.0
2024-01-26,62.23,61.49,62.59,61.39,22590.0
2024-01-29,61.48,59.88,61.99,59.62,23970.0
2024-01-30,59.56,57.98,61.76,57.86,30571.0
2024-01-31,56.78,54.39,57.77,54.36,44630.0
2024-02-01,54.05,54.44,56.04,53.48,42661.0
2024-02-02,54.45,52.77,55.38,50.96,40763.0
2024-02-05,52.89,51.68,53.97,48.39,57159.0
2024-02-06,51.37,53.88,54.36,50.86,51268.0
2024-02-07,53.83,55.43,56.84,53.28,62751.0
2024-02-08,55.8,58.01,58.03,54.87,56451.0
2024-02-19,58.98,59.32,59.48,57.51,47322.0
2024-02-20,59.08,59.49,59.94,57.8,32016.0
2024-02-21,58.78,59.78,61.43,58.4,28492.0
2024-02-22,59.98,61.16,62.04,59.98,27848.0
2024-02-23,62.28,61.49,62.28,60.41,25893.0
2024-02-26,60.77,61.01,61.68,60.44,29743.0
2024-02-27,61.01,63.81,63.81,60.45,41300.0
2024-02-28,64.49,60.56,66.73,60.09,65768.0
2024-02-29,59.67,63.18,63.46,59.54,44148.0
2024-03-01,63.19,65.23,65.37,62.78,43963.0
2024-03-04,65.33,63.97,66.13,63.34,39028.0
2024-03-05,63.39,62.76,63.96,61.95,34368.0
2024-03-06,62.58,61.57,63.36,61.48,37413.0
2024-03-07,62.04,59.62,62.15,59.61,35405.0
2024-03-08,59.87,59.48,60.66,58.47,38776.0
2024-03-11,59.18,62.96,62.97,57.98,53579.0
2024-03-12,62.96,62.93,63.91,61.99,43700.0
2024-03-13,63.18,69.76,74.56,63.18,151936.0
2024-03-14,68.28,68.59,68.78,65.56,149145.0
2024-03-15,67.88,68.13,69.2,66.48,88646.0
2024-03-18,68.28,68.0,68.39,65.71,90475.0
2024-03-19,67.98,72.2,74.28,67.48,154701.0
2024-03-20,74.78,78.26,78.66,72.58,201345.0
2024-03-21,82.78,76.28,85.07,76.28,258744.0
2024-03-22,76.69,78.58,81.78,74.86,200925.0
2024-03-25,78.77,70.08,78.78,69.78,185954.0
2024-03-26,68.68,65.68,70.19,64.78,182849.0
2024-03-27,65.38,61.0,65.7,60.89,126148.0
2024-03-28,61.03,62.85,63.89,61.03,102309.0
2024-03-29,61.95,61.78,62.48,60.66,68587.0
2024-04-01,62.07,63.01,63.24,61.98,70543.0
2024-04-02,62.98,60.04,62.98,59.66,96752.0
2024-04-03,59.88,57.75,59.99,57.75,74980.0
2024-04-08,57.48,57.04,57.78,56.02,59945.0
2024-04-09,57.78,58.98,59.48,57.14,67245.0
2024-04-10,58.66,56.95,60.33,56.77,67591.0
2024-04-11,56.58,57.73,58.38,56.28,54430.0
2024-04-12,57.77,57.4,59.16,57.4,49229.0
2024-04-15,57.3,55.71,57.98,54.66,71099.0
2024-04-16,55.23,53.37,55.84,53.31,66231.0
2024-04-17,54.06,55.49,56.07,54.06,55813.0
2024-04-18,55.28,54.48,55.95,53.87,51152.0
