date,open,close,high,low,volume
2023-06-01,94.384,99.004,99.634,94.104,212128.0
2023-06-02,99.384,100.084,104.774,99.004,216976.0
2023-06-05,98.884,99.154,101.734,98.324,122012.0
2023-06-06,98.664,93.514,99.234,93.264,157193.0
2023-06-07,94.404,93.804,95.654,92.904,95518.0
2023-06-08,97.374,94.704,99.564,93.694,124960.0
2023-06-09,95.654,96.654,96.934,92.154,123012.0
2023-06-12,98.594,103.264,105.684,98.094,266604.0
2023-06-13,103.234,104.544,106.044,101.894,176179.0
2023-06-14,104.384,103.364,105.764,101.904,103361.0
2023-06-15,103.354,103.234,107.184,102.814,127707.0
2023-06-16,101.704,107.014,110.084,99.384,216962.0
2023-06-19,110.044,110.684,114.864,108.584,258605.0
2023-06-20,108.664,111.174,112.184,107.664,134941.0
2023-06-21,110.734,106.084,111.234,105.984,118301.0
2023-06-26,104.364,102.084,109.364,101.384,131156.0
2023-06-27,102.404,103.684,104.384,100.894,81365.0
2023-06-28,102.384,94.494,102.384,91.874,195753.0
2023-06-29,94.474,96.444,97.884,94.064,103055.0
2023-06-30,96.184,95.734,96.594,92.854,106774.0
2023-07-03,96.034,96.964,99.554,95.794,90260.0
2023-07-04,95.884,108.434,111.924,95.384,253965.0
2023-07-05,109.424,104.174,110.374,103.564,157766.0
2023-07-06,103.174,105.054,107.014,102.584,113478.0
2023-07-07,104.234,100.504,105.054,98.724,121039.0
2023-07-10,101.414,100.504,102.684,99.664,79526.0
2023-07-11,99.904,104.464,105.544,98.164,139251.0
2023-07-12,104.464,100.684,106.004,100.384,105578.0
2023-07-13,100.714,99.184,101.384,97.534,136405.0
2023-07-14,99.084,99.454,100.724,98.494,84012.0
2023-07-17,98.374,96.624,98.374,96.384,72591.0
2023-07-18,97.184,96.684,98.254,96.564,52357.0
2023-07-19,97.684,97.504,99.154,96.704,53611.0
2023-07-20,97.284,90.904,97.434,90.714,132667.0
2023-07-21,90.584,89.034,90.774,88.004,80627.0
2023-07-24,88.504,88.764,89.914,88.184,52610.0
2023-07-25,89.834,89.914,91.214,88.694,85839.0
2023-07-26,89.384,87.584,89.434,87.214,69058.0
2023-07-27,90.384,87.334,91.814,87.334,88863.0
2023-07-28,86.374,88.384,89.264,84.984,81867.0
2023-07-31,88.384,89.734,90.554,87.024,59923.0
2023-08-01,89.774,88.684,89.774,87.684,51625.0
2023-08-02,88.414,88.694,89.394,87.764,33598.0
2023-08-03,88.384,87.904,89.064,87.624,40112.0
2023-08-04,87.884,89.444,90.384,87.384,72580.0
2023-08-07,89.744,89.984,91.234,89.144,67296.0
2023-08-08,89.724,89.364,90.404,89.244,38538.0
2023-08-09,89.284,87.234,89.574,86.974,60299.0
2023-08-10,87.194,86.994,87.604,85.884,45291.0
2023-08-11,86.884,85.074,87.414,85.044,38267.0
2023-08-14,83.884,85.734,85.964,83.494,43442.0
2023-08-15,85.874,83.264,86.044,82.744,58084.0
2023-08-16,84.144,81.924,84.764,81.824,64330.0
2023-08-17,81.884,82.124,82.884,80.884,48779.0
2023-08-18,82.214,79.804,82.394,79.804,58784.0
2023-08-21,79.394,79.644,80.884,79.234,40220.0
2023-08-22,80.384,80.164,80.844,77.284,79808.0
2023-08-23,79.994,76.494,79.994,76.484,60060.0
2023-08-24,77.384,76.834,78.344,76.804,51280.0
2023-08-25,76.284,74.104,76.284,73.494,66128.0
2023-08-28,79.384,73.864,80.264,73.724,88043.0
2023-08-29,73.514,77.624,78.384,73.264,82421.0
2023-08-30,77.694,79.624,80.684,77.694,80927.0
2023-08-31,79.504,79.454,80.974,78.504,50122.0
2023-09-01,79.434,79.214,80.154,78.704,31611.0
2023-09-04,79.694,80.294,80.354,78.184,43812.0
2023-09-05,80.364,80.264,81.884,79.894,56211.0
2023-09-06,79.364,81.284,81.904,78.984,55471.0
2023-09-07,80.744,79.084,80.824,78.854,46917.0
2023-09-08,78.034,79.304,79.884,77.824,43620.0
2023-09-11,79.634,82.264,83.594,79.274,96339.0
2023-09-12,83.584,82.404,84.954,82.284,102656.0
2023-09-13,81.384,77.384,81.534,76.294,117062.0
2023-09-14,77.894,76.384,78.214,75.784,55218.0
2023-09-15,76.194,75.624,77.204,75.384,45131.0
2023-09-18,75.254,77.054,79.054,75.244,66856.0
2023-09-19,77.074,75.384,77.154,75.014,42095.0
2023-09-20,75.044,75.344,76.264,74.984,29206.0
2023-09-21,75.134,74.334,75.684,74.124,37634.0
2023-09-22,74.174,76.024,76.344,73.584,48555.0
2023-09-25,76.224,76.084,76.884,74.954,53295.0
2023-09-26,76.084,75.664,77.344,75.204,42455.0
2023-09-27,75.414,75.194,76.354,74.984,45127.0
2023-09-28,75.484,75.954,76.664,75.234,40822.0
2023-10-09,77.384,78.384,79.154,76.484,72134.0
2023-10-10,78.184,79.134,79.984,77.604,71707.0
2023-10-11,79.474,78.434,79.474,77.684,59582.0
2023-10-12,78.464,78.634,79.164,78.234,33837.0
2023-10-13,77.984,77.054,78.284,76.784,45725.0
2023-10-16,76.954,74.554,77.264,73.934,53656.0
2023-10-17,74.444,74.304,75.544,73.894,35222.0
2023-10-18,73.724,69.864,73.784,66.264,112591.0
2023-10-19,69.454,69.344,71.884,69.184,64044.0
2023-10-20,68.934,67.044,70.064,66.944,52690.0
2023-10-23,66.684,66.044,67.384,64.934,63502.0
2023-10-24,66.384,66.884,67.474,65.134,58208.0
2023-10-25,67.264,66.884,67.604,66.384,69968.0
2023-10-26,66.454,67.414,67.654,65.804,49324.0
2023-10-27,66.884,67.534,67.994,66.484,62222.0
2023-10-30,67.534,69.824,70.254,67.234,79879.0
2023-10-31,69.834,69.574,69.854,68.694,46647.0
2023-11-01,69.784,72.324,75.234,69.784,147686.0
2023-11-02,73.114,77.174,79.214,73.114,214486.0
2023-11-03,78.834,78.534,79.254,77.384,123096.0
2023-11-06,79.414,80.874,81.154,78.384,132784.0
2023-11-07,80.384,83.234,84.044,80.184,116955.0
2023-11-08,83.074,82.194,84.384,81.784,88558.0
2023-11-09,81.794,81.264,82.694,80.884,59350.0
2023-11-10,80.394,80.034,81.264,79.904,50490.0
2023-11-13,80.984,83.584,84.284,80.894,91973.0
2023-11-14,83.684,87.064,87.634,83.244,108526.0
2023-11-15,87.554,86.874,89.944,85.934,95813.0
2023-11-16,86.234,85.434,87.384,85.264,50549.0
2023-11-17,85.284,87.694,88.754,85.034,71830.0
2023-11-20,87.694,86.164,88.044,86.154,50942.0
2023-11-21,86.284,85.604,87.254,84.904,65169.0
2023-11-22,85.084,83.884,85.884,83.864,42895.0
2023-11-23,84.064,85.214,86.174,82.854,51169.0
2023-11-24,84.834,82.354,85.644,82.284,50496.0
2023-11-27,82.084,82.014,82.974,81.044,45650.0
2023-11-28,81.884,81.304,82.484,80.394,50333.0
2023-11-29,81.304,80.384,81.864,80.184,35608.0
2023-11-30,80.184,79.584,80.634,78.874,39872.0
2023-12-01,79.884,81.484,81.744,79.404,58274.0
2023-12-04,81.664,81.884,83.424,80.094,69836.0
2023-12-05,81.434,79.334,81.854,79.274,36480.0
