date,open,close,high,low,volume
2023-06-01,19.72,20.43,20.8,19.69,334271.0
2023-06-02,20.45,20.65,20.79,20.31,219284.0
2023-06-05,20.68,20.46,20.76,20.45,172135.0
2023-06-06,21.03,20.07,21.18,19.96,457943.0
2023-06-07,20.06,20.43,20.69,19.7,261006.0
2023-06-08,20.27,20.0,20.31,19.7,220213.0
2023-06-09,20.0,20.44,20.53,19.86,243929.0
2023-06-12,20.44,20.54,20.69,20.3,190356.0
2023-06-13,20.53,21.05,21.1,20.37,287074.0
2023-06-14,21.1,20.99,21.21,20.81,190656.0
2023-06-15,20.98,20.91,21.09,20.74,176591.0
2023-06-16,20.93,21.71,21.94,20.7,389932.0
2023-06-19,21.77,22.76,23.08,21.6,591940.0
2023-06-20,22.61,23.13,23.51,22.5,482155.0
2023-06-21,23.36,22.52,23.54,22.5,341881.0
2023-06-26,22.36,21.61,22.58,21.5,327041.0
2023-06-27,21.67,21.12,21.7,20.78,291844.0
2023-06-28,21.08,20.41,21.08,19.99,275683.0
2023-06-29,20.34,20.66,20.8,20.01,255206.0
2023-06-30,20.58,20.5,21.23,20.4,307352.0
2023-07-03,20.65,20.6,20.75,19.99,225121.0
2023-07-04,20.46,20.73,20.78,20.44,169579.0
2023-07-05,20.7,20.23,20.88,20.21,212543.0
2023-07-06,20.12,20.06,20.47,20.05,171899.0
2023-07-07,20.01,19.94,20.14,19.55,208600.0
2023-07-10,20.04,19.81,20.09,19.77,186137.0
2023-07-11,19.81,19.88,19.95,19.79,104781.0
2023-07-12,19.96,19.31,19.96,19.29,232072.0
2023-07-13,19.44,19.51,19.65,19.28,219102.0
2023-07-14,19.44,19.2,19.67,19.18,285107.0
2023-07-17,18.88,19.39,19.5,18.65,220043.0
2023-07-18,19.28,18.93,19.42,18.9,281655.0
2023-07-19,18.8,18.83,19.17,18.76,229299.0
2023-07-20,18.83,18.39,18.86,18.35,298147.0
2023-07-21,18.25,18.11,18.44,18.09,224713.0
2023-07-24,18.05,18.14,18.28,18.04,154834.0
2023-07-25,18.32,18.84,18.91,18.28,346629.0
2023-07-26,18.66,18.48,18.8,18.39,239252.0
