date,open,close,high,low,volume
2023-06-01,432.551,467.241,487.231,432.551,7664318.0
2023-06-02,466.241,467.241,477.891,456.701,3710616.0
2023-06-05,484.241,476.291,501.751,470.241,5949833.0
2023-06-06,476.241,447.441,476.241,445.241,5492797.0
2023-06-07,446.571,446.241,454.241,442.281,3259387.0
2023-06-08,437.241,445.131,446.741,430.241,3198660.0
2023-06-09,446.121,490.741,490.741,438.251,6423373.0
2023-06-12,480.521,484.241,485.141,459.241,6047418.0
2023-06-13,478.811,476.611,501.241,466.671,4657680.0
2023-06-14,465.721,467.451,477.931,455.121,6393552.0
2023-06-15,473.241,446.241,476.241,440.421,5415734.0
2023-06-16,443.721,482.041,489.241,442.451,6374937.0
2023-06-19,474.241,480.241,496.241,454.241,8056620.0
2023-06-20,480.231,513.241,526.741,469.421,6365249.0
2023-06-21,511.141,493.741,516.241,487.351,4109915.0
2023-06-26,485.081,473.951,501.261,470.991,4474208.0
2023-06-27,478.041,500.791,514.241,466.321,5046618.0
2023-06-28,496.721,479.241,501.251,459.241,5842672.0
2023-06-29,471.241,468.681,481.081,456.241,3579189.0
2023-06-30,462.741,468.461,478.241,454.541,3651544.0
2023-07-03,466.321,447.121,466.321,419.251,6666311.0
2023-07-04,446.941,452.241,465.021,433.591,3395342.0
2023-07-05,454.241,454.241,463.901,447.641,2303934.0
2023-07-06,453.741,445.481,468.901,443.121,4067907.0
2023-07-07,445.421,443.241,455.671,421.391,5319195.0
2023-07-10,438.541,442.971,444.221,431.971,2122487.0
2023-07-11,444.971,433.981,448.581,432.961,2883972.0
2023-07-12,427.081,421.671,435.841,421.321,4020284.0
2023-07-13,424.751,428.471,432.961,412.071,3625222.0
2023-07-14,432.071,436.201,454.361,432.071,3916328.0
2023-07-17,433.971,437.571,448.771,430.991,2229078.0
2023-07-18,433.571,429.971,435.841,425.521,2541249.0
2023-07-19,471.971,447.971,480.331,444.001,9555653.0
2023-07-20,445.861,427.981,446.911,425.981,4458519.0
2023-07-21,419.381,422.961,437.961,418.971,3205423.0
2023-07-24,421.971,412.331,427.971,410.001,3957163.0
2023-07-25,416.971,425.981,432.351,409.971,4040060.0
2023-07-26,418.971,407.971,418.971,400.771,3572782.0
2023-07-27,407.271,401.971,409.491,398.061,2280902.0
2023-07-28,403.971,408.971,409.741,397.971,2575915.0
2023-07-31,403.971,402.971,409.481,388.471,4082871.0
2023-08-01,399.971,410.471,416.961,396.971,2964814.0
2023-08-02,406.171,411.741,416.851,405.671,1425272.0
2023-08-03,404.331,413.981,417.571,402.171,1575508.0
2023-08-04,410.971,425.491,429.761,410.971,2737858.0
2023-08-07,423.171,429.021,438.471,423.171,1814038.0
2023-08-08,431.871,433.471,444.821,428.311,2460415.0
2023-08-09,431.931,421.421,435.471,420.971,1847262.0
2023-08-10,416.711,410.991,418.951,404.481,2794489.0
2023-08-11,410.411,405.131,415.941,404.971,1484214.0
2023-08-14,404.711,405.971,408.841,396.081,2516706.0
2023-08-15,409.141,402.811,413.651,399.971,1818724.0
2023-08-16,403.951,372.271,405.471,370.971,5779527.0
2023-08-17,379.401,378.471,381.571,372.471,4354997.0
2023-08-18,380.971,365.381,383.971,364.471,3569070.0
2023-08-21,364.971,367.541,373.951,360.471,2462018.0
2023-08-22,369.951,378.321,381.431,365.721,2848797.0
2023-08-23,380.891,369.431,382.471,366.971,2439848.0
2023-08-24,369.971,367.991,380.521,367.041,2782575.0
2023-08-25,362.201,353.371,362.971,347.061,4347937.0
2023-08-28,373.971,355.081,376.851,352.981,3663171.0
2023-08-29,351.391,376.981,380.851,351.391,4566384.0
2023-08-30,383.221,386.821,389.971,377.331,3590736.0
2023-08-31,387.071,391.571,403.971,383.881,3234075.0
2023-09-01,387.151,383.961,391.971,377.171,2057990.0
2023-09-04,385.971,383.141,385.971,374.991,2261868.0
2023-09-05,379.961,368.331,381.871,367.471,3012132.0
2023-09-06,367.471,366.231,368.681,359.171,2451452.0
2023-09-07,365.481,359.031,373.191,358.121,2523760.0
2023-09-08,356.991,351.961,359.991,350.691,1498484.0
2023-09-11,351.791,364.651,369.751,347.851,2634400.0
2023-09-12,362.971,362.051,369.471,360.671,1554926.0
2023-09-13,360.071,351.251,362.961,347.181,2126811.0
2023-09-14,350.601,351.491,357.931,348.501,1910993.0
2023-09-15,350.231,340.921,351.351,339.971,3134412.0
2023-09-18,343.761,341.971,350.551,338.971,1969060.0
2023-09-19,343.231,343.851,352.671,338.231,2427761.0
2023-09-20,344.241,343.601,349.901,340.621,1725351.0
2023-09-21,340.661,337.851,344.921,337.121,1688513.0
2023-09-22,338.971,371.931,373.471,338.971,4980383.0
2023-09-25,370.651,362.791,375.571,362.071,2482422.0
2023-09-26,367.971,373.471,382.971,367.091,3370186.0
2023-09-27,369.311,372.671,375.911,368.161,1702663.0
2023-09-28,369.971,367.771,383.971,365.021,1861279.0
2023-10-09,368.001,376.811,385.251,366.981,2834074.0
2023-10-10,376.231,373.131,381.921,368.071,1970190.0
2023-10-11,376.231,377.821,387.971,368.041,2621988.0
2023-10-12,378.241,373.471,382.971,370.621,1344398.0
2023-10-13,370.491,361.071,372.951,357.771,1891759.0
2023-10-16,362.141,361.471,372.961,358.061,1671875.0
2023-10-17,363.151,359.471,367.621,357.821,1146180.0
2023-10-18,350.701,341.971,351.971,315.971,4374273.0
2023-10-19,331.971,324.591,334.971,321.631,4691045.0
2023-10-20,323.291,311.971,323.561,310.411,3563864.0
2023-10-23,314.291,301.971,314.941,298.151,3086703.0
2023-10-24,303.211,302.241,310.571,296.971,3233659.0
2023-10-25,305.971,300.011,310.151,298.431,2658306.0
2023-10-26,295.971,302.471,303.471,293.111,2683001.0
2023-10-27,299.971,290.091,302.971,283.511,5683596.0
2023-10-30,290.821,281.971,293.741,277.481,5793196.0
2023-10-31,282.971,284.071,286.471,272.471,3787416.0
2023-11-01,283.501,280.711,287.021,278.191,3211409.0
2023-11-02,280.561,283.561,287.971,278.011,3126757.0
2023-11-03,284.971,297.971,300.971,282.971,4357696.0
2023-11-06,304.971,316.971,319.911,299.971,5265540.0
2023-11-07,317.111,329.071,332.271,315.051,5782961.0
2023-11-08,327.091,331.971,347.951,323.091,5516399.0
2023-11-09,333.971,329.971,348.731,327.971,2834405.0
2023-11-10,328.771,330.251,334.971,325.631,1892951.0
2023-11-13,330.251,338.241,345.971,330.251,3288697.0
2023-11-14,338.241,328.571,341.471,327.581,2542375.0
2023-11-15,331.731,326.971,332.601,324.201,2102820.0
2023-11-16,326.971,325.621,336.851,324.241,1980772.0
2023-11-17,323.971,324.451,330.701,320.521,1452696.0
2023-11-20,321.481,323.941,327.971,317.701,2382066.0
2023-11-21,325.301,319.941,326.171,318.071,1675648.0
2023-11-22,316.971,314.881,323.971,314.351,1389883.0
2023-11-23,311.191,314.571,316.721,305.971,2178937.0
2023-11-24,314.091,299.051,315.961,297.321,4298856.0
2023-11-27,302.961,299.531,303.841,297.971,2361346.0
2023-11-28,300.691,305.271,305.971,295.851,2130178.0
2023-11-29,303.771,297.621,305.161,297.191,1662045.0
2023-11-30,297.971,298.721,301.751,296.851,1648696.0
2023-12-01,298.481,309.091,314.471,295.241,3004740.0
2023-12-04,304.971,306.971,315.931,301.181,3877473.0
2023-12-05,306.981,298.771,308.571,296.971,2070845.0
2023-12-06,298.431,301.971,303.571,295.241,1871911.0
2023-12-07,300.151,308.721,313.231,297.991,3184952.0
2023-12-08,310.821,321.271,324.121,308.071,6032954.0
2023-12-11,318.821,339.971,341.971,312.961,4900220.0
2023-12-12,334.941,334.971,340.471,333.281,2211734.0
2023-12-13,334.871,336.671,348.951,331.971,2545403.0
2023-12-14,337.271,333.911,340.191,331.981,1820794.0
2023-12-15,332.051,325.191,335.371,324.731,2402089.0
2023-12-18,324.071,322.871,327.621,320.531,2325194.0
2023-12-19,321.671,322.131,325.971,317.071,2101204.0
2023-12-20,322.681,310.081,324.851,309.921,1868155.0
2023-12-21,311.161,310.261,319.371,305.971,2399105.0
2023-12-22,307.591,305.871,313.671,302.971,1990052.0
2023-12-25,302.981,309.001,310.631,302.981,1503954.0
2023-12-26,309.971,304.671,310.851,298.971,1742494.0
2023-12-27,306.951,301.641,312.971,298.971,2471220.0
2023-12-28,299.991,310.521,314.971,299.991,2744500.0
2023-12-29,309.871,313.171,314.771,306.501,2679329.0
2024-01-02,310.711,300.401,314.841,296.091,3055272.0
2024-01-03,299.161,263.971,299.161,262.831,8032548.0
2024-01-04,270.751,268.721,274.651,267.791,5381615.0
2024-01-05,268.471,266.921,270.841,262.971,2958329.0
2024-01-08,267.231,257.371,270.471,255.651,3429843.0
2024-01-09,257.971,253.341,263.831,249.971,3930348.0
2024-01-10,249.471,248.071,254.471,244.971,3017177.0
2024-01-11,248.821,253.671,257.361,248.821,3254523.0
2024-01-12,254.551,254.301,260.711,251.731,2377522.0
2024-01-15,251.971,237.551,253.971,232.671,6384430.0
2024-01-16,237.941,239.411,239.451,234.471,4242140.0
2024-01-17,239.051,234.471,240.831,233.971,2870038.0
2024-01-18,233.971,239.131,239.471,230.081,4007866.0
2024-01-19,237.051,234.691,239.971,231.561,3666710.0
2024-01-22,233.971,224.291,234.641,220.971,4074750.0
2024-01-23,221.971,232.491,234.751,219.521,5835583.0
2024-01-24,234.971,236.371,238.531,226.981,4218159.0
2024-01-25,234.971,239.431,243.581,230.741,5125859.0
2024-01-26,236.971,235.371,241.431,234.981,3189003.0
2024-01-29,233.971,229.471,236.961,228.721,3562329.0
2024-01-30,231.391,226.451,231.391,224.131,2921053.0
2024-01-31,224.981,211.191,226.451,211.101,3915122.0
2024-02-01,210.561,219.431,229.851,209.191,5697196.0
2024-02-02,219.951,206.831,221.471,200.081,4759795.0
2024-02-05,207.461,208.971,213.331,195.471,5115983.0
2024-02-06,206.971,224.501,225.971,206.971,5215257.0
2024-02-07,224.661,225.191,230.671,218.971,5540925.0
2024-02-08,225.451,232.351,243.391,223.671,5082136.0
2024-02-19,236.981,243.541,244.921,235.291,5540051.0
2024-02-20,239.381,241.631,243.471,236.661,3885880.0
2024-02-21,236.981,241.021,246.771,235.471,3596730.0
2024-02-22,241.591,250.271,255.851,240.371,3552727.0
2024-02-23,249.471,244.011,250.971,236.771,4817194.0
2024-02-26,241.001,241.971,243.491,237.581,3374450.0
2024-02-27,239.481,258.371,259.761,234.971,5960440.0
2024-02-28,257.971,258.571,277.701,257.971,7892644.0
2024-02-29,257.971,267.921,269.971,257.971,5588023.0
2024-03-01,264.471,278.381,280.971,264.471,6172138.0
2024-03-04,282.971,286.421,291.951,277.411,6247355.0
2024-03-05,287.971,303.241,308.271,282.981,6995212.0
2024-03-06,298.751,290.071,298.751,277.931,6059423.0
2024-03-07,286.661,281.971,288.921,272.991,5515272.0
2024-03-08,281.981,276.971,281.981,269.171,5352457.0
2024-03-11,270.971,277.511,278.571,267.071,4375755.0
2024-03-12,282.971,280.151,286.961,276.431,4042420.0
2024-03-13,284.971,290.971,292.961,282.011,4528204.0
2024-03-14,286.531,284.971,289.971,282.041,2774507.0
2024-03-15,282.971,290.781,290.851,276.971,3477113.0
2024-03-18,290.471,305.071,305.971,287.841,4658554.0
2024-03-19,303.691,301.521,313.861,301.471,4042547.0
2024-03-20,301.521,329.291,329.851,301.521,6074440.0
2024-03-21,342.971,329.041,364.971,326.951,9367447.0
2024-03-22,324.971,326.711,332.971,319.031,4817751.0
2024-03-25,328.821,315.971,330.231,315.971,4218538.0
2024-03-26,315.971,303.371,323.971,301.971,4950052.0
2024-03-27,303.521,289.971,304.601,288.491,4422428.0
2024-03-28,289.681,295.961,300.651,288.771,4144696.0
2024-03-29,295.971,287.971,296.971,283.971,3037602.0
2024-04-01,288.471,303.411,308.921,287.481,4087367.0
2024-04-02,299.561,297.871,302.561,295.231,2605229.0
2024-04-03,297.971,281.971,298.771,279.191,4718714.0
2024-04-08,277.971,280.661,284.971,274.961,2834715.0
2024-04-09,279.631,281.151,281.971,276.161,1787324.0
2024-04-10,280.901,279.051,280.961,272.991,2867149.0
2024-04-11,277.971,284.731,287.771,276.131,3051770.0
2024-04-12,287.001,292.961,297.121,287.001,3445969.0
2024-04-15,292.971,292.181,295.471,287.671,2292742.0
2024-04-16,288.481,281.981,293.741,281.981,3287902.0
2024-04-17,284.571,286.191,287.871,281.211,2656171.0
2024-04-18,282.971,283.781,288.961,278.531,2624375.0
2024-04-19,280.971,273.211,284.761,269.581,3569321.0
2024-04-22,267.481,273.471,276.821,257.981,3388827.0
2024-04-23,274.961,282.721,285.761,271.021,2676513.0
2024-04-24,289.971,301.671,302.641,283.711,4127438.0
2024-04-25,297.971,293.981,299.771,293.081,2565344.0
2024-04-26,296.971,308.471,311.581,294.831,3364214.0
2024-04-29,310.971,310.971,320.571,308.521,3674757.0
2024-04-30,310.971,306.971,314.771,306.331,2001845.0
2024-05-06,311.481,309.971,321.391,306.761,3604356.0
2024-05-07,307.041,293.971,309.971,289.071,4876432.0
2024-05-08,294.981,290.631,294.981,286.321,3255156.0
2024-05-09,289.471,293.821,296.161,285.971,4293657.0
2024-05-10,293.821,288.521,296.801,286.171,2527822.0
2024-05-13,285.021,289.471,295.201,282.781,3007184.0
2024-05-14,291.971,278.971,291.971,275.791,5168081.0
2024-05-15,279.991,275.561,279.991,273.331,1573220.0
2024-05-16,278.971,276.471,280.871,276.471,2172079.0
2024-05-17,273.971,278.051,278.851,273.271,1519482.0
2024-05-20,278.051,289.961,290.661,276.271,3713077.0
2024-05-21,288.761,288.061,292.771,285.571,1721447.0
2024-05-22,288.061,284.971,288.121,282.071,1519072.0
2024-05-23,282.121,277.971,286.861,274.971,3118849.0
2024-05-24,276.091,269.471,278.281,265.471,3236609.0
2024-05-27,269.711,263.071,269.861,259.141,4667029.0
2024-05-28,263.001,262.071,267.951,258.571,2111690.0
2024-05-29,261.471,257.581,264.261,255.551,3020270.0
2024-05-30,257.471,256.771,258.971,251.521,2611854.0
2024-05-31,256.771,255.771,260.851,255.071,2197895.0
2024-06-03,256.331,260.721,265.571,253.971,2991296.0
2024-06-04,258.591,263.951,264.821,258.021,2647996.0
2024-06-05,263.111,264.751,269.851,262.931,2458419.0
2024-06-06,264.781,263.011,267.401,261.471,1902886.0
2024-06-07,263.371,255.541,263.771,253.471,3217156.0
2024-06-11,254.681,259.921,260.471,252.541,2191092.0
2024-06-12,260.071,261.031,268.771,259.541,2529752.0
2024-06-13,261.451,264.471,266.471,257.111,2133556.0
2024-06-14,264.571,268.191,270.651,261.081,3827005.0
2024-06-17,267.971,256.171,267.971,254.011,4624305.0
2024-06-18,257.471,256.371,259.531,254.301,2443671.0
2024-06-19,257.061,243.521,257.061,242.981,5017219.0
2024-06-20,244.971,244.221,248.461,242.321,2938597.0
2024-06-21,242.971,244.741,246.471,239.531,3044175.0
2024-06-24,244.661,243.451,249.871,242.971,2912896.0
2024-06-25,241.971,236.971,243.971,235.471,2756647.0
2024-06-26,237.871,246.871,248.961,235.911,3297774.0
2024-06-27,246.571,242.601,248.521,242.001,1990504.0
2024-06-28,241.65,225.35,243.59,223.85,7133724.0
2024-07-01,225.85,202.85,225.85,202.35,8843752.0
2024-07-02,204.37,197.87,204.37,195.51,6145680.0
2024-07-03,197.71,196.0,198.37,189.35,5664607.0
2024-07-04,196.63,189.27,197.43,189.26,3804572.0
2024-07-05,188.85,195.51,196.68,186.38,4978384.0
2024-07-08,195.51,190.85,198.63,188.45,4598093.0
2024-07-09,189.91,191.86,193.21,187.1,5180221.0
2024-07-10,191.35,185.18,193.15,184.38,4283775.0
2024-07-11,188.27,189.23,191.42,184.99,4632902.0
2024-07-12,188.95,188.85,189.62,185.2,2881946.0
2024-07-15,188.53,185.47,188.53,183.73,2889108.0
2024-07-16,184.75,193.21,194.25,183.48,5479476.0
2024-07-17,193.13,194.75,200.82,193.08,5228567.0
2024-07-18,192.75,197.05,199.34,190.85,4619204.0
2024-07-19,195.65,201.33,202.8,195.35,5309900.0
2024-07-22,205.81,206.09,213.0,201.9,6792471.0
2024-07-23,205.36,199.05,207.53,198.94,3952683.0
2024-07-24,199.11,192.54,201.73,191.96,3659787.0
2024-07-25,192.53,193.63,197.56,189.89,3075717.0
2024-07-26,194.19,193.25,197.44,192.31,2046362.0
2024-07-29,192.35,192.01,194.25,191.14,1877948.0
2024-07-30,192.01,191.57,192.92,187.07,2647247.0
2024-07-31,191.15,208.49,209.15,190.38,6190148.0
2024-08-01,208.85,200.65,209.85,196.65,5026884.0
2024-08-02,197.73,198.0,203.35,197.14,3598289.0
2024-08-05,196.93,195.35,203.81,194.9,3504069.0
2024-08-06,198.85,198.87,202.11,195.45,3316117.0
2024-08-07,199.85,197.38,200.65,194.15,2802923.0
2024-08-08,194.86,195.33,199.83,192.35,2702029.0
2024-08-09,195.33,192.08,198.16,191.41,2508144.0
2024-08-12,190.85,190.32,191.73,187.74,2301396.0
2024-08-13,190.32,190.15,191.21,187.35,2869939.0
2024-08-14,189.45,186.1,191.13,186.1,3226918.0
2024-08-15,185.36,190.4,192.33,184.94,3567101.0
2024-08-16,189.96,187.52,191.24,186.42,2553443.0
2024-08-19,186.97,193.85,196.78,186.97,4517562.0
2024-08-20,193.35,189.0,195.57,188.02,2830332.0
2024-08-21,186.88,186.55,190.43,183.02,4216204.0
2024-08-22,186.55,185.56,193.45,184.51,3540845.0
2024-08-23,184.89,187.65,189.85,184.89,2306797.0
2024-08-26,187.65,187.85,192.74,185.12,3315164.0
2024-08-27,186.89,179.15,187.19,178.63,5109641.0
2024-08-28,178.64,175.85,179.85,174.65,3213711.0
2024-08-29,174.88,179.47,183.35,174.52,3146190.0
2024-08-30,180.34,180.06,183.85,179.07,6742940.0
2024-09-02,179.55,166.38,179.55,166.38,6306604.0
2024-09-03,166.15,171.57,172.35,165.03,5055637.0
2024-09-04,169.65,172.42,175.55,169.65,3312982.0
2024-09-05,173.23,172.65,176.73,172.29,2366928.0
2024-09-06,172.16,167.65,173.09,167.65,2075860.0
2024-09-09,166.46,167.45,168.95,166.46,2161216.0
2024-09-10,167.93,176.36,178.35,166.95,4271760.0
2024-09-11,174.86,181.52,184.35,174.5,6056966.0
2024-09-12,181.34,179.25,184.15,178.72,2796039.0
2024-09-13,179.25,178.93,180.52,176.41,2616428.0
2024-09-18,179.29,181.67,183.83,175.75,3557548.0
2024-09-19,181.75,183.84,185.85,178.04,3754248.0
2024-09-20,183.41,182.75,184.55,180.94,2400696.0
2024-09-23,182.05,182.18,186.42,181.09,2772363.0
2024-09-24,184.7,189.73,190.83,180.05,5305203.0
2024-09-25,191.45,190.2,201.21,189.58,6539531.0
2024-09-26,190.85,203.32,203.35,188.45,5331981.0
2024-09-27,209.85,219.85,222.85,207.87,4426820.0
2024-09-30,238.85,264.25,264.25,231.9,16594113.0
2024-10-08,317.53,314.71,317.53,291.87,17451743.0
2024-10-09,294.51,260.65,305.83,258.85,18329103.0
2024-10-10,266.85,264.45,282.85,258.18,10951009.0
2024-10-11,260.85,244.12,262.85,239.65,8021937.0
2024-10-14,244.1,253.62,256.65,233.86,8113745.0
2024-10-15,251.51,254.82,271.74,245.93,8728020.0
2024-10-16,247.76,251.75,254.82,246.85,5235629.0
2024-10-17,256.36,260.21,268.05,254.51,7439993.0
2024-10-18,256.54,282.35,296.85,250.35,10547646.0
2024-10-21,282.85,275.85,283.85,271.1,10428363.0
2024-10-22,272.35,264.84,272.35,262.02,7845029.0
2024-10-23,266.49,262.47,270.6,261.85,5098899.0
2024-10-24,257.86,262.54,266.45,257.11,3668712.0
2024-10-25,261.37,262.35,264.18,252.41,5902114.0
2024-10-28,261.95,266.88,273.55,257.85,5760872.0
2024-10-29,265.85,258.78,270.59,257.85,4729981.0
2024-10-30,257.85,256.43,262.35,252.85,4406967.0
2024-10-31,256.43,255.38,264.35,252.76,5055501.0
2024-11-01,255.11,246.01,257.25,246.01,5010213.0
2024-11-04,246.83,250.34,250.75,242.85,3230209.0
2024-11-05,250.84,273.89,274.84,247.9,7953634.0
2024-11-06,272.83,267.83,277.18,266.36,5980446.0
2024-11-07,266.85,280.35,282.85,264.19,6220006.0
2024-11-08,282.85,280.17,294.22,279.85,8427421.0
2024-11-11,280.87,294.75,307.74,280.87,11186749.0
2024-11-12,297.49,281.94,299.73,278.85,7052734.0
2024-11-13,278.85,310.85,323.85,278.85,14539702.0
2024-11-14,310.34,300.85,327.35,298.53,11411948.0
2024-11-15,297.87,285.73,313.05,283.85,10560806.0
2024-11-18,287.85,270.09,290.75,265.15,8252210.0
2024-11-19,272.15,276.84,279.85,265.85,4822769.0
2024-11-20,275.85,285.92,292.65,274.85,6921707.0
2024-11-21,292.35,310.96,319.63,287.35,10944266.0
2024-11-22,306.81,303.35,327.85,302.85,10084550.0
2024-11-25,310.85,291.57,314.45,282.9,8274293.0
2024-11-26,285.85,283.47,294.5,280.85,5646343.0
2024-11-27,280.85,298.35,299.96,271.23,7855178.0
2024-11-28,293.45,293.05,307.64,292.8,5787083.0
2024-11-29,291.85,292.59,300.85,287.85,6320679.0
