trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801750.SI,2395.14,2470.26,2365.89,2442.39,617297530,9587190735
2014-01-03,801750.SI,2435.82,2502.95,2403.63,2468.34,715718750,11574838205
2014-01-06,801750.SI,2465.16,2495.05,2375.05,2402.11,768460646,11286984951
2014-01-07,801750.SI,2383.76,2447.88,2351.45,2418.80,623461348,9156544298
2014-01-08,801750.SI,2422.50,2510.29,2390.74,2466.13,857780277,13714721893
2014-01-09,801750.SI,2458.21,2532.18,2399.26,2431.00,913377646,14262471450
2014-01-10,801750.SI,2418.49,2465.74,2343.06,2381.72,700308459,10177772831
2014-01-13,801750.SI,2379.82,2426.66,2320.45,2364.36,572202092,8771512573
2014-01-14,801750.SI,2365.98,2447.23,2333.17,2427.92,700729628,10651741948
2014-01-15,801750.SI,2428.60,2512.44,2402.69,2477.84,801366968,12293503766
2014-01-16,801750.SI,2479.38,2525.75,2421.01,2451.55,673538588,10808098469
2014-01-17,801750.SI,2443.21,2509.10,2407.51,2450.74,687497317,10738949582
2014-01-20,801750.SI,2452.25,2507.10,2386.71,2442.87,716504952,11884312160
2014-01-21,801750.SI,2436.30,2528.29,2411.03,2495.91,807300732,12772824265
2014-01-22,801750.SI,2501.12,2595.60,2473.80,2551.94,1028615663,16537665086
2014-01-23,801750.SI,2551.69,2661.05,2527.09,2621.71,1094257928,18753976384
2014-01-24,801750.SI,2623.45,2717.87,2591.96,2667.35,1064117113,18440339060
2014-01-27,801750.SI,2652.75,2754.25,2595.55,2676.82,1169377736,20447230626
2014-01-28,801750.SI,2676.51,2729.70,2589.22,2649.61,880009042,15230854244
2014-01-29,801750.SI,2650.61,2770.80,2620.55,2737.84,991246768,17266423373
2014-01-30,801750.SI,2728.59,2804.57,2680.11,2736.17,810576961,14107484583
2014-02-07,801750.SI,2716.31,2832.36,2679.13,2800.97,938142821,15289275754
2014-02-10,801750.SI,2803.98,2902.82,2758.84,2850.89,1291747093,21572187458
2014-02-11,801750.SI,2849.53,2900.65,2736.09,2795.36,1271682445,22285670159
2014-02-12,801750.SI,2789.86,2859.67,2727.33,2818.65,1048640123,18449317964
2014-02-13,801750.SI,2800.95,2863.56,2700.90,2734.09,1065486350,18000949045
2014-02-14,801750.SI,2724.96,2807.12,2681.53,2779.13,867820857,15540175172
2014-02-17,801750.SI,2782.68,2901.09,2754.59,2870.40,1121904969,19839012401
2014-02-18,801750.SI,2865.38,2938.19,2806.01,2868.90,1085131056,19626033760
2014-02-19,801750.SI,2856.81,2939.95,2795.41,2874.83,1145967631,18414305341
2014-02-20,801750.SI,2824.41,2824.41,2824.41,2824.41,1018081831,16816448655
2014-02-21,801750.SI,2819.89,2880.18,2816.20,2851.45,843970000,16696130000
2014-02-24,801750.SI,2839.54,2890.71,2817.78,2890.59,860390000,18214990000
