日期,点位,事件,备注
2014-05-19,2353.0,区间低点,
2015-06-03,10340.0,历史大顶,2014-05低点起+339%
2015-09-15,4254.0,股灾一阶段底,自顶-58.9%
2018-10-16,3007.0,慢熊终点,自顶-70.9%
2019-01-03,3134.0,信创云起点,
2020-07-13,6724.0,信创+云大顶,自2019低点+114.6%
2022-10-10,3303.0,2021-22下行终点,自2020顶-50.9%
2023-04-07,5592.0,2023 AI第一波顶,自2022-10低点+69.3%
2023-12-29,4221.0,2023年末,自顶-24.5%
2024-02-05,2892.0,微盘股危机低点,自2023顶-48.3%
2024-08-27,2806.0,11年大底,
2025-01-06,3963.0,2025年低点(DeepSeek前夜),
2025-08-28,5842.0,2025年高点,全年+18.2%
2026-01-14,6151.0,2026年顶(智谱/MiniMax上市+OpenClaw),2020-07以来新高
2026-04-07,4732.0,4月低点,
2026-06-26,,金山办公52周新低日(个股),
2026-07-17,4184.0,最新收盘=52周新低,自2026-01顶-32.0%;YTD-19.7%
