date,open,high,low,close,volume
2025-05-26,48.210,48.940,47.550,48.330,20571196
2025-05-27,48.030,48.590,47.110,47.650,20808222
2025-05-28,47.510,48.180,47.170,47.250,16350984
2025-05-29,47.130,47.830,46.930,47.580,17638407
2025-05-30,47.350,48.660,46.950,48.030,24931212
2025-06-03,48.500,50.000,48.250,49.380,37305337
2025-06-04,49.400,49.430,48.800,49.360,16951029
2025-06-05,49.380,49.930,48.700,49.600,20233541
2025-06-06,50.500,51.500,49.970,50.000,32708820
2025-06-09,53.000,55.000,52.570,54.650,91453619
2025-06-10,53.550,53.810,52.370,52.890,53571478
2025-06-11,52.870,53.770,52.450,53.390,29208837
2025-06-12,53.000,54.450,52.960,53.280,27530730
2025-06-13,54.430,55.350,53.180,54.900,63193057
2025-06-16,54.900,55.150,53.250,54.490,40635657
2025-06-17,54.410,56.550,53.750,55.510,37941307
2025-06-18,55.500,56.870,54.710,55.280,39624635
2025-06-19,54.650,54.650,52.570,53.470,42969932
2025-06-20,53.400,53.800,52.770,53.070,23194995
2025-06-23,53.200,53.770,52.680,53.040,23381167
2025-06-24,52.000,54.000,51.840,52.900,32588728
2025-06-25,52.940,54.450,52.920,53.780,33321402
2025-06-26,53.810,55.280,53.740,53.770,30580725
2025-06-27,54.470,56.000,54.380,55.050,32873856
2025-06-30,55.600,58.910,55.600,58.620,45403989
2025-07-01,58.640,58.640,56.940,57.940,32551566
2025-07-02,57.460,57.750,56.490,56.670,21360242
2025-07-03,56.570,57.130,56.180,57.030,16540618
2025-07-04,57.010,59.820,56.710,58.580,34467615
2025-07-07,58.590,60.710,57.980,60.100,34786950
2025-07-08,59.680,60.170,58.550,59.980,24269155
2025-07-09,60.080,61.280,59.410,59.440,24748293
2025-07-10,58.840,58.980,57.700,58.400,28538324
2025-07-11,58.380,59.050,58.040,58.200,22879142
2025-07-14,58.320,58.800,57.670,57.710,20925601
2025-07-15,57.510,58.180,57.150,58.130,20626131
2025-07-16,58.100,58.110,57.150,57.980,17903262
2025-07-17,57.810,63.780,57.650,63.780,79226955
2025-07-18,63.870,66.230,63.500,65.640,65993794
2025-07-21,64.450,66.230,64.450,64.990,48326966
2025-07-22,65.000,67.880,64.810,65.710,46941425
2025-07-23,65.070,65.500,62.800,63.120,55863068
2025-07-24,63.130,64.100,62.900,63.640,34519201
2025-07-25,64.000,64.400,63.000,63.300,25492804
2025-07-28,63.300,65.150,63.020,63.980,41879126
2025-07-29,63.900,66.180,63.440,66.140,51983639
2025-07-30,66.190,66.400,62.570,64.340,54209880
2025-07-31,63.200,65.180,63.200,64.720,32822076
2025-08-01,64.720,64.720,62.200,62.200,35772691
2025-08-04,61.990,63.570,61.990,63.380,27614727
2025-08-05,63.580,63.580,62.180,62.840,30989298
2025-08-06,62.850,65.040,62.610,64.720,44047481
2025-08-07,64.060,64.080,63.010,63.600,32985112
2025-08-08,63.400,63.500,62.600,62.680,22991565
2025-08-11,62.680,62.790,61.670,62.020,36223342
2025-08-12,61.800,61.800,59.500,59.870,58214349
2025-08-13,59.780,60.670,59.620,59.950,32498798
2025-08-14,59.550,60.700,58.720,59.850,39395140
2025-08-15,59.550,59.950,59.160,59.710,31639292
2025-08-18,60.000,61.350,59.790,60.830,44320778
2025-08-19,60.170,60.170,59.110,59.600,37867102
2025-08-20,59.620,60.820,59.100,60.140,38169431
2025-08-21,60.120,61.470,59.500,60.880,39365931
2025-08-22,60.880,62.880,59.900,62.540,52595299
2025-08-25,62.840,64.880,62.840,64.190,65784810
2025-08-26,64.170,64.170,62.350,62.510,34118867
2025-08-27,62.510,63.200,61.480,61.570,38250885
2025-08-28,61.460,62.300,59.620,62.130,42596939
2025-08-29,61.930,63.490,61.440,63.470,49030466
2025-09-01,63.470,66.270,61.230,64.400,62803248
2025-09-02,63.900,63.900,62.000,62.950,39353104
2025-09-03,63.570,63.880,56.660,57.080,66713233
2025-09-04,55.380,57.080,53.400,54.240,53002227
2025-09-05,54.250,55.450,53.650,54.600,29367912
2025-09-08,54.600,54.860,53.880,54.590,24479787
