date,open,high,low,close,volume
2025-05-26,42.990,44.580,42.900,44.340,8019720
2025-05-27,44.910,45.100,43.520,44.100,5033140
2025-05-28,44.020,44.240,43.430,43.680,3985837
2025-05-29,43.500,44.750,43.500,44.590,4838881
2025-05-30,44.460,45.500,43.970,44.790,6263727
2025-06-03,44.960,45.450,44.390,45.150,4109387
2025-06-04,45.350,46.090,44.900,45.250,4006425
2025-06-05,45.250,45.890,44.430,45.280,4244425
2025-06-06,45.300,46.500,45.080,45.320,4143215
2025-06-09,45.500,46.250,44.160,44.980,7159815
2025-06-10,44.720,45.290,43.880,43.930,5960139
2025-06-11,44.000,44.260,43.400,43.850,5144202
2025-06-12,43.800,43.800,42.890,42.920,5111993
2025-06-13,43.150,43.600,42.500,43.210,10042924
2025-06-16,43.110,45.030,42.520,44.410,8770699
2025-06-17,44.160,45.440,43.900,44.400,4098895
2025-06-18,44.320,44.880,43.910,44.670,4190649
2025-06-19,44.510,44.510,43.150,43.670,4533320
2025-06-20,43.490,43.960,42.820,43.000,3408037
2025-06-23,43.010,45.280,42.930,45.050,7593463
2025-06-24,44.440,45.880,43.730,45.470,7628373
2025-06-25,48.000,50.660,47.500,49.700,23042756
2025-06-26,49.630,51.330,48.410,48.470,14381006
2025-06-27,48.460,49.700,48.140,48.200,8981614
2025-06-30,48.400,51.470,48.200,51.100,15012602
2025-07-01,50.840,52.160,50.050,51.400,10524983
2025-07-02,51.150,51.350,48.480,48.920,9684553
2025-07-03,48.810,49.430,47.860,47.900,8119668
2025-07-04,48.030,51.500,47.800,50.500,13567885
2025-07-07,49.900,50.900,49.060,49.730,9748670
2025-07-08,49.960,53.300,49.960,52.320,16914919
2025-07-09,52.300,53.430,51.020,51.300,11703363
2025-07-10,50.960,53.850,50.960,52.350,17489894
2025-07-11,52.350,55.350,52.350,54.320,19285460
2025-07-14,56.780,62.880,55.000,55.150,31554306
2025-07-15,57.160,59.990,56.010,59.010,25343345
2025-07-16,59.580,63.080,58.300,60.710,22639515
2025-07-17,60.770,67.300,59.500,63.400,29526578
2025-07-18,63.000,66.600,62.000,63.000,23652755
2025-07-21,65.610,73.030,65.000,69.800,40894691
2025-07-22,72.010,74.200,70.810,72.750,29353893
2025-07-23,71.430,72.780,68.980,72.020,29674334
2025-07-24,74.100,81.520,73.190,77.770,33826855
2025-07-25,77.710,77.990,74.100,76.100,19175382
2025-07-28,76.760,82.550,76.000,80.730,29233174
2025-07-29,80.740,83.100,78.000,83.040,24019790
2025-07-30,81.380,83.830,78.510,80.020,24503637
2025-07-31,81.620,86.880,81.620,84.400,27617251
2025-08-01,83.630,84.200,80.880,81.680,19695760
2025-08-04,80.530,81.500,75.700,77.390,36788859
2025-08-05,78.030,80.260,76.920,77.950,19895298
2025-08-06,77.520,79.580,75.650,76.500,17393020
2025-08-07,76.480,78.500,75.080,75.920,18265605
2025-08-08,75.230,78.910,75.010,75.910,16780071
2025-08-11,77.540,78.320,74.750,75.580,20557173
2025-08-12,75.910,76.930,74.250,75.970,17585516
2025-08-13,77.500,91.160,77.500,91.160,48503068
2025-08-14,88.000,91.170,87.010,88.110,30096208
2025-08-15,89.470,100.880,89.460,99.300,30914099
2025-08-18,99.010,104.070,95.890,102.510,27521168
2025-08-19,99.000,100.010,93.970,95.100,28829112
2025-08-20,93.840,95.500,89.580,93.300,28990711
2025-08-21,93.700,97.500,90.800,93.410,19220704
2025-08-22,92.510,105.880,92.300,100.780,32848631
2025-08-25,102.020,104.000,97.970,99.530,25617177
2025-08-26,97.970,98.500,92.350,93.600,29931941
2025-08-27,92.800,98.350,90.050,92.320,27072540
2025-08-28,92.900,107.000,92.320,105.200,36299906
2025-08-29,107.420,108.590,91.700,95.410,52392571
2025-09-01,91.000,93.440,88.770,92.550,40388119
2025-09-02,91.500,92.550,83.330,84.170,41760992
2025-09-03,84.180,85.590,82.400,82.750,22727816
2025-09-04,83.930,87.000,79.100,80.230,27201052
2025-09-05,80.100,86.200,80.100,85.280,26592549
2025-09-08,85.800,86.000,79.000,79.480,27385428
2025-09-09,79.650,80.150,76.770,77.160,18313456
2025-09-10,78.350,85.000,78.350,83.220,28464290
2025-09-11,89.770,93.990,88.000,90.590,41496108
2025-09-12,88.000,88.510,83.910,85.200,32182452
2025-09-15,86.750,87.240,83.860,85.050,17754767
2025-09-16,85.220,86.880,82.690,83.120,15747123
2025-09-17,84.000,86.910,83.180,85.270,18498080
2025-09-18,85.270,91.380,83.270,87.290,26008728
2025-09-19,87.110,89.000,82.620,83.400,20205522
2025-09-22,83.400,86.050,81.130,83.460,16983933
2025-09-23,86.350,89.280,79.500,81.910,29924277
2025-09-24,81.000,82.480,79.200,80.440,15280598
2025-09-25,79.270,80.440,75.080,76.780,38263253
2025-09-26,76.180,76.870,71.660,71.940,40386442
2025-09-29,72.100,76.490,72.100,75.710,24742768
2025-09-30,78.000,78.690,75.300,75.700,17574529
2025-10-09,75.730,81.200,75.730,77.440,24691116
2025-10-10,77.410,77.410,73.330,73.690,20294566
2025-10-13,70.020,73.110,70.000,71.440,19286851
2025-10-14,72.940,73.930,68.350,68.580,20614023
2025-10-15,68.680,70.770,68.000,70.300,14590422
2025-10-16,69.900,72.870,69.370,71.460,14476180
2025-10-17,71.460,71.670,68.790,69.150,11484480
2025-10-20,70.090,72.200,69.810,70.510,13700701
2025-10-21,72.000,81.420,72.000,80.500,42652950
2025-10-22,81.320,84.580,80.000,80.910,43283688
2025-10-23,79.000,81.200,75.850,78.300,32279364
2025-10-24,79.660,82.500,75.500,81.540,43661760
2025-10-27,85.510,87.200,82.170,83.440,44123195
2025-10-28,82.120,88.880,82.100,88.000,44404546
2025-10-29,91.000,96.840,89.030,89.950,44045734
2025-10-30,91.000,91.900,83.000,83.300,45355485
2025-10-31,83.440,84.440,78.380,78.560,35431381
2025-11-03,77.820,78.000,74.540,77.710,26950398
2025-11-04,77.000,78.380,75.750,76.360,15493299
2025-11-05,73.500,75.500,73.000,74.590,17670849
2025-11-06,75.000,81.800,74.010,79.890,37390235
2025-11-07,77.000,80.560,75.000,77.990,27437731
2025-11-10,78.040,81.000,75.860,79.000,24157299
2025-11-11,78.830,79.990,75.170,75.620,20734972
2025-11-12,75.000,76.800,73.100,76.460,20330607
2025-11-13,75.500,81.580,75.490,80.050,32509589
2025-11-14,77.700,78.450,74.590,74.980,21834346
2025-11-17,75.130,77.980,74.200,74.560,20262083
2025-11-18,73.720,76.970,72.580,75.000,17267762
2025-11-19,74.440,74.640,72.600,73.160,13554500
2025-11-20,76.000,77.380,74.170,75.500,19577117
2025-11-21,72.670,73.580,69.010,69.550,21579091
2025-11-24,72.370,73.260,71.030,72.300,21260321
2025-11-25,76.890,79.730,75.030,77.140,32492698
2025-11-26,76.060,79.500,75.500,77.340,24649400
2025-11-27,77.510,83.120,77.410,78.610,30210887
2025-11-28,78.070,80.000,77.000,78.330,17804638
2025-12-01,78.900,78.900,76.320,76.680,22356795
2025-12-02,76.320,77.090,74.860,75.410,13301469
2025-12-03,74.680,77.380,74.680,75.580,13530460
2025-12-04,75.030,79.470,75.020,78.330,21957748
2025-12-05,77.700,81.010,77.600,80.320,21611775
2025-12-08,80.030,84.180,79.110,81.590,27871907
2025-12-09,82.010,86.490,82.010,84.040,28947558
2025-12-10,84.800,91.000,81.960,89.990,47503352
2025-12-11,91.800,92.800,86.860,86.960,33898983
2025-12-12,86.140,86.660,82.660,84.590,29240221
2025-12-15,83.700,94.990,82.210,91.800,47881774
2025-12-16,92.910,93.790,88.220,92.500,47754778
2025-12-17,90.860,97.490,90.860,96.800,47671837
2025-12-18,94.900,96.560,92.180,92.200,35661308
2025-12-19,93.570,93.870,89.030,89.180,28331673
2025-12-22,90.780,99.900,90.080,97.240,42735591
2025-12-23,97.000,106.660,96.500,103.200,45960426
2025-12-24,104.390,113.050,102.300,108.950,46436040
2025-12-25,108.030,108.950,104.180,104.910,32062978
