trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801740.SI,956.30,977.90,947.66,967.03,202332520,2876707184
2014-01-03,801740.SI,963.00,973.65,942.06,952.46,244499584,3461877842
2014-01-06,801740.SI,947.38,952.09,905.38,914.79,289952530,3309062485
2014-01-07,801740.SI,910.11,932.65,901.51,920.69,174717062,2115086147
2014-01-08,801740.SI,923.20,949.63,911.30,934.77,231994537,3088803317
2014-01-09,801740.SI,929.58,942.00,905.97,910.42,186059410,2481219576
2014-01-10,801740.SI,905.67,918.30,878.36,889.41,220691666,2471090195
2014-01-13,801740.SI,891.34,907.41,873.24,885.00,182245760,2133993310
2014-01-14,801740.SI,883.94,903.70,868.38,898.72,189604637,2180774545
2014-01-15,801740.SI,897.92,930.31,887.11,916.54,272266766,3549296425
2014-01-16,801740.SI,914.39,926.48,899.07,911.97,233820452,3001330907
2014-01-17,801740.SI,907.41,915.93,887.52,893.40,230388716,2504292404
2014-01-20,801740.SI,895.35,914.09,879.60,895.76,201000903,2271548505
2014-01-21,801740.SI,897.83,910.09,888.61,902.46,182023885,2077304644
2014-01-22,801740.SI,903.76,941.50,899.60,932.07,397352275,3996110497
2014-01-23,801740.SI,927.44,947.34,919.84,933.45,293707537,3443956848
2014-01-24,801740.SI,930.95,952.89,925.35,942.03,273717468,3205370149
2014-01-27,801740.SI,942.36,958.15,928.64,937.96,272276948,3250305930
2014-01-28,801740.SI,935.47,947.84,916.51,928.35,193723138,2363227290
2014-01-29,801740.SI,928.54,958.41,925.16,949.90,232469648,3313190058
2014-01-30,801740.SI,946.33,988.58,938.20,972.09,312852767,4676057290
2014-02-07,801740.SI,967.59,1023.29,960.39,1014.33,440108851,6230357807
2014-02-10,801740.SI,1017.84,1054.02,1009.32,1034.55,536081859,7244749255
2014-02-11,801740.SI,1034.06,1043.53,1004.41,1020.42,434435709,6000605414
2014-02-12,801740.SI,1021.27,1036.78,1003.36,1024.27,336278134,4734338895
2014-02-13,801740.SI,1019.38,1023.43,985.80,989.94,389578675,4761913970
2014-02-14,801740.SI,988.38,1008.56,982.93,1000.01,275482302,3529683360
2014-02-17,801740.SI,1009.22,1055.57,1007.92,1043.78,529898172,7253486659
2014-02-18,801740.SI,1046.87,1055.74,1024.12,1039.88,394403740,5509198630
2014-02-19,801740.SI,1036.41,1043.71,1009.66,1023.40,329121124,4495937523
2014-02-20,801740.SI,1000.00,1000.00,1000.00,1000.00,322454822,4383472164
2014-02-21,801740.SI,998.18,1008.91,989.96,1001.27,275120000,3548190000
2014-02-24,801740.SI,996.07,996.07,983.33,989.16,290490000,3864290000
2014-02-25,801740.SI,989.80,992.98,926.77,934.96,432240000,5987620000
2014-02-26,801740.SI,926.73,930.43,905.74,929.90,262430000,3393970000
2014-02-27,801740.SI,933.10,961.87,931.57,935.60,362100000,4464140000
2014-02-28,801740.SI,932.08,948.91,922.38,948.22,241120000,2914120000
2014-03-03,801740.SI,962.43,976.21,962.43,972.08,359690000,4676870000
2014-03-04,801740.SI,969.72,985.53,961.67,980.29,360290000,4618650000
2014-03-05,801740.SI,981.03,982.78,964.76,966.58,287020000,3738070000
2014-03-06,801740.SI,964.71,964.73,941.34,952.95,243080000,2986960000
2014-03-07,801740.SI,954.94,964.19,947.68,952.18,229620000,2808080000
2014-03-10,801740.SI,941.04,941.26,901.38,904.95,355030000,4007850000
2014-03-11,801740.SI,903.10,908.77,891.16,900.68,296100000,3172180000
2014-03-12,801740.SI,902.29,906.21,882.11,897.35,284400000,2887580000
2014-03-13,801740.SI,898.43,918.97,895.48,914.61,332510000,3814760000
