date,open,close,high,low,volume
2025-01-02,8.976,8.756,9.056,8.726,305604.0
2025-01-03,8.756,8.606,8.796,8.576,261277.0
2025-01-06,8.656,8.616,8.676,8.536,177301.0
2025-01-07,8.626,8.656,8.666,8.576,142918.0
2025-01-08,8.656,8.536,8.676,8.456,196256.0
2025-01-09,8.576,8.486,8.636,8.456,193395.0
2025-01-10,8.466,8.326,8.496,8.326,181043.0
2025-01-13,8.276,8.416,8.416,8.246,158709.0
2025-01-14,8.426,8.606,8.606,8.426,215015.0
2025-01-15,8.576,8.586,8.636,8.526,134369.0
2025-01-16,8.596,8.596,8.716,8.516,166428.0
2025-01-17,8.556,8.616,8.646,8.526,122919.0
2025-01-20,8.666,8.616,8.686,8.596,123803.0
2025-01-21,8.646,8.566,8.666,8.516,120842.0
2025-01-22,8.526,8.496,8.556,8.456,105307.0
2025-01-23,8.536,8.476,8.596,8.476,139764.0
2025-01-24,8.506,8.556,8.556,8.466,160251.0
2025-01-27,8.576,8.666,8.766,8.566,224523.0
2025-02-05,8.686,8.546,8.736,8.516,218953.0
2025-02-06,8.536,8.566,8.576,8.436,186753.0
2025-02-07,8.556,8.666,8.716,8.516,295217.0
2025-02-10,8.656,8.736,8.746,8.636,196357.0
2025-02-11,8.756,8.616,8.766,8.596,191723.0
2025-02-12,8.616,8.696,8.696,8.526,200489.0
2025-02-13,8.686,8.836,8.946,8.676,476040.0
2025-02-14,8.876,9.076,9.206,8.856,668043.0
2025-02-17,9.066,9.536,9.956,8.876,1074441.0
2025-02-18,9.946,9.466,9.946,9.426,1377222.0
2025-02-19,9.476,10.416,10.416,9.276,1938684.0
2025-02-20,10.416,10.016,10.426,9.976,1426813.0
2025-02-21,9.966,9.956,10.106,9.876,947232.0
2025-02-24,10.346,10.276,10.916,10.196,1510277.0
2025-02-25,9.996,9.886,10.046,9.836,837318.0
2025-02-26,9.806,9.866,9.916,9.726,562956.0
2025-02-27,9.826,9.646,9.856,9.596,576788.0
2025-02-28,9.676,9.536,9.806,9.506,473906.0
2025-03-03,9.486,9.546,9.666,9.476,385536.0
2025-03-04,9.536,9.636,9.646,9.406,401848.0
2025-03-05,9.726,9.556,9.726,9.486,341661.0
2025-03-06,9.526,9.646,9.666,9.496,416582.0
2025-03-07,9.626,9.766,9.916,9.556,610470.0
2025-03-10,9.956,9.806,9.966,9.726,483511.0
2025-03-11,9.696,9.946,9.996,9.616,633092.0
2025-03-12,9.926,9.796,9.926,9.786,380002.0
2025-03-13,9.786,9.626,9.856,9.576,375557.0
2025-03-14,9.596,9.686,9.716,9.566,362010.0
2025-03-17,9.726,9.746,9.856,9.716,383673.0
2025-03-18,9.726,9.666,9.746,9.626,258356.0
2025-03-19,9.676,9.626,9.686,9.606,177350.0
2025-03-20,9.626,9.566,9.666,9.556,218578.0
2025-03-21,9.516,9.386,9.606,9.286,425709.0
2025-03-24,9.346,9.356,9.376,9.246,243427.0
2025-03-25,9.346,9.416,9.416,9.296,187147.0
2025-03-26,9.406,9.486,9.576,9.386,316031.0
2025-03-27,9.466,9.446,9.516,9.396,171836.0
