date,open,close,high,low,volume
2025-01-02,27.23,26.83,27.74,26.63,23535.0
2025-01-03,26.86,26.47,27.12,26.35,19261.0
2025-01-06,26.45,26.92,27.25,26.06,21723.0
2025-01-07,27.04,26.75,27.1,26.53,17368.0
2025-01-08,26.61,26.57,26.95,26.19,16303.0
2025-01-09,26.84,26.47,26.99,26.33,14110.0
2025-01-10,26.44,25.65,26.44,25.55,17117.0
2025-01-13,25.63,25.92,25.99,25.35,12141.0
2025-01-14,26.08,26.41,26.41,25.71,22796.0
2025-01-15,26.39,25.93,26.46,25.86,17537.0
2025-01-16,26.11,25.85,26.29,25.73,14973.0
2025-01-17,25.79,25.94,25.97,25.46,15798.0
2025-01-20,26.06,26.17,26.25,25.76,20332.0
2025-01-21,26.16,26.11,26.31,25.73,14065.0
2025-01-22,26.12,25.61,26.16,25.54,16831.0
2025-01-23,25.61,25.62,26.0,25.51,22526.0
2025-01-24,25.62,25.15,25.62,24.91,37479.0
2025-01-27,25.21,25.02,25.53,25.01,24554.0
2025-02-05,24.91,24.61,25.14,24.46,28127.0
2025-02-06,24.51,24.68,24.7,24.15,29674.0
2025-02-07,24.59,24.85,24.97,24.44,33778.0
2025-02-10,24.7,24.97,25.03,24.69,23689.0
2025-02-11,24.94,24.42,24.94,24.36,37765.0
2025-02-12,24.46,24.66,24.66,24.21,29889.0
2025-02-13,24.69,27.17,27.17,24.62,101422.0
2025-02-14,27.39,27.27,27.91,26.75,119887.0
2025-02-17,27.01,26.57,27.02,26.13,79703.0
2025-02-18,26.46,26.27,26.98,26.11,63020.0
2025-02-19,26.11,26.72,26.82,25.74,68224.0
2025-02-20,26.41,26.18,26.75,26.04,51549.0
2025-02-21,26.11,26.51,26.69,25.96,51197.0
2025-02-24,27.22,26.73,27.85,26.69,67921.0
2025-02-25,26.14,25.88,26.37,25.82,43905.0
2025-02-26,25.76,26.03,26.03,25.49,33314.0
2025-02-27,25.89,25.78,25.97,25.53,27264.0
2025-02-28,25.79,25.26,25.99,25.19,27703.0
2025-03-03,25.26,25.16,25.56,25.03,24876.0
2025-03-04,25.26,25.96,26.09,24.98,39490.0
2025-03-05,25.97,25.63,26.14,25.39,22535.0
2025-03-06,25.64,25.67,25.81,25.33,27548.0
2025-03-07,25.72,26.11,26.39,25.42,38205.0
2025-03-10,26.91,26.25,27.06,26.02,43602.0
2025-03-11,26.01,28.91,28.91,25.61,126771.0
2025-03-12,28.91,28.12,29.06,27.94,101876.0
2025-03-13,28.15,27.93,28.35,27.64,54133.0
2025-03-14,27.87,27.9,28.06,27.51,63401.0
2025-03-17,27.9,29.09,30.2,27.86,111040.0
2025-03-18,28.62,28.94,29.15,28.42,51737.0
2025-03-19,29.01,28.79,29.11,28.66,34204.0
2025-03-20,29.07,28.36,29.62,28.19,45847.0
2025-03-21,27.93,27.97,28.67,27.74,35949.0
2025-03-24,27.98,28.75,28.82,27.77,54799.0
2025-03-25,28.38,29.47,29.52,28.2,60239.0
2025-03-26,29.17,29.61,30.96,28.99,122999.0
2025-03-27,29.11,29.08,30.11,28.89,72961.0
2025-03-28,29.01,28.62,29.05,28.23,49964.0
2025-03-31,28.48,28.0,29.21,27.96,45302.0
2025-04-01,28.15,28.54,28.9,28.08,45823.0
2025-04-02,28.58,29.13,29.29,28.27,45226.0
2025-04-03,29.01,29.27,29.72,28.71,47605.0
2025-04-07,28.41,29.11,30.29,27.83,100665.0
2025-04-08,29.15,31.52,31.91,28.59,125931.0
2025-04-09,31.21,31.83,33.69,29.91,132439.0
2025-04-10,30.51,31.14,32.01,30.28,112319.0
2025-04-11,30.81,29.87,30.93,29.77,83588.0
2025-04-14,29.72,30.41,30.56,29.62,73427.0
2025-04-15,30.36,30.75,31.02,29.91,65425.0
2025-04-16,30.58,29.88,30.58,29.39,46781.0
2025-04-17,29.61,29.71,30.01,29.25,33469.0
2025-04-18,29.71,28.65,29.71,28.46,45587.0
2025-04-21,28.29,28.88,28.89,28.26,23544.0
2025-04-22,28.81,28.73,29.25,28.62,25882.0
2025-04-23,28.61,28.15,28.74,28.01,38371.0
2025-04-24,28.14,28.15,28.68,28.02,29715.0
2025-04-25,28.03,28.46,28.5,27.91,30735.0
2025-04-28,28.38,28.17,28.71,27.96,25433.0
2025-04-29,28.55,28.82,29.04,27.7,45935.0
2025-04-30,28.93,28.82,29.16,28.7,29128.0
2025-05-06,29.05,28.85,29.13,28.61,33968.0
2025-05-07,28.86,29.33,29.35,28.72,39679.0
2025-05-08,28.96,29.07,29.29,28.86,28141.0
2025-05-09,29.08,28.16,29.15,28.13,34169.0
2025-05-12,28.22,28.23,28.37,28.12,29128.0
2025-05-13,28.12,27.8,28.17,27.66,33298.0
2025-05-14,27.71,28.0,28.06,27.54,23875.0
2025-05-15,27.88,28.29,28.36,27.77,29465.0
2025-05-16,28.15,27.84,28.24,27.66,20310.0
2025-05-19,27.83,28.01,28.19,27.66,18568.0
2025-05-20,28.01,28.29,28.64,27.87,25762.0
2025-05-21,28.2,28.14,28.4,27.99,21942.0
2025-05-22,27.93,26.67,28.06,26.64,56403.0
2025-05-23,26.61,26.57,27.13,26.49,27677.0
2025-05-26,26.57,26.76,26.82,26.37,18946.0
2025-05-27,26.71,26.64,26.75,26.46,12676.0
2025-05-28,26.7,26.46,26.7,26.44,11299.0
2025-05-29,26.43,26.73,26.9,26.21,18501.0
2025-05-30,26.97,28.68,29.4,26.74,119097.0
2025-06-03,28.55,29.92,30.19,28.04,84453.0
2025-06-04,29.86,30.16,30.17,29.41,52315.0
2025-06-05,29.99,29.27,30.06,29.18,33905.0
2025-06-06,29.46,30.63,30.89,29.01,53331.0
2025-06-09,30.75,31.95,32.58,30.11,72277.0
2025-06-10,31.71,31.43,33.11,31.32,50014.0
2025-06-11,31.27,33.88,34.39,31.27,94555.0
2025-06-12,33.64,33.28,34.21,33.01,54279.0
2025-06-13,33.27,32.69,33.6,32.4,31313.0
2025-06-16,32.57,32.89,33.38,32.11,39500.0
2025-06-17,32.89,32.81,33.56,32.27,33208.0
2025-06-18,32.52,32.41,32.7,32.12,21015.0
2025-06-19,32.57,32.51,32.95,32.28,19460.0
2025-06-20,32.52,31.93,32.94,31.74,27757.0
2025-06-23,31.88,31.49,32.31,31.12,31663.0
2025-06-24,31.52,31.87,32.26,31.51,25945.0
2025-06-25,32.03,31.48,32.03,31.12,34946.0
2025-06-26,31.41,30.61,31.42,30.43,39300.0
2025-06-27,30.6,30.74,30.85,30.4,19879.0
2025-06-30,30.74,30.35,30.75,30.12,36382.0
2025-07-01,30.35,30.56,30.81,30.25,26885.0
2025-07-02,30.58,31.2,31.3,30.58,56695.0
2025-07-03,31.38,31.76,32.59,30.65,89414.0
2025-07-04,31.64,31.99,32.34,31.54,45828.0
2025-07-07,31.97,30.82,31.97,30.71,46095.0
2025-07-08,30.78,30.59,30.78,29.94,53917.0
2025-07-09,30.55,31.23,31.89,30.55,56138.0
2025-07-10,31.86,31.16,32.57,30.31,78822.0
2025-07-11,30.58,31.29,32.09,30.51,56796.0
2025-07-14,30.91,30.85,31.43,30.58,35012.0
2025-07-15,30.49,29.64,30.49,29.46,57720.0
2025-07-16,29.41,29.86,29.91,29.4,21489.0
2025-07-17,29.81,29.83,30.11,29.61,21662.0
2025-07-18,29.79,30.02,30.28,29.62,25582.0
2025-07-21,29.91,32.76,33.06,29.88,128041.0
2025-07-22,32.51,35.31,36.08,32.41,130939.0
2025-07-23,35.3,35.1,36.72,34.41,118919.0
2025-07-24,34.75,35.1,35.18,33.81,82336.0
2025-07-25,35.87,34.71,36.31,34.61,56022.0
2025-07-28,34.47,34.27,34.76,33.96,37823.0
2025-07-29,34.47,31.89,34.48,31.06,109818.0
2025-07-30,31.59,31.97,32.37,31.52,58703.0
2025-07-31,31.95,31.61,32.08,31.44,38280.0
2025-08-01,31.54,31.34,32.0,31.33,26344.0
2025-08-04,31.03,31.41,31.6,30.81,25706.0
2025-08-05,31.5,31.46,31.67,31.25,33497.0
2025-08-06,31.32,31.89,31.98,31.05,43021.0
2025-08-07,31.71,31.96,32.27,31.59,48382.0
2025-08-08,32.05,32.78,32.92,31.77,65418.0
2025-08-11,33.01,32.73,33.05,32.41,50682.0
2025-08-12,32.65,32.2,33.37,31.98,48601.0
2025-08-13,32.04,32.04,32.31,31.56,37857.0
2025-08-14,31.87,31.36,32.08,31.22,38915.0
2025-08-15,31.26,31.51,31.7,31.12,42303.0
2025-08-18,31.53,31.69,31.91,31.39,49600.0
2025-08-19,31.6,31.95,32.45,31.6,43719.0
2025-08-20,31.91,32.11,32.16,31.46,36654.0
2025-08-21,32.44,32.81,33.61,32.17,79173.0
2025-08-22,33.16,32.63,33.75,32.31,56076.0
2025-08-25,32.58,32.88,32.88,32.24,51438.0
2025-08-26,32.73,33.99,34.16,32.54,86262.0
2025-08-27,33.58,32.51,33.76,32.43,76329.0
2025-08-28,32.59,31.92,32.63,31.36,59250.0
2025-08-29,31.91,31.71,32.31,31.64,48237.0
2025-09-01,31.82,32.09,32.44,31.41,37733.0
2025-09-02,32.09,31.43,32.29,31.36,38264.0
2025-09-03,31.31,30.44,31.6,30.22,48328.0
2025-09-04,30.39,30.68,30.8,30.23,34837.0
2025-09-05,30.63,30.99,31.05,29.99,41195.0
2025-09-08,31.61,32.41,33.15,31.31,87563.0
2025-09-09,32.29,32.01,32.59,31.9,38696.0
2025-09-10,32.05,32.15,32.56,31.31,43177.0
2025-09-11,32.02,33.12,34.27,31.94,126989.0
2025-09-12,32.85,33.36,33.82,32.85,62764.0
2025-09-15,33.36,34.11,34.61,33.02,66022.0
2025-09-16,34.0,33.0,34.11,32.59,60083.0
2025-09-17,32.92,32.57,33.16,32.08,51365.0
2025-09-18,32.31,31.31,32.52,31.05,60865.0
2025-09-19,31.16,31.56,31.58,31.11,38826.0
2025-09-22,31.41,31.14,31.45,30.83,27859.0
2025-09-23,31.11,30.84,31.27,30.49,29825.0
2025-09-24,30.87,31.01,31.08,30.57,28443.0
2025-09-25,31.03,30.57,31.1,30.41,33254.0
2025-09-26,30.51,30.34,30.75,30.32,25497.0
2025-09-29,30.24,29.84,30.24,29.23,44999.0
2025-09-30,29.91,29.86,30.05,29.57,21794.0
2025-10-09,29.52,30.02,30.09,29.11,35074.0
2025-10-10,30.02,30.5,30.81,29.72,36097.0
2025-10-13,30.34,30.23,30.6,30.03,25399.0
2025-10-14,30.16,31.0,31.49,30.16,58219.0
2025-10-15,30.78,30.86,31.06,30.51,28230.0
2025-10-16,30.91,30.29,31.13,30.27,23446.0
2025-10-17,30.29,29.84,30.59,29.72,21650.0
2025-10-20,29.84,29.67,30.02,29.47,19565.0
2025-10-21,29.59,29.87,30.03,29.53,17291.0
2025-10-22,29.76,29.91,30.38,29.73,20803.0
2025-10-23,29.92,30.14,30.14,29.42,16855.0
2025-10-24,30.21,29.99,30.29,29.83,17569.0
2025-10-27,29.89,30.83,31.17,29.64,44205.0
2025-10-28,30.67,30.37,30.77,30.3,20212.0
2025-10-29,30.36,30.34,30.46,29.85,21944.0
2025-10-30,30.31,29.88,30.31,29.74,14751.0
2025-10-31,29.87,30.24,30.31,29.86,20841.0
2025-11-03,30.24,30.59,30.87,30.19,24154.0
2025-11-04,30.66,30.07,30.66,29.91,19374.0
2025-11-05,30.06,30.11,30.32,29.83,20497.0
2025-11-06,30.16,30.03,30.24,29.78,16256.0
2025-11-07,30.02,30.0,30.46,29.94,17440.0
2025-11-10,30.15,30.66,30.73,29.88,25693.0
2025-11-11,30.76,30.42,30.78,30.29,20272.0
2025-11-12,30.45,30.52,30.67,30.3,17417.0
2025-11-13,30.41,30.47,30.52,30.16,18860.0
2025-11-14,30.45,30.09,30.64,30.02,21426.0
2025-11-17,30.0,29.2,30.0,29.11,40799.0
2025-11-18,29.18,28.74,29.2,28.6,27173.0
2025-11-19,28.84,28.55,28.89,28.26,18860.0
2025-11-20,28.56,28.0,28.68,27.97,20416.0
2025-11-21,28.0,27.66,28.34,27.6,19849.0
2025-11-24,27.91,28.5,28.99,27.86,35054.0
2025-11-25,28.48,28.26,28.58,28.22,17097.0
2025-11-26,28.26,28.19,28.46,28.16,13847.0
2025-11-27,28.05,28.1,28.32,27.99,12103.0
2025-11-28,28.2,28.33,28.34,27.94,9777.0
2025-12-01,28.42,28.19,28.5,28.13,12300.0
2025-12-02,28.18,27.92,28.18,27.86,11603.0
2025-12-03,28.0,27.75,28.06,27.67,7728.0
2025-12-04,27.7,27.84,27.94,27.53,9220.0
2025-12-05,27.88,27.8,27.95,27.57,10669.0
2025-12-08,27.85,28.03,28.08,27.58,16722.0
2025-12-09,28.07,27.89,28.48,27.86,13732.0
2025-12-10,27.77,28.17,28.28,27.69,14619.0
2025-12-11,28.06,27.61,28.11,27.6,19886.0
2025-12-12,27.68,27.7,27.73,27.37,13712.0
2025-12-15,27.68,28.22,28.42,27.6,23101.0
2025-12-16,28.21,27.92,28.37,27.78,14090.0
2025-12-17,28.53,28.35,28.83,28.13,27050.0
2025-12-18,28.15,28.16,28.44,28.03,13692.0
2025-12-19,28.16,28.42,28.53,28.06,16717.0
2025-12-22,28.3,28.33,28.42,28.12,17948.0
2025-12-23,28.35,27.9,28.39,27.84,14500.0
2025-12-24,27.91,27.77,27.99,27.53,15454.0
2025-12-25,27.68,27.79,27.9,27.67,9271.0
2025-12-26,27.79,28.15,28.15,27.64,17661.0
2025-12-29,28.15,28.85,29.26,28.08,44351.0
2025-12-30,28.85,29.45,30.0,28.75,57334.0
2025-12-31,29.4,29.32,29.68,28.86,28641.0
2026-01-05,29.48,29.15,29.5,29.02,18632.0
2026-01-06,29.06,29.27,29.56,28.93,24050.0
2026-01-07,29.33,28.79,29.52,28.75,21675.0
2026-01-08,28.81,28.87,29.16,28.73,13511.0
2026-01-09,28.86,28.89,29.04,28.7,17339.0
2026-01-12,28.9,29.04,29.1,28.63,20477.0
2026-01-13,29.13,28.65,29.13,28.62,22840.0
2026-01-14,28.65,28.6,28.95,28.26,21834.0
2026-01-15,28.56,28.58,28.85,28.48,16244.0
2026-01-16,28.61,28.27,28.61,28.09,19471.0
2026-01-19,28.27,28.84,29.04,28.23,25041.0
2026-01-20,28.85,28.71,28.98,28.5,16319.0
2026-01-21,28.6,28.4,28.6,28.26,20168.0
2026-01-22,28.4,28.1,28.55,28.05,21657.0
2026-01-23,28.03,28.21,28.26,28.02,13509.0
2026-01-26,28.19,28.71,28.74,28.0,26213.0
2026-01-27,28.65,27.75,28.65,27.5,31534.0
2026-01-28,27.44,27.54,27.7,27.02,26769.0
2026-01-29,27.45,28.05,28.2,27.32,23875.0
2026-01-30,28.18,28.62,29.13,27.95,49499.0
2026-02-02,28.37,28.16,28.89,27.78,33135.0
2026-02-03,28.06,28.09,28.37,27.61,21697.0
2026-02-04,28.28,28.28,28.34,27.9,17046.0
2026-02-05,28.36,28.25,28.7,28.12,19094.0
2026-02-06,28.05,28.47,28.78,27.91,20065.0
2026-02-09,28.47,28.44,28.6,28.32,13302.0
2026-02-10,28.5,28.37,28.55,28.08,14158.0
2026-02-11,28.23,28.03,28.26,27.94,12596.0
2026-02-12,27.98,27.69,27.98,27.59,12549.0
2026-02-13,27.85,27.47,27.87,27.41,10252.0
2026-02-24,27.5,27.58,27.69,27.37,10651.0
2026-02-25,27.58,27.72,28.0,27.57,11634.0
2026-02-26,27.74,27.88,28.1,27.71,18891.0
2026-02-27,27.82,28.37,28.38,27.8,18628.0
2026-03-02,28.16,28.33,28.7,27.96,21716.0
2026-03-03,28.46,28.57,29.1,28.19,28445.0
2026-03-04,28.55,28.92,29.09,28.36,33282.0
2026-03-05,29.05,27.94,29.05,27.83,31685.0
2026-03-06,27.99,29.12,29.29,27.8,44582.0
2026-03-09,28.9,28.89,29.55,28.86,36001.0
2026-03-10,28.83,29.06,29.39,28.6,25945.0
2026-03-11,29.0,29.54,30.1,28.81,34925.0
2026-03-12,29.75,30.45,30.49,29.27,60998.0
2026-03-13,30.45,30.22,30.81,30.1,35287.0
2026-03-16,30.3,30.2,31.15,30.04,37975.0
2026-03-17,30.0,30.3,30.98,29.95,38853.0
2026-03-18,30.2,30.13,30.34,29.82,29243.0
2026-03-19,30.2,31.5,31.8,29.65,62172.0
2026-03-20,30.75,30.56,31.33,30.38,46475.0
2026-03-23,30.28,29.51,30.73,29.3,40625.0
2026-03-24,30.1,29.46,30.12,28.7,32636.0
2026-03-25,29.17,29.43,29.72,29.01,21665.0
2026-03-26,29.42,28.93,29.65,28.71,23665.0
2026-03-27,28.6,28.41,29.6,27.85,56779.0
2026-03-30,28.21,28.58,28.99,28.12,28733.0
2026-03-31,28.55,27.33,28.87,27.23,45930.0
2026-04-01,27.53,27.25,27.54,26.95,19238.0
2026-04-02,27.25,28.58,29.32,27.21,66206.0
2026-04-03,28.3,27.28,28.3,27.21,38864.0
2026-04-07,27.11,28.59,29.45,26.69,58873.0
2026-04-08,28.31,28.9,29.03,28.18,31043.0
2026-04-09,28.76,28.38,29.07,28.28,27594.0
2026-04-10,28.49,28.42,29.12,28.07,30591.0
2026-04-13,28.54,29.25,29.57,28.27,41333.0
2026-04-14,29.03,30.41,31.4,29.03,64401.0
2026-04-15,30.32,30.96,31.1,29.97,46291.0
2026-04-16,30.96,30.76,30.96,30.23,32016.0
2026-04-17,30.5,30.06,30.65,29.96,30476.0
2026-04-20,30.41,30.16,30.6,29.52,30375.0
2026-04-21,30.0,30.36,30.58,29.8,23541.0
2026-04-22,30.06,30.35,31.0,30.05,33706.0
2026-04-23,30.11,30.32,30.94,29.85,32018.0
2026-04-24,30.15,29.37,30.25,29.35,24628.0
2026-04-27,29.0,28.08,29.0,28.04,40703.0
2026-04-28,28.07,28.54,28.59,27.53,29336.0
2026-04-29,28.46,29.45,30.2,28.36,42666.0
2026-04-30,29.47,29.96,30.38,29.25,41537.0
2026-05-06,29.85,30.17,30.2,29.64,32735.0
2026-05-07,30.15,30.28,30.56,29.63,28851.0
2026-05-08,30.24,29.51,30.61,29.42,29197.0
2026-05-11,29.88,30.59,31.18,29.51,51472.0
2026-05-12,30.61,29.73,30.88,29.53,33605.0
2026-05-13,29.75,28.7,29.93,28.63,38772.0
2026-05-14,28.69,31.57,31.57,28.69,75700.0
2026-05-15,31.03,30.02,31.19,30.02,75050.0
2026-05-18,30.03,29.32,30.32,29.03,51978.0
2026-05-19,29.6,29.27,30.4,28.35,64203.0
2026-05-20,29.1,28.91,29.64,28.6,35533.0
2026-05-21,28.66,28.65,29.44,28.28,49181.0
2026-05-22,28.68,28.08,29.2,27.94,39320.0
2026-05-25,27.75,28.29,28.54,27.63,29390.0
2026-05-26,28.01,28.01,28.53,27.79,28852.0
2026-05-27,28.0,27.29,28.0,27.1,30443.0
2026-05-28,27.2,26.6,27.29,26.1,28347.0
2026-05-29,26.49,27.12,27.55,26.12,37008.0
2026-06-01,27.07,27.2,27.55,26.81,25915.0
2026-06-02,26.88,26.46,27.13,26.24,20765.0
2026-06-03,26.66,26.52,26.7,25.97,21487.0
2026-06-04,26.38,25.57,26.7,25.5,23157.0
2026-06-05,25.57,25.4,25.81,25.25,16850.0
2026-06-08,25.01,24.6,25.74,24.31,25248.0
2026-06-09,24.61,24.53,24.8,24.19,15076.0
2026-06-10,24.4,25.49,25.5,24.29,29912.0
2026-06-11,25.4,25.62,25.78,24.88,20828.0
2026-06-12,25.34,26.05,26.05,25.12,17522.0
2026-06-15,26.02,26.31,26.5,25.92,17424.0
2026-06-16,26.0,26.2,26.5,25.64,17865.0
2026-06-17,26.27,26.42,26.8,25.8,18918.0
2026-06-18,26.37,25.68,26.37,25.56,16816.0
2026-06-22,25.5,25.44,25.61,24.85,18605.0
2026-06-23,25.7,25.65,26.45,25.51,21749.0
2026-06-24,25.98,24.95,26.0,24.9,17948.0
2026-06-25,24.82,24.75,25.2,24.32,18707.0
2026-06-26,24.85,27.23,27.23,24.84,54693.0
2026-06-29,26.83,28.8,29.27,26.55,89523.0
2026-06-30,28.2,27.88,28.61,27.21,51187.0
2026-07-01,28.0,29.4,30.1,27.71,66937.0
2026-07-02,29.52,29.2,29.99,28.8,53735.0
2026-07-03,29.03,29.1,29.5,28.65,33804.0
2026-07-06,29.44,30.16,30.29,29.31,51160.0
2026-07-07,29.9,29.7,29.98,29.42,29387.0
2026-07-08,29.41,28.46,29.71,28.46,39008.0
2026-07-09,28.55,28.66,29.28,28.1,30638.0
2026-07-10,28.35,28.83,29.28,28.04,24232.0
2026-07-13,28.59,30.2,30.38,28.35,55381.0
2026-07-14,29.97,30.03,30.48,29.25,38647.0
2026-07-15,29.58,30.7,31.13,29.57,50698.0
2026-07-16,30.55,31.74,32.77,30.0,74233.0
2026-07-17,31.51,30.89,31.82,30.71,44565.0
