公司,代码,2018年上市状态,2018营收_亿元,2018归母净利_亿元,2018业绩备注,后续命运
牧原股份,002714.SZ,2014-01上市,133.88,5.28,"-77%左右(年报口径5.28亿,2017年23.66亿)",存活-龙头
温氏股份,300498.SZ,2015-11上市,572.36,39.57,-41.38%,存活-龙头(猪鸡)
新希望,000876.SZ,1998上市,690.63,17.05,-25.23%,存活-综合
正邦科技,002157.SZ,2007上市,221.13,1.93,-63.21%,2023重整(双胞胎入主)
雏鹰农牧,002477.SZ,2010上市,35.56,-38.64,-8650.78%,2019年退市(面值退市)
天邦股份,002124.SZ,2007上市,,,"2018净亏(动保减值+养殖亏损),生猪收入28亿(+73%),均价12.17元/kg(-18.3%)",2024预重整→ST→重整
唐人神,002567.SZ,2011上市,154.06,1.37,-55.87%,存活
天康生物,002100.SZ,2006上市,,2.9,-26.41%,存活
大北农,002385.SZ,2010上市,,,"2018出栏168万头(含平台),2019Q1预亏",存活
傲农生物,603363.SH,2017-09上市,,,"2018年上市次年,扩张期",2024重整
新五丰,600975.SH,2004上市,,,—,存活
巨星农牧,603477.SH,当时为振静股份(2017-12上市),—,—,"巨星农牧2020年重组注入,不可映射2018",存活(已重组)
神农集团,605296.SH,2021-05才上市,—,—,"2018年未上市,不在队列",存活
