公司,代码,市场,收盘价(2026-07-17),币种,总市值(亿元),市值币种,PE_TTM,PB_LF,数据来源
恒瑞医药,600276.SH,A股,53.61(总市值/总股本推算),CNY,3530.33,CNY,43.48,5.67,Wind
百济神州,688235.SH,A股,250.51,CNY,3861.41,CNY,122.08,11.69,Gildata
百济神州,06160.HK,港股,185.60,HKD,2860.87,HKD,,8.43,Gildata
药明康德,603259.SH,A股,117.89,CNY,3517.55,CNY,17.47,4.44,Gildata
信达生物,01801.HK,港股,88.95,HKD,1548.55,HKD,,7.23,Gildata
科伦药业,002422.SZ,A股,44.91,CNY,714.42,CNY,45.46,2.99,Gildata
华东医药,000963.SZ,A股,30.10,CNY,527.87,CNY,15.07,2.14,Gildata
复星医药,600196.SH,A股,23.40,CNY,624.88,CNY,17.97,1.27,Gildata
复星医药,02196.HK,港股,16.22,HKD,431.36,HKD,,0.78,Gildata
康方生物,09926.HK,港股,88.35,HKD,813.83,HKD,,8.12,Gildata
君实生物,688180.SH,A股,35.10,CNY,360.37,CNY,-54.53,6.11,Gildata
君实生物,01877.HK,港股,17.64,HKD,181.11,HKD,,2.71,Gildata
药明康德,02359.HK,港股,,HKD,,HKD,19.71,4.75,Gildata滚动口径
