trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,002422.SZ,34.27,35.00,33.95,34.85,20379965,715356952
2025-07-21,002422.SZ,34.56,34.56,33.60,34.40,17449758,605299584
2025-07-22,002422.SZ,34.28,35.32,33.80,34.73,17094061,605531323
2025-07-23,002422.SZ,34.58,34.67,33.85,33.99,14417719,500801418
2025-07-24,002422.SZ,33.98,34.37,33.43,34.25,15674863,540995733
2025-07-25,002422.SZ,34.03,34.86,33.91,34.56,16085718,564610914
2025-07-28,002422.SZ,34.67,35.27,34.29,34.59,14578676,514487746
2025-07-29,002422.SZ,34.67,36.17,34.49,35.76,22640231,818512722
2025-07-30,002422.SZ,35.67,38.20,34.71,37.53,37182392,1398223239
2025-07-31,002422.SZ,37.35,37.77,36.75,37.12,17712317,670490253
2025-08-01,002422.SZ,36.97,37.69,36.38,36.52,12869200,484235958
2025-08-04,002422.SZ,36.37,36.48,35.38,35.91,12205954,444740864
2025-08-05,002422.SZ,35.99,37.14,35.89,36.89,11896712,442410159
2025-08-06,002422.SZ,37.06,37.69,36.43,36.91,11117549,418916650
2025-08-07,002422.SZ,36.76,37.48,36.02,36.21,13127801,490495032
2025-08-08,002422.SZ,36.22,36.50,35.51,35.97,10562990,384829909
2025-08-11,002422.SZ,35.96,36.80,35.71,36.41,9520314,352365928
2025-08-12,002422.SZ,36.40,36.73,35.44,35.78,12894781,469816878
2025-08-13,002422.SZ,35.79,36.50,35.57,36.30,16147187,593562576
2025-08-14,002422.SZ,36.41,36.41,35.58,35.58,12738761,465559186
2025-08-15,002422.SZ,35.50,36.24,35.23,35.75,11146683,406160389
2025-08-18,002422.SZ,35.74,36.45,35.68,36.41,15337714,563140107
2025-08-19,002422.SZ,36.41,38.02,36.17,37.02,24819214,944921759
2025-08-20,002422.SZ,36.83,37.19,35.67,36.67,17013218,631626937
2025-08-21,002422.SZ,36.71,37.51,36.38,37.10,13915164,522390197
2025-08-22,002422.SZ,37.10,37.24,36.50,36.92,13283960,497514718
