trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,HK01801,89.850,91.700,87.750,89.050,15552338.000,
2025-07-21,HK01801,90.000,91.150,87.250,88.650,10483351.000,
2025-07-22,HK01801,88.650,92.000,86.550,87.600,17778049.000,
2025-07-23,HK01801,88.700,91.300,86.800,88.000,20305570.000,
2025-07-24,HK01801,88.000,88.550,84.700,88.200,20662213.000,
2025-07-25,HK01801,88.200,91.700,87.900,89.150,19114615.000,
2025-07-28,HK01801,89.900,94.350,89.100,93.900,17709916.000,
2025-07-29,HK01801,95.000,100.000,93.050,99.950,27139490.000,
2025-07-30,HK01801,100.300,106.000,95.850,98.450,53711910.000,
2025-07-31,HK01801,99.000,100.800,96.400,98.000,21002134.000,
2025-08-01,HK01801,97.000,99.600,91.800,93.000,24052833.000,
2025-08-04,HK01801,92.450,94.450,90.200,92.900,15855227.000,
2025-08-05,HK01801,94.900,99.100,94.150,98.750,17692363.000,
2025-08-06,HK01801,98.850,99.400,96.100,98.050,13318611.000,
2025-08-07,HK01801,96.850,98.800,90.550,91.400,32235490.000,
2025-08-08,HK01801,91.400,93.200,89.600,91.250,18274901.000,
2025-08-11,HK01801,93.000,93.550,85.650,89.950,30762712.000,
2025-08-12,HK01801,90.550,90.550,85.500,87.300,25300254.000,
2025-08-13,HK01801,89.050,96.000,88.550,95.000,26739588.000,
2025-08-14,HK01801,97.150,98.350,95.300,96.000,16527182.000,
2025-08-15,HK01801,95.800,99.500,95.500,97.500,13549158.000,
2025-08-18,HK01801,99.000,103.500,98.500,101.900,20740825.000,
2025-08-19,HK01801,101.900,102.900,96.000,97.750,24023054.000,
2025-08-20,HK01801,97.000,98.850,93.100,94.650,17538128.000,
2025-08-21,HK01801,96.250,99.650,95.200,99.300,10889562.000,
2025-08-22,HK01801,101.500,102.400,97.700,99.450,11623171.000,
2025-08-25,HK01801,101.300,102.800,96.800,99.950,14911542.000,
2025-08-26,HK01801,99.950,100.300,93.650,95.750,43626515.000,
2025-08-27,HK01801,99.100,99.100,90.050,91.000,30586612.000,
2025-08-28,HK01801,94.900,94.900,88.350,90.650,22635180.000,
2025-08-29,HK01801,91.900,98.450,89.700,96.850,26710648.000,
2025-09-01,HK01801,98.650,106.500,95.150,105.400,27986303.000,
2025-09-02,HK01801,105.400,108.500,103.000,105.300,15122561.000,
2025-09-03,HK01801,107.000,109.000,103.700,107.000,13063627.000,
2025-09-04,HK01801,109.100,109.100,99.000,100.100,20809884.000,
2025-09-05,HK01801,100.100,104.200,98.500,103.100,19459787.000,
2025-09-08,HK01801,104.000,107.500,98.550,100.500,27413434.000,
2025-09-09,HK01801,99.450,103.200,97.100,100.900,14814575.000,
2025-09-10,HK01801,101.000,103.400,98.050,99.600,12256843.000,
2025-09-11,HK01801,91.000,98.350,85.700,97.100,51240460.000,
2025-09-12,HK01801,99.500,100.500,96.300,97.850,13419082.000,
2025-09-15,HK01801,98.500,101.900,94.800,95.600,20045883.000,
2025-09-16,HK01801,97.500,98.000,93.800,96.250,14137833.000,
2025-09-17,HK01801,96.000,96.850,92.850,96.500,20913052.000,
2025-09-18,HK01801,97.000,98.550,94.000,97.350,16918205.000,
2025-09-19,HK01801,97.500,98.300,90.000,92.050,34618371.000,
2025-09-22,HK01801,93.200,95.500,91.550,94.700,13572187.000,
2025-09-23,HK01801,95.350,96.150,91.100,93.450,12486370.000,
2025-09-24,HK01801,93.100,95.700,91.900,95.050,13606787.000,
2025-09-25,HK01801,96.000,96.750,94.000,95.050,10693475.000,
2025-09-26,HK01801,92.350,94.150,90.600,93.250,13980978.000,
2025-09-29,HK01801,94.000,95.500,91.350,93.600,12535427.000,
2025-09-30,HK01801,95.300,96.550,91.250,96.400,18545906.000,
2025-10-02,HK01801,96.800,101.500,96.150,100.700,6797155.000,
2025-10-03,HK01801,101.800,101.800,97.350,97.950,3578711.000,
2025-10-06,HK01801,98.600,100.500,96.800,100.500,3031024.000,
2025-10-08,HK01801,101.000,105.000,100.400,104.700,6194648.000,
2025-10-09,HK01801,103.000,103.000,94.250,95.100,25616568.000,
2025-10-10,HK01801,95.100,97.550,93.400,93.950,13129629.000,
2025-10-13,HK01801,90.000,92.000,86.700,90.000,27147340.000,
2025-10-14,HK01801,91.500,92.050,82.750,83.800,31965432.000,
2025-10-15,HK01801,85.050,85.900,80.850,85.600,17013032.000,
2025-10-16,HK01801,85.600,89.650,85.050,88.750,14176372.000,
2025-10-17,HK01801,90.850,90.850,86.000,86.850,13476448.000,
2025-10-20,HK01801,89.950,89.950,85.000,86.100,14492413.000,
2025-10-21,HK01801,86.650,88.300,84.150,86.900,19316176.000,
2025-10-22,HK01801,95.500,95.500,83.850,85.200,71646053.000,
2025-10-23,HK01801,86.050,87.200,82.800,85.100,24155180.000,
2025-10-24,HK01801,86.050,88.100,84.850,85.550,15428703.000,
2025-10-27,HK01801,87.900,88.200,84.400,86.100,14919443.000,
2025-10-28,HK01801,86.000,86.350,83.700,84.600,13926367.000,
2025-10-30,HK01801,84.250,84.250,79.050,80.700,33551275.000,
2025-10-31,HK01801,81.550,87.800,80.200,87.000,24727884.000,
2025-11-03,HK01801,87.750,91.500,86.250,90.200,21863756.000,
2025-11-04,HK01801,90.600,91.350,86.500,86.850,12521229.000,
2025-11-05,HK01801,85.450,89.100,84.650,88.050,11850963.000,
2025-11-06,HK01801,87.200,88.700,85.650,88.300,7751779.000,
2025-11-07,HK01801,88.500,89.500,84.200,85.200,10137618.000,
2025-11-10,HK01801,85.100,85.700,82.000,84.500,13675288.000,
2025-11-11,HK01801,85.500,85.550,83.600,85.250,5987073.000,
2025-11-12,HK01801,86.000,89.000,84.750,87.150,8616404.000,
2025-11-13,HK01801,88.000,93.200,87.900,91.950,23311922.000,
2025-11-14,HK01801,91.100,94.300,90.650,92.250,9771054.000,
2025-11-17,HK01801,92.300,92.450,88.100,90.800,7974109.000,
2025-11-18,HK01801,90.800,93.450,89.350,90.400,6462932.000,
2025-11-19,HK01801,90.150,90.800,88.000,89.650,4884752.000,
2025-11-20,HK01801,90.500,92.200,89.650,92.200,9059262.000,
2025-11-21,HK01801,91.500,91.500,86.000,87.250,11615810.000,
2025-11-24,HK01801,88.950,92.000,88.550,92.000,17192272.000,
2025-11-25,HK01801,93.000,95.800,92.000,93.800,13230456.000,
2025-11-26,HK01801,96.800,98.300,94.400,94.900,11531925.000,
2025-11-27,HK01801,96.200,99.000,95.100,96.200,10784385.000,
