trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,600276.SH,57.97,59.62,57.66,58.52,66098565,3881474081
2025-07-21,600276.SH,58.26,58.56,57.45,57.76,50944185,2960736582
2025-07-22,600276.SH,57.76,58.61,56.97,57.18,47557025,2753253571
2025-07-23,600276.SH,56.97,57.84,56.64,56.90,42529511,2440208239
2025-07-24,600276.SH,57.21,57.74,56.72,57.27,46583415,2670846698
2025-07-25,600276.SH,57.27,57.32,56.12,56.17,50539423,2873987055
2025-07-28,600276.SH,59.86,61.79,59.42,61.79,163009595,9943549097
2025-07-29,600276.SH,62.74,65.16,61.88,63.54,168276889,10731327179
2025-07-30,600276.SH,63.55,64.47,62.40,63.33,98084933,6247901661
2025-07-31,600276.SH,63.14,63.99,62.25,62.64,74203875,4690208201
2025-08-01,600276.SH,62.57,63.32,60.51,61.06,73465464,4545894531
2025-08-04,600276.SH,60.35,61.80,59.76,61.75,68961349,4217834709
2025-08-05,600276.SH,61.86,62.21,61.31,62.05,54144318,3356911222
2025-08-06,600276.SH,61.94,62.30,61.13,61.33,57247861,3539622159
2025-08-07,600276.SH,61.00,61.85,60.45,60.56,50476397,3088025792
2025-08-08,600276.SH,60.45,60.88,59.76,60.74,36297073,2203721883
2025-08-11,600276.SH,60.74,61.17,60.43,60.82,42575238,2600063209
2025-08-12,600276.SH,61.07,61.20,60.02,60.60,39183475,2380971082
2025-08-13,600276.SH,60.60,63.25,60.60,62.36,81529632,5079201588
2025-08-14,600276.SH,62.59,63.34,62.11,62.56,57126647,3597162010
2025-08-15,600276.SH,62.39,64.01,62.21,63.14,61493254,3908038788
2025-08-18,600276.SH,63.14,63.69,62.55,62.82,72885756,4616557070
2025-08-19,600276.SH,63.14,65.13,61.38,61.44,99770049,6322095612
2025-08-20,600276.SH,61.41,62.71,60.86,62.59,65042442,4025484233
2025-08-21,600276.SH,63.72,65.06,62.69,63.73,85862923,5507421603
2025-08-22,600276.SH,64.45,64.93,63.57,64.72,63771891,4115097233
2025-08-25,600276.SH,64.72,66.13,64.11,65.99,84923381,5551997681
2025-08-26,600276.SH,65.93,65.93,64.74,65.03,57512937,3761929156
2025-08-27,600276.SH,64.75,65.44,62.78,62.79,83616934,5375767159
2025-08-28,600276.SH,62.69,62.96,61.16,62.77,71590154,4469129644
2025-08-29,600276.SH,62.77,66.60,62.77,65.96,102318607,6677635302
2025-09-01,600276.SH,66.13,68.60,65.65,68.07,87218089,5917826674
2025-09-02,600276.SH,69.52,70.48,67.52,68.59,108448969,7512721689
2025-09-03,600276.SH,68.52,73.12,68.52,71.69,112936901,8078844874
2025-09-04,600276.SH,70.98,71.29,67.23,68.37,110289406,7625423229
2025-09-05,600276.SH,68.72,72.68,68.72,72.18,93647856,6663122815
2025-09-08,600276.SH,72.70,73.57,71.35,72.02,74820928,5423039921
2025-09-09,600276.SH,71.88,73.74,70.19,70.80,76767009,5517534684
2025-09-10,600276.SH,70.55,71.48,69.80,70.03,46820413,3306783039
2025-09-11,600276.SH,66.31,68.19,63.74,68.01,194235937,12928573364
2025-09-12,600276.SH,68.00,69.23,67.58,68.73,83121521,5710845365
2025-09-15,600276.SH,68.57,69.41,67.98,68.82,61188153,4225790379
2025-09-16,600276.SH,68.82,69.06,68.06,68.87,43458205,2991348434
