year,total,yoy_pct,domestic,export,note
2009,95000.0,,,,四万亿刺激
2010,167000.0,75.8,,,刺激高峰
2011,178000.0,6.6,,,上一波总销量峰值
2012,,,,,下行开始
2013,,,,,下行
2014,,,,,下行
2015,56000.0,,,,谷底（较2011累计约-68%）
2016,70300.0,19.3,,,同比转正
2017,140302.0,99.5,,,翻倍，更新+供给侧改革
2018,203420.0,45.0,,,更新周期延续
2019,235693.0,15.9,209077.0,26616.0,当时新高，出口占11.3%
2020,327605.0,39.0,,,疫情后刺激+更新
2021,342784.0,4.6,274357.0,68427.0,总销量历史峰值，内销转负
2022,261300.0,-23.8,151900.0,109500.0,内需坍塌，出口+59.8%对冲
2023,195018.0,-25.4,90000.0,105038.0,内销谷底9万台
2024,201102.0,3.1,100543.0,100559.0,内销+11.7%拐点
2025,235257.0,17.0,118518.0,116739.0,出口占49.6%
