date,open,close,low,high,vol,amt
2025-07-01,9.6,9.62,9.56,9.67,290563,27983.12
2025-07-02,9.62,9.79,9.58,10.05,596633,58449.9
2025-07-03,9.79,9.74,9.67,9.82,316831,30818.51
2025-07-04,9.73,9.85,9.67,9.96,480995,47357.69
2025-07-07,9.85,9.89,9.77,9.93,372997,36751.15
2025-07-08,9.95,10.02,9.82,10.07,760484,75624.71
2025-07-09,9.99,9.93,9.9,10.05,369288,36813.67
2025-07-10,9.92,10.14,9.86,10.3,690139,69490.52
2025-07-11,10.14,10.09,10.07,10.19,462491,46794.31
2025-07-14,10.17,10.21,10.17,10.47,616384,63428.45
2025-07-15,10.2,10.12,10.04,10.28,438871,44450.09
2025-07-16,10.12,10.04,10.01,10.13,244419,24559.63
2025-07-17,10.04,10.08,10.03,10.12,284092,28602.25
2025-07-18,10.09,10.15,10.08,10.19,295262,29926.4
2025-07-21,10.54,10.87,10.38,10.98,1280202,137046.28
2025-07-22,11.05,11.96,10.74,11.96,1782992,200997.02
2025-07-23,12.57,11.66,11.5,13.02,2968591,364474.75
2025-07-24,11.66,11.57,11.38,11.95,1559495,181861.84
2025-07-25,11.57,11.15,11.07,11.65,1304623,146289.34
2025-07-28,11.08,11.15,10.92,11.22,1040804,114965.02
2025-07-29,11.08,11.28,10.95,11.32,1052250,117136.4
2025-07-30,11.16,11.02,11.0,11.35,645725,71817.8
2025-07-31,10.92,10.7,10.64,11.06,732055,79092.03
2025-08-01,10.74,10.78,10.64,10.81,473342,50774.61
2025-08-04,10.71,11.02,10.68,11.05,539632,59140.58
2025-08-05,11.01,10.95,10.9,11.05,424023,46449.7
2025-08-06,10.96,10.97,10.95,11.06,346568,38115.06
2025-08-07,11.04,11.37,10.85,11.49,1026856,115202.18
2025-08-08,11.3,11.58,11.26,11.8,1133385,131552.38
2025-08-11,11.64,11.45,11.42,11.65,604819,69471.8
2025-08-12,11.44,11.45,11.37,11.52,399504,45682.54
2025-08-13,11.51,11.46,11.41,11.58,586434,67244.58
2025-08-14,11.41,11.26,11.25,11.53,511664,58215.53
2025-08-15,11.25,11.29,11.22,11.39,604413,68193.93
2025-08-18,11.31,11.23,11.11,11.31,591107,66232.52
2025-08-19,11.22,11.07,11.05,11.25,450746,50140.09
2025-08-20,11.04,11.14,11.01,11.15,378499,41988.64
2025-08-21,11.15,11.28,11.15,11.44,772686,87525.26
2025-08-22,11.28,11.24,11.15,11.32,505764,56703.2
2025-08-25,11.25,11.34,11.24,11.42,566288,64112.89
2025-08-26,11.35,11.31,11.22,11.35,481891,54329.64
2025-08-27,11.35,11.0,10.99,11.45,776246,87162.27
2025-08-28,10.99,11.11,10.72,11.11,630975,69008.16
2025-08-29,11.07,10.96,10.95,11.14,439512,48519.62
2025-09-01,10.98,11.04,10.87,11.15,479313,52792.19
2025-09-02,11.05,10.91,10.78,11.05,423968,46175.0
2025-09-03,10.91,10.87,10.83,11.3,593522,65678.41
2025-09-04,10.85,10.88,10.75,10.97,447982,48605.74
2025-09-05,10.85,10.99,10.82,11.1,373389,41050.84
2025-09-08,11.0,11.03,10.91,11.1,390804,43059.35
2025-09-09,11.02,10.97,10.95,11.14,404995,44740.7
2025-09-10,10.95,10.87,10.85,10.97,268414,29248.89
2025-09-11,10.82,10.94,10.75,10.94,322373,34911.59
2025-09-12,10.93,10.92,10.91,11.2,440508,48652.11
2025-09-15,10.95,11.07,10.93,11.36,686798,76730.18
2025-09-16,11.08,10.98,10.88,11.13,377623,41481.33
2025-09-17,10.98,11.25,10.93,11.42,879561,98691.42
2025-09-18,11.25,11.03,10.93,11.28,597796,66503.66
2025-09-19,11.04,11.36,11.0,11.42,919369,103858.12
2025-09-22,11.4,11.1,11.01,11.45,846313,94134.31
2025-09-23,11.08,10.82,10.56,11.09,833751,89573.68
2025-09-24,10.74,10.88,10.66,10.96,717717,77617.8
2025-09-25,10.86,10.63,10.48,10.89,786056,83381.74
2025-09-26,10.57,10.68,10.53,10.92,634953,68436.34
2025-09-29,10.67,10.87,10.48,10.96,607302,65300.61
2025-09-30,10.83,11.06,10.81,11.22,740191,81665.38
2025-10-09,11.07,11.05,10.73,11.11,669241,72778.61
2025-10-10,11.0,11.03,10.95,11.24,571491,63477.05
2025-10-13,10.8,10.89,10.63,10.92,773472,83351.88
2025-10-14,11.22,11.5,11.22,11.72,1990655,228723.78
2025-10-15,11.55,11.94,11.38,11.98,1563243,184251.44
2025-10-16,11.82,11.81,11.76,12.07,788834,93833.3
2025-10-17,11.8,11.62,11.55,11.88,692978,80920.88
2025-10-20,11.75,11.75,11.66,11.95,598457,70355.17
2025-10-21,11.76,11.93,11.76,12.04,686103,81861.12
2025-10-22,11.88,11.91,11.82,12.12,565644,67593.51
2025-10-23,11.83,11.83,11.63,11.89,422615,49557.46
2025-10-24,11.83,11.94,11.73,11.95,432133,51380.21
2025-10-27,11.68,11.76,11.55,12.04,1045807,123065.44
2025-10-28,11.7,11.5,11.36,11.78,585591,67524.65
2025-10-29,11.5,11.44,11.37,11.57,305933,34953.7
2025-10-30,11.46,11.38,11.38,11.61,350223,40210.53
2025-10-31,11.41,11.64,11.24,11.73,567803,65573.85
2025-11-03,11.65,11.66,11.48,11.7,363676,42220.79
2025-11-04,11.65,11.95,11.58,12.25,799083,95836.29
2025-11-05,11.86,11.93,11.74,11.97,321349,38181.48
2025-11-06,11.94,11.94,11.85,12.07,376217,44979.26
2025-11-07,11.89,12.07,11.69,12.13,477846,57221.66
2025-11-10,12.08,11.95,11.71,12.12,473294,56195.53
2025-11-11,11.96,11.75,11.72,11.98,284120,33644.29
2025-11-12,11.76,11.65,11.63,11.87,258546,30313.98
2025-11-13,11.65,11.69,11.58,11.71,199545,23254.99
2025-11-14,11.63,11.37,11.36,11.64,321348,36868.61
2025-11-17,11.36,11.08,11.04,11.39,377736,42183.18
2025-11-18,11.13,11.01,10.95,11.21,251026,27775.7
2025-11-19,11.01,10.95,10.9,11.04,155666,17065.94
2025-11-20,10.97,11.07,10.96,11.14,267121,29548.49
2025-11-21,10.99,10.88,10.78,11.03,309136,33702.5
2025-11-24,10.95,11.05,10.88,11.13,265643,29275.31
2025-11-25,11.1,11.28,11.05,11.36,312341,34999.09
2025-11-26,11.67,12.04,11.67,12.25,1239463,148600.84
2025-11-27,11.87,11.91,11.82,12.02,523484,62362.17
2025-11-28,11.85,11.95,11.74,11.96,298145,35403.4
2025-12-01,11.97,12.04,11.83,12.08,334683,40052.29
2025-12-02,12.0,12.25,11.91,12.48,545431,66931.8
2025-12-03,12.25,12.35,12.2,12.45,420850,51963.45
2025-12-04,12.33,12.55,12.27,12.73,395616,49520.66
2025-12-05,12.54,12.79,12.5,12.92,377872,48223.16
2025-12-08,12.85,12.72,12.47,12.85,358119,45360.47
2025-12-09,12.7,12.47,12.43,12.97,351311,44323.96
2025-12-10,12.41,12.81,12.4,12.89,362774,46260.16
2025-12-11,12.8,12.58,12.57,12.88,203887,25910.5
2025-12-12,12.59,12.84,12.56,12.94,308927,39686.08
2025-12-15,12.74,12.77,12.65,12.92,225389,28843.98
2025-12-16,12.71,12.36,12.29,12.79,283101,35164.84
2025-12-17,12.33,12.58,12.23,12.64,248636,30957.36
2025-12-18,12.58,12.44,12.42,12.61,136485,17044.63
2025-12-19,12.46,12.58,12.4,12.7,149955,18861.6
2025-12-22,12.61,12.26,12.25,12.66,250428,30843.1
2025-12-23,12.31,12.17,12.12,12.32,182736,22238.13
2025-12-24,12.13,12.35,12.06,12.39,212651,26109.34
2025-12-25,12.38,12.4,12.28,12.53,165278,20475.96
2025-12-26,12.4,12.61,12.4,12.73,227109,28620.94
2025-12-29,12.62,12.1,12.02,12.67,674123,82154.42
2025-12-30,12.14,11.95,11.91,12.31,537303,64753.36
2025-12-31,12.0,11.87,11.77,12.0,300182,35635.86
2026-01-05,11.95,12.01,11.91,12.16,351868,42229.86
2026-01-06,11.97,12.33,11.92,12.36,581395,70940.09
2026-01-07,12.25,11.93,11.85,12.31,584749,69914.3
2026-01-08,11.88,11.8,11.72,11.92,372004,43913.52
2026-01-09,11.85,11.97,11.82,12.17,485166,58470.04
2026-01-12,11.96,11.94,11.88,12.0,358307,42745.77
2026-01-13,11.98,11.67,11.6,12.01,501672,59120.29
2026-01-14,11.66,11.48,11.41,11.74,500695,58082.57
2026-01-15,11.5,11.51,11.44,11.62,252745,29137.15
2026-01-16,11.56,11.47,11.43,11.65,298093,34385.86
2026-01-19,11.45,11.57,11.41,11.59,281018,32409.47
2026-01-20,11.59,11.76,11.54,11.79,439449,51349.01
2026-01-21,11.7,11.74,11.5,11.83,391439,45621.23
2026-01-22,11.7,11.77,11.63,11.85,301135,35327.73
2026-01-23,11.78,11.9,11.78,12.08,437761,52260.44
2026-01-26,11.91,11.74,11.65,12.1,470893,55650.16
2026-01-27,11.68,11.51,11.5,11.86,363468,42131.23
2026-01-28,11.65,11.63,11.42,11.85,434878,50553.24
2026-01-29,11.63,11.46,11.39,11.68,417951,48049.69
2026-01-30,11.43,11.39,11.21,11.56,365375,41617.04
2026-02-02,11.37,10.91,10.89,11.45,457149,50829.43
2026-02-03,11.02,11.55,11.02,11.58,597427,67754.74
2026-02-04,11.48,11.68,11.36,11.75,404172,46941.33
2026-02-05,11.68,11.68,11.59,11.77,275913,32212.38
2026-02-06,11.6,11.48,11.39,11.62,229260,26436.79
2026-02-09,11.62,11.78,11.57,11.93,409969,48331.23
2026-02-10,11.8,11.82,11.64,11.89,244413,28793.43
2026-02-11,11.8,11.85,11.79,11.99,252352,30039.5
2026-02-12,11.89,11.76,11.7,11.93,228777,26969.55
2026-02-13,11.75,11.44,11.42,11.76,284336,32768.77
2026-02-24,11.54,11.81,11.53,11.95,328137,38668.43
2026-02-25,11.85,11.94,11.77,12.02,332908,39750.43
2026-02-26,11.95,11.88,11.77,11.98,228309,27067.23
2026-02-27,11.85,11.94,11.81,12.21,355072,42661.67
2026-03-02,11.8,11.66,11.64,11.98,463521,54465.09
2026-03-03,11.75,11.17,11.13,11.75,548120,62081.08
2026-03-04,11.09,10.94,10.93,11.16,339068,37413.72
2026-03-05,11.12,11.0,10.93,11.26,372975,41382.34
2026-03-06,10.96,11.03,10.83,11.09,337318,37015.58
2026-03-09,10.89,10.44,10.31,10.89,740435,77358.75
2026-03-10,10.56,10.67,10.55,10.75,433475,46168.09
2026-03-11,10.69,10.66,10.53,10.71,359530,38184.34
2026-03-12,10.61,10.43,10.39,10.61,549756,57494.02
2026-03-13,10.38,10.32,10.25,10.52,490998,50961.64
2026-03-16,10.29,10.02,10.0,10.3,561870,56734.23
2026-03-17,10.08,10.02,10.0,10.18,362033,36521.47
2026-03-18,10.05,9.9,9.74,10.06,524644,51697.75
2026-03-19,9.73,9.64,9.62,9.77,397868,38547.75
2026-03-20,9.69,9.5,9.49,9.73,357904,34409.2
2026-03-23,9.32,9.01,8.95,9.33,529584,48359.88
2026-03-24,9.17,9.25,9.0,9.26,401867,36793.57
2026-03-25,9.38,9.49,9.35,9.62,444104,42138.93
2026-03-26,9.47,9.32,9.27,9.53,304057,28556.58
2026-03-27,9.22,9.35,9.18,9.4,209793,19565.6
2026-03-30,9.21,9.32,9.16,9.39,257520,23887.16
2026-03-31,9.35,9.32,9.31,9.54,277581,26161.92
2026-04-01,9.56,9.57,9.45,9.64,344337,32853.28
