trade_date,wind_code,open,high,low,close,volume,amt
2008-01-02,801890.SI,1300.3,1339.06,1281.29,1325.16,229351744,4378344297
2008-01-03,801890.SI,1327.92,1380.31,1314.31,1360.72,364153540,6682390531
2008-01-04,801890.SI,1364.34,1386.67,1338.15,1361.52,311045905,6066775864
2008-01-07,801890.SI,1363.76,1395.67,1341.36,1374.43,344914318,6351179604
2008-01-08,801890.SI,1379.91,1408.82,1333.23,1354.88,388474037,7404123771
2008-01-09,801890.SI,1352.95,1383.77,1334.91,1370.92,285627539,5308111070
2008-01-10,801890.SI,1377.31,1401.09,1351.06,1370.2,327161916,6284781442
2008-01-11,801890.SI,1372.19,1394.12,1336.12,1367.76,288031506,5588502873
2008-01-14,801890.SI,1371.72,1402.96,1346.91,1379.59,306148479,5863560289
2008-01-15,801890.SI,1384.84,1420.86,1365.06,1393.2,304613294,6422788154
2008-01-16,801890.SI,1386.75,1403.07,1343.35,1362.12,334053741,6326612135
2008-01-17,801890.SI,1353.61,1383.51,1285.75,1332.07,397560492,7681646908
2008-01-18,801890.SI,1332.03,1364.66,1304.24,1344.77,293888858,5628594171
2008-01-21,801890.SI,1344.29,1362.07,1270.39,1289.65,301823952,5792522518
2008-01-22,801890.SI,1257.17,1283.87,1168.97,1193.58,321332672,6507707152
2008-01-23,801890.SI,1201.07,1264.35,1172.83,1249.17,318204332,5671313335
2008-01-24,801890.SI,1258.84,1303.86,1232.21,1283.66,334631457,5963951424
2008-01-25,801890.SI,1283.38,1315.16,1256.45,1291.53,286365476,5374662909
2008-01-28,801890.SI,1287.39,1296.79,1191.04,1203.67,234251863,4258805875
2008-01-29,801890.SI,1203.28,1248.39,1182.51,1217.22,162856320,2834043956
2008-01-30,801890.SI,1228.48,1261.32,1193.95,1222.85,166352748,3173955827
2008-01-31,801890.SI,1219.78,1236.16,1173.96,1183.49,118536682,2182694270
2008-02-01,801890.SI,1187.23,1208.95,1106.67,1145.0,179085508,2945500716
2008-02-04,801890.SI,1174.58,1244.18,1165.18,1239.16,193040746,3648277580
2008-02-05,801890.SI,1237.41,1263.92,1208.59,1242.21,169073841,3204218589
2008-02-13,801890.SI,1233.71,1256.03,1202.73,1228.58,105110386,1794819682
2008-02-14,801890.SI,1232.46,1270.99,1223.52,1256.63,123144812,2482478906
2008-02-15,801890.SI,1249.78,1266.32,1220.03,1249.69,112555477,2186043885
2008-02-18,801890.SI,1268.25,1293.36,1250.68,1272.54,166745506,3169675588
2008-02-19,801890.SI,1276.72,1304.61,1257.07,1293.95,231981925,4192799480
2008-02-20,801890.SI,1297.27,1311.02,1256.36,1265.85,241803997,4449543979
2008-02-21,801890.SI,1262.28,1289.96,1236.69,1266.89,182144977,3214881460
2008-02-22,801890.SI,1263.65,1279.7,1210.66,1233.89,213751017,3850676135
2008-02-25,801890.SI,1239.82,1254.84,1173.83,1187.19,181557232,3310720452
2008-02-26,801890.SI,1215.77,1237.64,1138.18,1187.42,197873389,3510251067
2008-02-27,801890.SI,1194.88,1229.64,1177.35,1211.83,184597762,3091950256
2008-02-28,801890.SI,1215.13,1239.08,1190.68,1215.73,177350876,2924822837
2008-02-29,801890.SI,1206.48,1243.9,1195.28,1231.95,204782033,3365710283
2008-03-03,801890.SI,1223.59,1274.59,1207.55,1266.22,279872975,4561089210
2008-03-04,801890.SI,1267.14,1286.79,1227.99,1239.99,284397346,4837687123
2008-03-05,801890.SI,1235.65,1257.1,1196.85,1224.97,231297075,3701801413
2008-03-06,801890.SI,1230.27,1256.99,1204.13,1230.72,291748577,4717343290
2008-03-07,801890.SI,1224.45,1242.12,1185.85,1204.79,215903533,3940976939
2008-03-10,801890.SI,1204.74,1214.06,1146.72,1164.02,217302309,3926628078
2008-03-11,801890.SI,1153.08,1183.3,1125.44,1166.11,211169179,3593637954
2008-03-12,801890.SI,1186.1,1199.79,1120.07,1133.36,219406035,3765694809
2008-03-13,801890.SI,1120.3,1135.89,1062.85,1088.41,229958881,3852574319
2008-03-14,801890.SI,1082.62,1106.9,1057.39,1084.98,145000320,2338370716
2008-03-17,801890.SI,1080.38,1087.88,997.41,1010.1,190767095,2960186340
2008-03-18,801890.SI,994.41,1022.33,919.56,941.79,194222896,2930589555
2008-03-19,801890.SI,956.75,998.69,932.09,977.5,264251575,4260993768
2008-03-20,801890.SI,962.33,1022.97,911.96,1004.54,249929775,3822512374
2008-03-21,801890.SI,1001.45,1032.54,982.22,1008.66,199422000,3039806688
2008-03-24,801890.SI,1020.92,1039.76,972.81,980.38,199092996,3001825379
2008-03-25,801890.SI,960.97,1004.7,941.24,989.99,181219286,2618511849
2008-03-26,801890.SI,995.2,1022.1,975.35,994.74,156672907,2420340785
2008-03-27,801890.SI,982.13,995.03,940.02,949.61,165801571,2327729044
2008-03-28,801890.SI,940.83,987.14,907.41,975.3,192957194,2675427622
2008-03-31,801890.SI,950.96,975.13,920.46,941.49,141961286,1867075283
2008-04-01,801890.SI,936.31,955.68,866.34,880.5,178580805,2247827350
2008-04-02,801890.SI,878.39,901.32,818.85,834.28,184900887,2345157555
2008-04-03,801890.SI,829.26,866.08,802.35,848.89,135269312,1792492440
2008-04-07,801890.SI,844.82,910.71,827.15,899.99,181519946,2435734173
2008-04-08,801890.SI,896.97,937.84,879.07,919.22,201467600,2710834047
2008-04-09,801890.SI,919.45,949.49,882.46,903.9,208273408,2995495656
2008-04-10,801890.SI,883.81,926.26,863.93,915.54,195196651,2622806743
2008-04-11,801890.SI,915.14,944.46,894.03,920.58,180298806,2267451124
2008-04-14,801890.SI,897.67,912.23,843.75,862.95,160954231,2077410711
2008-04-15,801890.SI,849.6,885.35,818.82,877.71,160616531,2013479051
2008-04-16,801890.SI,869.33,888.38,836.95,853.98,132533412,1580561602
2008-04-17,801890.SI,845.28,873.49,797.16,819.15,146894753,1811845668
2008-04-18,801890.SI,805.28,828.85,770.25,788.43,130218088,1520260637
2008-04-21,801890.SI,834.51,849.0,763.47,785.27,191206756,2311968075
2008-04-22,801890.SI,766.77,790.47,729.71,778.28,156875592,1738716152
2008-04-23,801890.SI,763.59,822.75,750.05,814.83,216035134,2490458305
2008-04-24,801890.SI,870.77,885.09,842.06,882.84,462839073,6139033971
2008-04-25,801890.SI,873.64,927.91,856.33,896.66,425966809,5497814169
2008-04-28,801890.SI,876.97,910.52,859.06,884.58,235730547,3100460866
2008-04-29,801890.SI,875.32,905.5,861.3,891.05,222022809,2906110141
2008-04-30,801890.SI,888.86,938.66,880.85,929.69,340799887,4572162558
2008-05-05,801890.SI,933.53,971.4,915.97,963.64,386215195,5223089610
2008-05-06,801890.SI,950.77,977.88,925.74,952.68,352396619,4942234527
2008-05-07,801890.SI,941.28,967.54,898.1,912.94,325291600,4388638355
2008-05-08,801890.SI,902.12,948.56,885.6,934.82,259271750,3426688552
2008-05-09,801890.SI,937.53,964.03,904.63,939.39,327144935,4345434032
2008-05-12,801890.SI,918.04,968.93,901.47,953.3,308233468,4161742837
2008-05-13,801890.SI,919.53,978.08,907.68,957.04,364586865,5036031852
2008-05-14,801890.SI,947.52,992.02,938.28,979.29,335978378,4394157144
2008-05-15,801890.SI,976.9,1014.57,959.19,982.58,325439870,4761008452
2008-05-16,801890.SI,974.95,1007.85,948.12,980.07,242996741,3636735826
2008-05-19,801890.SI,969.73,999.31,948.47,979.75,197723253,2587386243
2008-05-20,801890.SI,971.16,992.79,903.39,923.66,249565534,3272509453
2008-05-21,801890.SI,906.65,951.49,872.89,936.93,285542905,3513026767
2008-05-22,801890.SI,919.58,949.71,896.29,918.12,252104352,3098824738
2008-05-23,801890.SI,908.75,932.29,878.03,904.07,173082718,2029359725
2008-05-26,801890.SI,891.24,911.67,860.97,882.47,160194062,1937299158
2008-05-27,801890.SI,873.6,900.48,860.69,886.55,124812444,1516280237
2008-05-28,801890.SI,881.26,920.3,869.85,911.17,168932056,2057124339
2008-05-29,801890.SI,900.46,919.95,871.66,888.73,163746221,1945249777
2008-05-30,801890.SI,879.65,906.71,865.44,890.73,159262598,1898475228
2008-06-02,801890.SI,882.63,910.15,868.36,897.65,191452902,2231664516
2008-06-03,801890.SI,898.22,907.87,877.94,890.3,168864748,2079295893
2008-06-04,801890.SI,890.31,899.15,860.46,874.72,175408862,2090004900
2008-06-05,801890.SI,873.34,888.23,856.98,866.29,143770209,1762839313
2008-06-06,801890.SI,866.97,881.46,850.99,860.22,135056149,1621316813
2008-06-10,801890.SI,826.74,841.6,783.72,790.32,251689854,2907823965
2008-06-11,801890.SI,778.21,794.34,753.12,769.14,186143142,1935058987
2008-06-12,801890.SI,766.54,780.19,739.19,760.17,219978161,2273748420
2008-06-13,801890.SI,762.85,774.04,728.99,736.68,203093982,1989970847
2008-06-16,801890.SI,731.03,747.63,707.61,725.28,191120246,1850887231
2008-06-17,801890.SI,721.92,735.37,684.16,694.83,213717190,1930758996
2008-06-18,801890.SI,702.26,739.97,674.69,732.41,301752454,3046469818
