date,open,close,high,low,volume
2024-06-03,10.423,10.233,10.473,10.113,345162.0
2024-06-04,10.223,10.403,10.413,10.153,280876.0
2024-06-05,10.322,10.212,10.432,10.212,213341.0
2024-06-06,10.302,10.142,10.352,10.102,247680.0
2024-06-07,10.272,10.092,10.342,9.942,264974.0
2024-06-11,9.962,10.142,10.262,9.832,313566.0
2024-06-12,10.092,10.322,10.362,10.012,347671.0
2024-06-13,10.242,10.362,10.422,10.142,340298.0
2024-06-14,10.502,10.372,10.522,10.152,352438.0
2024-06-17,10.322,10.002,10.332,9.982,401565.0
2024-06-18,10.042,9.912,10.052,9.852,378190.0
2024-06-19,9.922,9.682,9.932,9.602,403391.0
2024-06-20,9.672,9.632,9.892,9.612,299539.0
2024-06-21,9.532,9.592,9.632,9.412,358837.0
2024-06-24,9.452,9.202,9.512,9.182,349542.0
2024-06-25,9.202,9.132,9.302,9.002,291870.0
2024-06-26,9.112,9.512,9.542,9.022,482135.0
2024-06-27,9.372,9.142,9.432,9.102,385031.0
2024-06-28,9.132,9.252,9.482,9.102,342312.0
2024-07-01,9.222,9.332,9.372,9.122,320834.0
2024-07-02,9.292,9.342,9.512,9.292,297951.0
2024-07-03,9.582,9.562,9.752,9.382,506433.0
2024-07-04,9.522,9.162,9.642,9.102,525113.0
2024-07-05,9.102,9.242,9.362,9.062,370488.0
2024-07-08,9.172,8.822,9.172,8.762,461402.0
2024-07-09,8.782,8.822,8.882,8.582,562897.0
2024-07-10,8.802,8.822,9.022,8.622,394016.0
2024-07-11,8.992,9.002,9.042,8.812,430156.0
2024-07-12,8.922,8.752,8.972,8.742,347743.0
2024-07-15,8.712,8.422,8.742,8.382,533719.0
2024-07-16,8.362,8.502,8.532,8.312,344645.0
2024-07-17,8.482,8.512,8.662,8.402,360743.0
2024-07-18,8.412,8.752,8.832,8.282,526121.0
2024-07-19,8.732,8.662,8.762,8.622,288296.0
2024-07-22,8.642,8.572,8.722,8.492,224882.0
2024-07-23,8.632,8.272,8.682,8.262,295647.0
2024-07-24,8.222,8.102,8.332,8.062,263798.0
2024-07-25,8.102,8.432,8.612,8.032,455639.0
2024-07-26,8.422,8.602,8.732,8.382,345313.0
2024-07-29,8.642,8.682,8.782,8.442,332742.0
2024-07-30,8.562,8.692,8.742,8.412,317509.0
2024-07-31,8.672,9.122,9.132,8.662,490401.0
2024-08-01,9.122,8.972,9.242,8.942,344342.0
2024-08-02,8.862,8.922,9.142,8.862,281328.0
2024-08-05,8.892,8.982,9.412,8.862,771699.0
2024-08-06,9.112,9.362,9.482,9.102,864047.0
2024-08-07,9.302,9.542,9.782,9.162,822647.0
2024-08-08,9.492,9.242,9.522,9.122,559397.0
2024-08-09,9.252,9.082,9.422,9.082,422187.0
