date,open,close,high,low,volume
2024-06-03,12.393,11.793,12.403,11.423,956854.0
2024-06-04,11.783,12.063,12.093,11.683,495746.0
2024-06-05,11.983,11.833,11.993,11.813,338643.0
2024-06-06,11.923,11.603,12.043,11.473,431729.0
2024-06-07,11.693,11.743,11.803,11.453,328403.0
2024-06-11,11.643,12.183,12.293,11.523,542718.0
2024-06-12,12.143,12.113,12.223,11.983,407018.0
2024-06-13,12.033,12.003,12.123,11.963,282492.0
2024-06-14,12.033,12.073,12.173,11.943,320842.0
2024-06-17,12.063,11.843,12.063,11.813,279308.0
2024-06-18,11.823,11.853,11.973,11.783,216256.0
2024-06-19,11.853,11.533,11.873,11.533,293161.0
2024-06-20,11.503,11.133,11.663,11.123,347429.0
2024-06-21,11.083,11.163,11.273,10.993,234827.0
2024-06-24,11.053,10.773,11.063,10.763,333469.0
2024-06-25,10.773,10.593,10.923,10.493,281244.0
2024-06-26,10.633,11.323,11.333,10.573,536904.0
2024-06-27,11.153,11.053,11.243,11.013,357665.0
2024-06-28,11.003,11.033,11.243,10.993,373565.0
2024-07-01,10.993,11.053,11.073,10.753,264803.0
2024-07-02,10.993,11.093,11.233,10.983,267259.0
2024-07-03,11.053,11.083,11.153,10.903,193303.0
2024-07-04,11.133,10.763,11.173,10.753,201782.0
2024-07-05,10.753,10.823,10.893,10.643,192219.0
2024-07-08,10.733,10.333,10.743,10.263,318827.0
2024-07-09,10.293,10.573,10.623,10.163,282351.0
2024-07-10,10.493,10.503,10.743,10.403,225026.0
2024-07-11,10.743,10.923,10.923,10.663,305767.0
2024-07-12,10.913,10.693,10.943,10.663,272415.0
2024-07-15,10.703,10.473,10.713,10.453,217477.0
2024-07-16,10.443,10.603,10.653,10.303,265293.0
2024-07-17,10.553,10.753,10.983,10.523,417902.0
2024-07-18,10.633,10.773,10.833,10.433,285300.0
2024-07-19,10.723,10.973,11.083,10.713,416267.0
2024-07-22,10.963,10.953,11.083,10.753,291713.0
2024-07-23,11.063,10.443,11.083,10.443,387427.0
2024-07-24,10.343,10.163,10.503,10.143,295282.0
2024-07-25,10.103,10.373,10.533,10.023,306085.0
2024-07-26,10.443,10.723,10.733,10.363,325239.0
