date,open,close,high,low,volume
2024-06-03,9.676,9.506,9.676,9.416,340570.0
2024-06-04,9.506,9.656,9.676,9.426,281664.0
2024-06-05,9.576,9.406,9.646,9.396,271557.0
2024-06-06,9.463,9.243,9.523,9.203,384802.0
2024-06-07,9.263,9.183,9.423,9.003,427784.0
2024-06-11,9.073,9.443,9.473,9.023,396804.0
2024-06-12,9.413,9.613,9.673,9.373,314575.0
2024-06-13,9.563,9.623,9.713,9.513,224441.0
2024-06-14,9.633,9.713,9.733,9.573,229968.0
2024-06-17,9.783,9.543,9.783,9.503,286972.0
2024-06-18,9.523,9.523,9.643,9.493,229947.0
2024-06-19,9.543,9.153,9.573,9.153,420205.0
2024-06-20,9.173,8.933,9.243,8.913,273571.0
2024-06-21,8.923,8.973,9.003,8.763,208005.0
2024-06-24,8.883,8.633,8.893,8.573,296314.0
2024-06-25,8.673,8.593,8.773,8.523,249182.0
2024-06-26,8.643,9.073,9.093,8.573,416629.0
2024-06-27,8.973,8.823,9.003,8.803,281931.0
2024-06-28,8.753,8.833,9.013,8.713,266693.0
2024-07-01,8.793,8.863,8.913,8.573,291073.0
2024-07-02,8.823,8.923,9.023,8.793,267235.0
2024-07-03,8.913,8.773,8.923,8.743,203668.0
2024-07-04,8.783,8.533,8.873,8.513,270141.0
2024-07-05,8.483,8.593,8.653,8.413,194259.0
2024-07-08,8.563,8.313,8.603,8.283,262268.0
2024-07-09,8.293,8.493,8.533,8.233,292510.0
2024-07-10,8.463,8.433,8.613,8.363,203755.0
2024-07-11,8.593,8.663,8.723,8.523,389729.0
2024-07-12,8.633,8.473,8.653,8.453,265131.0
2024-07-15,8.453,8.313,8.463,8.293,216627.0
2024-07-16,8.273,8.443,8.493,8.243,218639.0
2024-07-17,8.433,8.383,8.593,8.363,332802.0
2024-07-18,8.223,8.313,8.353,8.093,308200.0
2024-07-19,8.283,8.383,8.443,8.253,228640.0
2024-07-22,8.363,8.423,8.503,8.233,227872.0
2024-07-23,8.493,8.103,8.513,8.103,289601.0
2024-07-24,8.083,7.933,8.153,7.923,225120.0
2024-07-25,7.873,8.023,8.153,7.833,239907.0
2024-07-26,8.063,8.193,8.243,8.013,206721.0
2024-07-29,8.183,8.233,8.303,8.073,203838.0
2024-07-30,8.193,8.233,8.303,8.123,168346.0
2024-07-31,8.233,8.723,8.743,8.223,390855.0
2024-08-01,8.723,8.723,8.863,8.643,259633.0
2024-08-02,8.623,8.573,8.843,8.553,236618.0
2024-08-05,8.593,8.543,8.893,8.513,486991.0
2024-08-06,8.673,8.803,8.983,8.663,546905.0
2024-08-07,8.803,8.863,9.013,8.673,472130.0
2024-08-08,8.823,8.773,8.843,8.613,317740.0
2024-08-09,8.813,8.593,8.883,8.593,204257.0
2024-08-12,8.543,8.543,8.643,8.463,172514.0
2024-08-13,8.533,8.553,8.593,8.403,147560.0
2024-08-14,8.563,8.563,8.683,8.463,233797.0
2024-08-15,8.513,9.003,9.093,8.483,697177.0
2024-08-16,8.983,8.813,9.073,8.773,382606.0
2024-08-19,8.793,8.823,8.963,8.743,307366.0
2024-08-20,8.833,8.623,8.913,8.593,298039.0
2024-08-21,8.673,8.483,8.853,8.463,364167.0
2024-08-22,8.433,8.133,8.573,8.093,450478.0
2024-08-23,8.113,8.283,8.333,8.073,273703.0
2024-08-26,8.273,8.343,8.403,8.143,177195.0
2024-08-27,8.353,8.283,8.493,8.253,252733.0
2024-08-28,8.233,8.433,8.463,8.113,237642.0
2024-08-29,8.393,8.653,8.673,8.303,247913.0
2024-08-30,8.663,8.943,9.113,8.553,643291.0
2024-09-02,8.893,8.513,8.973,8.493,468959.0
2024-09-03,8.503,8.543,8.613,8.423,293519.0
2024-09-04,8.473,8.483,8.553,8.373,196785.0
2024-09-05,8.523,8.793,8.883,8.513,415203.0
2024-09-06,8.783,8.723,8.913,8.593,279786.0
2024-09-09,8.643,8.643,8.793,8.543,253887.0
2024-09-10,8.713,8.903,8.993,8.453,367067.0
2024-09-11,8.853,8.983,9.013,8.813,341912.0
2024-09-12,8.993,8.903,9.103,8.893,255699.0
2024-09-13,8.913,8.743,9.013,8.723,183298.0
2024-09-18,8.713,8.583,8.793,8.473,208284.0
2024-09-19,8.663,8.873,8.933,8.553,253901.0
2024-09-20,8.863,8.793,8.863,8.693,208949.0
2024-09-23,8.793,8.713,8.873,8.693,184483.0
2024-09-24,8.783,9.043,9.043,8.553,461713.0
2024-09-25,9.113,9.183,9.523,9.103,545427.0
2024-09-26,9.143,9.643,9.673,9.073,498600.0
2024-09-27,9.937,10.327,10.437,9.747,801649.0
2024-09-30,10.837,11.337,11.407,10.617,1038633.0
2024-10-08,12.517,12.307,12.517,11.347,1219476.0
2024-10-09,11.967,11.127,11.967,11.047,922315.0
2024-10-10,11.127,11.087,11.507,10.857,643640.0
