date,open,close,high,low,volume
2024-06-03,3.94,3.86,3.95,3.82,1039258.0
2024-06-04,3.87,3.86,3.88,3.81,727698.0
2024-06-05,3.83,3.78,3.84,3.75,911144.0
2024-06-06,3.8,3.68,3.83,3.66,1065784.0
2024-06-07,3.7,3.61,3.75,3.56,1217710.0
2024-06-11,3.57,3.61,3.66,3.53,788591.0
2024-06-12,3.62,3.65,3.68,3.59,723281.0
2024-06-13,3.64,3.61,3.69,3.58,657527.0
2024-06-14,3.6,3.61,3.66,3.57,549247.0
2024-06-17,3.59,3.55,3.6,3.54,561315.0
2024-06-18,3.56,3.62,3.63,3.55,555317.0
2024-06-19,3.63,3.57,3.64,3.57,476898.0
2024-06-20,3.57,3.45,3.59,3.45,708832.0
2024-06-21,3.45,3.4,3.48,3.39,625215.0
2024-06-24,3.37,3.28,3.38,3.28,788918.0
2024-06-25,3.29,3.22,3.33,3.18,741151.0
2024-06-26,3.22,3.41,3.42,3.2,1045715.0
2024-06-27,3.4,3.35,3.45,3.34,768484.0
2024-06-28,3.36,3.37,3.44,3.35,550239.0
2024-07-01,3.37,3.38,3.39,3.31,555514.0
2024-07-02,3.39,3.4,3.46,3.38,647119.0
2024-07-03,3.4,3.37,3.43,3.36,545345.0
2024-07-04,3.39,3.3,3.41,3.29,482368.0
2024-07-05,3.29,3.31,3.34,3.25,483158.0
2024-07-08,3.3,3.18,3.3,3.17,647766.0
2024-07-09,3.19,3.2,3.21,3.09,790386.0
2024-07-10,3.2,3.21,3.26,3.15,631276.0
2024-07-11,3.33,3.33,3.36,3.24,817922.0
2024-07-12,3.32,3.32,3.36,3.29,630906.0
2024-07-15,3.31,3.23,3.31,3.21,558255.0
2024-07-16,3.21,3.25,3.25,3.17,555410.0
2024-07-17,3.23,3.18,3.29,3.18,809709.0
2024-07-18,3.13,3.14,3.18,3.1,738573.0
2024-07-19,3.13,3.13,3.16,3.09,674043.0
2024-07-22,3.13,3.12,3.16,3.03,863030.0
2024-07-23,3.14,3.05,3.16,3.05,783387.0
