trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801760.SI,859.21,880.49,848.79,869.63,408142603,9317657598
2014-01-03,801760.SI,868.75,895.74,852.93,883.52,570923490,13020950532
2014-01-06,801760.SI,878.71,896.93,851.33,864.4,539797211,11668191185
2014-01-07,801760.SI,859.21,888.61,848.05,877.56,415639313,9826990413
2014-01-08,801760.SI,882.21,925.79,874.03,914.0,673772553,17186587575
2014-01-09,801760.SI,912.13,952.11,897.5,910.37,774173579,19117316332
2014-01-10,801760.SI,907.23,930.99,880.78,892.93,447808034,10004987798
2014-01-13,801760.SI,895.34,923.54,877.91,899.2,389401692,9307726893
2014-01-14,801760.SI,899.07,925.24,882.1,912.98,417094652,9342438803
2014-01-15,801760.SI,910.76,938.04,899.68,921.9,408438362,9496242907
2014-01-16,801760.SI,922.62,943.11,895.57,907.86,426361444,9985076403
2014-01-17,801760.SI,906.65,930.01,892.41,909.44,434199013,10694407173
2014-01-20,801760.SI,904.5,921.52,877.21,893.03,429908538,9770483781
2014-01-21,801760.SI,893.59,939.15,888.87,932.56,606392262,13435184838
2014-01-22,801760.SI,933.63,968.03,920.82,955.67,773705916,16869291831
2014-01-23,801760.SI,956.94,1007.46,946.43,988.02,1015254883,22595350203
2014-01-24,801760.SI,981.81,1015.62,968.51,996.09,827597100,18266192213
2014-01-27,801760.SI,988.02,1026.38,972.41,994.26,807155312,18051755647
2014-01-28,801760.SI,993.26,1010.62,960.76,981.42,548360990,13063716982
2014-01-29,801760.SI,982.31,1021.12,972.36,1008.11,666084519,15013825912
2014-01-30,801760.SI,1005.87,1046.27,992.79,1019.08,683019317,15489642739
2014-02-07,801760.SI,1010.91,1054.46,996.75,1043.86,745857947,15720052763
2014-02-10,801760.SI,1045.23,1071.59,1020.52,1050.37,864828166,19413885589
2014-02-11,801760.SI,1046.75,1065.19,998.55,1024.3,874266883,19336039115
2014-02-12,801760.SI,1020.16,1035.03,992.8,1015.87,661455040,14260285551
2014-02-13,801760.SI,1016.12,1041.75,970.44,990.06,927829690,18489505812
2014-02-14,801760.SI,993.55,1028.12,979.36,1013.24,757271597,14612244876
2014-02-17,801760.SI,1017.09,1042.28,995.26,1028.44,806358711,16001188922
2014-02-18,801760.SI,1028.6,1056.4,1005.95,1027.85,979980723,18295326185
2014-02-19,801760.SI,1024.59,1042.6,995.76,1020.54,734919317,14129249396
2014-02-20,801760.SI,1000.0,1000.0,1000.0,1000.0,646713519,12289323070
2014-02-21,801760.SI,997.65,1007.01,987.36,1000.62,562610000,11926800000
2014-02-24,801760.SI,999.21,1018.99,996.1,1017.51,616010000,13694180000
2014-02-25,801760.SI,1017.66,1040.43,972.04,978.67,952140000,20156670000
2014-02-26,801760.SI,967.83,967.83,934.29,959.03,637360000,13327030000
2014-02-27,801760.SI,960.79,975.0,918.45,923.77,708760000,15108610000
2014-02-28,801760.SI,921.08,933.47,903.98,931.63,534990000,10717830000
2014-03-03,801760.SI,927.87,949.92,925.35,948.93,454380000,8889900000
2014-03-04,801760.SI,946.0,951.54,931.08,942.63,425740000,9156860000
2014-03-05,801760.SI,944.57,948.72,936.83,938.58,431370000,8760040000
2014-03-06,801760.SI,939.19,947.15,923.11,945.06,454850000,10165250000
2014-03-07,801760.SI,949.32,955.41,939.13,942.18,490620000,10785200000
2014-03-10,801760.SI,928.24,928.24,895.54,896.54,510520000,10095720000
2014-03-11,801760.SI,891.9,905.19,887.05,898.41,339900000,6908860000
2014-03-12,801760.SI,899.4,917.59,889.65,906.57,390030000,8261600000
2014-03-13,801760.SI,906.46,916.83,903.9,916.83,291140000,6236940000
2014-03-14,801760.SI,913.9,927.11,911.18,920.15,290020000,6639760000
2014-03-17,801760.SI,921.4,942.76,921.4,942.6,353140000,7267780000
2014-03-18,801760.SI,946.28,953.8,943.42,952.35,443060000,9088700000
