trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,300274.SZ,73.17,73.51,71.39,71.45,46818172,3406047591
2025-07-21,300274.SZ,71.68,72.20,71.32,71.93,26928646,1953759202
2025-07-22,300274.SZ,71.98,73.43,71.39,73.30,47614358,3495469958
2025-07-23,300274.SZ,73.63,73.84,72.00,72.29,34809723,2567770219
2025-07-24,300274.SZ,72.05,75.68,71.86,75.52,56516521,4248339659
2025-07-25,300274.SZ,75.44,75.79,74.85,74.93,28378888,2158024072
2025-07-28,300274.SZ,74.20,74.64,73.00,73.37,36609000,2725433504
2025-07-29,300274.SZ,73.38,75.19,72.77,74.60,33652802,2514192181
2025-07-30,300274.SZ,74.65,75.59,73.17,73.75,35846700,2696832618
2025-07-31,300274.SZ,73.17,74.78,70.75,71.19,46401486,3398519906
2025-08-01,300274.SZ,71.22,74.53,71.07,74.45,56492594,4200899507
2025-08-04,300274.SZ,73.44,73.62,71.78,72.95,34095676,2497398311
2025-08-05,300274.SZ,72.74,75.34,71.87,74.56,38669719,2901611428
2025-08-06,300274.SZ,74.16,76.35,74.12,76.04,40634178,3102073001
2025-08-07,300274.SZ,75.94,76.03,73.63,73.97,39319616,2954515508
2025-08-08,300274.SZ,73.68,84.94,73.66,80.68,119105900,9635365192
2025-08-11,300274.SZ,80.74,83.79,80.39,83.57,85235538,7067735276
2025-08-12,300274.SZ,83.65,87.29,81.87,87.11,77984295,6681575482
2025-08-13,300274.SZ,87.01,88.87,85.76,88.03,69593972,6143045369
2025-08-14,300274.SZ,87.19,88.39,85.54,86.96,51008123,4485250724
2025-08-15,300274.SZ,86.62,94.92,86.43,93.22,90561393,8378057092
2025-08-18,300274.SZ,94.43,95.29,92.86,94.31,61016319,5791417027
2025-08-19,300274.SZ,93.93,98.80,93.51,95.39,73013099,7105945462
2025-08-20,300274.SZ,94.38,95.61,91.56,94.21,59764577,5640879765
2025-08-21,300274.SZ,93.40,93.60,91.02,91.45,49812502,4638413834
2025-08-22,300274.SZ,90.96,97.71,90.77,96.76,67681455,6516213052
2025-08-25,300274.SZ,98.58,102.34,98.36,101.45,74192770,7495071817
2025-08-26,300274.SZ,100.78,100.78,94.53,95.92,114860899,11274529222
2025-08-27,300274.SZ,94.48,98.24,93.48,94.04,84130297,8150120385
2025-08-28,300274.SZ,93.54,99.53,93.44,98.44,82261923,8124284463
2025-08-29,300274.SZ,98.43,102.20,96.62,98.75,76317937,7655519171
2025-09-01,300274.SZ,98.46,100.25,96.91,98.09,59116135,5862683604
2025-09-02,300274.SZ,98.57,104.19,97.75,98.53,84246039,8600305945
2025-09-03,300274.SZ,100.16,117.66,98.88,113.61,142919365,15588244208
2025-09-04,300274.SZ,117.17,122.69,111.79,114.70,165181761,19611489695
2025-09-05,300274.SZ,114.88,136.11,114.88,133.82,169941087,21711174866
2025-09-08,300274.SZ,138.53,145.22,132.26,135.44,188697224,26031316060
2025-09-09,300274.SZ,130.72,133.82,126.98,128.42,130701326,17177191379
2025-09-10,300274.SZ,125.88,129.88,123.69,126.86,119738925,15256801442
2025-09-11,300274.SZ,125.11,135.80,122.11,135.80,134665136,17600545510
2025-09-12,300274.SZ,134.44,139.42,131.01,132.42,112950176,15370294691
2025-09-15,300274.SZ,136.45,147.64,135.04,135.13,150970821,21362342658
2025-09-16,300274.SZ,136.26,141.47,134.15,138.73,108524250,15082778986
2025-09-17,300274.SZ,139.22,142.62,135.66,139.41,93269716,13096772612
2025-09-18,300274.SZ,138.43,146.45,134.33,140.95,135771680,19132628772
2025-09-19,300274.SZ,139.49,140.70,135.34,135.66,85317862,11876013843
2025-09-22,300274.SZ,134.47,137.44,133.05,135.69,66925859,9142070016
2025-09-23,300274.SZ,135.66,146.88,135.66,141.93,118658558,17037310345
2025-09-24,300274.SZ,141.80,154.25,141.41,152.47,119440650,18038663295
2025-09-25,300274.SZ,152.25,161.42,150.15,158.04,102198838,16091128503
2025-09-26,300274.SZ,158.04,165.60,155.24,155.73,89979702,14506197967
2025-09-29,300274.SZ,161.17,167.89,159.29,163.15,99539366,16468223925
2025-09-30,300274.SZ,163.15,165.81,155.44,160.16,92850453,15196985261
2025-10-09,300274.SZ,160.06,163.05,155.89,157.11,91854085,14787172281
2025-10-10,300274.SZ,153.98,156.42,143.37,144.87,112500243,16946399061
2025-10-13,300274.SZ,137.46,142.76,134.57,139.63,107810356,15149769970
2025-10-14,300274.SZ,143.21,149.30,137.54,138.22,103614230,15081363133
2025-10-15,300274.SZ,138.26,150.37,134.60,149.70,108169455,15689289669
2025-10-16,300274.SZ,148.10,162.91,147.33,161.17,128279472,20459451200
2025-10-17,300274.SZ,158.38,159.12,143.35,143.58,121139474,18269278561
2025-10-20,300274.SZ,148.29,152.46,145.96,147.92,81853286,12263569908
2025-10-21,300274.SZ,149.08,156.25,143.31,152.06,81369318,12336976139
2025-10-22,300274.SZ,150.28,151.60,146.74,148.60,50759942,7582275208
2025-10-23,300274.SZ,147.42,153.55,146.18,152.78,56689703,8572593632
2025-10-24,300274.SZ,155.25,164.86,153.26,164.21,91066231,14762310413
2025-10-27,300274.SZ,168.37,171.80,161.88,166.15,94395266,15723001581
2025-10-28,300274.SZ,163.23,168.69,161.30,165.09,65009449,10779894506
2025-10-29,300274.SZ,169.18,194.04,168.10,190.57,145290726,26410424684
2025-10-30,300274.SZ,193.97,202.90,191.39,193.75,127175347,25203056072
2025-10-31,300274.SZ,194.65,202.41,186.59,188.89,98538998,19137167929
2025-11-03,300274.SZ,192.15,198.92,187.10,198.51,100944714,19685481370
2025-11-04,300274.SZ,199.04,199.15,184.83,186.29,103821903,19933490355
2025-11-05,300274.SZ,180.44,201.71,180.44,199.54,121005563,23373402067
2025-11-06,300274.SZ,200.99,208.87,197.04,204.42,106613569,21733971781
2025-11-07,300274.SZ,201.04,208.50,198.92,200.04,75430073,15359041657
