trade_date,wind_code,open,high,low,close,volume,amt
2025-07-18,603806.SH,13.29,13.50,13.19,13.27,18423909,246931450
2025-07-21,603806.SH,13.29,13.42,13.28,13.38,16124135,217268255
2025-07-22,603806.SH,13.40,13.49,13.22,13.46,25302266,341205729
2025-07-23,603806.SH,13.49,13.89,13.39,13.44,39031225,535686952
2025-07-24,603806.SH,13.29,13.64,13.24,13.62,31667167,428874154
2025-07-25,603806.SH,13.58,13.66,13.39,13.43,17774880,241897068
2025-07-28,603806.SH,13.39,13.39,13.18,13.24,23332929,311756024
2025-07-29,603806.SH,13.24,14.57,13.24,14.57,119624319,1709832323
2025-07-30,603806.SH,14.79,14.97,14.61,14.75,112681757,1677975808
2025-07-31,603806.SH,14.57,14.93,14.48,14.51,62639089,923467559
2025-08-01,603806.SH,14.48,15.05,14.32,14.43,66045400,974798385
2025-08-04,603806.SH,14.33,14.38,13.99,14.25,34252315,488379133
2025-08-05,603806.SH,14.34,14.43,14.10,14.39,31823535,457678175
2025-08-06,603806.SH,14.12,14.12,13.49,13.85,74323084,1026422415
2025-08-07,603806.SH,13.79,13.93,13.59,13.87,38444968,533972183
2025-08-08,603806.SH,13.83,14.21,13.76,13.89,38838610,548464364
2025-08-11,603806.SH,13.90,14.28,13.81,14.14,38514710,545940609
2025-08-12,603806.SH,14.09,14.13,13.86,13.97,26150779,367385449
2025-08-13,603806.SH,13.97,14.04,13.78,13.90,35631190,498093180
2025-08-14,603806.SH,13.85,13.91,13.56,13.61,28731796,397323949
2025-08-15,603806.SH,13.59,14.26,13.59,14.12,43741929,617835228
2025-08-18,603806.SH,14.26,14.35,14.09,14.22,34518502,494253284
2025-08-19,603806.SH,14.19,14.55,14.07,14.28,35684294,513236631
2025-08-20,603806.SH,14.50,14.62,14.27,14.48,45048623,655561299
2025-08-21,603806.SH,14.42,14.58,14.26,14.35,27209944,395077539
2025-08-22,603806.SH,14.31,14.53,14.24,14.44,28222786,409631243
2025-08-25,603806.SH,14.46,14.62,14.41,14.53,31913108,466784489
2025-08-26,603806.SH,14.53,14.66,14.38,14.60,28304463,416188440
2025-08-27,603806.SH,14.58,14.80,14.45,14.45,41611639,614849465
2025-08-28,603806.SH,14.44,14.82,14.33,14.82,36304188,534505694
2025-08-29,603806.SH,14.78,14.99,14.60,14.89,32710363,489070367
2025-09-01,603806.SH,14.90,14.92,14.46,14.66,34002891,501184792
2025-09-02,603806.SH,14.60,14.83,14.27,14.28,32023557,466739738
2025-09-03,603806.SH,14.28,14.80,14.28,14.47,36013406,527532635
2025-09-04,603806.SH,14.47,15.29,14.47,15.20,80485626,1215099876
2025-09-05,603806.SH,15.20,16.32,15.08,16.00,80829951,1281168228
2025-09-08,603806.SH,16.15,16.49,15.77,16.09,53048927,857571164
2025-09-09,603806.SH,16.07,16.25,15.82,15.97,28455087,458360714
2025-09-10,603806.SH,15.87,16.02,15.43,15.62,28462420,448625476
2025-09-11,603806.SH,15.66,16.64,15.59,16.48,58885268,969143372
2025-09-12,603806.SH,16.37,16.85,16.28,16.42,35964579,598477108
2025-09-15,603806.SH,16.42,16.72,16.16,16.42,29125606,481409167
2025-09-16,603806.SH,16.57,16.77,15.92,16.18,23777212,388290588
2025-09-17,603806.SH,16.19,16.21,15.88,16.18,22003556,356710298
2025-09-18,603806.SH,16.07,16.07,15.37,15.59,37410217,594249559
2025-09-19,603806.SH,15.59,15.68,15.46,15.63,22064092,346609499
2025-09-22,603806.SH,15.58,15.62,15.15,15.40,29778881,459788834
2025-09-23,603806.SH,15.43,15.50,14.89,15.24,25036569,381762082
2025-09-24,603806.SH,15.18,15.72,15.12,15.68,23558867,367541988
2025-09-25,603806.SH,15.69,15.78,15.37,15.44,23772026,372638309
2025-09-26,603806.SH,15.40,15.72,15.32,15.36,21097714,328670818
2025-09-29,603806.SH,15.46,15.64,15.27,15.49,19014851,296753240
2025-09-30,603806.SH,15.48,15.69,15.40,15.58,17353058,272454717
2025-10-09,603806.SH,15.68,16.32,15.48,16.14,31340184,505742415
2025-10-10,603806.SH,16.09,16.09,15.70,15.84,23702493,377903173
2025-10-13,603806.SH,15.08,15.45,15.01,15.29,23418688,359741083
2025-10-14,603806.SH,15.38,16.17,15.37,15.63,39115392,624714815
2025-10-15,603806.SH,15.69,16.17,15.58,15.95,33623333,539648674
2025-10-16,603806.SH,15.96,16.02,15.72,15.77,19933019,318474816
2025-10-17,603806.SH,15.77,16.10,15.25,15.26,25801916,405095345
2025-10-20,603806.SH,15.46,15.51,14.90,15.04,21858725,333173787
2025-10-21,603806.SH,15.04,15.12,14.91,15.08,15201487,230441410
2025-10-22,603806.SH,14.99,15.02,14.59,14.71,20780140,309096104
2025-10-23,603806.SH,14.63,14.84,14.33,14.81,15212577,223451427
2025-10-24,603806.SH,14.87,15.10,14.79,14.91,22242898,334325888
2025-10-27,603806.SH,14.97,15.08,14.79,14.95,20312842,305630807
2025-10-28,603806.SH,14.88,15.22,14.83,14.92,20520941,310984987
2025-10-29,603806.SH,14.90,15.68,14.81,15.64,39891931,616130087
2025-10-30,603806.SH,15.59,15.71,15.38,15.49,29368155,460173523
2025-10-31,603806.SH,15.45,15.79,15.44,15.58,24872288,391525441
2025-11-03,603806.SH,15.58,16.04,15.38,15.97,39938107,632035793
2025-11-04,603806.SH,15.96,16.09,15.69,15.79,23380293,373826761
2025-11-05,603806.SH,15.64,16.19,15.55,15.92,27660702,442034199
2025-11-06,603806.SH,15.91,16.14,15.76,15.78,29474125,471649311
2025-11-07,603806.SH,15.75,16.29,15.64,16.22,43403212,705447939
2025-11-10,603806.SH,16.23,16.92,16.21,16.50,52169998,871432295
2025-11-11,603806.SH,16.50,16.79,16.42,16.47,28770488,479659276
2025-11-12,603806.SH,16.40,16.49,15.27,15.47,49047081,775165651
2025-11-13,603806.SH,15.61,15.95,15.58,15.81,30268700,482213111
2025-11-14,603806.SH,15.68,16.37,15.66,15.85,36203437,584632339
2025-11-17,603806.SH,15.82,16.06,15.21,15.39,27718843,431467786
2025-11-18,603806.SH,15.35,15.50,14.90,15.00,23285160,355191963
2025-11-19,603806.SH,14.89,15.18,14.54,14.81,22896509,341128893
2025-11-20,603806.SH,14.82,14.93,14.56,14.60,15479998,230211357
2025-11-21,603806.SH,14.44,14.54,13.87,14.03,34790528,492965912
2025-11-24,603806.SH,14.20,14.21,13.55,14.01,25016176,347657537
2025-11-25,603806.SH,13.97,14.15,13.84,14.05,20777067,293926191
2025-11-26,603806.SH,14.07,14.09,13.79,13.84,16778385,235132961
2025-11-27,603806.SH,13.84,14.10,13.81,13.98,15032093,212123744
2025-11-28,603806.SH,13.94,14.05,13.86,14.00,9294786,130903094
2025-12-01,603806.SH,14.04,14.09,13.83,14.02,19306154,271336986
2025-12-02,603806.SH,13.93,13.96,13.75,13.85,14533818,202557187
2025-12-03,603806.SH,13.85,13.90,13.65,13.67,12293255,170139479
2025-12-04,603806.SH,13.63,13.72,13.54,13.68,9937082,136712887
2025-12-05,603806.SH,13.74,13.93,13.64,13.92,12544487,174925592
2025-12-08,603806.SH,13.92,13.96,13.77,13.80,14726351,205348399
2025-12-09,603806.SH,13.80,13.81,13.61,13.72,12184068,168523421
2025-12-10,603806.SH,13.64,13.81,13.47,13.72,18448338,253601891
2025-12-11,603806.SH,13.77,13.81,13.41,13.43,17742686,242171522
2025-12-12,603806.SH,13.46,13.76,13.15,13.76,51190484,695424078
2025-12-15,603806.SH,13.58,13.75,13.44,13.47,25269185,345498674
2025-12-16,603806.SH,13.34,13.41,13.10,13.13,22009258,292524161
2025-12-17,603806.SH,13.15,13.19,12.87,13.17,24320747,319428912
2025-12-18,603806.SH,13.10,13.17,12.96,13.07,14676852,193562610
2025-12-19,603806.SH,13.06,13.27,13.04,13.15,19304020,256228378
2025-12-22,603806.SH,13.15,13.36,13.12,13.24,17143088,229291032
2025-12-23,603806.SH,13.24,13.31,13.11,13.15,12534371,166400619
2025-12-24,603806.SH,13.12,13.51,13.04,13.49,21463835,288982034
2025-12-25,603806.SH,13.44,13.59,13.40,13.51,13760031,187459766
2025-12-26,603806.SH,13.59,14.13,13.59,13.94,28980144,406395451
2025-12-29,603806.SH,13.94,14.09,13.81,13.94,19268119,270374016
2025-12-30,603806.SH,13.90,14.04,13.74,13.92,24005116,336374538
2025-12-31,603806.SH,13.92,14.04,13.84,13.85,20822917,291775890
2026-01-05,603806.SH,13.99,14.04,13.73,13.86,21443143,298525905
2026-01-06,603806.SH,13.88,14.25,13.86,14.19,25333809,359960866
2026-01-07,603806.SH,14.19,14.27,14.03,14.14,19925698,283720267
2026-01-08,603806.SH,14.17,14.28,13.99,14.17,20807153,297090759
2026-01-09,603806.SH,14.15,14.23,13.87,13.97,32260710,456357879
2026-01-12,603806.SH,13.87,14.43,13.84,14.18,35012205,500116544
2026-01-13,603806.SH,14.19,14.21,13.78,13.95,33453446,470204617
2026-01-14,603806.SH,13.83,14.14,13.68,13.87,30200429,424402000
2026-01-15,603806.SH,13.89,14.17,13.82,14.07,25275458,357799303
2026-01-16,603806.SH,14.13,14.23,13.97,14.16,24739210,351346332
2026-01-19,603806.SH,14.10,15.48,13.99,15.20,91049489,1373510002
2026-01-20,603806.SH,15.37,16.05,15.18,15.30,95881001,1503500950
2026-01-21,603806.SH,15.28,15.57,14.98,15.37,41270000,638079140
2026-01-22,603806.SH,15.39,15.85,15.08,15.62,42346480,662449142
2026-01-23,603806.SH,15.88,17.17,15.83,17.17,73775372,1260550410
2026-01-26,603806.SH,18.50,18.72,17.50,17.73,157039588,2841947334
2026-01-27,603806.SH,17.56,18.93,17.41,18.59,128497112,2351113918
2026-01-28,603806.SH,18.24,18.30,17.51,17.65,72734439,1303555064
2026-01-29,603806.SH,17.49,18.30,17.17,17.70,69332604,1242350935
2026-01-30,603806.SH,17.37,17.46,16.28,16.88,71671234,1210480612
2026-02-02,603806.SH,17.06,17.29,16.75,16.87,46950603,804300472
2026-02-03,603806.SH,17.22,18.55,17.16,18.55,99897748,1844430683
2026-02-04,603806.SH,19.16,19.87,18.56,19.84,151136405,2918497403
2026-02-05,603806.SH,19.01,19.06,18.14,18.45,83110824,1554767088
2026-02-06,603806.SH,17.95,18.63,17.68,18.33,58164240,1075093509
2026-02-09,603806.SH,18.77,19.75,18.60,19.35,87237843,1697001737
2026-02-10,603806.SH,19.71,20.00,18.96,19.08,50594981,979746689
2026-02-11,603806.SH,18.87,19.30,18.64,18.66,41567532,791390884
2026-02-12,603806.SH,18.59,18.89,18.51,18.56,39585242,743853439
2026-02-13,603806.SH,18.39,18.53,17.87,17.90,33516712,612160030
