date,open,close,high,low,volume,amount
2025-01-02,16.98,16.29,16.99,16.08,1302186,2220078360.00
2025-01-03,16.36,16.01,16.38,15.92,732006,1220793781.00
2025-01-06,15.98,16.05,16.11,15.88,462140,763826294.00
2025-01-07,16.12,16.23,16.24,16.04,398287,664028614.00
2025-01-08,16.18,15.98,16.20,15.73,580898,955396731.00
2025-01-09,15.97,16.00,16.11,15.89,287190,475456010.00
2025-01-10,15.96,15.84,16.12,15.84,373466,616300189.00
2025-01-13,15.68,15.83,15.94,15.67,335308,547603042.00
2025-01-14,15.86,16.36,16.38,15.83,629053,1053011439.00
2025-01-15,16.28,16.25,16.39,16.19,336823,565626860.00
2025-01-16,16.31,16.18,16.47,16.08,425357,714279106.00
2025-01-17,16.12,16.33,16.43,16.09,374048,629256686.00
2025-01-20,16.47,16.37,16.63,16.35,418554,711814064.00
2025-01-21,16.53,16.41,16.56,16.27,306616,519076527.00
2025-01-22,16.33,16.38,16.43,16.23,340616,573963274.00
2025-01-23,16.66,16.58,17.00,16.54,681304,1174304741.00
2025-01-24,16.53,16.73,16.80,16.47,446069,767772427.00
2025-01-27,16.83,16.47,16.83,16.47,387124,663993402.00
2025-02-05,16.64,16.46,16.64,16.37,389329,662110681.00
2025-02-06,16.42,16.63,16.70,16.38,460527,785915942.00
2025-02-07,16.66,16.96,17.17,16.55,852067,1483735960.00
2025-02-10,16.93,16.94,17.14,16.89,499957,875460642.00
2025-02-11,16.94,17.00,17.07,16.77,493916,861139735.00
2025-02-12,16.95,17.13,17.15,16.85,484768,848756867.00
2025-02-13,17.11,17.25,17.42,16.99,845638,1500337798.00
2025-02-14,17.16,17.43,17.54,17.15,705863,1262126478.00
2025-02-17,17.61,17.30,17.64,17.14,711216,1269530886.00
2025-02-18,17.25,16.93,17.29,16.85,575766,1013255260.00
2025-02-19,16.85,17.02,17.14,16.84,456488,800289010.00
2025-02-20,16.96,17.00,17.05,16.85,378037,661426682.00
2025-02-21,17.02,17.32,17.42,16.86,754579,1338583645.00
2025-02-24,17.32,17.45,17.56,17.25,676065,1213337788.00
2025-02-25,17.30,17.19,17.47,17.17,468157,833559508.00
2025-02-26,17.20,17.48,17.50,17.14,601848,1073062395.00
2025-02-27,17.46,17.42,17.58,17.19,669778,1199458081.00
2025-02-28,17.36,16.96,17.57,16.88,659236,1167529952.00
2025-03-03,16.96,17.01,17.17,16.90,490531,861939619.00
2025-03-04,16.93,17.15,17.37,16.89,481592,852043232.00
2025-03-05,17.15,17.19,17.30,17.04,361720,639849615.00
2025-03-06,17.33,17.48,17.56,17.27,823493,1480117837.00
2025-03-07,17.43,17.16,17.43,17.12,539519,958909305.00
2025-03-10,17.13,16.95,17.18,16.89,452673,792382244.00
2025-03-11,16.81,17.13,17.13,16.78,416161,726701022.00
2025-03-12,17.12,17.10,17.37,17.01,500079,884308539.00
2025-03-13,17.06,17.08,17.21,16.95,388606,683940009.00
2025-03-14,17.13,17.56,17.70,17.09,1368963,2469603424.00
2025-03-17,17.62,17.49,17.69,17.46,649352,1173417379.00
2025-03-18,17.56,17.64,17.74,17.56,625101,1135012098.00
2025-03-19,17.61,17.65,17.73,17.58,447551,813470990.00
2025-03-20,17.63,17.39,17.66,17.29,500007,899350586.00
2025-03-21,17.33,17.09,17.43,17.06,564238,1001501787.00
2025-03-24,17.08,17.20,17.31,17.05,449869,795508678.00
2025-03-25,17.20,17.31,17.33,17.09,429961,764368439.00
2025-03-26,17.26,17.18,17.33,17.17,265325,471257341.00
2025-03-27,17.18,17.17,17.33,17.03,421882,747414946.00
2025-03-28,17.20,17.06,17.21,16.99,463092,814862819.00
2025-03-31,16.89,16.02,16.89,15.99,1609934,2705650575.00
2025-04-01,16.08,15.88,16.15,15.71,940293,1544754158.00
2025-04-02,15.85,15.86,15.97,15.81,504872,827896484.00
2025-04-03,15.73,15.74,15.86,15.63,673897,1095602225.00
2025-04-07,14.83,14.22,14.95,14.11,1569836,2335898454.00
2025-04-08,14.43,14.41,14.46,14.20,933457,1386846544.00
2025-04-09,14.29,14.61,14.69,14.08,983229,1471225217.00
2025-04-10,14.99,15.02,15.16,14.80,941863,1465116697.00
2025-04-11,15.05,14.99,15.11,14.84,557508,863321090.00
2025-04-14,15.09,15.01,15.13,14.98,457819,712686183.00
2025-04-15,15.01,15.01,15.03,14.88,338839,523963466.00
2025-04-16,14.96,14.96,14.98,14.74,478592,734833431.00
2025-04-17,14.89,15.02,15.03,14.86,418869,648428869.00
2025-04-18,14.97,15.18,15.25,14.95,480134,750495344.00
2025-04-21,15.16,15.30,15.33,15.11,409894,647596494.00
2025-04-22,15.26,15.29,15.42,15.26,348429,551957495.00
2025-04-23,15.36,15.44,15.63,15.23,655508,1047410862.00
2025-04-24,15.44,15.36,15.58,15.36,371658,593144805.00
2025-04-25,15.40,15.53,15.60,15.36,422680,677426385.00
2025-04-28,15.54,15.42,15.54,15.31,378479,602722556.00
2025-04-29,15.41,15.33,15.44,15.31,408542,648393992.00
2025-04-30,15.39,15.53,15.67,15.36,462221,742822305.00
2025-05-06,15.63,15.64,15.72,15.57,490290,792766014.00
2025-05-07,16.03,15.86,16.17,15.75,754853,1240381696.00
2025-05-08,15.78,15.92,15.98,15.71,522261,858100355.00
2025-05-09,15.91,15.84,16.05,15.84,387065,636733343.00
2025-05-12,15.95,16.24,16.28,15.91,618708,1029587647.00
2025-05-13,16.36,16.12,16.36,16.09,405821,677894854.00
2025-05-14,16.14,16.92,17.13,16.09,1417335,2436592053.00
2025-05-15,16.68,16.66,16.78,16.57,620504,1067122817.00
2025-05-16,16.60,16.41,16.68,16.29,512132,867302966.00
2025-05-19,16.41,16.51,16.59,16.33,442203,752142279.00
2025-05-20,16.51,16.52,16.62,16.47,326256,556755382.00
2025-05-21,16.54,16.42,16.58,16.41,256826,436570996.00
2025-05-22,16.42,16.36,16.42,16.31,258325,436022048.00
2025-05-23,16.32,16.14,16.41,16.08,426251,714763882.00
2025-05-26,16.14,16.13,16.21,15.99,296525,492418915.00
2025-05-27,16.08,15.98,16.12,15.89,289837,478619505.00
2025-05-28,16.03,16.04,16.12,15.99,215677,357338201.00
2025-05-29,16.04,16.27,16.28,16.01,351875,588712364.00
2025-05-30,16.20,16.24,16.30,16.09,275955,461734323.00
2025-06-03,15.93,16.17,16.22,15.62,663725,1100148770.00
2025-06-04,16.18,16.38,16.51,16.13,455763,769775005.00
2025-06-05,16.35,16.47,16.54,16.34,512713,869051350.00
2025-06-06,16.47,16.33,16.57,16.30,324521,549020782.00
2025-06-09,16.43,16.46,16.64,16.43,444144,756893950.00
2025-06-10,16.47,16.29,16.55,16.18,425978,719183685.00
2025-06-11,16.30,16.62,16.70,16.30,631745,1081198241.00
2025-06-12,16.57,16.65,16.78,16.51,513996,882542190.00
2025-06-13,16.58,16.48,16.65,16.41,490646,834873552.00
2025-06-16,16.48,16.68,16.71,16.40,416756,713286144.00
2025-06-17,16.67,16.73,16.74,16.63,337722,581214775.00
2025-06-18,16.72,16.62,16.74,16.45,406842,695185466.00
2025-06-19,16.59,16.22,16.61,16.18,491596,828507617.00
2025-06-20,16.27,16.28,16.38,16.23,286196,481414707.00
2025-06-23,16.10,16.54,16.59,16.10,408890,692829466.00
2025-06-24,16.53,16.89,16.96,16.53,677121,1176000156.00
2025-06-25,16.92,17.46,17.57,16.89,1302504,2320313466.00
2025-06-26,17.54,17.40,17.63,17.38,872365,1568960603.00
2025-06-27,17.40,17.39,17.94,17.33,970864,1760190516.00
2025-06-30,17.43,17.29,17.48,17.21,534753,953839199.00
2025-07-01,17.32,17.27,17.38,17.16,361258,641982300.00
2025-07-02,17.33,17.27,17.42,17.22,361910,645272086.00
2025-07-03,17.24,17.35,17.46,17.24,345150,616638783.00
2025-07-04,17.36,17.47,17.73,17.22,696884,1255650121.00
2025-07-07,17.48,17.46,17.58,17.40,358527,645794478.00
2025-07-08,17.48,17.68,17.76,17.45,638643,1158938643.00
2025-07-09,17.73,17.50,17.82,17.47,540749,982297282.00
2025-07-10,17.45,17.69,17.77,17.45,609472,1108524779.00
2025-07-11,17.72,17.91,18.18,17.69,1287012,2384287004.00
2025-07-14,17.92,17.79,17.99,17.77,582034,1068821899.00
2025-07-15,17.85,17.73,17.94,17.62,497313,909665172.00
2025-07-16,17.69,17.60,17.77,17.50,428687,777397097.00
2025-07-17,17.63,17.75,17.79,17.56,384213,699303067.00
2025-07-18,17.75,17.97,18.05,17.74,628468,1158337263.00
2025-07-21,18.04,18.55,18.61,17.96,1146112,2164229585.00
2025-07-22,18.54,18.49,18.70,18.28,663551,1259424588.00
2025-07-23,18.52,18.99,19.31,18.52,1604530,3131445804.00
2025-07-24,18.96,19.63,19.76,18.91,1598232,3203827939.00
2025-07-25,19.73,19.37,19.73,19.30,890655,1781770118.00
2025-07-28,19.43,19.96,20.36,19.38,1318143,2693651933.00
2025-07-29,19.86,20.07,20.14,19.45,1253261,2552385308.00
2025-07-30,19.92,19.91,20.23,19.68,967457,1983950126.00
2025-07-31,19.70,19.53,20.11,19.35,1171488,2363272690.00
2025-08-01,19.48,19.32,19.72,19.27,811945,1621726519.00
2025-08-04,19.21,19.25,19.37,19.13,658243,1298945017.00
2025-08-05,19.32,19.38,19.46,19.13,754250,1495142465.00
2025-08-06,19.38,19.86,19.88,19.30,1008937,2037335487.00
2025-08-07,19.88,19.74,20.03,19.59,548381,1113269996.00
2025-08-08,19.71,19.73,19.89,19.55,556960,1128083635.00
2025-08-11,19.72,19.77,19.97,19.68,697782,1418476507.00
2025-08-12,19.85,19.95,20.03,19.74,672026,1374554936.00
2025-08-13,19.95,20.60,21.33,19.95,1917649,4046270021.00
2025-08-14,20.65,21.32,21.77,20.65,2159795,4736499265.00
2025-08-15,21.32,21.60,21.97,21.03,2163039,4699549086.00
2025-08-18,21.73,21.28,21.84,21.28,1955871,4241770309.00
2025-08-19,21.36,21.08,21.69,21.06,1025685,2204260039.00
2025-08-20,21.03,21.42,21.45,20.91,857968,1826405377.00
2025-08-21,21.55,21.16,21.65,21.08,705511,1514073232.00
2025-08-22,21.11,22.00,22.04,21.07,1317239,2869685741.00
2025-08-25,22.30,22.18,22.54,21.86,1419237,3166015106.00
2025-08-26,22.14,22.01,22.40,21.91,745626,1663178126.00
2025-08-27,22.03,21.26,22.17,21.25,1282162,2804193679.00
2025-08-28,21.21,21.76,21.78,21.14,1044274,2253866369.00
2025-08-29,21.80,21.53,22.16,21.47,1176934,2579069845.00
2025-09-01,21.80,21.20,21.82,21.15,1106355,2379320208.00
2025-09-02,21.22,20.93,21.32,20.76,981044,2073179237.00
2025-09-03,21.03,20.41,21.10,20.23,936212,1937549445.00
2025-09-04,20.40,20.12,20.43,19.82,1085132,2195509129.00
