trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801790.SI,1067.86,1072.75,1050.10,1061.48,561082638,7044013921
2014-01-03,801790.SI,1053.12,1057.28,1027.83,1034.81,742635600,9107186606
2014-01-06,801790.SI,1032.32,1044.02,1002.37,1028.31,836853012,10911853090
2014-01-07,801790.SI,1015.97,1031.68,1009.70,1022.42,476373100,6031581717
2014-01-08,801790.SI,1025.57,1044.15,1015.97,1030.18,685541278,8750259382
2014-01-09,801790.SI,1026.75,1039.47,1006.78,1011.72,630383315,8027545314
2014-01-10,801790.SI,1008.59,1015.38,990.10,996.51,604026617,7126117396
2014-01-13,801790.SI,999.05,1010.58,981.77,989.88,678273597,7249315076
2014-01-14,801790.SI,991.10,1008.39,981.24,1000.83,553911318,6251063636
2014-01-15,801790.SI,999.46,1006.31,983.84,997.38,525597891,5889368353
2014-01-16,801790.SI,997.95,1022.92,991.72,1010.86,663925213,8625109456
2014-01-17,801790.SI,1005.87,1016.56,991.13,1004.90,721637696,8379431127
2014-01-20,801790.SI,1000.19,1013.76,992.37,999.76,501311747,5776961274
2014-01-21,801790.SI,1001.96,1030.19,1000.27,1017.06,679175903,7769000897
2014-01-22,801790.SI,1018.27,1046.58,1012.60,1040.81,924370615,10830317187
2014-01-23,801790.SI,1038.53,1044.61,1022.11,1029.00,724208725,8830206242
2014-01-24,801790.SI,1022.96,1047.10,1019.91,1032.56,823741999,9368854742
2014-01-27,801790.SI,1022.47,1027.66,997.31,1003.04,776793381,10085456436
2014-01-28,801790.SI,1007.65,1018.76,998.95,1009.30,541111733,6768583401
2014-01-29,801790.SI,1013.37,1021.49,1004.88,1015.61,557709671,6747530722
2014-01-30,801790.SI,1011.40,1017.98,997.79,1004.64,510097434,6367243499
2014-02-07,801790.SI,994.48,1007.50,981.27,1001.80,610781738,7953721269
2014-02-10,801790.SI,1005.05,1031.79,1002.58,1027.21,885805228,11105289049
2014-02-11,801790.SI,1025.55,1050.57,1016.91,1034.66,1112580332,13472009693
2014-02-12,801790.SI,1039.04,1049.98,1023.30,1034.14,895096175,10814640738
2014-02-13,801790.SI,1032.91,1041.99,1015.58,1023.17,923503574,11084469164
2014-02-14,801790.SI,1021.92,1034.66,1017.95,1028.83,656481760,7881509597
2014-02-17,801790.SI,1038.31,1048.40,1026.88,1039.22,934914082,11493437360
2014-02-18,801790.SI,1039.42,1042.59,1007.31,1013.56,1199671121,13821149958
2014-02-19,801790.SI,1011.78,1031.73,1000.24,1020.73,1047603871,12591459869
2014-02-20,801790.SI,1000.00,1000.00,1000.00,1000.00,1014023628,12005869675
2014-02-21,801790.SI,997.86,998.70,981.99,989.24,962930000,11128870000
2014-02-24,801790.SI,981.28,981.28,965.27,974.47,929320000,10867200000
2014-02-25,801790.SI,974.59,977.89,945.03,946.67,954810000,11129160000
2014-02-26,801790.SI,941.10,946.27,932.37,943.78,745380000,8486300000
2014-02-27,801790.SI,949.86,953.12,940.34,945.40,794130000,9369250000
2014-02-28,801790.SI,944.97,974.60,939.71,971.61,1190730000,12780330000
2014-03-03,801790.SI,965.17,967.99,957.91,962.89,903600000,8915360000
2014-03-04,801790.SI,961.64,965.84,955.84,963.03,841300000,8907600000
2014-03-05,801790.SI,966.65,966.65,951.09,952.72,723670000,7846290000
2014-03-06,801790.SI,951.09,965.24,940.27,960.73,884610000,9385420000
2014-03-07,801790.SI,955.32,968.22,948.89,950.85,734030000,8175720000
2014-03-10,801790.SI,939.68,939.80,917.48,917.65,804680000,8741450000
2014-03-11,801790.SI,915.09,924.32,910.97,919.70,657970000,7140480000
2014-03-12,801790.SI,916.07,924.97,908.10,916.72,755480000,7643330000
2014-03-13,801790.SI,920.06,935.02,917.58,926.83,745570000,7512710000
2014-03-14,801790.SI,922.04,928.94,917.29,921.47,577570000,6456800000
2014-03-17,801790.SI,925.45,926.93,917.07,926.78,548840000,6083990000
2014-03-18,801790.SI,927.82,930.45,921.74,921.96,559130000,5961400000
2014-03-19,801790.SI,918.92,918.92,907.47,914.18,481550000,5273660000
2014-03-20,801790.SI,913.62,924.68,904.14,904.14,555800000,6362780000
2014-03-21,801790.SI,901.09,944.82,900.52,942.58,1150320000,12692480000
2014-03-24,801790.SI,943.76,966.77,939.71,958.12,1375630000,14626430000
2014-03-25,801790.SI,952.85,965.70,950.82,953.21,961250000,10193350000
2014-03-26,801790.SI,962.04,964.78,946.75,948.61,716750000,7715950000
2014-03-27,801790.SI,946.91,958.62,933.59,943.34,916920000,10070880000
2014-03-28,801790.SI,940.98,949.88,936.53,941.39,785910000,8591030000
2014-03-31,801790.SI,944.45,945.99,931.05,935.77,532120000,5799510000
2014-04-01,801790.SI,936.34,950.87,935.75,944.74,494180000,5884000000
2014-04-02,801790.SI,946.04,954.13,944.18,954.08,555120000,6854640000
2014-04-03,801790.SI,958.69,973.54,955.12,955.36,880330000,10022330000
2014-04-04,801790.SI,950.43,965.49,949.68,965.49,593000000,6397050000
2014-04-08,801790.SI,962.23,993.96,961.41,991.02,1264940000,14399440000
2014-04-09,801790.SI,991.93,993.97,981.40,985.10,749530000,8713060000
2014-04-10,801790.SI,986.06,1052.09,981.42,1036.82,2260340000,28388730000
2014-04-11,801790.SI,1035.60,1043.63,1019.82,1023.42,1518560000,19639180000
2014-04-14,801790.SI,1022.37,1027.30,1009.51,1017.50,792650000,9740260000
2014-04-15,801790.SI,1012.33,1012.33,993.41,995.52,888150000,10216240000
2014-04-16,801790.SI,993.33,1011.70,993.33,1001.62,884120000,9093980000
2014-04-17,801790.SI,1006.22,1007.68,993.65,996.98,745770000,7783490000
2014-04-18,801790.SI,991.28,1005.48,986.09,1000.59,745360000,7814940000
2014-04-21,801790.SI,995.89,1007.88,977.89,977.89,889320000,9305980000
2014-04-22,801790.SI,975.54,985.47,967.32,985.47,863860000,8986710000
2014-04-23,801790.SI,981.49,984.57,974.43,976.95,564100000,6018460000
2014-04-24,801790.SI,975.63,986.55,973.95,979.16,534420000,6400860000
2014-04-25,801790.SI,981.14,984.84,967.40,967.53,616790000,6588100000
2014-04-28,801790.SI,965.26,969.50,949.45,950.24,666850000,7120240000
2014-04-29,801790.SI,952.67,970.17,949.29,969.22,643480000,6753830000
2014-04-30,801790.SI,968.60,970.23,964.32,968.34,480440000,5073010000
2014-05-05,801790.SI,964.45,975.78,959.16,974.39,511560000,5953410000
2014-05-06,801790.SI,970.14,982.99,969.77,975.11,546130000,5762360000
2014-05-07,801790.SI,971.13,978.77,968.85,971.10,552930000,6248160000
2014-05-08,801790.SI,969.46,994.96,967.00,974.56,773240000,8123110000
2014-05-09,801790.SI,976.08,980.75,967.19,976.96,674260000,6915940000
2014-05-12,801790.SI,992.38,1008.45,983.67,1003.73,1383490000,14668580000
2014-05-13,801790.SI,1001.36,1005.99,994.54,999.06,731240000,7997830000
2014-05-14,801790.SI,1000.86,1007.50,997.64,1000.77,637820000,7088430000
2014-05-15,801790.SI,1001.06,1002.43,980.70,982.09,707830000,7491950000
2014-05-16,801790.SI,984.08,985.61,968.11,974.92,668230000,7102320000
2014-05-19,801790.SI,971.16,971.18,950.66,953.21,644460000,7297620000
2014-05-20,801790.SI,960.54,963.88,953.41,956.68,421620000,4695850000
2014-05-21,801790.SI,951.91,966.96,947.29,966.43,504660000,5489200000
2014-05-22,801790.SI,965.87,980.02,963.23,964.17,581190000,6371340000
2014-05-23,801790.SI,964.24,972.55,963.61,972.54,430730000,4711230000
2014-05-26,801790.SI,977.43,978.29,966.15,970.97,450700000,4929540000
2014-05-27,801790.SI,970.19,972.95,964.24,964.32,424040000,4987900000
2014-05-28,801790.SI,965.15,982.26,962.05,981.13,739860000,8374530000
2014-05-29,801790.SI,980.41,983.47,971.58,971.59,599310000,6919910000
2014-05-30,801790.SI,972.39,980.57,966.96,973.29,565490000,6446650000
2014-06-03,801790.SI,974.53,982.86,969.79,969.79,516950000,6160780000
