date,open,close,high,low,volume
2025-07-01,24.77,24.73,24.78,24.5,423516.0
2025-07-02,24.67,24.45,24.67,24.42,361957.0
2025-07-03,24.45,24.5,24.54,24.26,340351.0
2025-07-04,24.44,24.29,24.5,24.17,352139.0
2025-07-07,24.32,24.29,24.45,24.2,243471.0
2025-07-08,24.3,24.76,24.92,24.3,634237.0
2025-07-09,24.77,24.42,24.82,24.37,416131.0
2025-07-10,26.37,26.88,26.88,25.57,2969522.0
2025-07-11,28.47,29.58,29.58,27.87,3426386.0
2025-07-14,30.86,29.75,31.77,29.58,4735026.0
2025-07-15,29.88,28.87,30.55,28.72,3107708.0
2025-07-16,29.02,28.91,29.65,28.68,1951710.0
2025-07-17,28.67,29.87,30.36,28.1,2498924.0
2025-07-18,29.87,32.83,32.87,29.7,4587974.0
2025-07-21,32.87,34.92,35.62,31.9,4291503.0
2025-07-22,34.39,34.24,35.51,33.9,3082477.0
2025-07-23,33.99,34.86,35.96,33.45,3279375.0
2025-07-24,34.56,38.01,38.36,34.51,4216111.0
2025-07-25,38.07,38.12,39.52,36.86,4116603.0
2025-07-28,38.03,39.93,40.29,37.88,3341711.0
2025-07-29,39.17,39.3,39.83,38.76,2411143.0
2025-07-30,39.52,39.46,39.82,37.76,3518201.0
2025-07-31,38.31,37.37,38.58,37.02,2790670.0
2025-08-01,37.17,35.87,37.27,35.76,2589808.0
2025-08-04,35.57,36.17,36.22,35.57,1574355.0
2025-08-05,36.31,36.32,36.54,35.82,1335880.0
2025-08-06,36.32,36.48,36.85,35.95,1585074.0
2025-08-07,36.48,38.68,39.26,35.4,3956605.0
2025-08-08,37.87,38.56,39.63,37.73,2788756.0
2025-08-11,38.55,38.52,39.07,37.75,2081154.0
2025-08-12,37.97,37.34,38.17,36.89,1929214.0
2025-08-13,37.34,37.46,37.67,37.2,1504457.0
2025-08-14,37.42,38.22,39.15,37.08,2867926.0
2025-08-15,37.87,38.87,39.09,37.78,2371229.0
2025-08-18,39.57,42.77,42.77,38.42,2861184.0
2025-08-19,44.04,44.32,46.87,43.77,4767208.0
2025-08-20,43.87,45.3,46.41,43.87,3585606.0
2025-08-21,44.82,44.47,47.29,44.2,3210378.0
2025-08-22,44.45,47.82,48.3,44.44,3937369.0
2025-08-25,48.87,52.56,52.62,48.62,4429790.0
2025-08-26,51.87,48.98,51.87,48.57,4072814.0
2025-08-27,49.87,53.33,53.89,48.98,5318084.0
