date,open,close,high,low,volume
2025-07-01,14.352,14.492,14.512,14.242,382457.0
2025-07-02,14.462,14.472,14.612,14.422,406302.0
2025-07-03,14.55,14.43,14.56,14.32,355366.0
2025-07-04,14.32,14.33,14.43,14.09,416426.0
2025-07-07,14.2,14.22,14.33,14.14,229116.0
2025-07-08,14.28,14.19,14.46,14.16,339786.0
2025-07-09,14.15,13.78,14.18,13.75,681358.0
2025-07-10,13.87,13.78,13.92,13.73,380459.0
2025-07-11,13.8,13.87,13.96,13.8,470169.0
2025-07-14,14.54,15.22,15.26,14.54,2336957.0
2025-07-15,14.99,15.2,15.2,14.82,1094266.0
2025-07-16,15.0,15.06,15.17,14.92,441160.0
2025-07-17,15.05,14.99,15.3,14.9,594233.0
2025-07-18,14.96,15.15,15.18,14.89,484621.0
2025-07-21,15.2,15.3,15.4,15.05,575235.0
2025-07-22,15.49,15.78,16.04,15.48,908076.0
2025-07-23,16.0,15.89,16.1,15.82,670559.0
2025-07-24,15.11,15.19,15.27,14.61,3370640.0
2025-07-25,14.9,14.92,15.09,14.85,1552355.0
2025-07-28,14.85,14.81,14.92,14.73,781071.0
2025-07-29,14.73,14.68,14.76,14.56,643954.0
2025-07-30,14.75,14.73,14.85,14.62,651368.0
2025-07-31,14.55,14.32,14.56,14.25,840375.0
2025-08-01,14.34,14.45,14.5,14.31,467267.0
2025-08-04,14.71,14.88,14.91,14.62,1197363.0
2025-08-05,14.91,14.78,15.03,14.76,733876.0
2025-08-06,14.85,14.83,14.92,14.78,530441.0
2025-08-07,14.9,14.97,14.99,14.75,626270.0
2025-08-08,15.04,15.03,15.14,14.96,754305.0
2025-08-11,14.81,14.62,14.82,14.6,943333.0
2025-08-12,14.6,14.57,14.68,14.55,472957.0
2025-08-13,14.59,14.76,14.76,14.57,802527.0
2025-08-14,14.76,14.66,14.88,14.59,838234.0
2025-08-15,14.52,14.62,14.69,14.46,680729.0
2025-08-18,14.61,14.5,14.64,14.44,929944.0
2025-08-19,14.45,14.36,14.49,14.33,716314.0
2025-08-20,14.28,14.43,14.43,14.2,644130.0
2025-08-21,14.49,14.52,14.65,14.44,756904.0
2025-08-22,14.51,14.5,14.57,14.42,481452.0
2025-08-25,14.68,15.15,15.15,14.66,1698528.0
2025-08-26,15.15,15.27,15.32,15.04,806208.0
2025-08-27,15.4,15.09,15.47,15.08,1018904.0
2025-08-28,15.21,15.27,15.45,14.99,793710.0
2025-08-29,15.75,15.97,16.03,15.61,1818016.0
2025-09-01,16.4,17.57,17.57,16.28,2290244.0
