date,open,close,high,low,volume
2025-07-01,31.477,32.807,33.187,31.447,383877.0
2025-07-02,32.647,33.537,34.397,32.647,385159.0
2025-07-03,33.497,32.797,33.797,32.597,285887.0
2025-07-04,32.297,32.417,32.947,31.947,242571.0
2025-07-07,31.947,31.837,32.487,31.737,267723.0
2025-07-08,32.137,31.717,32.377,31.557,220865.0
2025-07-09,31.397,30.897,31.587,30.827,293099.0
2025-07-10,30.997,30.617,31.097,30.597,262270.0
2025-07-11,30.787,30.637,31.017,30.327,350926.0
2025-07-14,30.897,30.987,31.277,30.737,571071.0
2025-07-15,31.077,30.907,31.107,30.397,404221.0
2025-07-16,30.617,30.757,30.957,30.497,251581.0
2025-07-17,30.727,30.107,30.877,29.957,382289.0
2025-07-18,30.067,30.447,30.477,29.997,274434.0
2025-07-21,30.447,30.587,30.767,30.197,249799.0
2025-07-22,30.997,31.397,31.647,30.927,491131.0
2025-07-23,31.837,31.287,31.877,31.207,263285.0
2025-07-24,30.915,30.485,30.915,30.315,359904.0
2025-07-25,30.355,30.295,30.645,30.205,249117.0
2025-07-28,30.165,29.835,30.165,29.675,277644.0
2025-07-29,29.615,29.545,29.705,29.295,270289.0
2025-07-30,29.615,29.715,30.035,29.465,295051.0
2025-07-31,29.375,29.015,29.375,28.805,340986.0
2025-08-01,28.825,29.135,29.365,28.755,205195.0
2025-08-04,29.725,31.135,31.225,29.715,811880.0
2025-08-05,31.235,31.395,31.895,31.135,407594.0
2025-08-06,31.395,31.895,31.995,31.345,326448.0
2025-08-07,31.875,32.445,32.525,31.685,296005.0
2025-08-08,32.695,32.525,32.895,32.175,311987.0
2025-08-11,31.645,30.925,31.805,30.845,526817.0
2025-08-12,30.855,31.195,31.475,30.855,260535.0
2025-08-13,31.195,31.245,31.565,30.995,280459.0
2025-08-14,31.425,31.115,31.525,30.985,270313.0
2025-08-15,30.815,30.905,31.295,30.665,292588.0
2025-08-18,30.915,30.525,30.995,30.365,439539.0
2025-08-19,30.365,30.165,30.565,30.125,291777.0
2025-08-20,29.945,30.315,30.395,29.865,234390.0
2025-08-21,30.395,30.185,30.645,30.085,331992.0
2025-08-22,30.145,30.375,30.425,30.095,261875.0
2025-08-25,30.895,31.605,31.625,30.825,501160.0
2025-08-26,31.625,32.225,32.225,31.395,406277.0
