date,open,close,high,low,volume
2025-07-01,6.792,6.822,6.822,6.692,1328729.0
2025-07-02,6.802,6.932,6.942,6.772,1791271.0
2025-07-03,6.952,6.922,6.972,6.892,1143117.0
2025-07-04,6.902,6.902,6.972,6.832,1180885.0
2025-07-07,6.862,6.782,6.872,6.772,1219824.0
2025-07-08,6.752,6.802,6.812,6.752,1043951.0
2025-07-09,6.832,6.722,6.852,6.712,1510471.0
2025-07-10,6.742,6.872,6.912,6.742,1923191.0
2025-07-11,6.882,7.012,7.132,6.862,2310977.0
2025-07-14,6.962,6.922,7.062,6.922,1497185.0
2025-07-15,6.922,6.892,6.992,6.802,1111823.0
2025-07-16,6.852,6.852,6.912,6.832,829940.0
2025-07-17,6.852,6.882,6.942,6.832,871134.0
2025-07-18,6.912,6.982,7.022,6.892,1208380.0
2025-07-21,7.162,7.372,7.442,7.102,2997765.0
2025-07-22,7.322,7.512,7.512,7.282,2341780.0
2025-07-23,7.522,7.382,7.552,7.372,1709402.0
2025-07-24,7.352,7.552,7.572,7.342,2019788.0
2025-07-25,7.542,7.462,7.672,7.442,1797362.0
2025-07-28,7.342,7.372,7.452,7.242,1399167.0
2025-07-29,7.372,7.452,7.472,7.362,1257306.0
2025-07-30,7.462,7.472,7.582,7.442,1340912.0
2025-07-31,7.362,7.172,7.412,7.142,1765050.0
2025-08-01,7.152,7.132,7.262,7.102,959894.0
2025-08-04,7.092,7.182,7.192,7.062,975882.0
2025-08-05,7.182,7.222,7.222,7.142,1223276.0
2025-08-06,7.212,7.272,7.322,7.192,1244632.0
2025-08-07,7.332,7.282,7.382,7.172,1330166.0
2025-08-08,7.267,7.417,7.487,7.237,1448641.0
2025-08-11,7.427,7.387,7.457,7.357,1277243.0
2025-08-12,7.387,7.467,7.507,7.347,1341855.0
2025-08-13,7.507,7.607,7.667,7.487,1962152.0
2025-08-14,7.577,7.527,7.637,7.527,1510207.0
2025-08-15,7.507,7.837,7.917,7.497,2734122.0
2025-08-18,7.807,7.597,7.827,7.597,3015865.0
2025-08-19,7.607,7.507,7.677,7.477,1952817.0
2025-08-20,7.457,7.547,7.607,7.437,1596362.0
2025-08-21,7.547,7.537,7.627,7.507,1444373.0
2025-08-22,7.537,7.597,7.617,7.477,1526528.0
2025-08-25,7.697,7.957,7.997,7.697,3720896.0
2025-08-26,7.907,8.057,8.097,7.847,2363249.0
2025-08-27,8.057,7.847,8.147,7.837,2685574.0
2025-08-28,7.727,7.767,7.777,7.547,3134922.0
2025-08-29,7.787,7.707,7.977,7.677,4020463.0
2025-09-01,7.807,7.727,7.847,7.647,3253306.0
2025-09-02,7.777,7.707,7.847,7.627,3034946.0
2025-09-03,7.767,7.677,7.857,7.587,3150937.0
2025-09-04,7.637,7.307,7.687,7.197,3462555.0
2025-09-05,7.287,7.577,7.607,7.257,2457188.0
2025-09-08,7.567,7.497,7.627,7.437,1897885.0
2025-09-09,7.517,7.537,7.697,7.467,2224534.0
2025-09-10,7.477,7.477,7.517,7.357,1552640.0
2025-09-11,7.477,7.707,7.727,7.457,2334023.0
2025-09-12,7.857,7.917,8.067,7.847,4149140.0
2025-09-15,7.957,7.947,8.047,7.877,2367108.0
2025-09-16,8.007,7.757,8.047,7.587,3600817.0
2025-09-17,7.717,7.827,7.867,7.657,2071087.0
2025-09-18,7.717,7.517,7.717,7.457,2841974.0
2025-09-19,7.567,7.617,7.717,7.517,1883647.0
2025-09-22,7.657,7.567,7.687,7.477,1514406.0
2025-09-23,7.527,7.457,7.597,7.367,1724444.0
2025-09-24,7.407,7.477,7.487,7.317,1680632.0
2025-09-25,7.557,7.487,7.637,7.437,2244399.0
2025-09-26,7.437,7.497,7.597,7.407,2269233.0
2025-09-29,7.567,8.027,8.057,7.517,4948726.0
2025-09-30,8.007,8.117,8.147,7.967,3172719.0
2025-10-09,8.367,8.557,8.567,8.197,5370605.0
2025-10-10,8.457,8.497,8.697,8.357,3697052.0
2025-10-13,8.157,8.447,8.497,8.157,3752912.0
2025-10-14,8.697,8.517,9.147,8.457,6241730.0
2025-10-15,8.617,8.747,8.857,8.497,3880023.0
2025-10-16,8.677,8.597,8.857,8.497,3094214.0
2025-10-17,8.72,8.47,8.86,8.45,2798476.0
2025-10-20,8.51,8.37,8.57,8.32,2334929.0
2025-10-21,8.45,8.62,8.77,8.43,2970204.0
2025-10-22,8.42,8.75,8.8,8.39,2820271.0
2025-10-23,8.78,9.04,9.14,8.7,4704581.0
2025-10-24,9.2,9.23,9.48,9.02,4153406.0
2025-10-27,9.27,9.4,9.41,9.11,4037755.0
2025-10-28,9.35,9.26,9.72,9.24,4612886.0
2025-10-29,9.38,9.91,10.05,9.34,4940314.0
2025-10-30,9.81,10.31,10.5,9.78,5507062.0
2025-10-31,10.25,9.99,10.3,9.95,4248322.0
2025-11-03,10.14,10.17,10.22,9.75,4029313.0
2025-11-04,10.16,9.85,10.39,9.76,3773356.0
2025-11-05,9.51,9.87,9.9,9.46,2865613.0
2025-11-06,9.87,10.86,10.86,9.83,6968233.0
2025-11-07,10.7,10.75,10.99,10.65,4995443.0
2025-11-10,10.82,11.1,11.26,10.68,5536306.0
2025-11-11,11.1,10.98,11.22,10.9,3381386.0
2025-11-12,10.98,11.71,11.74,10.93,5846179.0
2025-11-13,11.7,12.17,12.3,11.55,6166007.0
2025-11-14,11.85,11.66,12.06,11.65,4500463.0
2025-11-17,11.41,11.16,11.49,11.03,5117843.0
2025-11-18,10.91,10.75,11.05,10.62,4593972.0
2025-11-19,10.78,10.98,11.11,10.78,3528757.0
2025-11-20,11.1,11.04,11.3,10.99,2930027.0
2025-11-21,10.72,10.52,10.91,10.5,3707277.0
2025-11-24,10.58,10.49,10.65,10.19,3337198.0
2025-11-25,10.67,10.55,10.7,10.42,2552558.0
2025-11-26,10.54,10.39,10.63,10.33,2135048.0
2025-11-27,10.61,10.44,10.76,10.42,2447995.0
2025-11-28,10.39,10.51,10.64,10.31,1733934.0
2025-12-01,10.78,10.69,10.92,10.57,3570661.0
2025-12-02,10.61,10.58,10.64,10.44,1633136.0
2025-12-03,10.55,11.03,11.27,10.55,4020317.0
2025-12-04,11.27,10.89,11.3,10.84,3168200.0
2025-12-05,10.92,11.4,11.49,10.92,3853044.0
2025-12-08,11.33,11.27,11.34,11.02,3472880.0
2025-12-09,11.14,10.59,11.15,10.48,4067312.0
2025-12-10,10.58,10.72,10.73,10.47,2055575.0
2025-12-11,10.8,10.47,10.88,10.46,2387150.0
2025-12-12,10.68,10.75,10.79,10.6,3160421.0
2025-12-15,10.53,10.54,10.8,10.47,2046740.0
2025-12-16,10.44,10.28,10.5,10.09,2025409.0
2025-12-17,10.38,10.59,10.66,10.32,1805822.0
2025-12-18,10.59,10.53,10.77,10.51,1448785.0
2025-12-19,10.58,10.85,10.93,10.43,2285005.0
2025-12-22,11.05,10.97,11.1,10.86,2035056.0
2025-12-23,10.89,10.97,11.25,10.85,2263246.0
2025-12-24,11.0,11.07,11.09,10.8,2162178.0
2025-12-25,10.97,10.96,10.98,10.82,1617782.0
2025-12-26,10.99,11.84,11.94,10.97,4736291.0
2025-12-29,11.87,11.45,11.94,11.41,4258708.0
2025-12-30,11.13,11.99,12.12,11.12,4097544.0
2025-12-31,11.99,12.22,12.38,11.96,3980494.0
2026-01-05,12.72,13.02,13.3,12.61,4586733.0
2026-01-06,13.28,13.97,14.18,13.28,5649240.0
2026-01-07,13.96,14.05,14.24,13.62,4796272.0
2026-01-08,13.7,13.65,14.05,13.48,3769082.0
2026-01-09,13.49,14.05,14.3,13.49,3928651.0
2026-01-12,14.34,13.85,14.44,13.62,4743277.0
2026-01-13,13.8,13.97,14.37,13.69,3808488.0
2026-01-14,14.1,13.63,14.43,13.56,5399749.0
2026-01-15,13.48,13.74,14.18,13.32,4213526.0
2026-01-16,13.75,13.26,14.09,13.1,5270087.0
2026-01-19,13.25,13.33,13.41,12.83,3612768.0
2026-01-20,13.4,13.29,13.62,12.93,3470861.0
2026-01-21,13.2,13.4,13.46,13.02,2678653.0
2026-01-22,13.4,13.28,13.5,13.21,2747074.0
2026-01-23,13.39,13.23,13.52,13.08,4759178.0
2026-01-26,13.46,13.4,13.86,13.33,6752221.0
2026-01-27,13.34,13.27,13.7,13.11,5105606.0
2026-01-28,13.45,14.6,14.6,13.13,8297958.0
2026-01-29,15.01,15.7,15.85,14.24,10676862.0
2026-01-30,14.7,14.13,15.01,14.13,7767545.0
2026-02-02,13.01,12.72,13.6,12.72,7878141.0
2026-02-03,13.1,13.14,13.19,12.67,4750325.0
2026-02-04,13.37,13.44,13.54,13.22,3370117.0
2026-02-05,13.13,12.64,13.26,12.36,3831791.0
2026-02-06,12.18,12.89,13.08,12.18,2963070.0
2026-02-09,13.12,13.05,13.2,12.88,2061400.0
2026-02-10,13.12,13.15,13.26,13.01,1982493.0
2026-02-11,13.06,13.32,13.45,13.05,2126246.0
2026-02-12,13.26,13.21,13.44,13.2,1878570.0
2026-02-13,12.97,12.69,13.09,12.66,2591904.0
2026-02-24,13.01,12.96,13.12,12.87,1984104.0
2026-02-25,13.07,13.53,13.79,13.01,3241283.0
